qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,English Horn,A Clarinet 1,A Clarinet 2,A Bass Clarinet,Bassoon 1,Bassoon 2,Bass Sarrusophone,F Horn 1,F Horn 2,F Horn 3,F Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Cymbal,Tambourine,Triangle,Celesta,Harp,Violin,Violin 1,Violin 1 div(2),Violin 1 div(3),Violin 2,Violins,Viola,Violoncello,Contrabass,Piano
522.0,525.25,,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(English Horn)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Violin),P8(Main)&P8(Flute 2)&U(Oboe 2)&P8(English Horn)&U(A Clarinet 1)&P8(A Clarinet 2)&U(Violin),P8(Main)&P8(Flute 2)&U(Oboe 1)&P8(English Horn)&U(A Clarinet 1)&P8(A Clarinet 2)&U(Violin),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P8(Violin),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(English Horn)&P8(A Clarinet 2)&U(Violin),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(English Horn)&P8(A Clarinet 1)&P8(Violin),P8(Bassoon 1)&P8(Bassoon 2),P8(A Bass Clarinet)&P8(Bassoon 2),P8(A Bass Clarinet)&P8(Bassoon 1),,,P3(F Horn 3)&P2(F Horn 4)&P3(Tuba)&P2(Cymbal)&P3(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass)&P3(Piano),P3(F Horn 2)&P4(F Horn 4)&P8(Tuba)&P2(Cymbal)&P5(Violin 2)&P3(Viola)&U(Violoncello)&P8(Contrabass)&P5(Piano),P2(F Horn 2)&P4(F Horn 3)&P4(Tuba)&P3(Cymbal)&P2(Violin 2)&P2(Viola)&P4(Violoncello)&P4(Contrabass)&P2(Piano),P3(C Trumpet 2),P3(C Trumpet 1),,,,P3(F Horn 2)&P8(F Horn 3)&P4(F Horn 4)&P2(Cymbal)&P5(Violin 2)&P3(Viola)&P8(Violoncello)&U(Contrabass)&P5(Piano),P2(F Horn 2)&P2(F Horn 3)&P3(F Horn 4)&P2(Tuba)&P4(Violin 2)&P2(Viola)&P2(Violoncello)&P2(Contrabass)&P4(Piano),,,,,P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(English Horn)&U(A Clarinet 1)&P8(A Clarinet 2),,,,P3(F Horn 2)&P5(F Horn 3)&P2(F Horn 4)&P5(Tuba)&P4(Cymbal)&P3(Viola)&P5(Violoncello)&P5(Contrabass)&U(Piano),,P8(F Horn 2)&P3(F Horn 3)&P2(F Horn 4)&P3(Tuba)&P2(Cymbal)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass)&P3(Piano),P3(F Horn 2)&U(F Horn 3)&P4(F Horn 4)&P8(Tuba)&P2(Cymbal)&P5(Violin 2)&P3(Viola)&P8(Contrabass)&P5(Piano),P3(F Horn 2)&P8(F Horn 3)&P4(F Horn 4)&U(Tuba)&P2(Cymbal)&P5(Violin 2)&P3(Viola)&P8(Violoncello)&P5(Piano),P3(F Horn 2)&P5(F Horn 3)&P2(F Horn 4)&P5(Tuba)&P4(Cymbal)&U(Violin 2)&P3(Viola)&P5(Violoncello)&P5(Contrabass)
525.25,528.0,,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),U(A Clarinet 2),,U(English Horn),P5(Bassoon 1)&P8(Bassoon 2)&P3(Triangle)&P5(Harp),P5(A Bass Clarinet)&P5(Bassoon 2)&P3(Triangle)&P8(Harp),P8(A Bass Clarinet)&P5(Bassoon 1)&P3(Triangle)&P5(Harp),,P3(F Horn 2)&U(F Horn 3)&P4(F Horn 4)&U(Violoncello),P3(F Horn 1)&P3(F Horn 3)&P2(F Horn 4)&P3(Violoncello),U(F Horn 1)&P3(F Horn 2)&P4(F Horn 4)&U(Violoncello),P4(F Horn 1)&P2(F Horn 2)&P4(F Horn 3)&P4(Violoncello),,,P8(Viola),,,P5(Piano),P4(Violin 2),,P3(A Bass Clarinet)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Harp),,P5(A Bass Clarinet)&P8(Bassoon 1)&P5(Bassoon 2)&P3(Triangle),,Main Part,,,P4(Cymbal),,P8(Trombone 1),U(F Horn 1)&P3(F Horn 2)&U(F Horn 3)&P4(F Horn 4),,P5(Tuba)
528.0,540.0,,U(Oboe 1),U(Oboe 2),U(Flute 1),U(Flute 2),U(A Clarinet 2),,U(English Horn),P5(Bassoon 1)&P8(Bassoon 2),P5(A Bass Clarinet)&P5(Bassoon 2),P8(A Bass Clarinet)&P5(Bassoon 1),,U(F Horn 3)&U(Violoncello),U(F Horn 4),U(F Horn 1)&U(Violoncello),U(F Horn 2),,,P5(Trombone 2)&P8(Trombone 3)&P8(Tuba)&P4(Cymbal),P5(Trombone 1)&P5(Trombone 3)&P5(Tuba)&P2(Cymbal),P8(Trombone 1)&P5(Trombone 2)&U(Tuba)&P4(Cymbal),P8(Trombone 1)&P5(Trombone 2)&U(Trombone 3)&P4(Cymbal),P4(Trombone 1)&P2(Trombone 2)&P4(Trombone 3)&P4(Tuba),,,,,P8(Main)&U(Violin 2)&P8(Viola),Main Part,,,U(Violin)&P8(Main)&P8(Viola),,P8(Violin)&P8(Main)&P8(Violin 2),U(F Horn 1)&U(F Horn 3),,
540.0,548.0,P2(F Horn 4)&P2(Harp),,,P8(English Horn),U(A Clarinet 1),P8(Oboe 1),U(Oboe 2),,,,,,,,,P2(Piccolo)&P8(Harp),P3(Triangle),,P2(Trombone 3),,P2(Trombone 1),U(Contrabass),,,P3(C Trumpet 1),,P2(Piccolo)&P8(F Horn 4),,Main Part,,,,,,,U(Tuba),
548.0,549.0,,,,,,U(A Clarinet 1)&P8(Harp),U(English Horn)&P8(Harp),,Main Part,P8(Main)&U(Bassoon 2),P8(Main)&U(Bassoon 1),,,P2(F Horn 3)&P5(Trombone 1)&P5(Violin 2)&U(Viola)&P5(Piano),P2(F Horn 2)&P5(Trombone 3)&P2(Viola)&P5(Violoncello),,,,P5(F Horn 2)&P2(Trombone 3)&U(Violin 2)&P5(Viola)&P2(Violoncello)&U(Piano),,P5(F Horn 3)&P2(Trombone 1)&P2(Violin 2)&U(Violoncello)&P2(Piano),P4(Cymbal)&P8(Violin)&P8(Violin 1)&U(Contrabass),P4(Tuba)&P4(Violin)&P4(Violin 1)&P4(Contrabass),,,,P8(English Horn)&P8(A Clarinet 1),P8(Tuba)&P4(Cymbal)&U(Violin 1)&P8(Contrabass),P8(Tuba)&P4(Cymbal)&U(Violin)&P8(Contrabass),,,P5(F Horn 2)&U(Trombone 1)&P2(Trombone 3)&P5(Viola)&P2(Violoncello)&U(Piano),,U(F Horn 2)&P2(F Horn 3)&P5(Trombone 1)&P5(Violin 2)&P5(Piano),P5(F Horn 3)&P2(Trombone 1)&U(Trombone 3)&P2(Violin 2)&P2(Piano),U(Tuba)&P4(Cymbal)&P8(Violin)&P8(Violin 1),P5(F Horn 2)&U(Trombone 1)&P2(Trombone 3)&U(Violin 2)&P5(Viola)&P2(Violoncello)
549.0,550.0,,,,U(Oboe 2)&U(C Trumpet 2)&P5(Trombone 2),U(Oboe 1)&U(C Trumpet 2)&P5(Trombone 2),Main Part,U(Main)&P8(A Bass Clarinet),,P8(Main)&P8(A Clarinet 1),,,,,P2(F Horn 3)&P5(Trombone 1)&P8(Tuba)&P4(Cymbal)&P8(Harp)&U(Violin)&P8(Contrabass),P2(F Horn 2)&P6(Trombone 1)&P2(Tuba)&P5(Cymbal)&P2(Harp)&P2(Violin)&P2(Contrabass),,,U(Oboe 1)&U(Oboe 2)&P5(Trombone 2),P5(F Horn 2)&P6(F Horn 3)&P5(Tuba)&P2(Cymbal)&P5(Harp)&P5(Violin)&P5(Contrabass),P5(Oboe 1)&P5(Oboe 2)&P5(C Trumpet 2),P2(Violin 2)&P8(Violoncello)&P2(Piano),P8(F Horn 2)&P2(F Horn 3)&P5(Trombone 1)&P4(Cymbal)&U(Harp)&P8(Violin)&U(Contrabass),P4(F Horn 2)&P5(F Horn 3)&P2(Trombone 1)&P4(Tuba)&P4(Harp)&P4(Violin)&P4(Contrabass),,,,P8(F Horn 2)&P2(F Horn 3)&P5(Trombone 1)&U(Tuba)&P4(Cymbal)&P8(Violin)&U(Contrabass),U(F Horn 2)&P2(F Horn 3)&P5(Trombone 1)&P8(Tuba)&P4(Cymbal)&P8(Harp)&P8(Contrabass),,,,P2(Trombone 3)&P5(Viola)&P2(Violoncello)&U(Piano),,P5(Violin 2)&P5(Piano),P8(Trombone 3)&P2(Violin 2)&P2(Piano),P8(F Horn 2)&P2(F Horn 3)&P5(Trombone 1)&U(Tuba)&P4(Cymbal)&U(Harp)&P8(Violin),P2(Trombone 3)&U(Violin 2)&P5(Viola)&P2(Violoncello)
550.0,551.0,P8(Flute 1)&P8(Flute 2)&P5(F Horn 1)&P2(F Horn 4),P8(Piccolo)&U(Flute 2)&P5(F Horn 1)&P2(F Horn 4),P8(Piccolo)&U(Flute 1)&P5(F Horn 1)&P2(F Horn 4),Main Part,U(Main)&U(A Clarinet 1),U(C Trumpet 2)&P2(Trombone 3)&P8(Violin 2)&P5(Viola)&P2(Violoncello)&P8(Piano),U(Main)&U(Oboe 2),,P8(Bassoon 1)&P5(Bassoon 2),P8(A Bass Clarinet)&P5(Bassoon 2),P5(A Bass Clarinet)&P5(Bassoon 1),,P5(Piccolo)&P5(Flute 1)&P5(Flute 2)&P6(F Horn 4),P2(F Horn 3)&P5(Trombone 1)&P8(Tuba)&P4(Cymbal)&P8(Harp)&U(Violin)&P8(Contrabass),P2(F Horn 2)&P6(Trombone 1)&P2(Tuba)&P5(Cymbal)&P2(Harp)&P2(Violin)&P2(Contrabass),P2(Piccolo)&P2(Flute 1)&P2(Flute 2)&P6(F Horn 1),,U(English Horn)&P2(Trombone 3)&P8(Violin 2)&P5(Viola)&P2(Violoncello)&P8(Piano),P5(F Horn 2)&P6(F Horn 3)&P5(Tuba)&P2(Cymbal)&P5(Harp)&P5(Violin)&P5(Contrabass),,P2(English Horn)&P2(C Trumpet 2)&P2(Violin 2)&P8(Violoncello)&P2(Piano),P8(F Horn 2)&P2(F Horn 3)&P5(Trombone 1)&P4(Cymbal)&U(Harp)&P8(Violin)&U(Contrabass),P4(F Horn 2)&P5(F Horn 3)&P2(Trombone 1)&P4(Tuba)&P4(Harp)&P4(Violin)&P4(Contrabass),,,,P8(F Horn 2)&P2(F Horn 3)&P5(Trombone 1)&U(Tuba)&P4(Cymbal)&P8(Violin)&U(Contrabass),U(F Horn 2)&P2(F Horn 3)&P5(Trombone 1)&P8(Tuba)&P4(Cymbal)&P8(Harp)&P8(Contrabass),,,,P8(English Horn)&P8(C Trumpet 2)&P2(Trombone 3)&P5(Viola)&P2(Violoncello)&U(Piano),,P5(English Horn)&P5(C Trumpet 2)&P5(Violin 2)&P5(Piano),P2(English Horn)&P2(C Trumpet 2)&P8(Trombone 3)&P2(Violin 2)&P2(Piano),P8(F Horn 2)&P2(F Horn 3)&P5(Trombone 1)&U(Tuba)&P4(Cymbal)&U(Harp)&P8(Violin),P8(English Horn)&P8(C Trumpet 2)&P2(Trombone 3)&U(Violin 2)&P5(Viola)&P2(Violoncello)
551.0,552.0,Main Part,P8(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Violin),P8(Main)&U(Flute 1)&U(Oboe 1)&U(Oboe 2)&P8(Violin),P8(Main)&U(Flute 1)&U(Flute 2)&U(Oboe 2)&P8(Violin),P8(Main)&U(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Violin),P5(Contrabass),,P8(A Bass Clarinet)&P5(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 2)&P5(Bassoon 1)&P8(Bassoon 2),P5(A Clarinet 2)&P5(A Bass Clarinet)&P5(Bassoon 2),P8(A Clarinet 2)&P8(A Bass Clarinet)&P5(Bassoon 1),,P5(F Horn 2)&P6(F Horn 3)&P6(F Horn 4),P5(F Horn 1)&P2(F Horn 3)&P2(F Horn 4),P6(F Horn 1)&P2(F Horn 2)&U(F Horn 4),P6(F Horn 1)&P2(F Horn 2)&U(F Horn 3),,P8(Trombone 1)&P8(Violin 2),P8(C Trumpet 2)&P8(Violin 2),P6(Piano),P4(Harp)&P4(Viola),P4(Cymbal),P4(Tuba),,,,P4(Trombone 3)&P8(Viola)&P4(Violoncello),P8(Main)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),,,,P8(C Trumpet 2)&P8(Trombone 1),,P4(Trombone 3)&P8(Harp)&P4(Violoncello),P4(Harp)&P4(Viola),P5(English Horn),P6(Trombone 2)
552.0,559.5,P8(C Trumpet 2)&P8(Trombone 1)&P3(Trombone 2)&P4(Trombone 3)&P2(Tuba)&P8(Harp),U(Oboe 1),U(Oboe 2),U(Flute 1),U(Flute 2),P2(A Clarinet 1)&U(A Clarinet 2),P2(English Horn)&P2(A Clarinet 2),U(English Horn)&P2(A Clarinet 1),P5(Bassoon 1)&P8(Bassoon 2)&P5(Contrabass),P5(A Bass Clarinet)&P5(Bassoon 2)&U(Contrabass),P8(A Bass Clarinet)&P5(Bassoon 1)&P5(Contrabass),,P4(F Horn 2)&U(F Horn 3)&P4(F Horn 4),P4(F Horn 1)&P4(F Horn 3)&U(F Horn 4),U(F Horn 1)&P4(F Horn 2)&P4(F Horn 4),P4(F Horn 1)&U(F Horn 2)&P4(F Horn 3),,P8(Piccolo)&P8(Trombone 1)&P3(Trombone 2)&P4(Trombone 3)&P2(Tuba)&P8(Harp),P8(Piccolo)&P8(C Trumpet 2)&P3(Trombone 2)&P4(Trombone 3)&P2(Tuba)&P8(Harp),P3(Piccolo)&P3(C Trumpet 2)&P3(Trombone 1)&P2(Trombone 3)&P4(Tuba)&P3(Harp),P4(Piccolo)&P4(C Trumpet 2)&P4(Trombone 1)&P2(Trombone 2)&P5(Tuba)&P4(Harp),P2(Piccolo)&P2(C Trumpet 2)&P2(Trombone 1)&P4(Trombone 2)&P5(Trombone 3)&P2(Harp),,,,,P8(Piccolo)&P8(C Trumpet 2)&P8(Trombone 1)&P3(Trombone 2)&P4(Trombone 3)&P2(Tuba),,P8(Main)&P8(Viola),,,Main Part,,P8(Violin 1)&P8(Main),,P5(A Bass Clarinet)&U(Bassoon 1)&P5(Bassoon 2),
559.5,564.0,,U(Oboe 1)&U(Piano),U(Oboe 2),U(Flute 1)&U(Piano),U(Flute 2),U(A Clarinet 2),,U(English Horn),P8(Bassoon 2),,P8(A Bass Clarinet),,P4(F Horn 2)&U(F Horn 3)&P4(F Horn 4)&U(Violoncello),P4(F Horn 1)&P4(F Horn 3)&U(F Horn 4)&P4(Violoncello),U(F Horn 1)&P4(F Horn 2)&P4(F Horn 4)&U(Violoncello),P4(F Horn 1)&U(F Horn 2)&P4(F Horn 3)&P4(Violoncello),,,,,,,,,,,,,Main Part,,,U(Main)&P8(Viola),,P8(Main)&P8(Violin 2),U(F Horn 1)&P4(F Horn 2)&U(F Horn 3)&P4(F Horn 4),,U(Flute 1)&U(Oboe 1)
564.0,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,,,
576.0,582.0,U(Flute 2)&P4(F Horn 1)&P8(F Horn 2)&P4(F Horn 3)&P8(Harp),Main Part,U(Piccolo)&P4(F Horn 1)&P8(F Horn 2)&P4(F Horn 3)&P8(Harp),U(Main)&U(Oboe 2)&P8(English Horn)&U(A Clarinet 1)&P8(A Clarinet 2)&U(Violin),U(Main)&U(Oboe 1)&P8(English Horn)&U(A Clarinet 1)&P8(A Clarinet 2)&U(Violin),P8(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P8(Violin),U(Main)&U(Oboe 1)&U(Oboe 2)&P8(English Horn)&P8(A Clarinet 2)&U(Violin),P8(Main)&P8(Oboe 1)&P8(Oboe 2)&U(English Horn)&P8(A Clarinet 1)&P8(Violin),,,,,P4(Piccolo)&P4(Flute 2)&P4(F Horn 2)&P7(F Horn 3)&P4(Harp),P8(Piccolo)&P8(Flute 2)&P4(F Horn 1)&P4(F Horn 3)&P8(Harp),P4(Piccolo)&P4(Flute 2)&P7(F Horn 1)&P4(F Horn 2)&P4(Harp),,,,,,,,,,,,P8(Piccolo)&P8(Flute 2)&P4(F Horn 1)&P8(F Horn 2)&P4(F Horn 3),U(Main)&U(Oboe 1)&U(Oboe 2)&P8(English Horn)&U(A Clarinet 1)&P8(A Clarinet 2),,,,,,,,,
582.0,588.0,Main Part,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(English Horn)&U(A Clarinet 1)&P8(A Clarinet 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&P8(English Horn)&U(A Clarinet 1)&P8(A Clarinet 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&P8(English Horn)&U(A Clarinet 1)&P8(A Clarinet 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(English Horn)&U(A Clarinet 1)&P8(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(English Horn)&P8(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(English Horn)&P8(A Clarinet 1),,,,P8(C Trumpet 1)&P2(C Trumpet 2)&P5(Trombone 1)&P2(Trombone 2)&P5(Trombone 3)&P8(Tuba)&P4(Cymbal),,,,,P8(Bass Sarrusophone)&P2(C Trumpet 2)&P5(Trombone 1)&P2(Trombone 2)&P5(Trombone 3)&P8(Tuba)&P4(Cymbal),P2(Bass Sarrusophone)&P2(C Trumpet 1)&P4(Trombone 1)&P8(Trombone 2)&P4(Trombone 3)&P2(Tuba)&P3(Cymbal),P5(Bass Sarrusophone)&P5(C Trumpet 1)&P4(C Trumpet 2)&P4(Trombone 2)&P8(Trombone 3)&P5(Tuba)&P2(Cymbal),P2(Bass Sarrusophone)&P2(C Trumpet 1)&P8(C Trumpet 2)&P4(Trombone 1)&P4(Trombone 3)&P2(Tuba)&P3(Cymbal),P5(Bass Sarrusophone)&P5(C Trumpet 1)&P4(C Trumpet 2)&P8(Trombone 1)&P4(Trombone 2)&P5(Tuba)&P2(Cymbal),P8(Bass Sarrusophone)&P8(C Trumpet 1)&P2(C Trumpet 2)&P5(Trombone 1)&P2(Trombone 2)&P5(Trombone 3)&P4(Cymbal),P4(Bass Sarrusophone)&P4(C Trumpet 1)&P3(C Trumpet 2)&P2(Trombone 1)&P3(Trombone 2)&P2(Trombone 3)&P4(Tuba),,,,,,,,,U(Piano),,,,,U(Violin 2)
588.0,591.0,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1),P5(A Clarinet 1)&P2(A Clarinet 2)&P5(A Bass Clarinet)&P2(Bassoon 1)&P8(Bassoon 2),P5(English Horn)&P4(A Clarinet 2)&P8(A Bass Clarinet)&P4(Bassoon 1)&P5(Bassoon 2),P2(English Horn)&P4(A Clarinet 1)&P4(A Bass Clarinet)&P8(Bassoon 1)&P2(Bassoon 2),P5(English Horn)&P8(A Clarinet 1)&P4(A Clarinet 2)&P4(Bassoon 1)&P5(Bassoon 2),P2(English Horn)&P4(A Clarinet 1)&P8(A Clarinet 2)&P4(A Bass Clarinet)&P2(Bassoon 2),P8(English Horn)&P5(A Clarinet 1)&P2(A Clarinet 2)&P5(A Bass Clarinet)&P2(Bassoon 1),P5(Trombone 1)&P8(Tuba),P2(Cymbal)&P8(Piano),P8(Contrabass),P4(Violoncello),,Main Part,,P5(Bass Sarrusophone)&P5(Tuba),P4(Trombone 3),P4(Trombone 2),P8(Bass Sarrusophone)&P5(Trombone 1),P2(F Horn 1)&P2(Piano),,,,,P8(Main),P8(Viola),,,,,P8(Violin 1),P4(F Horn 3),P8(F Horn 2),P8(F Horn 1)&P2(Cymbal)
591.0,594.0,Main Part,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(F Horn 2)&P8(F Horn 3),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(F Horn 2)&P8(F Horn 3),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(F Horn 2)&P8(F Horn 3),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(F Horn 2)&P8(F Horn 3),P5(A Clarinet 1)&P2(A Clarinet 2)&P5(A Bass Clarinet)&P2(Bassoon 1)&P8(Bassoon 2),P5(English Horn)&P4(A Clarinet 2)&P8(A Bass Clarinet)&P4(Bassoon 1)&P5(Bassoon 2),P2(English Horn)&P4(A Clarinet 1)&P4(A Bass Clarinet)&P8(Bassoon 1)&P2(Bassoon 2),P5(English Horn)&P8(A Clarinet 1)&P4(A Clarinet 2)&P4(Bassoon 1)&P5(Bassoon 2),P2(English Horn)&P4(A Clarinet 1)&P8(A Clarinet 2)&P4(A Bass Clarinet)&P2(Bassoon 2),P8(English Horn)&P5(A Clarinet 1)&P2(A Clarinet 2)&P5(A Bass Clarinet)&P2(Bassoon 1),P5(Trombone 1)&P8(Tuba),P5(F Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(F Horn 3),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(F Horn 2),P5(F Horn 1),P8(Contrabass),,P5(Bass Sarrusophone)&P5(Tuba),P4(Trombone 3),P4(Trombone 2),P8(Bass Sarrusophone)&P5(Trombone 1),P2(Triangle)&P2(Violin 2)&P3(Violoncello)&P2(Piano),,P2(Cymbal)&P3(Violin 2)&P3(Viola)&P2(Violoncello)&P3(Piano),,,,,,,P2(Cymbal)&P3(Triangle)&P4(Violoncello)&P8(Piano),,P3(Triangle),P3(Cymbal)&P2(Triangle)&P4(Violin 2)&P4(Piano),P8(C Trumpet 1),P2(Cymbal)&P3(Triangle)&P8(Violin 2)&P4(Violoncello)
594.0,597.0,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1),P5(A Clarinet 1)&P2(A Clarinet 2)&P5(A Bass Clarinet)&P2(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 1)&P8(F Horn 4),P5(English Horn)&P4(A Clarinet 2)&P8(A Bass Clarinet)&P4(Bassoon 1)&P5(Bassoon 2)&P8(F Horn 1)&P5(F Horn 4),P2(English Horn)&P4(A Clarinet 1)&P4(A Bass Clarinet)&P8(Bassoon 1)&P2(Bassoon 2)&P4(F Horn 1)&P2(F Horn 4),P5(English Horn)&P8(A Clarinet 1)&P4(A Clarinet 2)&P4(Bassoon 1)&P5(Bassoon 2)&P8(F Horn 1)&P5(F Horn 4),P2(English Horn)&P4(A Clarinet 1)&P8(A Clarinet 2)&P4(A Bass Clarinet)&P2(Bassoon 2)&P4(F Horn 1)&P2(F Horn 4),P8(English Horn)&P5(A Clarinet 1)&P2(A Clarinet 2)&P5(A Bass Clarinet)&P2(Bassoon 1)&P5(F Horn 1)&U(F Horn 4),P5(Trombone 1)&P8(Tuba),P5(English Horn)&P8(A Clarinet 1)&P4(A Clarinet 2)&P8(A Bass Clarinet)&P4(Bassoon 1)&P5(Bassoon 2)&P5(F Horn 4),U(F Horn 3)&P3(Triangle)&P8(Contrabass),U(F Horn 2)&P3(Triangle)&P8(Contrabass),P8(English Horn)&P5(A Clarinet 1)&P2(A Clarinet 2)&P5(A Bass Clarinet)&P2(Bassoon 1)&U(Bassoon 2)&P5(F Horn 1),Main Part,P8(Violoncello),P5(Bass Sarrusophone)&P5(Tuba),P4(Trombone 3),P4(Trombone 2),P8(Bass Sarrusophone)&P5(Trombone 1),P2(Piano),,P3(F Horn 2)&P3(F Horn 3)&P3(Violin 2)&P3(Contrabass),,,P8(Main),P8(Viola),,,P3(Triangle),,P8(Violin 1),P8(C Trumpet 2),P8(F Horn 2)&P8(F Horn 3)&P3(Triangle),P2(Cymbal)
597.0,600.0,Main Part,U(Main)&U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Main)&U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Main)&P8(Flute 1)&P8(Flute 2)&U(Oboe 2),P8(Main)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1),P5(Tuba),P8(Trombone 2),P4(A Bass Clarinet)&P3(Cymbal),P4(A Clarinet 2)&P2(Cymbal),,,,U(F Horn 3),,U(F Horn 1),,P8(Contrabass),P8(Violoncello),P3(Triangle),P8(A Clarinet 1),P2(Triangle)&P4(Violin 2)&P4(Piano),P5(English Horn),P3(A Clarinet 2)&P2(A Bass Clarinet),,P3(Trombone 1)&P2(Trombone 3)&P3(Violin 2)&P3(Viola)&P3(Piano),,,,,,,P4(Trombone 3)&P3(Triangle)&U(Piano),,P3(Triangle),P8(C Trumpet 2),P8(C Trumpet 1),P4(Trombone 3)&P3(Triangle)&U(Violin 2)
600.0,604.0,,U(Flute 2)&P8(English Horn)&P3(A Bass Clarinet)&P8(C Trumpet 1),U(Flute 1)&P8(English Horn)&P3(A Bass Clarinet)&P8(C Trumpet 1),,,P8(Flute 1)&P8(Flute 2)&P3(A Bass Clarinet)&U(C Trumpet 1),Main Part,P3(A Bass Clarinet),P3(Flute 1)&P3(Flute 2)&P3(English Horn)&P3(A Clarinet 2)&P3(C Trumpet 1),,,,,,,,P8(Flute 1)&P8(Flute 2)&U(English Horn)&P3(A Bass Clarinet),U(Trombone 1)&P3(Trombone 2),U(C Trumpet 2)&P3(Trombone 2),P3(C Trumpet 2)&P3(Trombone 1),,,,,,,,,U(Violin 2)&P8(Viola),,,U(Violin 1)&P8(Viola),,P8(Violin 1)&P8(Violin 2),,,
604.0,607.0,P6(Bass Sarrusophone)&P6(Cymbal),Main Part,,P8(Main)&P8(C Trumpet 1)&P8(Violin),U(A Clarinet 1),,U(Oboe 2),,P8(Bassoon 1)&P8(Bassoon 2)&P8(Tuba),P8(A Bass Clarinet)&U(Bassoon 2)&U(Tuba),P8(A Bass Clarinet)&U(Bassoon 1)&U(Tuba),P6(Piccolo)&P8(Cymbal),U(F Horn 3)&P8(Trombone 3),U(F Horn 4),U(F Horn 1)&P8(Trombone 3),U(F Horn 2),P8(Main)&P8(Oboe 1)&P8(Violin),,,,P8(F Horn 1)&P8(F Horn 3),P8(A Bass Clarinet)&U(Bassoon 1)&U(Bassoon 2),P6(Piccolo)&P8(Bass Sarrusophone),,,,,P8(Main)&P8(Oboe 1)&P8(C Trumpet 1),,,,,,P8(Violoncello),P8(Viola),,
