qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,English Horn,A Clarinet 1,A Clarinet 2,A Bass Clarinet,Bassoon 1,Bassoon 2,Bass Sarrusophone,F Horn 1,F Horn 2,F Horn 3,F Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Cymbal,Tambourine,Triangle,Celesta,Harp,Violin,Violin 1,Violin 1 div(2),Violin 1 div(3),Violin 2,Violins,Viola,Violoncello,Contrabass,Piano
22.5,9.375,8,2.5,r,B4,B4,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G#5,r,r,E-5,r,F5,r,r,G#5
23.0,9.5833,8,3.0,r,B-4,B-4,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,r,B-4,F#5,r,r,C#5,r,E-5,r,r,F#5
23.5,9.7917,8,3.5,r,G#4,G#4,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,r,G#4,F#5,r,r,C#5,r,E-5,r,r,F#5
23.75,9.8958,8,3.75,r,F#4,F#4,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,r,F#4,F#5,r,r,C#5,r,E-5,r,r,F#5
24.0,10.0,9,1.0,r,G#4,G#4,C#5,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,r,G#4,G#5,r,r,E-5,r,F5,r,r,G#5
24.5,10.2083,9,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,r,G#4,G#5,r,r,E-5,r,F5,r,r,G#5
24.75,10.3125,9,1.75,r,B4,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,r,B4,G#5,r,r,E-5,r,F5,r,r,G#5
25.0,10.4167,9,2.0,r,G4,G4,G5,C5,r,G#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,D5,r,G4,G5,r,r,D5,r,E5,r,r,G5
25.5,10.625,9,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,D5,r,G4,G5,r,r,D5,r,E5,r,r,G5
25.75,10.7292,9,2.75,r,F4,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,D5,r,F4,G5,r,r,D5,r,E5,r,r,G5
