qstamp,tstamp,measure,beat,Violin,Soprano 1 solo,Soprano 2 solo,Continuo
150.5,112.875,38,3.5,E4,r,r,C#3
150.75,113.0625,38,3.75,G4,r,r,C#3
151.0,113.25,38,4.0,A3,r,r,E3
151.25,113.4375,38,4.25,F#4,r,r,E3
151.5,113.625,38,4.5,E4,r,r,G3
151.75,113.8125,38,4.75,D4,r,r,G3
152.0,114.0,39,1.0,C#4,r,r,G3
152.25,114.1875,39,1.25,D4,r,r,G3
152.5,114.375,39,1.5,E4,r,r,C#3
152.75,114.5625,39,1.75,G4,r,r,B2
153.0,114.75,39,2.0,A3,r,r,C#3
153.25,114.9375,39,2.25,B4,r,r,C#3
153.5,115.125,39,2.5,A4,r,r,A2
153.75,115.3125,39,2.75,G4,r,r,A2
154.0,115.5,39,3.0,F#4,r,r,D3
154.25,115.6875,39,3.25,B4,r,r,D3
154.5,115.875,39,3.5,C#5,r,r,B2
154.75,116.0625,39,3.75,D5,r,r,B2
155.0,116.25,39,4.0,E4,r,r,C#3
155.25,116.4375,39,4.25,G4,r,r,C#3
155.5,116.625,39,4.5,F#4,r,r,A2
155.75,116.8125,39,4.75,E4,r,r,A2
156.0,117.0,40,1.0,D4,r,r,B2
156.25,117.1875,40,1.25,G#4,r,r,B2
156.5,117.375,40,1.5,A4,r,r,G#2
156.75,117.5625,40,1.75,B4,r,r,G#2
157.0,117.75,40,2.0,C#4,r,r,A2
157.25,117.9375,40,2.25,E4,r,r,A2
157.5,118.125,40,2.5,D4,r,r,F#2
157.75,118.3125,40,2.75,C#4,r,r,F#2
158.0,118.5,40,3.0,B3,r,r,G#2
158.25,118.6875,40,3.25,E4,r,r,G#2
158.5,118.875,40,3.5,F#4,r,r,E2
158.75,119.0625,40,3.75,G#4,r,r,E2
159.0,119.25,40,4.0,A3,r,r,F#2
159.25,119.4375,40,4.25,C#4,r,r,F#2
159.5,119.625,40,4.5,B3,r,r,D3
159.75,119.8125,40,4.75,A3,r,r,D3
160.0,120.0,41,1.0,G#3,r,r,E2
160.25,120.1875,41,1.25,E4,r,r,E2
160.5,120.375,41,1.5,F#4,r,r,D3
160.75,120.5625,41,1.75,G#4,r,r,D3
161.0,120.75,41,2.0,A4,r,r,C#3
161.25,120.9375,41,2.25,B4,r,r,C#3
161.5,121.125,41,2.5,C#5,r,r,A2
161.75,121.3125,41,2.75,B4,r,r,A2
162.0,121.5,41,3.0,D5,r,r,F#3
162.25,121.6875,41,3.25,C#5,r,r,F#3
162.5,121.875,41,3.5,F#5,r,r,D3
162.75,122.0625,41,3.75,E5,r,r,D3
163.0,122.25,41,4.0,D5,r,r,E3
163.25,122.4375,41,4.25,C#5,r,r,E3
163.5,122.625,41,4.5,B4,r,r,E2
163.75,122.8125,41,4.75,A4,r,r,E2
164.0,123.0,42,1.0,A4,C#5,E4,A2
164.5,123.375,42,1.5,A4,C#5,E4,A3
165.0,123.75,42,2.0,r,C#5,E4,E3
165.5,124.125,42,2.5,r,C#5,E4,F#3
166.0,124.5,42,3.0,r,C#5,E4,G3
166.5,124.875,42,3.5,r,C#5,E4,A3
166.75,125.0625,42,3.75,r,C#5,E4,G3
167.0,125.25,42,4.0,r,E-5,F#4,F#3
167.25,125.4375,42,4.25,r,C#5,E4,F#3
167.5,125.625,42,4.5,r,E-5,F#4,B3
168.0,126.0,43,1.0,r,E5,G4,E3
168.5,126.375,43,1.5,B4,E5,G4,F#3
169.0,126.75,43,2.0,E4,r,r,G3
169.5,127.125,43,2.5,F#4,D5,F#4,B3
170.0,127.5,43,3.0,G4,C#5,E4,E3
170.5,127.875,43,3.5,r,B4,D4,F#3
170.75,128.0625,43,3.75,r,B-4,C#4,F#3
171.0,128.25,43,4.0,r,B4,D4,B2
171.5,128.625,43,4.5,r,B4,E4,G2
171.75,128.8125,43,4.75,r,C#5,E4,G2
172.0,129.0,44,1.0,r,B-4,F#4,F#2
172.5,129.375,44,1.5,F#4,C#5,B-4,F#3
172.75,129.5625,44,1.75,F#4,B4,G#4,F#3
173.0,129.75,44,2.0,C#4,C#5,B-4,G3
173.25,129.9375,44,2.25,C#4,C#5,B-4,F#3
173.5,130.125,44,2.5,D4,C#5,B-4,E3
173.75,130.3125,44,2.75,D4,C#5,B-4,D3
174.0,130.5,44,3.0,E4,C#5,B-4,C#3
174.25,130.6875,44,3.25,E4,B4,G#4,C#3
174.5,130.875,44,3.5,C#5,C#5,B-4,B-2
174.75,131.0625,44,3.75,B4,D5,B4,B-2
175.0,131.25,44,4.0,B-4,E5,C#5,F#2
175.25,131.4375,44,4.25,G4,E5,C#5,F#2
175.5,131.625,44,4.5,F#4,E5,C#5,B-2
175.75,131.8125,44,4.75,E4,E5,C#5,B-2
176.0,132.0,45,1.0,D4,E5,C#5,B2
176.5,132.375,45,1.5,B4,D5,B4,B3
176.75,132.5625,45,1.75,B4,C#5,B4,B3
177.0,132.75,45,2.0,F#4,E-5,A4,C4
177.25,132.9375,45,2.25,F#4,E-5,A4,B3
177.5,133.125,45,2.5,G4,E-5,A4,A3
177.75,133.3125,45,2.75,G4,E-5,A4,G3
178.0,133.5,45,3.0,A4,E-5,A4,F#3
178.25,133.6875,45,3.25,B4,C#5,A4,F#3
178.5,133.875,45,3.5,A4,E-5,F#4,B3
178.75,134.0625,45,3.75,G4,E5,G4,B3
179.0,134.25,45,4.0,F#4,F#5,A4,E-3
179.25,134.4375,45,4.25,E4,F#5,A4,E-3
179.5,134.625,45,4.5,E-4,F#5,A4,B2
179.75,134.8125,45,4.75,C#4,F#5,A4,B2
180.0,135.0,46,1.0,B3,F#5,A4,E3
180.5,135.375,46,1.5,B4,E5,G4,E-3
180.75,135.5625,46,1.75,A4,E5,G4,E-3
181.0,135.75,46,2.0,G4,E5,B4,E3
181.25,135.9375,46,2.25,F#4,E5,B4,E3
181.5,136.125,46,2.5,E4,r,B4,F#3
181.75,136.3125,46,2.75,E-4,r,B4,F#3
182.0,136.5,46,3.0,E4,r,B4,G3
182.5,136.875,46,3.5,r,r,A4,B3
182.75,137.0625,46,3.75,r,r,G4,B3
183.0,137.25,46,4.0,r,E5,A4,E3
183.25,137.4375,46,4.25,r,E5,G4,E3
183.5,137.625,46,4.5,r,E5,F#4,G3
183.75,137.8125,46,4.75,r,E5,E4,G3
184.0,138.0,47,1.0,r,E5,C5,A2
184.5,138.375,47,1.5,r,D5,C5,E3
184.75,138.5625,47,1.75,r,C5,C5,E3
185.0,138.75,47,2.0,r,D5,C5,A2
185.25,138.9375,47,2.25,r,C5,C5,A2
185.5,139.125,47,2.5,r,B4,C5,C3
185.75,139.3125,47,2.75,r,A4,C5,C3
186.0,139.5,47,3.0,r,D5,C5,F#2
186.5,139.875,47,3.5,A4,D5,F#4,D2
186.75,140.0625,47,3.75,G4,D5,F#4,D2
187.0,140.25,47,4.0,F#4,D5,G4,E2
187.25,140.4375,47,4.25,E4,D5,G4,E2
187.5,140.625,47,4.5,D4,D5,A4,F#2
187.75,140.8125,47,4.75,C4,D5,A4,F#2
188.0,141.0,48,1.0,B3,D5,B4,G2
188.5,141.375,48,1.5,B4,G4,B4,E2
188.75,141.5625,48,1.75,A4,G4,B4,E2
189.0,141.75,48,2.0,G4,A4,B4,F#2
189.25,141.9375,48,2.25,F#4,A4,B4,F#2
189.5,142.125,48,2.5,E4,B4,B4,G2
189.75,142.3125,48,2.75,D4,B4,B4,G2
190.0,142.5,48,3.0,C4,C5,B4,A2
190.25,142.6875,48,3.25,D4,C5,B4,A2
190.5,142.875,48,3.5,E4,C5,A4,C4
190.75,143.0625,48,3.75,A4,C5,A4,C4
191.0,143.25,48,4.0,A3,C5,A4,F#3
191.25,143.4375,48,4.25,D5,C5,A4,F#3
191.5,143.625,48,4.5,C5,C5,G4,A3
191.75,143.8125,48,4.75,B4,C5,G4,A3
192.0,144.0,49,1.0,A4,C5,F#4,E-3
192.5,144.375,49,1.5,r,B4,F#4,F#3
193.0,144.75,49,2.0,r,B4,F#4,B2
193.5,145.125,49,2.5,r,A4,F#4,E-3
194.0,145.5,49,3.0,r,G4,F#4,E2
194.25,145.6875,49,3.25,r,G4,E-4,E2
194.5,145.875,49,3.5,B5,G4,E4,G3
194.75,146.0625,49,3.75,A5,G4,E4,G3
195.0,146.25,49,4.0,G5,G4,E4,C#3
195.25,146.4375,49,4.25,F#5,G4,D5,C#3
195.5,146.625,49,4.5,E5,G4,C#5,E3
195.75,146.8125,49,4.75,D5,G4,B4,E3
196.0,147.0,50,1.0,C#5,G4,B-4,F#3
196.25,147.1875,50,1.25,B4,G4,B-4,F#3
196.5,147.375,50,1.5,B-4,F#4,C#5,G#3
196.75,147.5625,50,1.75,G#4,F#4,B4,G#3
197.0,147.75,50,2.0,F#4,F#4,C#5,B-3
197.25,147.9375,50,2.25,E4,F#4,C#5,B-3
197.5,148.125,50,2.5,D4,C#5,B-4,F#3
197.75,148.3125,50,2.75,C#4,C#5,B-4,F#3
198.0,148.5,50,3.0,B3,D5,B4,B3
198.5,148.875,50,3.5,F#4,C#5,B-4,B3
199.0,149.25,50,4.0,D4,D5,B4,r
199.5,149.625,50,4.5,F#4,C#5,B-4,r
200.0,150.0,51,1.0,B3,D5,B4,r
200.25,150.1875,51,1.25,B3,D5,B4,B2
200.5,150.375,51,1.5,B3,D5,B4,D3
200.75,150.5625,51,1.75,B3,D5,B4,C#3
201.0,150.75,51,2.0,r,r,r,B2
201.25,150.9375,51,2.25,r,r,r,A2
201.5,151.125,51,2.5,r,E-5,A4,G2
201.75,151.3125,51,2.75,r,E-5,A4,F#2
202.0,151.5,51,3.0,r,E5,G4,E2
202.5,151.875,51,3.5,B4,E-5,F#4,E2
203.0,152.25,51,4.0,G4,E5,G4,r
203.5,152.625,51,4.5,A4,E-5,F#4,r
204.0,153.0,52,1.0,E4,E5,G4,r
204.5,153.375,52,1.5,r,C#5,G4,B-3
205.0,153.75,52,2.0,r,D5,F#4,B3
205.5,154.125,52,2.5,r,B-4,E4,F#3
206.0,154.5,52,3.0,r,B4,D4,G3
206.5,154.875,52,3.5,r,B4,D4,E3
206.75,155.0625,52,3.75,r,C#5,E4,E3
207.0,155.25,52,4.0,r,B-4,C#4,F#3
207.5,155.625,52,4.5,r,B-4,C#4,F#2
208.0,156.0,53,1.0,F#4,B4,B3,B2
208.5,156.375,53,1.5,F#4,B4,B3,C#3
209.0,156.75,53,2.0,F#4,r,r,D3
209.25,156.9375,53,2.25,D5,r,r,D3
209.5,157.125,53,2.5,C#5,r,r,E3
209.75,157.3125,53,2.75,B4,r,r,E3
210.0,157.5,53,3.0,B-4,r,r,F#2
210.25,157.6875,53,3.25,B4,r,r,F#2
210.5,157.875,53,3.5,C#5,r,r,B-2
210.75,158.0625,53,3.75,E5,r,r,B-2
211.0,158.25,53,4.0,F#4,r,r,C#3
211.25,158.4375,53,4.25,D5,r,r,C#3
211.5,158.625,53,4.5,C#5,r,r,E3
211.75,158.8125,53,4.75,B4,r,r,E3
212.0,159.0,54,1.0,B-4,r,r,E3
212.25,159.1875,54,1.25,B4,r,r,E3
212.5,159.375,54,1.5,C#5,r,r,B-2
212.75,159.5625,54,1.75,E5,r,r,G#2
213.0,159.75,54,2.0,F#4,r,r,B-2
213.25,159.9375,54,2.25,G4,r,r,B-2
213.5,160.125,54,2.5,F#4,r,r,F#2
213.75,160.3125,54,2.75,E4,r,r,F#2
214.0,160.5,54,3.0,E-4,r,r,B2
214.25,160.6875,54,3.25,E4,r,r,B2
214.5,160.875,54,3.5,F#4,r,r,E-3
214.75,161.0625,54,3.75,A4,r,r,E-3
215.0,161.25,54,4.0,B3,r,r,F#3
215.25,161.4375,54,4.25,G4,r,r,F#3
215.5,161.625,54,4.5,F#4,r,r,A3
215.75,161.8125,54,4.75,E4,r,r,A3
216.0,162.0,55,1.0,E-4,r,r,A3
216.25,162.1875,55,1.25,E4,r,r,A3
216.5,162.375,55,1.5,F#4,r,r,E-3
216.75,162.5625,55,1.75,A4,r,r,C#3
217.0,162.75,55,2.0,B3,r,r,E-3
217.25,162.9375,55,2.25,C5,r,r,E-3
217.5,163.125,55,2.5,B4,r,r,B2
217.75,163.3125,55,2.75,A4,r,r,B2
218.0,163.5,55,3.0,G4,r,r,E3
218.25,163.6875,55,3.25,C#5,r,r,E3
218.5,163.875,55,3.5,D5,r,r,C#3
218.75,164.0625,55,3.75,E5,r,r,C#3
219.0,164.25,55,4.0,F#4,r,r,D3
219.25,164.4375,55,4.25,A4,r,r,D3
219.5,164.625,55,4.5,G4,r,r,B2
219.75,164.8125,55,4.75,F#4,r,r,B2
220.0,165.0,56,1.0,E4,r,r,C#3
220.25,165.1875,56,1.25,B-4,r,r,C#3
220.5,165.375,56,1.5,B4,r,r,B-2
220.75,165.5625,56,1.75,C#5,r,r,B-2
221.0,165.75,56,2.0,D4,r,r,B2
221.25,165.9375,56,2.25,F#4,r,r,B2
221.5,166.125,56,2.5,E4,r,r,G2
221.75,166.3125,56,2.75,D4,r,r,G2
222.0,166.5,56,3.0,C#4,r,r,A2
222.25,166.6875,56,3.25,E4,r,r,A2
222.5,166.875,56,3.5,F#4,r,r,F#2
222.75,167.0625,56,3.75,G4,r,r,F#2
223.0,167.25,56,4.0,B3,r,r,G2
223.25,167.4375,56,4.25,D4,r,r,G2
223.5,167.625,56,4.5,C#4,r,r,E3
223.75,167.8125,56,4.75,B3,r,r,E3
224.0,168.0,57,1.0,B-3,r,r,F#2
224.25,168.1875,57,1.25,F#4,r,r,F#2
224.5,168.375,57,1.5,G#4,r,r,E3
224.75,168.5625,57,1.75,B-4,r,r,E3
225.0,168.75,57,2.0,B4,r,r,D3
225.25,168.9375,57,2.25,C#5,r,r,D3
225.5,169.125,57,2.5,D5,r,r,B3
225.75,169.3125,57,2.75,C#5,r,r,B3
226.0,169.5,57,3.0,E5,r,r,G3
226.25,169.6875,57,3.25,D5,r,r,G3
226.5,169.875,57,3.5,G5,r,r,E3
226.75,170.0625,57,3.75,F#5,r,r,E3
227.0,170.25,57,4.0,E5,r,r,F#3
227.25,170.4375,57,4.25,D5,r,r,F#3
227.5,170.625,57,4.5,C#5,r,r,F#2
227.75,170.8125,57,4.75,B4,r,r,F#2
228.0,171.0,58,1.0,B4,r,r,B2
228.25,171.1875,58,1.25,E4,r,r,B2
228.5,171.375,58,1.5,D4,r,B4,B2
228.75,171.5625,58,1.75,C#4,r,B4,B2
229.0,171.75,58,2.0,D4,r,F#4,r
229.5,172.125,58,2.5,D4,r,G#4,B3
230.0,172.5,58,3.0,D4,r,A4,F#3
230.25,172.6875,58,3.25,E4,r,A4,F#3
230.5,172.875,58,3.5,F4,r,B4,G#3
230.75,173.0625,58,3.75,B4,r,B4,G#3
231.0,173.25,58,4.0,E4,r,C5,A3
231.25,173.4375,58,4.25,B4,r,C5,G#3
231.5,173.625,58,4.5,A4,r,C5,F#3
231.75,173.8125,58,4.75,G#4,r,C5,E3
232.0,174.0,59,1.0,A4,r,C5,E-3
232.5,174.375,59,1.5,A4,r,F#4,E-3
233.0,174.75,59,2.0,r,r,B4,r
233.25,174.9375,59,2.25,r,r,C5,r
233.375,175.0312,59,2.375,r,r,D5,r
233.5,175.125,59,2.5,r,r,C5,B2
233.75,175.3125,59,2.75,r,r,B4,B2
234.0,175.5,59,3.0,r,r,G#4,E3
234.25,175.6875,59,3.25,r,r,F#4,E3
234.5,175.875,59,3.5,r,E5,G#4,E3
234.75,176.0625,59,3.75,r,E5,F#4,E3
235.0,176.25,59,4.0,r,B4,E4,r
235.5,176.625,59,4.5,r,C#5,G4,B-2
236.0,177.0,60,1.0,r,D5,F#4,B2
236.5,177.375,60,1.5,A4,E5,G4,E2
236.75,177.5625,60,1.75,G4,E5,G4,E2
237.0,177.75,60,2.0,F#4,F#5,A4,D2
237.25,177.9375,60,2.25,E4,F#5,A4,D2
237.5,178.125,60,2.5,D4,F#5,F#4,D3
237.75,178.3125,60,2.75,C4,F#5,F#4,D3
238.0,178.5,60,3.0,B3,F#5,D4,G3
238.5,178.875,60,3.5,r,B4,D4,F#3
239.0,179.25,60,4.0,r,E5,G4,E3
239.25,179.4375,60,4.25,r,F#5,G4,E3
239.375,179.5312,60,4.375,r,G5,G4,E3
239.5,179.625,60,4.5,r,F#5,G4,F#3
239.75,179.8125,60,4.75,r,E5,G4,G3
240.0,180.0,61,1.0,r,C#5,G4,A3
240.25,180.1875,61,1.25,D4,B4,G4,A3
240.5,180.375,61,1.5,E4,C#5,G4,E3
240.75,180.5625,61,1.75,F#4,B4,F#4,E3
241.0,180.75,61,2.0,E4,A4,G4,C#3
241.25,180.9375,61,2.25,B4,A4,G4,C#3
241.5,181.125,61,2.5,A4,C#5,E4,A2
241.75,181.3125,61,2.75,G4,C#5,E4,A2
242.0,181.5,61,3.0,F#4,D5,F#4,D3
242.25,181.6875,61,3.25,G4,D5,F#4,D3
242.5,181.875,61,3.5,F#4,E5,G4,D3
242.75,182.0625,61,3.75,E4,E5,G4,D3
243.0,182.25,61,4.0,D4,F#5,A4,r
243.25,182.4375,61,4.25,C4,F#5,A4,r
243.5,182.625,61,4.5,B3,D5,A4,D3
243.75,182.8125,61,4.75,A3,D5,A4,D3
244.0,183.0,62,1.0,G3,B4,A4,G3
244.25,183.1875,62,1.25,G3,B4,A4,F#3
244.5,183.375,62,1.5,r,B4,G4,E3
244.75,183.5625,62,1.75,r,B4,F#4,D3
245.0,183.75,62,2.0,r,E5,G4,C#3
245.25,183.9375,62,2.25,r,E5,G4,D3
245.5,184.125,62,2.5,r,E5,E4,E3
245.75,184.3125,62,2.75,r,E5,E4,C#3
246.0,184.5,62,3.0,r,E5,C#4,A2
246.25,184.6875,62,3.25,D4,E5,C#4,A2
246.5,184.875,62,3.5,C#4,E5,E4,A2
246.75,185.0625,62,3.75,B3,D5,E4,A2
247.0,185.25,62,4.0,C#4,E5,G4,r
247.25,185.4375,62,4.25,D4,E5,G4,r
247.5,185.625,62,4.5,E4,C#5,G4,A2
247.75,185.8125,62,4.75,C#4,C#5,G4,A2
248.0,186.0,63,1.0,A4,D5,G4,D2
248.25,186.1875,63,1.25,A4,D5,G4,E3
248.5,186.375,63,1.5,r,A4,F#4,D3
248.75,186.5625,63,1.75,r,A4,E4,C3
249.0,186.75,63,2.0,r,D5,F#4,B2
249.25,186.9375,63,2.25,r,D5,F#4,C3
249.5,187.125,63,2.5,r,D5,G4,D3
249.75,187.3125,63,2.75,r,D5,G4,B2
250.0,187.5,63,3.0,r,D5,A4,F#2
250.25,187.6875,63,3.25,B4,D5,A4,F#2
250.5,187.875,63,3.5,A4,C5,A4,F#2
250.75,188.0625,63,3.75,G4,B4,A4,F#2
251.0,188.25,63,4.0,F#4,C5,A4,r
251.25,188.4375,63,4.25,G4,C5,A4,r
251.5,188.625,63,4.5,A4,A4,A4,D2
251.75,188.8125,63,4.75,F#4,A4,G4,D2
252.0,189.0,64,1.0,D4,F#4,A4,C3
252.25,189.1875,64,1.25,D4,F#4,A4,E3
252.5,189.375,64,1.5,r,A4,F#4,D3
252.75,189.5625,64,1.75,r,A4,F#4,C3
253.0,189.75,64,2.0,r,C5,D4,B2
253.25,189.9375,64,2.25,r,C5,D4,C3
253.5,190.125,64,2.5,r,C5,E4,D3
253.75,190.3125,64,2.75,r,C5,F#4,B2
254.0,190.5,64,3.0,r,C5,G4,G2
254.25,190.6875,64,3.25,A4,C5,G4,G2
254.5,190.875,64,3.5,G4,B4,G4,G3
254.75,191.0625,64,3.75,F#4,A4,G4,G3
255.0,191.25,64,4.0,G4,B4,G4,E3
255.25,191.4375,64,4.25,B4,B4,G4,E3
255.5,191.625,64,4.5,A4,C#5,F#4,A3
255.75,191.8125,64,4.75,G4,C#5,E4,A3
256.0,192.0,65,1.0,F#4,D5,F#4,D3
256.25,192.1875,65,1.25,G4,D5,F#4,D3
256.5,192.375,65,1.5,F#4,E5,G4,D3
256.75,192.5625,65,1.75,E4,E5,G4,D3
257.0,192.75,65,2.0,D4,F#5,A4,r
257.25,192.9375,65,2.25,E4,F#5,A4,r
257.5,193.125,65,2.5,F#4,F#5,A4,D2
257.75,193.3125,65,2.75,D4,F#5,A4,D2
258.0,193.5,65,3.0,B3,F#5,A4,G2
258.25,193.6875,65,3.25,C5,F#5,A4,G2
258.5,193.875,65,3.5,B4,E5,G4,G2
258.75,194.0625,65,3.75,A4,D5,F#4,G2
259.0,194.25,65,4.0,G4,E5,G4,r
259.25,194.4375,65,4.25,A4,E5,G4,r
259.5,194.625,65,4.5,B4,C#5,G4,E3
259.75,194.8125,65,4.75,G4,C#5,G4,E3
260.0,195.0,66,1.0,E4,A4,G4,C#3
260.25,195.1875,66,1.25,F#4,A4,G4,C#3
260.5,195.375,66,1.5,E4,C#5,G4,C#3
260.75,195.5625,66,1.75,D4,C#5,F#4,C#3
261.0,195.75,66,2.0,C#4,E5,G4,r
261.25,195.9375,66,2.25,D4,E5,G4,r
261.5,196.125,66,2.5,E4,E5,E4,A2
261.75,196.3125,66,2.75,C#4,E5,E4,A2
262.0,196.5,66,3.0,A3,E5,F#4,D3
262.5,196.875,66,3.5,r,D5,G4,E3
263.0,197.25,66,4.0,r,D5,A4,F#3
263.5,197.625,66,4.5,r,A4,F#4,D3
264.0,198.0,67,1.0,r,B4,G4,G3
264.5,198.375,67,1.5,r,A4,F#4,B3
264.75,198.5625,67,1.75,r,A4,F#4,A3
265.0,198.75,67,2.0,r,B4,G4,G3
265.25,198.9375,67,2.25,r,B4,G4,F#3
265.5,199.125,67,2.5,r,A4,F#4,E3
265.75,199.3125,67,2.75,r,A4,F#4,E-3
266.0,199.5,67,3.0,r,G4,E4,E3
266.25,199.6875,67,3.25,r,G4,E4,G3
266.5,199.875,67,3.5,G5,G4,E4,F#3
266.75,200.0625,67,3.75,G5,G4,E4,E3
267.0,200.25,67,4.0,B4,r,r,E-3
267.25,200.4375,67,4.25,B4,r,r,C#3
267.5,200.625,67,4.5,E-5,B4,F#4,B2
267.75,200.8125,67,4.75,E-5,B4,F#4,A2
268.0,201.0,68,1.0,E4,E5,G4,G2
268.25,201.1875,68,1.25,E4,E5,G4,A2
268.5,201.375,68,1.5,r,F#5,A4,G2
268.75,201.5625,68,1.75,r,F#5,A4,F#2
269.0,201.75,68,2.0,r,G5,B4,E2
269.25,201.9375,68,2.25,r,G5,B4,F#2
269.5,202.125,68,2.5,r,E5,G4,G2
269.75,202.3125,68,2.75,r,E5,G4,E2
270.0,202.5,68,3.0,r,C#5,E4,A2
270.5,202.875,68,3.5,B4,B4,D4,A2
270.75,203.0625,68,3.75,A4,B4,D4,A2
271.0,203.25,68,4.0,G4,A4,C#4,r
271.25,203.4375,68,4.25,F#4,A4,C#4,r
271.5,203.625,68,4.5,E4,r,r,r
271.75,203.8125,68,4.75,D4,r,r,r
272.0,204.0,69,1.0,C#4,G4,E4,A2
272.25,204.1875,69,1.25,D4,G4,E4,A2
272.5,204.375,69,1.5,E4,G4,E4,C#3
272.75,204.5625,69,1.75,G4,G4,E4,C#3
273.0,204.75,69,2.0,A3,G4,E4,E3
273.25,204.9375,69,2.25,F#4,G4,E4,E3
273.5,205.125,69,2.5,E4,G4,E4,A3
273.75,205.3125,69,2.75,D4,G4,E4,A3
274.0,205.5,69,3.0,C#4,G4,E4,A3
274.25,205.6875,69,3.25,D4,G4,E4,A3
274.5,205.875,69,3.5,E4,G4,E4,C#3
274.75,206.0625,69,3.75,G4,G4,E4,B2
275.0,206.25,69,4.0,A3,F#4,D4,A2
275.25,206.4375,69,4.25,B4,G4,E4,A2
275.5,206.625,69,4.5,A4,E4,C#4,A3
275.75,206.8125,69,4.75,G4,E4,C#4,A3
276.0,207.0,70,1.0,F#4,F#4,D4,D2
276.25,207.1875,70,1.25,G4,F#4,D4,D2
276.5,207.375,70,1.5,A4,E4,A4,F#2
276.75,207.5625,70,1.75,C5,D4,G4,F#2
277.0,207.75,70,2.0,D4,C5,A4,A2
277.25,207.9375,70,2.25,B4,C5,A4,A2
277.5,208.125,70,2.5,A4,C5,A4,D3
277.75,208.3125,70,2.75,G4,C5,A4,D3
278.0,208.5,70,3.0,F#4,C5,A4,D3
278.25,208.6875,70,3.25,G4,C5,A4,D3
278.5,208.875,70,3.5,A4,D5,B4,F#2
278.75,209.0625,70,3.75,C5,C5,A4,E2
279.0,209.25,70,4.0,D4,B4,G4,D2
279.25,209.4375,70,4.25,E5,C5,A4,D2
279.5,209.625,70,4.5,D5,A4,F#4,D3
279.75,209.8125,70,4.75,C5,A4,F#4,D3
280.0,210.0,71,1.0,B4,B4,G4,G3
280.25,210.1875,71,1.25,E5,B4,G4,G3
280.5,210.375,71,1.5,F#5,C#5,G4,E3
280.75,210.5625,71,1.75,G5,D5,G4,E3
281.0,210.75,71,2.0,A4,E5,G4,C#3
281.25,210.9375,71,2.25,C5,E5,E4,C#3
281.5,211.125,71,2.5,B4,D5,F#4,D3
281.75,211.3125,71,2.75,A4,C5,F#4,D3
282.0,211.5,71,3.0,G4,B4,F#4,D3
282.25,211.6875,71,3.25,C#5,B4,G4,D3
282.5,211.875,71,3.5,D5,B4,E4,C#3
282.75,212.0625,71,3.75,E5,A4,E4,C#3
282.875,212.1562,71,3.875,E5,G4,E4,C#3
283.0,212.25,71,4.0,F#4,F#4,E4,D3
283.25,212.4375,71,4.25,A4,F#4,C#4,D3
283.5,212.625,71,4.5,G4,F#4,D4,F#3
283.75,212.8125,71,4.75,F#4,G4,D4,F#3
283.875,212.9062,71,4.875,F#4,A4,D4,F#3
284.0,213.0,72,1.0,E4,B4,D4,G#2
284.25,213.1875,72,1.25,A4,C5,D4,G#2
284.5,213.375,72,1.5,B4,D5,G#4,E3
284.75,213.5625,72,1.75,C5,D5,A4,E3
285.0,213.75,72,2.0,D4,G#4,B4,E2
285.25,213.9375,72,2.25,F#4,G#4,B4,E2
285.5,214.125,72,2.5,E4,D5,A4,E3
285.75,214.3125,72,2.75,D4,D5,G#4,E3
286.0,214.5,72,3.0,E4,C#5,A4,A2
286.25,214.6875,72,3.25,A3,C#5,A4,A2
286.5,214.875,72,3.5,B3,D5,G4,A3
286.75,215.0625,72,3.75,C#4,E5,G4,A3
287.0,215.25,72,4.0,D4,D5,F#4,B3
287.25,215.4375,72,4.25,E4,D5,F#4,B3
287.5,215.625,72,4.5,F#4,D5,B4,A3
287.75,215.8125,72,4.75,G4,D5,B4,A3
288.0,216.0,73,1.0,A4,D5,E4,G3
288.25,216.1875,73,1.25,G4,D5,E4,G3
288.5,216.375,73,1.5,B4,D5,E4,F#3
288.75,216.5625,73,1.75,A4,D5,E4,F#3
289.0,216.75,73,2.0,G4,D5,E4,E3
289.25,216.9375,73,2.25,F#4,D5,E4,E3
289.5,217.125,73,2.5,E4,D5,E4,F#3
289.75,217.3125,73,2.75,D4,D5,E4,G3
290.0,217.5,73,3.0,G4,D5,E4,A3
290.5,217.875,73,3.5,r,C#5,G4,A2
290.75,218.0625,73,3.75,r,C#5,F#4,A2
291.0,218.25,73,4.0,r,D5,F#4,B2
291.5,218.625,73,4.5,r,E5,B4,C#3
291.75,218.8125,73,4.75,r,E5,A4,C#3
292.0,219.0,74,1.0,r,A4,F#4,D3
292.5,219.375,74,1.5,r,D5,F#4,B2
292.75,219.5625,74,1.75,r,D5,E4,B2
293.0,219.75,74,2.0,r,D5,E4,G2
293.5,220.125,74,2.5,r,C#5,E4,A2
293.75,220.3125,74,2.75,r,C#5,D4,A2
294.0,220.5,74,3.0,r,D5,D4,D2
294.5,220.875,74,3.5,F#5,C5,A4,D2
295.0,221.25,74,4.0,F#5,B4,G4,D2
295.25,221.4375,74,4.25,E5,B4,G4,D2
295.5,221.625,74,4.5,D5,A4,F#4,D2
295.75,221.8125,74,4.75,F#5,A4,F#4,D2
296.0,222.0,75,1.0,E5,B4,G4,D2
