qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 3,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,Eb Horn 3,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
30.0,45.0,16,2.5,r,r,D5,B-4,F4,D4,G#3,F3,r,r,B-3,r,r,r,r,r,r,r,r
30.25,45.375,16,2.75,r,r,D5,B-4,F4,D4,G#3,F3,r,r,B-3,r,r,r,G#4,F4,B-3,B-2,B-1
30.3333,45.4999,16,2.8333,r,r,D5,B-4,F4,D4,G#3,F3,r,r,B-3,r,r,r,G#4,F4,B-3,B-2,B-1
30.4167,45.625,16,2.9167,r,r,D5,B-4,F4,D4,G#3,F3,r,r,B-3,r,r,r,G#4,F4,B-3,B-2,B-1
30.5,45.75,17,1.0,r,r,E-5,B-4,G4,E-4,G3,E-3,r,r,E-4,r,r,r,G4,E-4,B-3,E-3,E-2
31.0,46.5,17,1.5,r,r,E-5,C5,G#4,E-4,C4,G#3,r,r,E-4,r,r,r,r,r,r,r,r
31.375,47.0625,17,1.875,r,r,E-5,C5,G#4,E-4,C4,G#3,r,r,E-4,r,r,r,r,r,r,r,r
31.5,47.25,17,2.0,r,r,E-5,B-4,G4,E-4,B-3,E-3,r,r,E-4,r,r,r,r,r,r,r,r
32.0,48.0,17,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,r,r,r,r
32.5,48.75,18,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,B-3,E-3,G3,B-1
33.5,50.25,18,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G#3,F3,F3,B-1
34.0,51.0,18,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G3,G3,E-3,B-1
34.5,51.75,19,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G#3,r,D3,B-1
35.5,53.25,19,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,r,r,r,r
35.75,53.625,19,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,r,r,r,r
35.875,53.8125,19,2.375,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,r,r,r
36.0,54.0,19,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,r,r,r,r
36.125,54.1875,19,2.625,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,r,r,r,r
36.25,54.375,19,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,r,r
36.375,54.5625,19,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
36.5,54.75,20,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E-4,E-3,C3,C2
37.5,56.25,20,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,D4,G3,B-2,B-1
38.0,57.0,20,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C4,C3,G#2,G#1
38.5,57.75,21,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B-3,C#3,G2,G1
39.375,59.0625,21,1.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,C4,E3,E2
39.5,59.25,21,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,C4,E3,E2
41.5,62.25,22,2.0,r,r,r,r,r,r,r,r,C4,C3,r,r,r,r,G#4,F4,C4,F3,F2
42.0,63.0,22,2.5,r,r,r,r,r,r,r,r,C4,C3,r,r,r,r,G4,E-4,C4,G3,G2
42.5,63.75,23,1.0,r,r,r,r,r,r,r,r,C4,C3,r,r,r,r,F#4,E-4,C4,G#3,G#2
43.0,64.5,23,1.5,r,r,r,r,r,r,r,r,C4,C3,r,r,r,r,F#4,E-4,C3,G#3,G#2
43.5,65.25,23,2.0,r,r,r,r,r,r,r,r,C4,C3,r,r,r,r,C5,C4,E-3,G#3,G#1
44.0,66.0,23,2.5,r,r,r,r,r,r,r,r,C4,C3,r,r,r,r,C5,E-4,C3,G#3,G#1
44.25,66.375,23,2.75,r,r,r,r,r,r,r,r,C4,C3,r,r,r,r,F#4,E-4,C3,G#3,G#1
44.5,66.75,24,1.0,r,r,r,r,r,r,r,r,G4,G3,r,r,r,G2,G4,B3,D3,G3,G1
45.5,68.25,24,2.0,r,r,r,r,r,r,r,r,G4,G3,r,r,r,r,G4,r,r,D3,G1
46.0,69.0,24,2.5,r,r,r,r,r,r,r,r,G4,G3,r,r,r,r,G4,r,r,F3,G1
46.5,69.75,25,1.0,r,r,r,r,r,r,r,r,G4,G3,r,r,r,G2,G4,G4,C4,E-3,G1
47.5,71.25,25,2.0,r,r,r,r,r,r,r,r,G4,G3,r,r,r,r,G4,F4,B3,D3,G1
48.0,72.0,25,2.5,r,r,r,r,r,r,r,r,G4,G3,r,r,r,r,G4,E-4,C4,C3,G1
48.5,72.75,26,1.0,r,r,r,r,r,r,G3,r,G4,G3,r,r,r,G2,G5,D4,D4,B2,G1
49.0,73.5,26,1.5,r,r,r,r,r,r,G3,r,G4,G3,r,r,r,r,G5,D4,G3,B2,G1
49.5,74.25,26,2.0,r,r,r,r,r,r,G3,r,G4,G3,r,r,r,r,D5,D4,G4,B2,G1
50.0,75.0,26,2.5,r,r,r,r,r,r,G3,r,G4,G3,r,r,r,r,F5,F4,G4,D3,G1
50.5,75.75,27,1.0,r,r,r,r,r,r,G3,r,G4,G3,r,r,r,G2,E-5,E-4,G4,C3,G1
51.0,76.5,27,1.5,r,r,r,r,r,r,G3,r,G4,G3,r,r,r,r,E-5,E-4,G4,C3,G1
51.5,77.25,27,2.0,r,r,r,r,r,r,G3,r,G4,G3,r,r,r,G2,D5,D4,G4,B-2,G1
52.0,78.0,27,2.5,r,r,r,r,r,r,F#3,r,G4,G3,r,r,r,r,C5,C4,F#4,G#2,G1
52.5,78.75,28,1.0,r,r,r,r,r,r,G3,r,G4,G3,r,r,r,G2,B4,B3,G4,G2,G1
53.0,79.5,28,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#2,r
53.5,80.25,28,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,r
54.0,81.0,28,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,r
54.5,81.75,29,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,r
55.0,82.5,29,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,r
55.5,83.25,29,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r
56.0,84.0,29,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,r
56.5,84.75,30,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,r
57.5,86.25,30,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#2,r
58.5,87.75,31,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,r
59.5,89.25,31,2.0,r,r,r,r,r,r,r,r,C4,C3,r,r,r,r,r,B-3,E3,G2,C2
60.0,90.0,31,2.5,r,r,r,r,r,r,r,r,C4,C3,r,r,r,r,C4,B-3,E3,G2,C2
60.375,90.5625,31,2.875,r,r,r,r,r,r,r,r,C4,C3,r,r,r,r,C4,B-3,E3,G2,C2
60.5,90.75,32,1.0,r,r,r,r,r,r,r,r,C4,C3,r,r,r,r,C4,G#3,F3,F2,F1
61.5,92.25,32,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,r,r
61.875,92.8125,32,2.375,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,r,r,r,r
62.0,93.0,32,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,r,r
62.25,93.375,32,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,r,F3,F2
62.375,93.5625,32,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,E-3,E-2
62.5,93.75,33,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,C#4,C#3,C#2
63.5,95.25,33,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,C#4,r,r
64.25,96.375,33,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#3,C#2
64.375,96.5625,33,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
64.5,96.75,34,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F4,D4,B2,B1
65.25,97.875,34,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F4,D4,B2,B1
65.3333,97.9999,34,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F4,D4,B2,B1
65.4167,98.1251,34,1.9167,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F4,D4,B2,B1
65.5,98.25,34,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,E-4,G#4,F3,F2
65.625,98.4375,34,2.125,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,G#4,F3,F2
66.0,99.0,34,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C4,r,r,r
66.125,99.1875,34,2.625,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B3,r,r,r
66.25,99.375,34,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B3,G#4,F3,F2
66.3333,99.4999,34,2.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B3,G#4,F3,F2
66.4167,99.6251,34,2.9167,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B3,G#4,F3,F2
66.5,99.75,35,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C4,G4,E-3,E-2
67.0,100.5,35,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,C4,F3,F2
68.0,102.0,35,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C4,E-3,E-3,G#1
68.5,102.75,36,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C4,E-3,E-3,G#1
69.0,103.5,36,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,E-3,C3,G1
70.0,105.0,36,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,G3,D3,B2,G1
70.375,105.5625,36,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G3,F3,B2,G1
70.5,105.75,37,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G3,E-3,C3,C2
71.0,106.5,37,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,G#3,G#2
71.375,107.0625,37,1.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,G#3,G#2
71.5,107.25,37,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D3,D2
72.0,108.0,37,2.5,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,B-2
72.25,108.375,37,2.75,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,B-3,B-3,B-2
72.3333,108.4999,37,2.8333,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,B-3,B-3,B-2
72.375,108.5625,37,2.875,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,B-3,B-3,B-2
72.4167,108.6251,37,2.9167,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,B-3,B-3,B-2
72.5,108.75,38,1.0,r,r,E-5,r,B-4,G4,E-3,E-3,r,r,E-4,r,r,r,G4,E-4,E-3,E-3,E-2
73.5,110.25,38,2.0,r,r,D5,r,G#4,F4,E-3,E-3,r,r,E-4,r,r,r,r,r,r,r,r
74.0,111.0,38,2.5,r,r,C5,r,G4,E-4,E-3,E-3,r,r,E-4,r,r,r,r,r,r,r,r
74.25,111.375,38,2.75,r,r,C5,r,G4,E-4,E-3,E-3,r,r,E-4,r,r,r,E-4,B-3,G3,E-3,E-2
74.3333,111.4999,38,2.8333,r,r,C5,r,G4,E-4,E-3,E-3,r,r,E-4,r,r,r,E-4,B-3,G3,E-3,E-2
74.4167,111.6251,38,2.9167,r,r,C5,r,G4,E-4,E-3,E-3,r,r,E-4,r,r,r,E-4,B-3,G3,E-3,E-2
74.5,111.75,39,1.0,r,r,B-4,r,F4,D4,B-3,B-3,r,r,B-3,r,r,r,F4,D4,B-3,B-2,B-1
75.5,113.25,39,2.0,r,r,B-4,r,F4,D4,B-3,B-3,r,r,B-3,r,r,r,r,r,r,r,r
75.75,113.625,39,2.25,r,r,B-4,r,F4,D4,B-3,B-3,r,r,B-3,r,r,r,r,r,r,r,r
75.875,113.8125,39,2.375,r,r,C5,r,F4,D4,B-3,B-3,r,r,B-3,r,r,r,r,r,r,r,r
