score_qstamp,qstamp,measure,beat,736441_tstamp,729167_tstamp,711707_tstamp,723421_tstamp,RNS_tstamp,measure_fraction,label,part,part_num,instrument
357.125,757.125,99,3.0,303.4837,261.483,245.7868,302.1802,385.6413,0.5,f,Vln 1,13,Vln
358.125,358.125,99,4.0,254.6142,237.2671,235.2284,253.4471,255.5942,0.75,f,Ob 1,2,Ob
358.125,758.125,99,4.0,303.4844,261.4845,245.7906,302.1808,386.0271,0.75,f,Ob 1,2,Ob
359.125,359.125,100,1.0,254.9671,237.5742,235.2292,253.7671,255.9142,0.0,f,Vln 1,13,Vln
359.125,759.125,100,1.0,303.4851,261.4861,245.7944,302.1815,386.3342,0.0,f,Vln 1,13,Vln
360.125,360.125,100,2.0,255.3342,237.9271,235.2301,254.2471,256.2471,0.25,f,Ob 1,2,Ob
360.125,760.125,100,2.0,303.4858,261.4876,245.7983,302.1821,386.7071,0.25,f,Ob 1,2,Ob
361.125,361.125,100,3.0,255.6942,238.2271,235.231,254.5871,256.5471,0.5,f,Vln 1,13,Vln
361.125,761.125,100,3.0,303.4865,261.4891,245.9671,302.1827,387.0142,0.5,f,Vln 1,13,Vln
362.125,362.125,100,4.0,256.0542,238.5671,235.2319,254.8871,256.9542,0.75,f,Ob 1,2,Ob
362.125,762.125,100,4.0,303.4872,261.4906,246.2871,302.1833,387.3742,0.75,f,Ob 1,2,Ob
363.125,363.125,101,1.0,256.3871,238.8871,235.2328,255.1871,257.2671,0.0,f,Vln 1,13,Vln
363.125,763.125,101,1.0,303.4879,261.4922,246.5871,302.1839,387.7071,0.0,f,Vln 1,13,Vln
364.875,364.875,101,2.75,257.1721,239.5721,235.2344,255.9121,258.0121,0.4375,f,Ob 1,2,Ob
364.875,764.875,101,2.75,303.4891,261.4949,247.3205,302.185,388.3721,0.4375,f,Ob 1,2,Ob
367.125,367.125,102,1.0,258.0671,240.2755,235.2364,256.6271,258.7071,0.0,f,Vln 1,13,Vln
367.125,767.125,102,1.0,303.4906,261.4983,248.0871,302.1864,389.0613,0.0,f,Vln 1,13,Vln
368.875,368.875,102,2.75,258.8721,241.0121,235.238,257.4721,259.4521,0.4375,f,Ob 1,2,Ob
368.875,768.875,102,2.75,303.4918,261.58,248.8521,302.1875,389.7921,0.4375,f,Ob 1,2,Ob
374.125,374.125,103,4.0,260.7471,242.5671,235.3018,259.5071,261.1471,0.75,d,Vln 1,13,Vln
374.125,774.125,103,4.0,303.4955,261.5847,250.8071,302.1908,391.5871,0.75,d,Vln 1,13,Vln
394.125,394.125,108,4.0,267.6471,248.7871,235.3147,266.2813,267.5342,0.75,d,Fl 1,0,Fl
394.125,794.125,108,4.0,305.5071,261.6076,257.6471,302.614,397.9071,0.75,d,Fl 1,0,Fl
411.125,411.125,113,1.0,274.0742,254.3871,238.0271,272.2542,273.3071,0.0,d,Vln 2,14,Vln
411.125,811.125,113,1.0,306.2398,264.4671,263.6142,303.1671,403.7871,0.0,d,Vln 2,14,Vln
419.125,419.125,115,1.0,277.0213,255.0644,238.3018,275.0071,275.9071,0.0,d,Vln 1,13,Vln
419.125,819.125,115,1.0,306.4443,265.2671,266.3871,303.6019,406.4271,0.0,d,Vln 1,13,Vln
428.125,428.125,117,2.0,280.3471,255.076,238.3041,278.3071,278.8871,0.25,d,Vln 2,14,Vln
428.125,828.125,117,2.0,306.4495,266.2549,269.5071,303.6348,409.3471,0.25,d,Vln 2,14,Vln
435.125,435.125,119,1.0,282.7342,255.0863,238.3059,280.5671,281.0871,0.0,d,Vln 1,13,Vln
435.125,835.125,119,1.0,306.4536,266.6071,271.9071,303.7236,411.6071,0.0,d,Vln 1,13,Vln
443.125,443.125,121,1.0,285.5071,255.099,238.308,283.3271,283.7471,0.0,d,Fl 1,0,Fl
443.125,843.125,121,1.0,306.4583,267.4071,274.6471,303.7383,414.1671,0.0,d,Fl 1,0,Fl
448.125,448.125,122,2.0,285.9871,255.104,238.3093,284.1639,285.4071,0.25,d,Ob 1,2,Ob
448.125,848.125,122,2.0,306.4619,268.4871,276.4071,304.1871,415.8671,0.25,d,Ob 1,2,Ob
451.125,451.125,123,1.0,286.1471,255.1067,238.31,284.8071,286.4271,0.0,d,Fl 1,0,Fl
451.125,851.125,123,1.0,306.4647,268.7106,277.4071,304.4926,416.8671,0.0,d,Fl 1,0,Fl
456.125,456.125,124,2.0,287.4071,255.1112,238.3113,285.5945,288.0671,0.25,d,Ob 1,2,Ob
456.125,856.125,124,2.0,306.4693,268.814,279.1471,304.5336,418.5271,0.25,d,Ob 1,2,Ob
459.125,459.125,125,1.0,288.011,255.114,238.3121,286.2671,289.0271,0.0,d,Fl 1,0,Fl
459.125,859.125,125,1.0,306.472,269.3071,280.1871,304.5871,419.5071,0.0,d,Fl 1,0,Fl
467.125,467.125,127,1.0,288.9671,255.2871,238.3141,287.9671,291.6271,0.0,d,Fl 1,0,Fl
467.125,867.125,127,1.0,306.4794,271.7471,282.8471,305.1847,422.1071,0.0,d,Fl 1,0,Fl
483.125,483.125,131,1.0,290.0814,256.2616,238.3183,288.7126,296.7871,0.0,d,Fl 1,0,Fl
483.125,883.125,131,1.0,307.7415,276.8671,288.2671,305.6604,427.2671,0.0,d,Fl 1,0,Fl
491.125,491.125,133,1.0,290.7842,256.5402,238.6807,288.7454,299.5071,0.0,d,Fl 1,0,Fl
502.125,502.125,135,4.0,291.841,257.236,241.6871,290.161,302.8671,0.75,d,Vla,15,Vla
503.125,891.125,136,1.0,307.8027,279.5671,291.2413,306.4071,429.9471,0.0,d,Fl 1,0,Fl
510.125,898.125,137,4.0,307.8779,281.7536,293.5471,308.4271,432.1471,0.75,d,Vln 1,13,Vln
513.125,901.125,138,3.0,308.0019,282.7271,294.6871,308.5096,433.2142,0.5,d,Fl 1,0,Fl
515.125,903.125,139,1.0,308.0086,283.4226,295.3723,308.5175,433.8271,0.0,d,Vln 1,13,Vln
517.125,905.125,139,3.0,308.0154,284.0542,296.1471,308.5316,434.4942,0.5,d,Fl 1,0,Fl
526.625,914.625,141,4.5,310.7171,287.0771,299.4371,308.82,437.5971,0.875,d,Vla,15,Vla
530.125,918.125,142,4.0,311.8613,288.1671,300.6271,309.8871,438.6471,0.75,d,Vla,15,Vla
539.125,927.125,145,1.0,314.8871,290.8871,303.7542,312.9671,441.5271,0.0,d,Ob 1,2,Ob
559.125,947.125,150,1.0,321.8871,297.1213,310.4355,319.7613,447.9671,0.0,g,Vln 1,13,Vln
567.125,955.125,152,1.0,324.6071,299.6471,313.1871,322.4884,450.5142,0.0,g,Vla,15,Vla
571.125,959.125,153,1.0,325.9671,300.8671,314.5871,323.8071,451.7471,0.0,g,Vln 1,13,Vln
583.125,971.125,156,1.0,330.0742,304.6342,318.7271,327.8071,455.6071,0.0,g,Vla,15,Vla
587.125,975.125,157,1.0,331.4213,305.9271,320.0671,329.1271,456.8742,0.0,g,Vln 1,13,Vln
595.125,983.125,159,1.0,334.1271,308.4671,322.8213,331.8471,459.4671,0.0,g,Ob 1,2,Ob
599.125,987.125,160,1.0,335.5671,309.6871,324.1884,333.2271,460.7942,0.0,g,Vln 1,13,Vln
603.125,991.125,161,1.0,336.8671,310.9671,325.5471,334.5271,462.0542,0.0,f,Bsn 1,6,Bsn
608.125,996.125,162,2.0,338.5471,312.5671,327.2871,336.2271,463.6271,0.25,d,Fl 1,0,Fl
610.125,998.125,162,4.0,339.2871,313.1671,328.0071,336.8671,464.2871,0.75,d,Vln 1,13,Vln
616.125,1004.125,164,2.0,341.2671,315.0471,330.1871,338.8671,466.3071,0.25,d,Fl 1,0,Fl
618.125,1006.125,164,4.0,341.9671,315.6471,330.7871,339.5271,466.9071,0.75,d,Vln 1,13,Vln
624.125,1012.125,166,2.0,344.0484,317.5271,332.9271,341.5871,468.8871,0.25,d,Fl 1,0,Fl
626.125,1014.125,166,4.0,344.6871,318.1271,333.5471,342.2071,469.5071,0.75,d,Vln 1,13,Vln
628.125,1016.125,167,2.0,345.4271,318.7271,334.3271,342.8471,470.1471,0.25,d,Fl 1,0,Fl
630.125,1018.125,167,4.0,346.0671,319.3471,334.9471,343.4871,470.8471,0.75,d,Vln 1,13,Vln
632.125,1020.125,168,2.0,346.8071,320.0471,335.7271,344.2071,471.5071,0.25,d,Fl 1,0,Fl
634.125,1022.125,168,4.0,347.4271,320.6471,336.3871,344.8471,472.1271,0.75,d,Vln 1,13,Vln
636.125,1024.125,169,2.0,348.1471,321.2471,337.1071,345.5271,472.8071,0.25,d,Fl 1,0,Fl
638.125,1026.125,169,4.0,348.7871,321.8471,337.7671,346.2071,473.4471,0.75,d,Vln 1,13,Vln
639.125,1027.125,170,1.0,349.1271,322.1613,338.1071,346.5271,473.7742,0.0,d,Bsn 1,6,Bsn
655.125,1043.125,174,1.0,354.7555,327.1871,343.6871,352.0813,479.0671,0.0,d,Bsn 1,6,Bsn
658.125,1046.125,174,4.0,355.8271,328.0871,344.7471,353.0671,480.0542,0.75,b,Vln 1,13,Vln
672.125,1060.125,178,2.0,360.6071,332.4671,349.7071,357.8271,484.6471,0.25,d,Bsn 1,6,Bsn
687.125,1075.125,182,1.0,365.7071,337.0671,354.7671,363.0671,489.8271,0.0,d,Ob 1,2,Ob
696.125,1084.125,184,2.0,368.9271,339.9871,358.1671,366.1471,492.5671,0.25,d,Vln 1,13,Vln
703.125,1091.125,186,1.0,371.3413,342.2671,360.7155,368.6071,494.9084,0.0,f,Vln 1,13,Vln
718.125,1106.125,189,4.0,376.5071,346.9671,365.9271,374.1071,499.7071,0.75,f,Fl 1,0,Fl
723.125,1111.125,191,1.0,378.2271,348.5671,367.6142,375.8742,501.2871,0.0,f,Vln 1,13,Vln
727.125,1115.125,192,1.0,379.5271,349.8071,368.9742,377.2671,502.5671,0.0,f,Fl 1,0,Fl
731.125,1119.125,193,1.0,380.8671,351.0071,370.3671,378.6471,503.8071,0.0,f,Vln 1,13,Vln
735.125,1123.125,194,1.0,382.1671,352.2271,371.7471,379.9942,505.0871,0.0,f,Fl 1,0,Fl
739.125,1127.125,195,1.0,383.5471,353.4271,373.1271,381.3871,506.3471,0.0,f,Vln 1,13,Vln
743.125,1131.125,196,1.0,384.8071,354.6471,374.4671,382.7813,507.6542,0.0,f,Fl 1,0,Fl
747.125,1135.125,197,1.0,386.1742,355.8471,375.8271,384.1471,508.9013,0.0,f,Vln 1,13,Vln
751.125,1139.125,198,1.0,387.4471,357.0671,377.1871,385.4871,510.1942,0.0,f,Fl 1,0,Fl
755.125,1143.125,199,1.0,388.7871,358.2471,378.5942,386.9271,511.4213,0.0,f,Vln 1,13,Vln
759.125,1147.125,200,1.0,390.1071,359.4671,380.0452,388.3213,512.7671,0.0,f,Fl 1,0,Fl
768.125,1156.125,202,2.0,393.2871,362.2871,383.0871,391.3871,515.6871,0.25,f,Vln 1,13,Vln
775.125,1163.125,204,1.0,395.6271,364.4071,385.4613,393.8542,517.9471,0.0,f,Vln 1,13,Vln
783.125,1171.125,206,1.0,398.3271,366.8871,388.1671,396.5413,520.5471,0.0,f,Vln 1,13,Vln
791.125,1179.125,208,1.0,401.0271,369.3071,390.8871,399.2271,523.1342,0.0,f,Vln 1,13,Vln
800.875,1188.875,210,2.75,404.2121,372.1721,394.2121,402.4921,526.2121,0.4375,f,Vln 1,13,Vln
802.875,1190.875,210,4.75,404.9321,372.7721,394.8521,403.1121,526.8121,0.9375,f,Fl 1,0,Fl
804.875,1192.875,211,2.75,405.7921,373.4321,395.5521,403.9721,527.5121,0.4375,f,Vln 1,13,Vln
806.875,1194.875,211,4.75,406.3921,374.0321,396.2321,404.5721,528.1121,0.9375,f,Fl 1,0,Fl
808.875,1196.875,212,2.75,407.0521,374.6321,396.9121,405.2721,528.7121,0.4375,f,Vln 1,13,Vln
810.875,1198.875,212,4.75,407.6921,375.2321,397.5321,405.8721,529.3121,0.9375,f,Fl 1,0,Fl
812.875,1200.875,213,2.75,408.5321,375.7944,398.2721,406.6521,530.0521,0.4375,f,Vln 1,13,Vln
814.875,1202.875,213,4.75,409.1321,376.3721,398.8721,407.2521,530.6321,0.9375,f,Fl 1,0,Fl
818.875,1206.875,214,4.75,410.5242,377.6405,400.3321,409.2121,531.8121,0.9375,f,Fl 1,0,Fl
831.125,1219.125,218,1.0,415.1671,381.5471,404.6271,413.0271,535.9342,0.0,b,Hn 1,8,Hn
835.125,1223.125,219,1.0,416.5871,382.7542,406.0439,414.2968,537.2871,0.0,b,Vln 1,13,Vln
839.125,1227.125,220,1.0,418.2071,384.0813,407.3671,415.9071,538.6671,0.0,d,Vla,15,Vla
851.125,1239.125,223,1.0,422.3071,387.5671,411.5271,419.8271,542.3542,0.0,b,Vln 1,13,Vln
855.125,1243.125,224,1.0,423.6871,388.9871,412.8671,421.4271,543.6871,0.0,d,Vla,15,Vla
867.125,1255.125,227,1.0,427.6071,392.5671,416.9071,425.3671,547.3271,0.0,d,Ob 1,2,Ob
871.125,1259.125,228,1.0,429.1426,393.8684,418.2813,426.8471,548.6226,0.0,d,Vla,15,Vla
875.125,1263.125,229,1.0,430.4271,395.1271,419.6471,428.0671,549.8871,0.0,d,Ob 1,2,Ob
892.125,1280.125,233,2.0,436.2542,400.3071,425.5542,433.9871,555.3271,0.25,d,Ob 1,2,Ob
908.125,1296.125,237,2.0,441.6871,405.2471,431.0471,439.4871,560.6071,0.25,e,Vln 1,13,Vln
924.125,1312.125,241,2.0,447.0013,410.1471,436.3271,444.8813,565.6471,0.25,e,Vln 1,13,Vln
931.625,1319.625,243,1.5,449.4771,412.4371,438.7771,447.2771,567.9371,0.125,e,Fl 1,0,Fl
939.125,1327.125,245,1.0,452.0271,414.6742,441.2871,449.8071,570.3871,0.0,e,Fl 1,0,Fl
948.125,1336.125,247,2.0,455.2071,417.4413,444.2471,453.1471,573.3471,0.25,e,Fl 1,0,Fl
955.125,1343.125,249,1.0,457.7871,419.7271,446.7271,455.6871,575.7471,0.0,f,Ob 1,2,Ob
971.125,1359.125,253,1.0,463.1671,424.6471,452.1942,461.4671,580.8271,0.0,f,Vln 1,13,Vln
987.125,1375.125,257,1.0,468.7284,429.6271,457.6142,467.1897,586.0413,0.0,f,Fl 1,0,Fl
1003.125,1391.125,261,1.0,474.1271,434.4871,463.0471,472.9342,591.1671,0.0,f,Fl 1,0,Fl
1007.125,1395.125,262,1.0,475.4271,435.6871,464.4871,474.3071,592.4671,0.0,f,Vln 1,13,Vln
1015.125,1403.125,264,1.0,478.2271,438.1071,467.0942,477.1471,595.0271,0.0,f,Vla,15,Vla
1023.125,1411.125,266,1.0,481.3271,440.6471,469.9471,479.9271,597.7671,0.0,f,Vln 1,13,Vln
1047.125,1435.125,272,1.0,489.8742,447.9671,478.1871,488.2013,605.3471,0.0,f,Vln 1,13,Vln
1048.875,1436.875,272,2.75,490.5921,448.4921,478.8921,488.8242,605.9521,0.4375,f,Fl 1,0,Fl
1051.125,1439.125,273,1.0,491.3813,449.2871,479.5671,489.6613,606.7471,0.0,f,Vln 1,13,Vln
1052.875,1440.875,273,2.75,491.9721,449.7721,480.4721,490.2721,607.3321,0.4375,f,Fl 1,0,Fl
1055.125,1443.125,274,1.0,492.8271,450.4471,481.1471,490.9671,608.0671,0.0,f,Vln 1,13,Vln
1056.125,1444.125,274,2.0,493.1871,450.7471,481.6142,491.2671,608.4342,0.25,f,Fl 1,0,Fl
1057.125,1445.125,274,3.0,493.5555,451.0671,481.9271,491.7226,608.7471,0.5,f,Vln 1,13,Vln
