qstamp,tstamp,measure,beat,Violin solo,Tenor,Continuo
115.5,105.0,40,1.5,E4,A3,B2
115.75,105.2273,40,1.75,E-4,A3,B2
116.0,105.4545,40,2.0,E4,G3,E3
116.25,105.6818,40,2.25,G4,G3,E3
116.5,105.9091,40,2.5,B4,G3,D3
116.75,106.1364,40,2.75,E5,G3,D3
117.0,106.3636,40,3.0,G5,r,C#3
117.5,106.8182,40,3.5,r,E4,B2
117.75,107.0455,40,3.75,r,F#4,B2
117.875,107.1591,40,3.875,r,G4,B2
118.0,107.2727,41,1.0,r,G4,B-2
118.25,107.5,41,1.25,r,E4,B-2
118.5,107.7273,41,1.5,r,D4,B2
118.75,107.9545,41,1.75,r,C#4,C#3
119.0,108.1818,41,2.0,r,F#4,D3
119.25,108.4091,41,2.25,r,D4,D3
119.5,108.6364,41,2.5,r,C#4,G3
119.75,108.8636,41,2.75,r,B3,G3
120.0,109.0909,41,3.0,r,D4,E3
120.25,109.3182,41,3.25,r,C#4,E3
120.5,109.5455,41,3.5,r,B3,F#3
120.75,109.7727,41,3.75,r,B-3,F#3
121.0,110.0,42,1.0,r,B3,B2
121.25,110.2273,42,1.25,E5,B3,B2
121.5,110.4545,42,1.5,D5,B3,F#3
121.75,110.6818,42,1.75,C#5,B3,F#3
122.0,110.9091,42,2.0,D5,r,B3
122.25,111.1364,42,2.25,F#5,r,B3
122.5,111.3636,42,2.5,B5,D4,B2
