qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
284.0,300.0,,U(Oboe 1)&P8(Alto Trombone)&U(Violin 1)&P8(Violin 2),U(Oboe 2)&P3(Main)&P3(Bass Trombone)&P3(Violoncello)&P3(Contrabass),U(Flute 1)&P8(Alto Trombone)&U(Violin 1)&P8(Violin 2),U(Flute 2)&P3(Main)&P3(Bass Trombone)&P3(Violoncello)&P3(Contrabass),,,P8(Bassoon 2),P8(Bassoon 1),Main Part,P3(Main)&U(C Horn 2)&P3(Bass Trombone)&P3(Violoncello)&P3(Contrabass),P3(Main)&U(C Horn 1)&P3(Bass Trombone)&P3(Violoncello)&P3(Contrabass),,,P8(Flute 1)&P8(Oboe 1)&P8(Violin 1)&U(Violin 2),,P3(Flute 2)&P3(Oboe 2)&P8(Main)&P3(C Horn 1)&P3(C Horn 2)&P8(Violoncello)&P8(Contrabass),,U(Flute 1)&U(Oboe 1)&P8(Alto Trombone)&P8(Violin 2),P8(Flute 1)&P8(Oboe 1)&U(Alto Trombone)&P8(Violin 1),,P3(Flute 2)&P3(Oboe 2)&P8(Main)&P3(C Horn 1)&P3(C Horn 2)&P8(Bass Trombone)&P8(Contrabass),P3(Flute 2)&P3(Oboe 2)&U(Main)&P3(C Horn 1)&P3(C Horn 2)&P8(Bass Trombone)&P8(Violoncello)
300.0,316.0,,U(Main),,P8(C Clarinet 1),P8(C Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,P8(Violoncello)&U(Contrabass),P8(C Trumpet 1)&P8(C Trumpet 2),,P8(C Horn 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Trumpet 1),,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
316.0,324.0,P8(C Clarinet 2)&P8(Bassoon 2)&P8(Alto Trombone)&P8(Main),P8(Oboe 1)&P8(Bassoon 1),P8(Viola),P8(Flute 1)&P8(Bassoon 1),"U(C Clarinet 1)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P8(Tenor Trombone)&P4(C, G Timpani)","U(Oboe 2)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P8(Tenor Trombone)&P4(C, G Timpani)",P8(Piccolo)&P8(Bassoon 2)&P8(Alto Trombone)&P8(Main),P8(Flute 1)&P8(Oboe 1),P8(Piccolo)&P8(C Clarinet 2)&P8(Alto Trombone)&P8(Main),P8(Violoncello)&U(Contrabass),"P4(Oboe 2)&P4(C Clarinet 1)&P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P4(Tenor Trombone)&P8(C, G Timpani)","P4(Oboe 2)&P4(C Clarinet 1)&P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P4(Tenor Trombone)&U(C, G Timpani)","P4(Oboe 2)&P4(C Clarinet 1)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P4(Tenor Trombone)&P8(C, G Timpani)","P4(Oboe 2)&P4(C Clarinet 1)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P4(Tenor Trombone)&P8(C, G Timpani)",P8(Piccolo)&P8(C Clarinet 2)&P8(Bassoon 2)&P8(Main),"P8(Oboe 2)&P8(C Clarinet 1)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)",,P4(Oboe 2)&P4(C Clarinet 1)&P8(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P4(Tenor Trombone),Main Part,,P8(Flute 2),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
324.0,340.0,,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,,,Main Part,,,,,,,,,,,,P8(Main)&P8(Contrabass),U(Main)&P8(Violoncello)
340.0,355.0,P8(Flute 1)&P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&P8(C Trumpet 1)&P8(Violin 1)&P8(Violin 2),P8(Piccolo)&P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&P8(C Trumpet 1)&P8(Violin 1)&P8(Violin 2),,P8(Piccolo)&P8(Flute 1)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&P8(C Trumpet 1)&P8(Violin 1)&P8(Violin 2),,P8(Piccolo)&P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 1)&P8(C Horn 1)&U(C Trumpet 1)&U(Violin 1)&P8(Violin 2),P8(C Horn 2)&U(C Trumpet 2),P8(Piccolo)&P8(Flute 1)&P8(Oboe 1)&P8(C Clarinet 1)&P8(C Horn 1)&P8(C Trumpet 1)&P8(Violin 1)&P8(Violin 2),,Main Part,P8(Piccolo)&P8(Flute 1)&P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(C Trumpet 1)&P8(Violin 1)&P8(Violin 2),P8(C Clarinet 2)&P8(C Trumpet 2),P8(Piccolo)&P8(Flute 1)&P8(Oboe 1)&U(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&U(Violin 1)&P8(Violin 2),U(C Clarinet 2)&P8(C Horn 2),,,,,P8(Piccolo)&P8(Flute 1)&P8(Oboe 1)&U(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&U(C Trumpet 1)&P8(Violin 2),P8(Piccolo)&P8(Flute 1)&P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(C Horn 1)&P8(C Trumpet 1)&P8(Violin 1),,P8(Main)&P8(Contrabass),U(Main)&P8(Violoncello)
355.0,370.5,P8(Flute 1)&P8(Oboe 1)&P8(Main),P8(Piccolo)&P8(Oboe 1)&P8(Main),,P8(Piccolo)&P8(Flute 1)&U(Main),,,P8(C Horn 2)&P8(C Trumpet 2),,,P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),P8(C Clarinet 2)&P8(C Trumpet 2),P8(C Horn 1),P8(C Clarinet 2)&P8(C Horn 2),,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
370.5,378.5,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main),P8(Piccolo)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Main),P8(Piccolo)&U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(Main),P8(Piccolo)&U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(Main),P8(Piccolo)&U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Main),,"P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(C, G Timpani)",P3(Bassoon 2)&U(Viola),P3(Bassoon 1)&P3(Viola),P8(Violoncello)&U(Contrabass),"P8(C Clarinet 2)&P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(C, G Timpani)","P8(C Clarinet 2)&P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(C, G Timpani)","U(C Clarinet 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(C, G Timpani)","P8(C Clarinet 2)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C, G Timpani)",,,,P8(C Clarinet 2)&P8(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,U(Bassoon 1)&P3(Bassoon 2),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
378.5,387.0,Main Part,P8(Main)&U(Flute 2)&U(Violin 1),P8(Main)&U(Flute 1)&U(Violin 1),,,,,P3(Bassoon 2)&U(Viola),P3(Bassoon 1)&P3(Viola),P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),"P8(C Trumpet 2)&U(C, G Timpani)",P8(C Horn 1),"P8(C Horn 2)&P8(C, G Timpani)",,,,U(C Horn 2)&P8(C Trumpet 2),P8(Main)&U(Flute 1)&U(Flute 2),,U(Bassoon 1)&P3(Bassoon 2),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
387.0,395.0,Main Part,P8(Main)&U(Flute 2)&U(Violin 1),P8(Main)&U(Flute 1)&U(Violin 1),,,,,,,P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),P8(C Trumpet 2),P8(C Horn 1),P8(C Horn 2),,,P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),,P8(Main)&U(Flute 1)&U(Flute 2),,,P8(Contrabassoon)&U(Bass Trombone)&P8(Contrabass),U(Contrabassoon)&P8(Bass Trombone)&P8(Violoncello)
395.0,403.0,P8(Flute 1)&P8(Flute 2)&P8(Main),P8(Piccolo)&U(Flute 2)&U(Main),P8(Piccolo)&U(Flute 1)&U(Main),,,,,P8(Violin 2),P8(Viola),P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),P8(C Trumpet 2),P8(C Horn 1),P8(C Horn 2),,,P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),,Main Part,P8(Bassoon 1),P8(Bassoon 2),P8(Contrabassoon)&U(Bass Trombone)&P8(Contrabass),U(Contrabassoon)&P8(Bass Trombone)&P8(Violoncello)
403.0,408.0,P8(Flute 1)&P8(Flute 2)&P8(Main),P8(Piccolo)&U(Flute 2)&U(Main),P8(Piccolo)&U(Flute 1)&U(Main),,,U(Alto Trombone),P8(Bassoon 1)&U(Tenor Trombone)&U(Violin 2),P8(C Clarinet 2)&P8(Tenor Trombone)&P8(Violin 2),,P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),"P8(C Trumpet 2)&U(C, G Timpani)",P8(C Horn 1),"P8(C Horn 2)&P8(C, G Timpani)",U(C Clarinet 1),U(C Clarinet 2)&P8(Bassoon 1)&U(Violin 2),P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),U(C Horn 2)&P8(C Trumpet 2),Main Part,U(C Clarinet 2)&P8(Bassoon 1)&U(Tenor Trombone),,P8(Contrabassoon)&P8(Bass Trombone)&P8(Contrabass),U(Contrabassoon)&P8(Bass Trombone)&P8(Violoncello)
408.0,416.0,P8(Flute 1)&P8(Flute 2)&P8(Main),P8(Piccolo)&U(Flute 2)&U(Main),P8(Piccolo)&U(Flute 1)&U(Main),,,,,,,P8(Violoncello)&U(Contrabass),P8(C Trumpet 1)&U(Violin 2),P8(C Trumpet 2),P8(C Horn 1)&P8(Violin 2),P8(C Horn 2),P6(Tenor Trombone)&P3(Bass Trombone),P6(Alto Trombone)&P4(Bass Trombone),P3(Alto Trombone)&P4(Tenor Trombone),,Main Part,U(C Horn 1)&P8(C Trumpet 1),,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
416.0,424.5,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P8(Piccolo)&U(Flute 2)&U(Oboe 1)&U(Oboe 2),P8(Piccolo)&U(Flute 1)&U(Oboe 1)&U(Oboe 2),P8(Piccolo)&U(Flute 1)&U(Flute 2)&U(Oboe 2),P8(Piccolo)&U(Flute 1)&U(Flute 2)&U(Oboe 1),P8(Bassoon 1),P8(Bassoon 2),P8(C Clarinet 1),P8(C Clarinet 2),P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),P8(C Trumpet 2),P8(C Horn 1),P8(C Horn 2),P6(Tenor Trombone)&P3(Bass Trombone),P6(Alto Trombone)&P4(Bass Trombone),P3(Alto Trombone)&P4(Tenor Trombone),,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
424.5,440.0,,U(Flute 2),U(Flute 1),,,,,,,U(Contrabass),P3(C Horn 2),P3(C Horn 1),,,P6(Tenor Trombone)&P3(Bass Trombone),P6(Alto Trombone)&P4(Bass Trombone),P3(Alto Trombone)&P4(Tenor Trombone),,U(Main)&P8(Viola),Main Part,P8(Violin 1)&P8(Main),,U(Contrabassoon)
440.0,456.0,,,,U(C Clarinet 1)&P8(Bassoon 1),U(C Clarinet 2)&P8(Bassoon 2),U(Oboe 1)&P8(Bassoon 1),U(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(C Clarinet 1),P8(Oboe 2)&P8(C Clarinet 2),P8(Violoncello)&U(Contrabass),,,"P4(C Trumpet 2)&P4(C, G Timpani)","P4(C Trumpet 1)&P8(C, G Timpani)",,,,P4(C Trumpet 1)&P8(C Trumpet 2),,Main Part,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
456.0,488.0,,,,,,,,,,P8(Violoncello)&U(Contrabass),,,,,,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
488.0,500.0,,,,P3(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2),P3(Oboe 1)&P3(C Clarinet 1)&P8(C Clarinet 2),P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 2),P3(Oboe 1)&P8(Oboe 2)&P3(C Clarinet 1),,P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)&U(Contrabass),U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1),,,,,Main Part,P8(Main),,U(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
500.0,508.5,,,,,,,,,,P8(Violoncello)&U(Contrabass),U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1),P8(Tenor Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Tenor Trombone),,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
508.5,510.5,,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),,,,,,,,,,,Main Part,,P8(Main),,
510.5,512.5,,,,,,,,,,P8(Violoncello)&U(Contrabass),Main Part,,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
512.5,515.0,,,,,,,,,,P8(Violoncello)&U(Contrabass),Main Part,,,,,,,,P8(Violin 2)&P3(Viola),P8(Violin 1)&P3(Viola),P3(Violin 1)&P3(Violin 2),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
515.0,521.0,,P8(Oboe 2)&P8(C Clarinet 1)&P8(Bassoon 1),U(Oboe 1)&P8(C Clarinet 2)&P8(Bassoon 2),U(Flute 2)&P8(C Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&U(C Clarinet 1)&P8(Bassoon 1),P8(Flute 1)&U(Oboe 2)&P8(Bassoon 1),P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 2)&P8(C Clarinet 1),P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 2),P8(Violoncello)&U(Contrabass),P8(C Horn 2),P8(C Horn 1),"P8(C Trumpet 2)&P8(C, G Timpani)","P8(C Trumpet 1)&P8(C, G Timpani)",,,,P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
521.0,523.0,,P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P6(Flute 1)&U(Oboe 1)&P6(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),P6(Flute 1)&U(Flute 2)&P6(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),P8(Flute 1)&P6(Flute 2)&P6(Oboe 1)&U(C Clarinet 1)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P8(Flute 1)&P6(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P6(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(C Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),P8(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P6(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P3(C Horn 1)&P3(C Horn 2),U(Contrabass),P4(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 2),P4(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1),,,,,,,Main Part,P6(Viola),P6(Violin 2),,U(Contrabassoon)
523.0,531.0,U(Flute 1)&P3(Flute 2)&P8(Main)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2),U(Piccolo)&P3(Flute 2)&P8(Main)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2),P3(Piccolo)&P3(Flute 1)&P3(Main)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2),Main Part,P3(Piccolo)&P3(Flute 1)&P8(Flute 2)&P3(Main)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2),,,P8(Piccolo)&P8(Flute 1)&P3(Flute 2)&P8(Main)&P3(Oboe 2)&P3(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2),P3(Piccolo)&P3(Flute 1)&P8(Flute 2)&P3(Main)&P8(Oboe 2)&P3(Bassoon 1)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2),U(Contrabass),P5(Piccolo)&P5(Flute 1)&P3(Flute 2)&P5(Main)&P3(Oboe 2)&P5(Bassoon 1)&P3(Bassoon 2)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P5(Piccolo)&P5(Flute 1)&P3(Flute 2)&P5(Main)&P3(Oboe 2)&P5(Bassoon 1)&P3(Bassoon 2)&U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P5(Piccolo)&P5(Flute 1)&P3(Flute 2)&P5(Main)&P3(Oboe 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2),P5(Piccolo)&P5(Flute 1)&P3(Flute 2)&P5(Main)&P3(Oboe 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1),,,,,,,,,U(Contrabassoon)
531.0,537.0,U(Flute 1)&P8(Main)&P8(Bassoon 1),U(Piccolo)&P8(Main)&P8(Bassoon 1),P8(Oboe 2)&P8(Bassoon 2),Main Part,P8(Flute 2)&P8(Bassoon 2),P6(C Clarinet 2),P6(C Clarinet 1),P8(Piccolo)&P8(Flute 1)&P8(Main),P8(Flute 2)&P8(Oboe 2),P8(Violin 1)&P8(Violoncello)&U(Contrabass),U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1),,,,,P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),,,P8(Contrabassoon)&P8(Violin 1)&P8(Contrabass),U(Contrabassoon)&P8(Violin 1)&P8(Violoncello)
537.0,539.0,"U(Main)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Alto Trombone)&P8(Tenor Trombone)&P4(Bass Trombone)&P4(C, G Timpani)",Main Part,"P6(Piccolo)&P6(Main)&P6(Oboe 1)&P8(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P8(Alto Trombone)&P6(Tenor Trombone)&P3(Bass Trombone)&P3(C, G Timpani)","P8(Piccolo)&P8(Main)&P6(Flute 2)&P6(Oboe 2)&U(C Clarinet 1)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Alto Trombone)&P8(Tenor Trombone)&P4(Bass Trombone)&P4(C, G Timpani)","P6(Piccolo)&P6(Main)&P8(Flute 2)&P6(Oboe 1)&P6(C Clarinet 1)&U(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&U(Alto Trombone)&P6(Tenor Trombone)&P3(Bass Trombone)&P3(C, G Timpani)","P8(Piccolo)&P8(Main)&P6(Flute 2)&U(Oboe 1)&P6(Oboe 2)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Alto Trombone)&P8(Tenor Trombone)&P4(Bass Trombone)&P4(C, G Timpani)","P6(Piccolo)&P6(Main)&P8(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(C Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&U(Alto Trombone)&P6(Tenor Trombone)&P3(Bass Trombone)&P3(C, G Timpani)","P8(Piccolo)&P8(Main)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Alto Trombone)&U(Tenor Trombone)&P4(Bass Trombone)&P4(C, G Timpani)","P6(Piccolo)&P6(Main)&P8(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P8(Alto Trombone)&P6(Tenor Trombone)&P3(Bass Trombone)&P3(C, G Timpani)",U(Contrabass),"P4(Piccolo)&P4(Main)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Alto Trombone)&P4(Tenor Trombone)&P8(Bass Trombone)&P8(C, G Timpani)","P4(Piccolo)&P4(Main)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Alto Trombone)&P4(Tenor Trombone)&P8(Bass Trombone)&P8(C, G Timpani)","P4(Piccolo)&P4(Main)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2)&P3(Alto Trombone)&P4(Tenor Trombone)&P8(Bass Trombone)&P8(C, G Timpani)","P4(Piccolo)&P4(Main)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P3(Alto Trombone)&P4(Tenor Trombone)&P8(Bass Trombone)&P8(C, G Timpani)","P6(Piccolo)&P6(Main)&P8(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(C Clarinet 1)&U(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P6(Tenor Trombone)&P3(Bass Trombone)&P3(C, G Timpani)","P8(Piccolo)&P8(Main)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&U(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Alto Trombone)&P4(Bass Trombone)&P4(C, G Timpani)","P4(Piccolo)&P4(Main)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Alto Trombone)&P4(Tenor Trombone)&U(C, G Timpani)",P4(Piccolo)&P4(Main)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Alto Trombone)&P4(Tenor Trombone)&U(Bass Trombone),,P6(Viola),P6(Violin 2),,U(Contrabassoon)
539.0,545.0,,Main Part,,,,,,P6(Bassoon 2),P6(Bassoon 1),U(Contrabass),,,,,,,,,,,,,U(Contrabassoon)
545.0,547.0,,,,,,,,,,U(Contrabass),,,,,,,,,,,Main Part,,U(Contrabassoon)
547.0,553.0,,,,,,,,,,U(Contrabass),,,,,,,,,,,Main Part,,U(Contrabassoon)
