qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
294.0,298.0,P8(Oboe 2)&P8(Violin 2)&P8(Main),U(Traverso)&U(Oboe 1)&U(Violin 1)&U(Soprano),,P6(Bassoon)&P6(Bass)&P6(Continuo),U(Tromba 2)&U(Oboe 1)&U(Violin 1)&U(Soprano),U(Tromba 2)&U(Traverso)&U(Violin 1)&U(Soprano),P8(Tromba 1)&U(Violin 2)&U(Main),P6(Timpani)&U(Bass)&U(Continuo),U(Tromba 2)&U(Traverso)&U(Oboe 1)&U(Soprano),P8(Tromba 1)&U(Oboe 2)&U(Main),U(Tenor),U(Tromba 2)&U(Traverso)&U(Oboe 1)&U(Violin 1),Main Part,U(Viola),P6(Timpani)&U(Bassoon)&U(Continuo),P6(Timpani)&U(Bassoon)&U(Bass)
298.0,302.0,P4(Tromba 2),P4(Tromba 1),P8(Timpani),P8(Tromba 3),U(Oboe 1)&U(Violin 1)&U(Main),U(Traverso)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Main),U(Oboe 2)&U(Alto),U(Tenor),Main Part,U(Oboe 2)&U(Violin 2),U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
302.0,314.0,P4(Tromba 2)&P8(Tromba 3)&P8(Timpani),P4(Tromba 1)&P4(Tromba 3)&P4(Timpani),P8(Tromba 1)&P4(Tromba 2)&P8(Timpani),P8(Tromba 1)&P4(Tromba 2)&P8(Tromba 3),U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2),U(Main)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),,U(Viola),Main Part,U(Bassoon)&U(Main)
314.0,326.0,,P3(Tromba 3)&P8(Timpani),P3(Tromba 2)&P3(Timpani),P8(Tromba 2)&P3(Tromba 3),U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2),U(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2),,U(Traverso)&U(Oboe 1)&U(Violin 1),Main Part,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
326.0,330.0,P8(Viola),Main Part,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),P8(Main)&U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),P8(Main)&U(Oboe 2)&U(Alto),P8(Tromba 1),U(Traverso)&U(Oboe 1)&U(Violin 1),P8(Main)&U(Oboe 2)&U(Violin 2),,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
330.0,337.0,Main Part,P8(Oboe 2)&P8(Violin 2)&P8(Alto),,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),P8(Tromba 2)&U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),P8(Tromba 2)&U(Oboe 2)&U(Alto),P8(Main)&U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),P8(Tromba 2)&U(Oboe 2)&U(Violin 2),P8(Main)&U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
337.0,340.5,,Main Part,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
340.5,342.5,Main Part,P3(Bassoon)&P3(Bass)&P3(Continuo),,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),P3(Tromba 2)&P3(Viola)&P3(Tenor)&U(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),P3(Bassoon)&U(Tenor)&P3(Bass)&P3(Continuo),U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),P3(Bassoon)&U(Viola)&P3(Bass)&P3(Continuo),P3(Tromba 2)&U(Bassoon)&P3(Viola)&P3(Tenor)&U(Continuo),P3(Tromba 2)&U(Bassoon)&P3(Viola)&P3(Tenor)&U(Bass)
342.5,353.0,P8(Oboe 2)&P8(Violin 2),,,,U(Oboe 1)&U(Violin 1)&U(Main),U(Traverso)&U(Violin 1)&U(Main),P8(Tromba 1)&U(Violin 2),U(Continuo),U(Traverso)&U(Oboe 1)&U(Main),P8(Tromba 1)&U(Oboe 2),U(Tenor),Main Part,,U(Viola),,U(Bassoon)
353.0,360.0,Main Part,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),P8(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Viola),P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
