qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
358.0,370.0,P8(Oboe 1)&P8(Bb Clarinet 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Bb Clarinet 1),P8(Flute 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),P8(Eb Horn 2),P8(Eb Horn 1),,,,Main Part,,,U(Bassoon 1)&U(Bassoon 2),
370.0,382.5,P8(Oboe 1)&P8(Bb Clarinet 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Bb Clarinet 1),P8(Flute 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,U(Bassoon 1)&U(Bassoon 2),
382.5,397.0,,,,,,,,P8(Violoncello)&P8(Contrabass),P8(Eb Horn 2),P8(Eb Horn 1),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
397.0,409.0,,,P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&P8(Main),U(Eb Horn 1)&P8(Eb Horn 2),U(Bb Clarinet 2),U(Bb Clarinet 1),,,U(Oboe 2)&P8(Eb Horn 2),P8(Oboe 2)&P8(Eb Horn 1),P8(Oboe 1)&P8(C Trumpet 2)&P8(Timpani)&P8(Main),P8(Oboe 1)&P8(C Trumpet 1)&P8(Timpani)&P8(Main),P8(Oboe 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Main),Main Part,,,P8(Contrabass),P8(Violoncello)
409.0,420.0,Main Part,,P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&P8(Violin 1),,,,,,,,P8(Oboe 1)&P8(C Trumpet 2)&P8(Timpani)&U(Violin 1),P8(Oboe 1)&P8(C Trumpet 1)&P8(Timpani)&P8(Violin 1),P8(Oboe 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Violin 1),P8(Oboe 1)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(Main),,P8(Contrabass),P8(Violoncello)
420.0,430.0,,,,,,,,,,,,,,,,,Main Part,P8(Main)
430.0,438.0,,,,,,,U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),,,,,,,,U(Bassoon 1)&U(Bassoon 2),Main Part,P8(Main)
438.0,448.0,,,,,,,U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),,,,,,,,U(Bassoon 1)&U(Bassoon 2),Main Part,P8(Main)
448.0,456.0,,,,,,,U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),,,,,,,,U(Bassoon 1)&U(Bassoon 2),Main Part,P8(Main)
456.0,462.0,,,,,,,Main Part,P8(Main),,,P8(C Trumpet 2),P8(C Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
462.0,469.0,P8(Oboe 2),,,P8(Flute 1),,,Main Part,P8(Main),,,P8(C Trumpet 2),P8(C Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
469.0,480.0,U(Violin 1)&P8(Violin 2)&P3(Viola),P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Timpani),P3(Oboe 2),P3(Oboe 1),,,Main Part,,P3(Flute 2)&P8(Eb Horn 2)&P8(Timpani),P3(Flute 2)&P8(Eb Horn 1)&P8(Timpani),,,P3(Flute 2)&P8(Eb Horn 1)&P8(Eb Horn 2),U(Flute 1)&P8(Violin 2)&P3(Viola),P8(Flute 1)&P8(Violin 1)&P3(Viola),P3(Flute 1)&P3(Violin 1)&P3(Violin 2),P8(Contrabass),P8(Violoncello)
480.0,490.0,,,,,,,Main Part,,,,,,,,,,P8(Contrabass),P8(Violoncello)
490.0,498.0,,,,,,,U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),,,,,,,Main Part,U(Bassoon 1)&U(Bassoon 2),P8(Contrabass),P8(Violoncello)
498.0,508.0,,,,,,,U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),,,,,,,Main Part,U(Bassoon 1)&U(Bassoon 2),P8(Contrabass),P8(Violoncello)
508.0,516.0,,,,,,,U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),,,,,,Main Part,,U(Bassoon 1)&U(Bassoon 2),P8(Contrabass),P8(Violoncello)
516.0,522.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
522.0,529.0,P8(Oboe 2),,,P8(Flute 1),,,P8(Bassoon 2),P8(Bassoon 1),,,P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
529.0,539.5,U(Main),P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Timpani),P3(Oboe 2),P3(Oboe 1),,,,,P3(Flute 2)&P8(Eb Horn 2)&P8(Timpani),P3(Flute 2)&P8(Eb Horn 1)&P8(Timpani),,,P3(Flute 2)&P8(Eb Horn 1)&P8(Eb Horn 2),Main Part,,,P8(Contrabass),P8(Violoncello)
539.5,543.0,,,,,,,,,,,,,,,Main Part,U(Main),P8(Contrabass),P8(Violoncello)
543.0,555.0,,,,,,,,,,,,,,,,,Main Part,P8(Main)
555.0,567.0,,,,,,,U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),,,,,,,,U(Bassoon 1)&U(Bassoon 2),Main Part,P8(Main)
567.0,591.0,,,,,U(Bb Clarinet 2),U(Bb Clarinet 1),U(Bassoon 2),U(Bassoon 1),,,,,,,,Main Part,P8(Contrabass),P8(Violoncello)
591.0,597.0,,,P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Eb Horn 2)&P3(Violin 1),P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P8(Eb Horn 2)&U(Violin 1),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P3(Eb Horn 2)&P3(Violin 1),P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Eb Horn 1)&U(Eb Horn 2)&P8(Violin 1),U(Bassoon 2),U(Bassoon 1),P3(Oboe 2)&P3(Bb Clarinet 2)&P3(Eb Horn 2)&P3(Violin 1),P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Eb Horn 1)&P8(Violin 1),,,,P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P8(Eb Horn 2),Main Part,,P8(Contrabass),P8(Violoncello)
597.0,603.0,U(Flute 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),U(Flute 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),,,,,P8(Flute 1)&P8(Flute 2)&U(Bassoon 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&U(Bassoon 1)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),,,P8(Flute 1)&P8(Flute 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&U(Bassoon 1)&U(Bassoon 2)&P8(C Trumpet 1)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
603.0,615.0,Main Part,P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),,,P8(Main)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),U(Eb Horn 2)&P8(Violoncello)&P8(Contrabass),U(Eb Horn 1)&P8(Violoncello)&P8(Contrabass),,,,,,,P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Contrabass),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Violoncello)
615.0,621.0,Main Part,P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),U(C Trumpet 1),,P8(Main)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),U(Eb Horn 2)&P8(Violoncello)&P8(Contrabass),U(Eb Horn 1)&P8(Violoncello)&P8(Contrabass),U(Bb Clarinet 1),,,P8(Viola),,P8(Violin 1),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Contrabass),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Violoncello)
621.0,627.0,Main Part,P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),,,P8(Main)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),U(Eb Horn 2)&P8(Contrabass),U(Eb Horn 1)&P8(Contrabass),,,,P8(Viola),,P8(Violin 1),,P8(Eb Horn 1)&P8(Eb Horn 2)
627.0,640.0,Main Part,,P8(Main)&P8(Bassoon 1)&P8(Violin 1),,P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Main)&P8(Oboe 1)&P8(Violin 1),,U(Eb Horn 2),U(Eb Horn 1),,,,P8(Main)&P8(Oboe 1)&P8(Bassoon 1),,,,
640.0,647.5,Main Part,,P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(Eb Horn 1)&P5(Eb Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P3(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P3(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P5(Eb Horn 1)&P5(Eb Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P3(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P5(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&U(Eb Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P5(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&U(Eb Horn 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(Eb Horn 1)&P5(Eb Horn 2)&P8(C Trumpet 2)&P8(Timpani),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P5(Eb Horn 1)&P5(Eb Horn 2)&P8(C Trumpet 1)&P8(Timpani),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(Eb Horn 1)&P5(Eb Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),U(Main),,,U(Contrabass),U(Violoncello)
647.5,651.0,,,,,,,,,,,,,,,Main Part,P8(Main),P8(Contrabass),P8(Violoncello)
651.0,663.0,,,,,,,,,,,,,,,,,Main Part,P8(Main)
663.0,675.0,,,,,,,,,,,,,,,,,Main Part,P8(Main)
675.0,685.0,,,,,,,,,,,,,,,,Main Part,P8(Contrabass),P8(Violoncello)
685.0,699.0,,,P4(Bassoon 1)&P4(Bassoon 2)&U(Violin 2),,,,P4(Oboe 1)&P8(Bassoon 2)&P4(Violin 2),P4(Oboe 1)&P8(Bassoon 1)&P4(Violin 2),,,,,,,U(Oboe 1)&P4(Bassoon 1)&P4(Bassoon 2),Main Part,P8(Contrabass),P8(Violoncello)
699.0,705.0,,,,,P3(Bassoon 1),,P3(Bb Clarinet 1),,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
705.0,711.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
711.0,721.0,Main Part,,P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(Oboe 1),P8(Oboe 2),P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
721.0,737.0,Main Part,,,P8(Bb Clarinet 2),,P8(Oboe 2),P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,
737.0,740.0,,,Main Part,,,,,,,,,,,,,,,
740.0,751.0,,,,,Main Part,,U(Main),,,,,,,,,,P8(Contrabass),P8(Violoncello)
751.0,766.0,,,,,,,,,,,,,,,,,Main Part,P8(Main)
766.0,781.0,,,,,P4(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P2(Eb Horn 1),P4(Bb Clarinet 1)&P4(Bassoon 1)&P4(Bassoon 2)&P3(Eb Horn 1),P8(Bb Clarinet 1)&P4(Bb Clarinet 2)&U(Bassoon 2)&P2(Eb Horn 1),P8(Bb Clarinet 1)&P4(Bb Clarinet 2)&U(Bassoon 1)&P2(Eb Horn 1),P2(Bb Clarinet 1)&P3(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2),,,,,,,,Main Part,P8(Main)
781.0,792.0,,,,,Main Part,,,,,,,,,,,,,
792.0,804.0,,,,,,,Main Part,U(Main)&U(Violoncello),,,,,,,,,U(Main)&U(Bassoon 2),
804.0,811.0,,,,,,,Main Part,U(Main)&U(Violoncello),,,,,,P2(Violin 2)&P4(Viola),P2(Violin 1)&P3(Viola),P4(Violin 1)&P3(Violin 2),U(Main)&U(Bassoon 2),
811.0,823.0,,,,,U(Bb Clarinet 2),U(Bb Clarinet 1),U(Bassoon 2),U(Bassoon 1),,,,,,Main Part,,,,
823.0,823.0,,,,,Main Part,U(Main)&P8(Violin 1)&P4(Violin 2)&P3(Viola)&P3(Violoncello),,,,,,,,P8(Main)&P8(Bb Clarinet 2)&P4(Violin 2)&P3(Viola)&P3(Violoncello),P4(Main)&P4(Bb Clarinet 2)&P4(Violin 1)&P6(Viola)&P6(Violoncello),P3(Main)&P3(Bb Clarinet 2)&P3(Violin 1)&P6(Violin 2)&U(Violoncello),P3(Main)&P3(Bb Clarinet 2)&P3(Violin 1)&P6(Violin 2)&U(Viola),
823.0,835.0,,,,,U(Main),Main Part,U(Bassoon 2),U(Bassoon 1),,,,,,,,,,
835.0,847.0,,,,,,,U(Bassoon 2),U(Bassoon 1),,,,,,Main Part,,,,
847.0,859.0,,,Main Part,,,,U(Bassoon 2),U(Bassoon 1),,,,,,,,,,
859.0,871.0,,,,,,,U(Bassoon 2),U(Bassoon 1),,,,,,Main Part,,,,
871.0,882.0,,,,,,,U(Bassoon 2),U(Bassoon 1),,,,,,Main Part,,,,
882.0,885.0,,,,,,,Main Part,U(Main),,,,,,P2(Violin 2)&P5(Viola)&P2(Violoncello),P2(Violin 1)&P4(Viola)&P8(Violoncello),P5(Violin 1)&P4(Violin 2)&P4(Violoncello),P2(Violin 1)&P8(Violin 2)&P4(Viola),
885.0,888.0,,,,,,,U(Bassoon 2),U(Bassoon 1),,,,,,Main Part,,,,
888.0,891.0,,,,,,,Main Part,U(Main),,,,,,P2(Violin 2)&P5(Viola)&P2(Violoncello),P2(Violin 1)&P4(Viola)&P8(Violoncello),P5(Violin 1)&P4(Violin 2)&P4(Violoncello),P2(Violin 1)&P8(Violin 2)&P4(Viola),
891.0,900.0,,,,,,,U(Bassoon 2),U(Bassoon 1),,,,,,Main Part,,,,
900.0,913.0,,,,,,,U(Bassoon 2)&P8(Main),U(Bassoon 1)&P8(Main),,,,,,U(Violin 2)&P4(Viola),U(Violin 1)&P4(Viola),P4(Violin 1)&P4(Violin 2),Main Part,
913.0,925.0,,,,,,,,,,,,,,Main Part,,,,
925.0,937.0,,,,,,,,,,,,,,Main Part,,,,
937.0,949.0,,,,,,,,,,,,,,Main Part,,,,
949.0,958.0,,,,,,,,,,,,,,Main Part,,,,
958.0,970.0,,,,,,,U(Violoncello),,,,,,,Main Part,,,U(Bassoon 1),
970.0,982.0,,,,,,,U(Violoncello),,,,,,,Main Part,,,U(Bassoon 1),
982.0,991.0,,,,,,,U(Violoncello),,,,,,,Main Part,,,U(Bassoon 1),
991.0,1003.0,,,,,,,U(Violoncello),,,,,,,Main Part,,,U(Bassoon 1),
1003.0,1009.0,,,,,,,,,,,,,,Main Part,,,,
1009.0,1021.0,,,,,,,,,,,,,,Main Part,,,,
1021.0,1030.0,,,,,,,P8(Violin 1),,,,,,,P8(Bassoon 1),Main Part,,,
1030.0,1042.0,,,,,,,,,,,,,P8(Main)&U(Viola)&P5(Violoncello)&P5(Contrabass),Main Part,,U(Timpani)&P8(Main)&P5(Violoncello)&P5(Contrabass),P5(Timpani)&P5(Main)&P5(Viola)&P8(Contrabass),P5(Timpani)&P5(Main)&P5(Viola)&P8(Violoncello)
1042.0,1054.0,,,,,,,,,,,,,P8(Main)&U(Viola)&P5(Violoncello)&P5(Contrabass),Main Part,,U(Timpani)&P8(Main)&P5(Violoncello)&P5(Contrabass),P5(Timpani)&P5(Main)&P5(Viola)&P8(Contrabass),P5(Timpani)&P5(Main)&P5(Viola)&P8(Violoncello)
1054.0,1066.0,,,,,,,,,,,,,P8(Main)&U(Viola)&P5(Violoncello)&P5(Contrabass),Main Part,,U(Timpani)&P8(Main)&P5(Violoncello)&P5(Contrabass),P5(Timpani)&P5(Main)&P5(Viola)&P8(Contrabass),P5(Timpani)&P5(Main)&P5(Viola)&P8(Violoncello)
1066.0,1075.0,,,,,,,,,,,,,P8(Main)&P8(Violin 2)&U(Viola)&P5(Violoncello)&P5(Contrabass),Main Part,P8(Timpani)&U(Main)&P8(Viola)&P5(Violoncello)&P5(Contrabass),U(Timpani)&P8(Main)&P8(Violin 2)&P5(Violoncello)&P5(Contrabass),P5(Timpani)&P5(Main)&P5(Violin 2)&P5(Viola)&P8(Contrabass),P5(Timpani)&P5(Main)&P5(Violin 2)&P5(Viola)&P8(Violoncello)
1075.0,1086.0,,,,,,,,,,,,,P8(Violin 2)&U(Viola),Main Part,P8(Timpani)&P8(Viola),U(Timpani)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
1086.0,1098.0,,,,,,,,,,,,,P8(Violin 2)&U(Viola),Main Part,P8(Timpani)&P8(Viola),U(Timpani)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
1098.0,1110.0,,,,,,,,,,,,,P8(Violin 2)&U(Viola),Main Part,P8(Timpani)&P8(Viola),U(Timpani)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
1110.0,1122.0,,,,,,,,,,,,,P8(Violin 2)&U(Viola)&P5(Violoncello)&P5(Contrabass),Main Part,P8(Timpani)&P8(Viola)&P5(Violoncello)&P5(Contrabass),U(Timpani)&P8(Violin 2)&P5(Violoncello)&P5(Contrabass),P5(Timpani)&P5(Violin 2)&P5(Viola)&P8(Contrabass),P5(Timpani)&P5(Violin 2)&P5(Viola)&P8(Violoncello)
1122.0,1134.0,,,,,,,,,,,,,P8(Violin 2)&U(Viola)&P5(Violoncello)&P5(Contrabass),Main Part,P8(Timpani)&P8(Viola)&P5(Violoncello)&P5(Contrabass),U(Timpani)&P8(Violin 2)&P5(Violoncello)&P5(Contrabass),P5(Timpani)&P5(Violin 2)&P5(Viola)&P8(Contrabass),P5(Timpani)&P5(Violin 2)&P5(Viola)&P8(Violoncello)
1134.0,1146.0,,,,,,,,,,,,,P8(Violin 2)&U(Viola)&P5(Violoncello)&P5(Contrabass),Main Part,P8(Timpani)&P8(Viola)&P5(Violoncello)&P5(Contrabass),U(Timpani)&P8(Violin 2)&P5(Violoncello)&P5(Contrabass),P5(Timpani)&P5(Violin 2)&P5(Viola)&P8(Contrabass),P5(Timpani)&P5(Violin 2)&P5(Viola)&P8(Violoncello)
1146.0,1159.0,,,P3(Oboe 2),P3(Oboe 1),,,P8(Bassoon 2),P8(Bassoon 1),,,,,P8(Viola)&P5(Violoncello)&P5(Contrabass),Main Part,,P8(Timpani)&P5(Violoncello)&P5(Contrabass),P5(Timpani)&P5(Viola)&P8(Contrabass),P5(Timpani)&P5(Viola)&P8(Violoncello)
1159.0,1168.0,P6(Flute 2)&P8(Eb Horn 1)&P4(Eb Horn 2)&P8(C Trumpet 1)&P4(C Trumpet 2),P6(Flute 1)&P6(Eb Horn 1)&P3(Eb Horn 2)&P6(C Trumpet 1)&P3(C Trumpet 2),P4(Bassoon 1)&P4(Bassoon 2)&P4(Timpani)&P8(Violin 1)&P2(Violoncello)&P2(Contrabass),Main Part,,,P4(Oboe 1)&P8(Bassoon 2)&P8(Timpani)&P4(Violin 1)&P5(Violoncello)&P5(Contrabass),P4(Oboe 1)&P8(Bassoon 1)&U(Timpani)&P4(Violin 1)&P5(Violoncello)&P5(Contrabass),P8(Flute 1)&P6(Flute 2)&P4(Eb Horn 2)&P8(C Trumpet 1)&P4(C Trumpet 2),P4(Flute 1)&P3(Flute 2)&P4(Eb Horn 1)&P4(C Trumpet 1)&P8(C Trumpet 2),P8(Flute 1)&P6(Flute 2)&P8(Eb Horn 1)&P4(Eb Horn 2)&P4(C Trumpet 2),P4(Flute 1)&P3(Flute 2)&P4(Eb Horn 1)&P8(Eb Horn 2)&P4(C Trumpet 1),P4(Oboe 1)&P8(Bassoon 1)&U(Bassoon 2)&P4(Violin 1)&P5(Violoncello)&P5(Contrabass),P8(Oboe 1)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Timpani)&P2(Violoncello)&P2(Contrabass),P8(Main)&P6(Viola),P6(Main)&P6(Violin 2),P2(Oboe 1)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Timpani)&P2(Violin 1)&P8(Contrabass),P2(Oboe 1)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Timpani)&P2(Violin 1)&P8(Violoncello)
