qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
831.0,873.0,,P8(Oboe 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),,P8(Flute 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),,,,P8(Flute 2)&P8(Oboe 2)&U(A Horn 1)&P8(A Horn 2),P8(Flute 2)&P8(Oboe 2)&U(Bassoon 2)&P8(A Horn 2),P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2)&P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,,
873.0,877.5,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),,,,,,,Main Part,,,,
877.5,891.0,P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&U(A Clarinet 1)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),,P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Horn 1)&P8(A Horn 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&U(Bassoon 2)&P8(A Horn 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 2)&P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,,
891.0,897.0,P8(Oboe 1)&P8(Bassoon 1),U(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P8(Flute 1)&P8(Bassoon 1),U(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P8(Flute 2)&P8(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P8(Flute 2)&P8(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P5(Flute 2)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P5(Flute 2)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P5(Flute 2)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P5(Flute 2)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P5(Flute 2)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
897.0,918.0,P8(Oboe 1)&P8(A Clarinet 1)&P8(Main),,P8(Flute 1)&P8(A Clarinet 1)&U(Main),,P8(Flute 1)&P8(Oboe 1)&P8(Main),,,,,,U(D Trumpet 2),U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
918.0,940.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
940.0,956.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2)&U(A Horn 1)&U(A Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 2)&U(A Horn 1)&U(A Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(A Horn 1)&P8(A Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(A Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(A Horn 1),,,,Main Part,P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 2)&P8(Viola)&P8(Violoncello)
956.0,976.25,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
976.25,998.0,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
998.0,1016.0,,P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),,P3(Flute 2)&P3(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani),P8(Flute 2)&P3(Oboe 2)&P3(A Clarinet 2)&P3(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&U(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani),P3(Flute 2)&P5(Oboe 2)&P3(A Clarinet 1)&P8(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani),,P3(Flute 2)&P5(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P5(A Horn 1)&P5(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani),P3(Flute 2)&P8(Oboe 2)&P3(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&U(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani),P3(Flute 2)&P8(Oboe 2)&P3(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&U(A Horn 1)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani),P8(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
1016.0,1028.0,P3(Flute 2),P3(Flute 1),,P8(A Horn 1)&P8(A Horn 2),P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Violin 2),P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Violin 2),P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P8(Violin 2),P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Violin 2),P8(Oboe 2)&U(A Horn 2),P8(Oboe 2)&U(A Horn 1),U(D Trumpet 2)&P8(Timpani),U(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),,P8(Contrabass),P8(Violoncello)
1028.0,1034.0,Main Part,P3(Main)&P6(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P3(Violin 2),P4(Main)&P6(Flute 2)&P4(A Clarinet 1)&P6(A Clarinet 2)&P4(Bassoon 1)&P6(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&P4(Violin 2),,P8(Main)&P3(Flute 2)&P4(Oboe 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(A Horn 1)&P2(A Horn 2)&P8(Violin 2),P3(Main)&P8(Flute 2)&P6(Oboe 1)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P3(Violin 2),P8(Main)&P3(Flute 2)&P4(Oboe 1)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P2(A Horn 1)&P2(A Horn 2)&U(Violin 2),P3(Main)&P8(Flute 2)&P6(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(A Horn 1)&P4(A Horn 2)&P3(Violin 2),P2(Main)&P4(Flute 2)&P3(Oboe 1)&P2(A Clarinet 1)&P4(A Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2)&U(A Horn 2)&P2(Violin 2),P2(Main)&P4(Flute 2)&P3(Oboe 1)&P2(A Clarinet 1)&P4(A Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2)&U(A Horn 1)&P2(Violin 2),P8(D Trumpet 2),P8(D Trumpet 1),,U(Viola)&P3(Violoncello)&P3(Contrabass),P8(Main)&P3(Flute 2)&P4(Oboe 1)&P8(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P2(A Horn 1)&P2(A Horn 2),U(Violin 1)&P3(Violoncello)&P3(Contrabass),P3(Violin 1)&P3(Viola)&P8(Contrabass),P3(Violin 1)&P3(Viola)&P8(Violoncello)
1034.0,1046.0,P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Violin 2),P8(A Clarinet 2)&P8(Bassoon 2),,P8(Flute 1)&U(A Clarinet 1)&P8(Bassoon 1)&P8(Violin 2),P8(Flute 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Violin 2),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(Violin 2),P8(Flute 2)&P8(A Clarinet 2),P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2),P8(D Trumpet 1),,Main Part,P8(Flute 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(Bassoon 1),P8(Main),P8(Contrabass),P8(Violoncello)
1046.0,1052.0,Main Part,P5(Main)&P5(Oboe 2)&P5(A Horn 1)&P5(A Horn 2),P8(A Clarinet 2)&P8(Bassoon 2),P8(Main)&P5(Flute 2)&P8(A Horn 1)&P8(A Horn 2),P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 2),P8(A Clarinet 1),P8(Oboe 1)&P8(A Clarinet 2),P8(Main)&P5(Flute 2)&P8(Oboe 2)&P8(A Horn 2),P8(Main)&P5(Flute 2)&P8(Oboe 2)&P8(A Horn 1),U(D Trumpet 2)&P8(Timpani)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),U(D Trumpet 1)&P8(Timpani)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),U(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P8(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P8(Contrabass),P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P8(Violoncello)
1052.0,1064.0,P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),P5(Flute 1)&P3(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Violin 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Violin 2),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&U(D Trumpet 2)&P8(Violin 2),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Violin 2),P3(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Violin 2),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Violin 2),P3(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(A Horn 1)&P3(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Violin 2),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Violin 2),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Violin 2),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Violin 2),,Main Part,P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&U(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Main),P8(Contrabass),P8(Violoncello)
1064.0,1065.5,P8(Oboe 2),P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1),P8(Flute 2)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 2),P8(Flute 2)&P8(A Clarinet 1),P8(Oboe 1)&P8(A Clarinet 2),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1065.5,1067.0,Main Part,P8(Main)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(Bassoon 1)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 1),,,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)
1067.0,1068.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(Bassoon 1)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 1),,,,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&U(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&U(Violoncello)
1068.5,1070.0,Main Part,P8(Main)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(Bassoon 1)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 1),,,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)
1070.0,1071.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(Bassoon 1)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 1),,,,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&U(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&U(Violoncello)
