qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
57.25,49.7826,15,2.25,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,A5,C#4,E3,E2
57.5,50.0,15,2.5,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,A5,C#4,F#3,F#2
57.75,50.2174,15,2.75,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,A5,C#4,G#3,G#2
58.0,50.4348,15,3.0,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,E5,C#4,A3,A2
58.25,50.6522,15,3.25,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,E5,C#4,B3,B2
58.5,50.8696,15,3.5,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,E5,C#4,C#4,C#3
58.75,51.087,15,3.75,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,E5,C#4,D4,D3
59.0,51.3043,15,4.0,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,E5,C#4,E4,E3
59.25,51.5217,15,4.25,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,E5,C#4,F#4,F#3
59.5,51.7391,15,4.5,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,E5,C#4,G#4,G#3
59.75,51.9565,15,4.75,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,E5,C#4,A4,A3
60.0,52.1739,16,1.0,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,A2,A3,C#5,C#4,A2,A1
60.25,52.3913,16,1.25,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,A2,E4,C#5,C#4,A2,A1
60.5,52.6087,16,1.5,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,A2,F#4,C#5,C#4,A2,A1
60.75,52.8261,16,1.75,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,A2,G#4,C#5,C#4,A2,A1
61.0,53.0435,16,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C#5,C#4,r,r
61.25,53.2609,16,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,C#5,C#4,r,r
61.5,53.4783,16,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#5,C#4,r,r
61.75,53.6957,16,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,C#5,C#4,r,r
62.0,53.913,16,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,F#5,C#4,r,r
62.25,54.1304,16,3.25,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,F#5,C#4,r,r
62.5,54.3478,16,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F#5,C#4,r,r
62.75,54.5652,16,3.75,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,F#5,C#4,r,r
63.0,54.7826,16,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,F#5,C#4,r,r
63.25,55.0,16,4.25,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,F#5,C#4,r,r
63.5,55.2174,16,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,F#5,C#4,r,r
63.75,55.4348,16,4.75,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,F#5,C#4,r,r
64.0,55.6522,17,1.0,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,E3,E6,E5,B4,G#2,G#1
64.25,55.8696,17,1.25,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,E3,E6,E5,B3,G#2,G#1
64.5,56.087,17,1.5,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,E3,E6,E5,B3,A2,A1
64.75,56.3043,17,1.75,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,E3,E6,E5,B3,B2,B1
65.0,56.5217,17,2.0,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,E6,r,B3,C#3,C#2
65.25,56.7391,17,2.25,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,E6,r,B3,D3,D2
65.5,56.9565,17,2.5,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,E6,r,B3,E3,E2
65.75,57.1739,17,2.75,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,E6,r,B3,F#3,F#2
66.0,57.3913,17,3.0,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,B5,r,B3,G#3,G#2
66.25,57.6087,17,3.25,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,B5,r,B3,A3,A2
66.5,57.8261,17,3.5,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,B5,r,B3,B3,B2
66.75,58.0435,17,3.75,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,B5,r,B3,C#4,C#3
67.0,58.2609,17,4.0,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,B5,r,B3,D4,D3
67.25,58.4783,17,4.25,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,B5,r,B3,E4,E3
67.5,58.6957,17,4.5,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,B5,r,B3,F#4,F#3
67.75,58.913,17,4.75,E6,B5,B5,E5,E5,B4,G#3,G#3,E4,E3,E5,E5,r,B5,r,B3,G#4,G#3
68.0,59.1304,18,1.0,E6,C#6,A5,E5,E5,C#5,G3,G3,E4,E3,E5,E5,E3,E5,E4,A3,G2,G1
68.25,59.3478,18,1.25,E6,C#6,A5,E5,E5,C#5,G3,G3,E4,E3,E5,E5,E3,E5,C#4,A3,G2,G1
68.5,59.5652,18,1.5,E6,C#6,A5,E5,E5,C#5,G3,G3,E4,E3,E5,E5,E3,E5,D4,A3,G2,G1
68.75,59.7826,18,1.75,E6,C#6,A5,E5,E5,C#5,G3,G3,E4,E3,E5,E5,E3,E5,E4,A3,G2,G1
69.0,60.0,18,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,F#4,A3,r,r
69.25,60.2174,18,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,A3,r,r
69.5,60.4348,18,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,A4,A3,r,r
69.75,60.6522,18,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,A3,r,r
70.0,60.8696,18,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,C#5,A3,r,r
70.25,61.087,18,3.25,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,D5,A3,r,r
70.5,61.3043,18,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,E5,A3,r,r
70.75,61.5217,18,3.75,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,F#5,A3,r,r
71.0,61.7391,18,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,G5,A3,r,r
71.25,61.9565,18,4.25,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,G#5,A3,r,r
71.5,62.1739,18,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,A5,A3,r,r
71.75,62.3913,18,4.75,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,A5,A3,r,r
72.0,62.6087,19,1.0,A6,D6,D6,D5,A5,A4,F#3,F#2,A4,A3,D5,D4,A2,D6,A5,A4,F#2,F#1
72.25,62.8261,19,1.25,A6,D6,D6,D5,A5,A4,F#3,F#2,A4,A3,D5,D4,A2,D6,A5,A3,F#2,F#1
72.5,63.0435,19,1.5,A6,D6,D6,D5,A5,A4,F#3,F#2,A4,A3,D5,D4,A2,D6,A5,A3,G2,G1
72.75,63.2609,19,1.75,A6,D6,D6,D5,A5,A4,F#3,F#2,A4,A3,D5,D4,A2,D6,A5,A3,A2,A1
73.0,63.4783,19,2.0,A6,D6,D6,D5,A5,A4,F#3,F#2,A4,A3,D5,D4,r,r,A5,A3,B2,B1
73.25,63.6957,19,2.25,A6,D6,D6,D5,A5,A4,F#3,F#2,A4,A3,D5,D4,r,r,A5,A3,C#3,C#2
73.5,63.913,19,2.5,A6,D6,D6,D5,A5,A4,F#3,F#2,A4,A3,D5,D4,r,r,A5,A3,D3,D2
73.75,64.1304,19,2.75,A6,D6,D6,D5,A5,A4,F#3,F#2,A4,A3,D5,D4,r,r,A5,A3,E3,E2
74.0,64.3478,19,3.0,A6,D6,D6,D5,A5,A4,F#3,F#2,A4,A3,D5,D4,r,r,D5,A3,F#3,F#2
74.25,64.5652,19,3.25,A6,D6,D6,D5,A5,A4,F#3,F#2,A4,A3,D5,D4,r,r,D5,A3,G3,G2
74.5,64.7826,19,3.5,A6,D6,D6,D5,A5,A4,F#3,F#2,A4,A3,D5,D4,r,r,D5,A3,A3,A2
