qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,E Horn 1,E Horn 2,E Trumpet 1,E Trumpet 2,Timpani,Violin 1 solo,Violin 1 tutti,Violin 2,Viola,Violoncello,Contrabass
99.0,64.5652,34,1.0,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,G#6,E6,E5,G#2,G#1
99.75,65.0543,34,1.75,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,G#6,E6,E5,G#2,G#1
100.0,65.2174,34,2.0,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,G#6,E6,E5,G#2,G#1
100.25,65.3804,34,2.25,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,G#6,F6,F5,G#2,G#1
100.5,65.5435,34,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A6,F#6,F#5,r,r
100.75,65.7065,34,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A6,E6,E5,r,r
101.0,65.8696,34,3.0,r,r,r,r,r,r,F#3,E-3,r,F#4,E-4,r,r,r,r,F#6,E-6,E-5,G#3,G#2
101.25,66.0326,34,3.25,r,r,r,r,r,r,F#3,E-3,r,F#4,E-4,r,r,r,r,F#6,C#6,C#5,G#3,G#2
101.5,66.1957,34,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-6,C6,C5,r,r
101.75,66.3587,34,3.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-6,A5,A4,r,r
102.0,66.5217,35,1.0,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,E6,G#5,G#4,G#2,G#1
102.75,67.0109,35,1.75,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,E6,G#5,G#4,G#2,G#1
103.0,67.1739,35,2.0,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,E6,G#5,G#4,G#2,G#1
103.25,67.337,35,2.25,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,F6,G#5,G#4,G#2,G#1
103.5,67.5,35,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#6,A5,A4,r,r
103.75,67.663,35,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,A5,A4,r,r
104.0,67.8261,35,3.0,r,r,r,r,r,r,F#3,E-3,r,F#4,E-4,r,r,r,r,E-6,F#5,F#4,G#3,G#2
104.25,67.9891,35,3.25,r,r,r,r,r,r,F#3,E-3,r,F#4,E-4,r,r,r,r,C#6,F#5,F#4,G#3,G#2
104.5,68.1522,35,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,E-5,E-4,r,r
104.75,68.3152,35,3.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,E-5,E-4,r,r
105.0,68.4783,36,1.0,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,G#5,E5,E4,G#2,G#1
105.25,68.6413,36,1.25,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,G#5,F5,F4,G#2,G#1
105.5,68.8043,36,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,F#5,F#4,r,r
105.75,68.9674,36,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,E5,E4,r,r
106.0,69.1304,36,2.0,r,r,r,r,r,r,F#3,E-3,r,F#4,E-4,r,r,r,r,F#5,E-5,E-4,G#3,G#2
106.25,69.2935,36,2.25,r,r,r,r,r,r,F#3,E-3,r,F#4,E-4,r,r,r,r,F#5,C#5,C#4,G#3,G#2
106.5,69.4565,36,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,C5,C4,r,r
106.75,69.6196,36,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,A4,A3,r,r
107.0,69.7826,36,3.0,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,E5,G#4,G#3,G#2,G#1
107.25,69.9457,36,3.25,r,r,r,r,r,r,C#4,C#3,r,E4,E3,r,r,r,r,F5,G#4,G#3,G#2,G#1
107.5,70.1087,36,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,A4,A3,r,r
107.75,70.2717,36,3.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,A4,A3,r,r
108.0,70.4348,37,1.0,r,r,r,r,r,r,F#3,E-3,r,F#4,E-4,r,r,r,r,E-5,F#4,F#3,A3,A2
108.25,70.5978,37,1.25,r,r,r,r,r,r,F#3,E-3,r,F#4,E-4,r,r,r,r,C#5,F#4,F#3,A3,A2
108.5,70.7609,37,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C#4,C#3,r,r
108.75,70.9239,37,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,C#4,C#3,r,r
109.0,71.087,37,2.0,r,r,r,r,r,r,F#3,A2,r,r,r,r,r,r,r,F#4,E-4,E-3,A2,A1
109.25,71.25,37,2.25,r,r,r,r,r,r,F#3,A2,r,r,r,r,r,r,r,F#4,C#4,C#3,A2,A1
109.5,71.413,37,2.5,r,r,r,r,r,r,F#3,A2,r,r,r,r,r,r,r,F#4,E-4,E-3,A2,A1
109.75,71.5761,37,2.75,r,r,r,r,r,r,F#3,A2,r,r,r,r,r,r,r,F#4,C#4,C#3,A2,A1
110.0,71.7391,37,3.0,r,r,r,r,r,r,G3,A2,r,r,r,r,r,r,r,G4,E-4,E-3,A2,A1
110.25,71.9022,37,3.25,r,r,r,r,r,r,G3,A2,r,r,r,r,r,r,r,G4,C#4,C#3,A2,A1
110.5,72.0652,37,3.5,r,r,r,r,r,r,G3,A2,r,r,r,r,r,r,r,G4,E-4,E-3,A2,A1
110.75,72.2283,37,3.75,r,r,r,r,r,r,G3,A2,r,r,r,r,r,r,r,G4,E4,E3,A2,A1
111.0,72.3913,38,1.0,r,r,r,r,r,r,G#3,G#2,r,r,r,r,r,r,r,G#4,C#4,E3,G#2,G#1
112.0,73.0435,38,2.0,r,r,r,r,r,r,G#3,G#2,r,r,r,r,r,r,r,G#4,C4,E-3,G#2,G#1
113.0,73.6957,38,3.0,r,r,G#5,r,r,r,G#3,G#2,r,r,r,r,r,r,r,G#4,B-3,C#3,G#2,G#1
114.0,74.3478,39,1.0,r,r,G#5,r,r,r,G#3,G#2,r,r,r,r,r,r,r,G#4,G#3,C3,G#2,G#1
114.25,74.5109,39,1.25,r,r,G#5,r,r,r,G#3,G#2,r,r,r,r,r,r,r,G#4,E-4,C4,G#2,G#1
114.75,74.837,39,1.75,r,r,G#5,r,r,r,G#3,G#2,r,r,r,r,r,r,r,G#4,E-4,C4,r,r
115.25,75.163,39,2.25,r,r,G#5,r,r,r,r,r,r,r,r,r,r,r,r,A4,E4,C#4,r,r
115.75,75.4891,39,2.75,r,r,G#5,r,r,r,r,r,r,r,r,r,r,r,r,A4,E4,C#4,r,r
116.25,75.8152,39,3.25,r,r,G#5,r,r,r,r,r,r,r,r,r,r,r,r,C#5,G#4,E4,r,r
116.75,76.1413,39,3.75,r,r,G#5,r,r,r,r,r,r,r,r,r,r,r,r,C#5,G#4,E4,r,r
117.0,76.3043,40,1.0,r,r,G#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
117.25,76.4674,40,1.25,r,r,G#5,r,r,r,r,r,r,r,r,r,r,r,r,C5,F#4,E-4,r,r
117.5,76.6304,40,1.5,r,r,F#5,r,r,r,r,r,r,r,r,r,r,r,r,C5,F#4,E-4,r,r
117.75,76.7935,40,1.75,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,r,C5,F#4,E-4,r,r
118.0,76.9565,40,2.0,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
118.25,77.1196,40,2.25,r,r,F#5,r,r,r,r,r,r,r,r,r,r,r,r,A4,E-4,C4,r,r
118.5,77.2826,40,2.5,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,r,A4,E-4,C4,r,r
118.75,77.4457,40,2.75,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,A4,E-4,C4,r,r
119.0,77.6087,40,3.0,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
119.25,77.7717,40,3.25,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,C#4,r,r
119.5,77.9348,40,3.5,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,C#4,r,r
119.75,78.0978,40,3.75,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,C#4,r,r
120.0,78.2609,41,1.0,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
120.25,78.4239,41,1.25,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,C#4,r,r
120.5,78.587,41,1.5,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,C#4,r,r
120.75,78.75,41,1.75,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,C#4,r,r
121.0,78.913,41,2.0,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
121.25,79.0761,41,2.25,r,r,G#5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,C#4,r,r
121.5,79.2391,41,2.5,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,C#4,r,r
121.75,79.4022,41,2.75,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,C#4,r,r
122.0,79.5652,41,3.0,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
122.25,79.7283,41,3.25,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,C#4,r,r
122.5,79.8913,41,3.5,r,r,C#6,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,C#4,r,r
122.75,80.0543,41,3.75,r,r,C#6,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,C#4,r,r
123.0,80.2174,42,1.0,r,r,C#6,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
123.25,80.3804,42,1.25,r,r,C#6,r,r,r,r,r,r,r,r,r,r,r,r,B-4,E4,C#4,r,r
123.5,80.5435,42,1.5,r,r,B5,r,r,r,r,r,r,r,r,r,r,r,r,B-4,E4,C#4,r,r
123.75,80.7065,42,1.75,r,r,B-5,r,r,r,r,r,r,r,r,r,r,r,r,B-4,E4,C#4,r,r
124.0,80.8696,42,2.0,r,r,G#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
124.25,81.0326,42,2.25,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,E-4,r,r
124.5,81.1957,42,2.5,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,E-4,r,r
124.75,81.3587,42,2.75,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,E-4,r,r
125.0,81.5217,42,3.0,r,r,E-5,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
125.25,81.6848,42,3.25,r,r,B-4,r,E-5,r,r,r,r,r,r,r,r,r,r,B-4,G4,E-4,r,r
125.5,81.8478,42,3.5,r,r,G4,r,E-5,r,r,r,r,r,r,r,r,r,r,B-4,G4,E-4,r,r
125.75,82.0109,42,3.75,r,r,B-4,r,E-5,r,r,r,r,r,r,r,r,r,r,B-4,G4,E-4,r,r
126.0,82.1739,43,1.0,r,r,C5,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
126.25,82.337,43,1.25,r,r,C5,r,E-5,r,r,r,r,r,r,r,r,r,r,C5,G#4,E-4,r,r
126.5,82.5,43,1.5,r,r,G#4,r,E-5,r,r,r,r,r,r,r,r,r,r,C5,G#4,E-4,r,r
126.75,82.663,43,1.75,r,r,G#4,r,E-5,r,r,r,r,r,r,r,r,r,r,C5,G#4,E-4,r,r
127.0,82.8261,43,2.0,r,r,B-4,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
127.25,82.9891,43,2.25,r,r,B-4,r,E-5,r,r,r,r,r,r,r,r,r,r,B-4,F4,C#4,r,r
127.5,83.1522,43,2.5,r,r,F4,r,E-5,r,r,r,r,r,r,r,r,r,r,B-4,F4,C#4,r,r
127.75,83.3152,43,2.75,r,r,F4,r,E-5,r,r,r,r,r,r,r,r,r,r,B-4,F4,C#4,r,r
128.0,83.4783,43,3.0,r,r,G4,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
128.25,83.6413,43,3.25,r,r,G4,r,E-5,r,r,r,r,r,r,r,r,r,r,G4,C#4,B-3,r,r
128.5,83.8043,43,3.5,r,r,E-4,r,E-5,r,r,r,r,r,r,r,r,r,r,G4,C#4,B-3,r,r
128.75,83.9674,43,3.75,r,r,E-4,r,E-5,r,r,r,r,r,r,r,r,r,r,G4,C#4,B-3,r,r
129.0,84.1304,44,1.0,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
129.25,84.2935,44,1.25,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,G#4,E-4,C4,r,r
129.5,84.4565,44,1.5,r,r,r,r,C#5,r,r,r,r,r,r,r,r,r,r,G#4,E-4,C4,r,r
129.75,84.6196,44,1.75,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,G#4,E-4,C4,r,r
130.0,84.7826,44,2.0,r,r,r,r,F#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
130.25,84.9457,44,2.25,r,r,r,r,F5,r,r,r,r,r,r,r,r,r,r,A4,E-4,C4,r,r
130.5,85.1087,44,2.5,r,r,r,r,F5,r,r,r,r,r,r,r,r,r,r,A4,E-4,C4,r,r
130.75,85.2717,44,2.75,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,A4,E-4,C4,r,r
131.0,85.4348,44,3.0,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
131.25,85.5978,44,3.25,r,r,r,r,C#5,r,r,r,r,r,r,r,r,r,r,G#4,F4,C#4,r,r
131.5,85.7609,44,3.5,r,r,r,r,C#5,r,r,r,r,r,r,r,r,r,r,G#4,F4,C#4,r,r
131.75,85.9239,44,3.75,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,G#4,F4,D4,r,r
132.0,86.087,45,1.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
132.25,86.25,45,1.25,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,G4,G4,E-4,r,r
132.5,86.413,45,1.5,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,G4,G4,E-4,r,r
132.75,86.5761,45,1.75,r,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,G#4,F4,D4,r,r
133.0,86.7391,45,2.0,r,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
133.25,86.9022,45,2.25,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,G4,G4,E-4,r,r
133.5,87.0652,45,2.5,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,G4,G4,E-4,r,r
133.75,87.2283,45,2.75,r,r,r,r,F5,r,r,r,r,r,r,r,r,r,r,G#4,F4,D4,r,r
134.0,87.3913,45,3.0,r,r,r,r,F5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
134.25,87.5543,45,3.25,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,G4,E-4,E-4,r,r
134.5,87.7174,45,3.5,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,G4,E-4,E-4,r,r
134.75,87.8804,45,3.75,r,r,r,r,A4,r,r,r,r,r,r,r,r,r,r,F#4,E-4,C4,r,r
135.0,88.0435,46,1.0,r,r,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
135.25,88.2065,46,1.25,r,r,r,r,G#4,r,r,r,r,r,r,r,r,r,r,F4,F4,C#4,r,r
135.5,88.3696,46,1.5,r,r,r,r,G#4,r,r,r,r,r,r,r,r,r,r,F4,F4,C#4,r,r
135.75,88.5326,46,1.75,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,F#4,E-4,C4,r,r
136.0,88.6957,46,2.0,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
136.25,88.8587,46,2.25,r,r,r,r,G#4,r,r,r,r,r,r,r,r,r,r,F4,F4,C#4,r,r
136.5,89.0217,46,2.5,r,r,r,r,G#4,r,r,r,r,r,r,r,r,r,r,F4,F4,C#4,r,r
136.75,89.1848,46,2.75,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,F#4,E-4,C4,r,r
137.0,89.3478,46,3.0,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,r,G#2,G#1
137.25,89.5109,46,3.25,r,r,r,r,G#4,r,r,r,r,r,r,r,r,r,r,G#4,C#4,B-3,G#2,G#1
137.5,89.6739,46,3.5,r,r,r,r,G#4,r,r,r,r,r,r,r,r,r,r,G#4,C#4,B-3,G#2,G#1
137.75,89.837,46,3.75,r,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,F#4,E-4,C4,G#2,G#1
138.0,90.0,47,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#2,G#1
138.25,90.163,47,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C#4,G#3,G#2,G#1
138.5,90.3261,47,1.5,r,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,F4,C#4,G#3,G#2,G#1
138.75,90.4891,47,1.75,r,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,F4,C#4,G#3,G#2,G#1
139.0,90.6522,47,2.0,r,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,G#2,G#1
139.25,90.8152,47,2.25,r,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,F#4,C#4,B-3,G#2,G#1
139.5,90.9783,47,2.5,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,F#4,C#4,B-3,G#2,G#1
139.75,91.1413,47,2.75,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,F#4,C#4,B-3,G#2,G#1
140.0,91.3043,47,3.0,r,r,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,G#2,G#1
140.25,91.4674,47,3.25,r,r,r,r,C#5,r,r,r,r,r,r,r,r,r,r,B-4,F#4,C#4,G#2,G#1
140.5,91.6304,47,3.5,r,r,r,r,B-5,r,r,r,r,r,r,r,r,r,r,B-4,F#4,C#4,G#2,G#1
140.75,91.7935,47,3.75,r,r,r,r,B-5,r,r,r,r,r,r,r,r,r,r,B-4,F#4,C#4,G#2,G#1
141.0,91.9565,48,1.0,r,r,r,r,G#5,r,r,r,r,r,r,r,r,r,r,r,r,r,G#2,G#1
141.25,92.1196,48,1.25,r,r,r,r,G#5,r,r,r,r,r,r,r,r,r,r,G#4,E-4,C4,G#2,G#1
141.5,92.2826,48,1.5,E-6,r,r,r,G#5,r,E-4,r,r,r,r,r,r,r,r,G#4,E-4,C4,F#2,F#2
141.75,92.4457,48,1.75,E-6,r,r,r,G#5,r,E-4,r,r,r,r,r,r,r,r,G#4,E-4,C4,F2,F2
142.0,92.6087,48,2.0,G#5,r,r,r,G#5,r,G#3,r,r,r,r,r,r,r,r,r,r,r,E-2,E-2
142.25,92.7717,48,2.25,G#5,r,r,r,G#5,r,G#3,r,r,r,r,r,r,r,r,G#4,C4,G#3,F#2,F#2
142.5,92.9348,48,2.5,F#5,r,G#4,r,C5,r,F#3,r,r,G#3,r,r,r,r,r,G#4,C4,G#3,F2,F2
142.75,93.0978,48,2.75,F#5,r,G#4,r,C5,r,F#3,r,r,G#3,r,r,r,r,r,F#4,C4,G#3,E-2,E-2
143.0,93.2609,48,3.0,F5,r,G#4,r,C#5,r,F3,r,r,G#3,r,r,r,r,r,r,r,r,C#2,C#2
143.25,93.4239,48,3.25,F5,r,G#4,r,C#5,r,F3,r,r,G#3,r,r,r,r,r,F4,C#4,G#3,C3,C2
143.5,93.587,48,3.5,F5,r,C#5,r,C#5,r,F3,r,r,C#4,r,r,r,r,r,F4,C#4,G#3,B-2,B-1
143.75,93.75,48,3.75,F5,r,C#5,r,C#5,r,F3,r,r,C#4,r,r,r,r,r,F4,C#4,G#3,G#2,G#1
144.0,93.913,49,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#2,F#1
144.25,94.0761,49,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,B-3,F#2,F#1
144.75,94.4022,49,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,B-3,F#2,F#1
145.0,94.5652,49,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,G1
145.25,94.7283,49,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,B-3,G2,G1
145.75,95.0543,49,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,B-3,G2,G1
146.0,95.2174,49,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2
146.25,95.3804,49,3.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B-3,C#3,G3,G2
146.75,95.7065,49,3.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,B-3,E3,G3,G2
147.0,95.8696,50,1.0,G#6,G#6,G#5,G#5,r,r,G#4,r,r,r,r,r,r,r,r,r,r,r,G#2,G#1
147.25,96.0326,50,1.25,G#6,G#6,G#5,G#5,r,r,G#4,r,r,r,r,r,r,r,r,F5,G#4,G#3,G#2,G#1
147.5,96.1957,50,1.5,F#6,F#6,F#5,F#5,r,r,F#4,r,r,r,r,r,r,r,r,E-5,G#4,C4,G#2,G#1
147.75,96.3587,50,1.75,F6,F6,F5,F5,r,r,F4,r,r,r,r,r,r,r,r,C#5,G#4,C#4,G#2,G#1
148.0,96.5217,50,2.0,E-6,E-6,E-5,E-5,A4,C4,E-4,r,r,r,r,r,r,r,r,A4,C4,F#4,G#2,G#1
148.25,96.6848,50,2.25,F#6,F#6,F#5,F#5,A4,C4,F#4,r,r,r,r,r,r,r,r,A4,C4,F#4,G#2,G#1
148.5,96.8478,50,2.5,F6,F6,F5,F5,A4,C4,F4,r,r,r,r,r,r,r,r,A4,C4,F#4,G#2,G#1
148.75,97.0109,50,2.75,E-6,E-6,E-5,E-5,A4,C4,E-4,r,r,r,r,r,r,r,r,A4,C4,F#4,G#2,G#1
149.0,97.1739,50,3.0,C#6,C#6,C#5,C#5,G#4,C#4,C#4,C#3,r,r,r,r,r,r,r,G#4,C#4,F4,G#2,G#1
149.25,97.337,50,3.25,G#5,G#5,G#4,G#4,G#4,C#4,C#4,C#3,r,r,r,r,r,r,r,C#4,C#4,C#3,C3,C2
149.5,97.5,50,3.5,F#5,F#5,F#4,F#4,r,r,C#4,C#3,r,r,r,r,r,r,r,C#4,C#4,C#3,B-2,B-1
149.75,97.663,50,3.75,F5,F5,F4,F4,r,r,C#4,C#3,r,r,r,r,r,r,r,C#4,C#4,C#3,G#2,G#1
150.0,97.8261,51,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#2,F#1
150.25,97.9891,51,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,B-3,F#2,F#1
150.75,98.3152,51,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,B-3,F#2,F#1
151.0,98.4783,51,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,G1
151.25,98.6413,51,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,B-3,G2,G1
151.75,98.9674,51,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,B-3,G2,G1
152.0,99.1304,51,3.0,E6,r,E5,r,r,r,E4,r,r,E4,E3,r,r,r,r,r,r,r,G3,G2
152.25,99.2935,51,3.25,E6,r,E5,r,r,r,E4,r,r,E4,E3,r,r,r,r,E4,B-3,C#3,G3,G2
152.75,99.6196,51,3.75,C#6,r,C#5,r,r,r,C#4,r,r,E4,E3,r,r,r,r,C#4,B-3,E3,G3,G2
153.0,99.7826,52,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#2,G#1
153.25,99.9457,52,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,G#3,G#2,G#1
153.75,100.2717,52,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,G#3,G#2,G#1
154.0,100.4348,52,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
154.25,100.5978,52,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,G3,A2,A1
154.75,100.9239,52,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C#4,G3,A2,A1
155.0,101.087,52,3.0,E5,r,E5,E5,r,r,E4,E4,r,E4,E3,r,r,r,r,r,r,r,A3,A2
155.25,101.25,52,3.25,E5,r,E5,E5,r,r,E4,E4,r,E4,E3,r,r,r,r,E4,G3,C#3,A3,A2
155.75,101.5761,52,3.75,C#5,r,C#5,C#5,r,r,C#4,C#4,r,E4,E3,r,r,r,r,C#4,G3,E3,A3,A2
156.0,101.7391,53,1.0,r,r,r,r,r,r,r,r,r,E4,E3,r,r,r,r,r,r,r,B-2,B-1
156.25,101.9022,53,1.25,E6,C#6,E5,C#5,C#5,G4,E4,B-3,r,E4,E3,r,r,r,r,E5,G4,C#4,B-2,B-1
156.5,102.0652,53,1.5,E6,C#6,E5,C#5,C#5,G4,E4,B-3,r,E4,E3,r,r,r,r,E5,G4,C#4,B-3,B-2
156.75,102.2283,53,1.75,C#6,G5,C#5,G4,C#5,G4,C#4,B-3,r,E4,E3,r,r,r,r,C#5,G3,E4,B-3,B-2
157.0,102.3913,53,2.0,G#6,G#5,G#5,G#4,G#4,G#3,G#3,G#2,r,G#4,G#3,r,r,r,r,G#5,G#3,G#4,G#2,G#1
157.5,102.7174,53,2.5,G#6,G#5,G#5,G#4,G#4,G#3,G#3,G#2,r,G#4,G#3,r,r,r,r,G#4,G#4,G#3,G#3,G#2
158.0,103.0435,53,3.0,G#6,G#5,G#5,G#4,G#4,G#3,G#3,G#2,r,G#4,G#3,r,r,r,r,G#4,G#4,G#3,G#3,G#2
158.5,103.3696,53,3.5,G#6,G#5,G#5,G#4,G#4,G#3,G#3,G#2,r,G#4,G#3,r,r,r,r,F#4,F#4,F#3,F#3,F#2
158.75,103.5326,53,3.75,G#6,G#5,G#5,G#4,G#4,G#3,G#3,G#2,r,G#4,G#3,r,r,r,r,E4,E4,E3,E3,E2
159.0,103.6957,54,1.0,G#6,G#5,G#5,G#4,G#4,G#3,G#3,G#2,r,G#4,G#3,r,r,r,r,E-4,E-4,E-3,E-3,E-2
159.25,103.8587,54,1.25,G#6,G#5,G#5,G#4,G#4,G#3,G#3,G#2,r,G#4,G#3,r,r,r,r,F#4,F#4,F#3,F#3,F#2
159.5,104.0217,54,1.5,G#6,G#5,G#5,G#4,G#4,G#3,G#3,G#2,r,G#4,G#3,r,r,r,r,E4,E4,E3,E3,E2
