qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Eb Trumpet 1,Eb Trumpet 2,Alto Trombone,Tenor Trombone,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
88.75,33.2812,23,1.75,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,r,B-1
88.8,33.3,23,1.8,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,C3,B-1
89.0,33.375,23,2.0,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,F2,F1
89.2,33.45,23,2.2,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,G2,F1
89.25,33.4688,23,2.25,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,G2,G1
89.4,33.525,23,2.4,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,G#2,G1
89.5,33.5625,23,2.5,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,G#2,G#1
89.6,33.6,23,2.6,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,G#2,G#1
89.75,33.6562,23,2.75,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,r,B-1
89.8,33.675,23,2.8,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,C3,B-1
90.0,33.75,23,3.0,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,F2,F1
90.2,33.825,23,3.2,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,G2,F1
90.25,33.8438,23,3.25,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,G2,G1
90.4,33.9,23,3.4,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,G#2,G1
90.5,33.9375,23,3.5,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,G#2,G#1
90.6,33.975,23,3.6,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,G#2,G#1
90.75,34.0312,23,3.75,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,r,B-1
90.8,34.05,23,3.8,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F6,G#5,F4,C3,B-1
91.0,34.125,23,4.0,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C6,G#5,C5,F2,F1
91.2,34.2,23,4.2,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C6,G#5,C5,G2,F1
91.25,34.2188,23,4.25,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C6,G#5,C5,G2,G1
91.4,34.275,23,4.4,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C6,G#5,C5,G#2,G1
91.5,34.3125,23,4.5,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C6,G#5,C5,G#2,G#1
91.6,34.35,23,4.6,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C6,G#5,C5,G#2,G#1
91.75,34.4062,23,4.75,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,G#5,G#5,G#4,r,B-1
91.8,34.425,23,4.8,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,G#5,G#5,G#4,C3,B-1
92.0,34.5,24,1.0,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F5,G#5,F4,F2,F1
92.2,34.575,24,1.2,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F5,G#5,F4,G2,F1
92.25,34.5938,24,1.25,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F5,G#4,F4,G2,G1
92.4,34.65,24,1.4,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F5,G#4,F4,G#2,G1
92.5,34.6875,24,1.5,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F5,G#4,F4,G#2,G#1
92.6,34.725,24,1.6,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F5,G#4,F4,G#2,G#1
92.75,34.7812,24,1.75,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F5,G#4,F4,r,B-1
92.8,34.8,24,1.8,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F5,G#4,F4,C3,B-1
93.0,34.875,24,2.0,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C5,G#4,C4,F2,F1
93.2,34.95,24,2.2,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C5,G#4,C4,G2,F1
93.25,34.9688,24,2.25,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C5,G#4,C4,G2,G1
93.4,35.025,24,2.4,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C5,G#4,C4,G#2,G1
93.5,35.0625,24,2.5,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C5,G#4,C4,G#2,G#1
93.6,35.1,24,2.6,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,C5,G#4,C4,G#2,G#1
93.75,35.1562,24,2.75,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,G#4,G#4,G#3,r,B-1
93.8,35.175,24,2.8,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,G#4,G#4,G#3,C3,B-1
94.0,35.25,24,3.0,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,F2,F1
94.2,35.325,24,3.2,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,G2,F1
94.25,35.3438,24,3.25,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,G2,G1
94.4,35.4,24,3.4,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,G#2,G1
94.5,35.4375,24,3.5,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,G#2,G#1
94.6,35.475,24,3.6,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,G#2,G#1
94.75,35.5312,24,3.75,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,r,B-1
94.8,35.55,24,3.8,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,C3,B-1
95.0,35.625,24,4.0,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,F2,F1
95.2,35.7,24,4.2,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,G2,F1
95.25,35.7188,24,4.25,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,G2,G1
95.4,35.775,24,4.4,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,G#2,G1
95.5,35.8125,24,4.5,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,G#2,G#1
95.6,35.85,24,4.6,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,G#2,G#1
95.75,35.9062,24,4.75,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,r,B-1
95.8,35.925,24,4.8,r,F6,F5,C6,G#5,G#5,G#4,C4,G#3,F4,F3,F5,F5,r,r,F2,F4,G#4,F3,C3,B-1
96.0,36.0,25,1.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G2,G1
96.2,36.075,25,1.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G#2,G1
96.25,36.0938,25,1.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G#2,G#1
96.4,36.15,25,1.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,G#1
96.5,36.1875,25,1.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,B-1
96.6,36.225,25,1.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,B-1
96.75,36.2812,25,1.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,r,C2
96.8,36.3,25,1.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,C#3,C2
97.0,36.375,25,2.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G2,G1
97.2,36.45,25,2.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G#2,G1
97.25,36.4688,25,2.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G#2,G#1
97.4,36.525,25,2.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,G#1
97.5,36.5625,25,2.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,B-1
97.6,36.6,25,2.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,B-1
97.75,36.6562,25,2.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,r,C2
97.8,36.675,25,2.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,C#3,C2
98.0,36.75,25,3.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G2,G1
98.2,36.825,25,3.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G#2,G1
98.25,36.8438,25,3.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G#2,G#1
98.4,36.9,25,3.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,G#1
98.5,36.9375,25,3.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,B-1
98.6,36.975,25,3.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,B-1
98.75,37.0312,25,3.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,r,C2
98.8,37.05,25,3.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,C#3,C2
99.0,37.125,25,4.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G2,G1
99.2,37.2,25,4.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G#2,G1
99.25,37.2188,25,4.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G#2,G#1
99.4,37.275,25,4.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,G#1
99.5,37.3125,25,4.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,B-1
99.6,37.35,25,4.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,B-2,B-1
99.75,37.4062,25,4.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,r,C2
99.8,37.425,25,4.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,C#3,C2
100.0,37.5,26,1.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G2,G1
100.2,37.575,26,1.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,E5,C#4,G#2,G1
100.25,37.5938,26,1.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G#1
100.4,37.65,26,1.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,G#1
100.5,37.6875,26,1.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
100.6,37.725,26,1.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
100.75,37.7812,26,1.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,r,C2
100.8,37.8,26,1.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,C#3,C2
101.0,37.875,26,2.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G2,G1
101.2,37.95,26,2.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G1
101.25,37.9688,26,2.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G#1
101.4,38.025,26,2.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,G#1
101.5,38.0625,26,2.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
101.6,38.1,26,2.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
101.75,38.1562,26,2.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,r,C2
101.8,38.175,26,2.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,C#3,C2
102.0,38.25,26,3.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G2,G1
102.2,38.325,26,3.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G1
102.25,38.3438,26,3.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G#1
102.4,38.4,26,3.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,G#1
102.5,38.4375,26,3.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
102.6,38.475,26,3.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
102.75,38.5312,26,3.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,r,C2
102.8,38.55,26,3.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,C#3,C2
103.0,38.625,26,4.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G2,G1
103.2,38.7,26,4.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G1
103.25,38.7188,26,4.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G#1
103.4,38.775,26,4.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,G#1
103.5,38.8125,26,4.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
103.6,38.85,26,4.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
103.75,38.9062,26,4.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,r,C2
103.8,38.925,26,4.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,C#3,C2
104.0,39.0,27,1.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G2,G1
104.2,39.075,27,1.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G1
104.25,39.0938,27,1.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G#1
104.4,39.15,27,1.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,G#1
104.5,39.1875,27,1.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
104.6,39.225,27,1.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
104.75,39.2812,27,1.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,r,C2
104.8,39.3,27,1.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,C#3,C2
105.0,39.375,27,2.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G2,G1
105.2,39.45,27,2.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G1
105.25,39.4688,27,2.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G#1
105.4,39.525,27,2.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,G#1
105.5,39.5625,27,2.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
105.6,39.6,27,2.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
105.75,39.6562,27,2.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,r,C2
105.8,39.675,27,2.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,C#3,C2
106.0,39.75,27,3.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G2,G1
106.2,39.825,27,3.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G1
106.25,39.8438,27,3.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,G#2,G#1
106.4,39.9,27,3.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,G#1
106.5,39.9375,27,3.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
106.6,39.975,27,3.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,B-2,B-1
106.75,40.0312,27,3.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,r,C2
106.8,40.05,27,3.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E6,C#6,C#4,C#3,C2
107.0,40.125,27,4.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,B-5,C#6,B-4,G2,G1
107.2,40.2,27,4.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,B-5,C#6,B-4,G#2,G1
107.25,40.2188,27,4.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,B-5,C#6,B-4,G#2,G#1
107.4,40.275,27,4.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,B-5,C#6,B-4,B-2,G#1
107.5,40.3125,27,4.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,B-5,C#6,B-4,B-2,B-1
107.6,40.35,27,4.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,B-5,C#6,B-4,B-2,B-1
107.75,40.4062,27,4.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,G5,C#6,G4,r,C2
107.8,40.425,27,4.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,G5,C#6,G4,C#3,C2
108.0,40.5,28,1.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E5,C#6,E4,G2,G1
108.2,40.575,28,1.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E5,C#6,E4,G#2,G1
108.25,40.5938,28,1.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E5,C#6,E4,G#2,G#1
108.4,40.65,28,1.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E5,C#6,E4,B-2,G#1
108.5,40.6875,28,1.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E5,C#6,E4,B-2,B-1
108.6,40.725,28,1.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E5,C#6,E4,B-2,B-1
108.75,40.7812,28,1.75,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E5,C#6,E4,r,C2
108.8,40.8,28,1.8,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,E5,C#6,E4,C#3,C2
109.0,40.875,28,2.0,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,C#5,C#6,C#4,G2,G1
109.2,40.95,28,2.2,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,C#5,C#6,C#4,G#2,G1
109.25,40.9688,28,2.25,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,C#5,C#6,C#4,G#2,G#1
109.4,41.025,28,2.4,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,C#5,C#6,C#4,B-2,G#1
109.5,41.0625,28,2.5,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,C#5,C#6,C#4,B-2,B-1
109.6,41.1,28,2.6,r,E6,C#6,B-5,C#5,C#5,C#4,G3,G2,G4,G4,B-4,B-3,r,r,r,C#5,C#6,C#4,B-2,B-1
