qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Trumpet 1,F Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
449.0,468.0,Main Part,,,,,,P8(Main),,P8(F Horn 2),P8(F Horn 1),,,,,,,P8(Contrabass),P8(Violoncello)
468.0,471.0,Main Part,P3(Main)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2),P8(Main)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P8(Violin 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2),,,P8(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&U(Violin 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&U(F Horn 1)&P8(F Horn 2)&P3(Violin 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&U(Bassoon 2)&P8(F Horn 2)&P3(Violin 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P3(Violin 2),,,,P8(Viola),P8(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&U(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2),P8(Violin 1),P8(Contrabass),P8(Violoncello)
471.0,479.0,Main Part,P8(Oboe 2),P8(Main)&P8(Bassoon 1),P8(Flute 2),,,P8(Main)&P8(Oboe 1),,P8(F Horn 2)&P3(Violin 2),P8(F Horn 1)&P3(Violin 2),P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),P8(F Trumpet 1)&P8(F Trumpet 2),P8(Viola),P3(F Horn 1)&P3(F Horn 2),P8(Violin 1),P8(Contrabass),P8(Violoncello)
479.0,483.0,Main Part,P8(Oboe 2)&P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2),P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2),,,P8(Main)&P8(Oboe 1),,P8(Flute 2)&P8(Oboe 2)&P8(F Horn 2)&P3(Violin 2),P8(Flute 2)&P8(Oboe 2)&P8(F Horn 1)&P3(Violin 2),P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),P8(F Trumpet 1)&P8(F Trumpet 2),P8(Viola),P3(Flute 2)&P3(Oboe 2)&P3(F Horn 1)&P3(F Horn 2),P8(Violin 1),P8(Contrabass),P8(Violoncello)
483.0,492.0,P8(Oboe 1)&P8(Main),P8(Oboe 2),P8(Flute 1)&P8(Main),P8(Flute 2),,,Main Part,,P8(F Horn 2),P8(F Horn 1),P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),P8(F Trumpet 1)&P8(F Trumpet 2),P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
492.0,507.0,,,,,,,Main Part,,P8(F Horn 2),P8(F Horn 1),P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),P8(F Trumpet 1)&P8(F Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
507.0,522.0,,,,,Main Part,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
522.0,530.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),Main Part,,,,P8(F Horn 2)&P8(F Trumpet 1)&U(F Trumpet 2),P8(F Horn 1)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 2),U(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1),U(Violoncello)&P8(Contrabass),,,,U(Timpani)&P8(Contrabass),P8(Timpani)&P8(Violoncello)
530.0,552.0,Main Part,,,,,,,,,,P8(F Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Trumpet 1)&P8(Timpani)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),,,P8(F Trumpet 1)&U(F Trumpet 2)&P8(Timpani)&P8(Violoncello)&P8(Contrabass),P8(F Trumpet 1)&P8(F Trumpet 2)&U(Timpani)&P8(Viola)&P8(Contrabass),P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)
552.0,560.0,Main Part,P8(Oboe 2),P8(Main)&U(Violin 1),P8(Flute 2),,,,,P8(F Horn 2)&P8(F Trumpet 1)&U(F Trumpet 2),P8(F Horn 1)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 2),U(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1),P8(Contrabass),P8(Main)&U(Oboe 1),,,,P8(Timpani)
560.0,566.0,,,,,P8(Bb Clarinet 2),P8(Bb Clarinet 1),U(Viola)&U(Violoncello),P8(F Horn 1)&P8(F Horn 2),P8(Bassoon 2)&U(F Horn 2),P8(Bassoon 2)&U(F Horn 1),,,,Main Part,,U(Bassoon 1)&U(Violoncello),U(Bassoon 1)&U(Viola),
566.0,569.0,P8(Oboe 1),,P8(Flute 1),,P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(Viola)&P3(Violoncello),P8(Bb Clarinet 1)&P3(Bassoon 1)&P3(Viola)&P3(Violoncello),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Viola)&U(Violoncello),P8(F Horn 1)&P8(F Horn 2),P8(Bassoon 2)&U(F Horn 2),P8(Bassoon 2)&U(F Horn 1),,,,Main Part,,P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&U(Violoncello),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&U(Viola),
569.0,583.0,,,,,,,,,,,,,,Main Part,,U(Violoncello),U(Viola),
583.0,600.0,,,,,,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,Main Part,,,,
600.0,612.0,U(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1),U(Flute 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&U(Bb Clarinet 1)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 2)&P8(F Horn 2)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1),P8(Oboe 1)&P8(Bb Clarinet 2)&U(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Timpani),,P8(Oboe 1)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Timpani),P8(Oboe 1)&U(Bb Clarinet 2)&P8(Bassoon 2)&P8(F Horn 2)&P8(F Trumpet 2)&P8(Timpani),P8(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(F Horn 2)&P8(F Trumpet 1)&P8(Timpani),P8(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2),Main Part,U(Main),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
