qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe  2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
146.0,27.037,50,2.0,C6,r,r,r,r,r,r,r,C4,C3,r,r,A5,A4,A3,A3,A2
147.0,27.2222,50,3.0,C6,r,r,r,r,r,r,r,C4,C3,r,r,B-5,B-4,B-3,B-3,B-2
148.0,27.4074,51,1.0,C6,r,r,r,r,r,r,r,C4,C3,r,r,A5,A4,A3,A3,A2
149.0,27.5926,51,2.0,C6,r,r,r,r,r,r,r,C4,C3,r,r,F5,F4,F3,F3,F2
150.0,27.7778,51,3.0,C6,r,C6,C5,C5,C4,r,r,C4,C3,r,r,G5,G4,G3,G3,G2
151.0,27.963,52,1.0,C6,r,C6,C5,C5,C4,r,r,C4,C3,r,r,F5,F4,F3,F3,F2
152.0,28.1481,52,2.0,C6,r,C6,C5,C5,C4,r,r,C4,C3,r,r,C5,C4,C3,C3,C2
153.0,28.3333,52,3.0,C6,r,C6,C5,C5,C4,r,r,C4,C3,r,r,G5,G4,G3,G3,G2
154.0,28.5185,53,1.0,C6,r,C6,r,C5,C4,r,r,C4,C3,r,r,A5,A4,A3,A3,A2
155.0,28.7037,53,2.0,C6,r,C6,r,C5,C4,r,r,C4,C3,r,r,F5,F4,F3,F3,F2
156.0,28.8889,53,3.0,C6,C5,C5,C5,C5,C4,C3,C3,C4,C3,r,r,C6,C5,C4,C3,C2
157.0,29.0741,54,1.0,F6,F5,F5,F5,F5,F4,F3,F3,F4,F3,r,r,F6,F5,F4,F3,F2
158.0,29.2593,54,2.0,C6,C5,C5,C5,F5,F4,C3,C3,F4,F3,r,r,C6,C5,C4,C3,C2
159.0,29.4444,54,3.0,D6,D5,D5,D5,F5,F4,D3,D3,F4,F3,r,r,D6,D5,D4,D3,D2
160.0,29.6296,55,1.0,C6,C5,C5,C5,F5,F4,C3,C3,F4,F3,r,r,C6,C5,C4,C3,C2
161.0,29.8148,55,2.0,A5,A4,A5,r,F5,F4,A2,A2,F4,F3,r,r,A5,A4,A3,A2,A1
162.0,30.0,55,3.0,B-5,B-4,B-5,r,F5,F4,B-2,B-2,F4,F3,r,r,B-5,B-4,B-3,B-2,B-1
163.0,30.1852,56,1.0,A5,A4,A5,A4,F5,F4,A2,A2,F4,r,r,r,A5,A4,A3,A2,A1
164.0,30.3704,56,2.0,F5,F4,F5,F4,F5,F4,F3,F2,F4,F4,r,r,F5,F4,F3,F2,F1
165.0,30.5556,56,3.0,G5,G4,G5,G4,G5,G4,G3,G2,G4,G4,r,r,G5,G4,G3,G2,G1
166.0,30.7407,57,1.0,A5,A4,A5,A4,A5,A4,A3,A2,A4,A3,r,r,A5,A4,A3,A2,A1
167.0,30.9259,57,2.0,F5,F4,F5,F4,F5,F4,F3,F2,r,r,r,r,F5,F4,F3,F2,F1
168.0,31.1111,57,3.0,G5,G4,G5,G4,G5,G4,G3,G2,r,r,r,r,G5,G4,G3,G2,G1
169.0,31.2963,58,1.0,A5,A4,A5,A4,A5,A4,A3,A2,A4,A3,r,r,A5,A4,A3,A2,A1
170.0,31.4815,58,2.0,F5,F5,F5,F4,F5,F4,F3,F2,r,r,r,r,F5,F4,F3,F2,F1
171.0,31.6667,58,3.0,G5,G5,G5,G4,G5,G4,G3,G2,r,r,r,r,G5,G4,G3,G2,G1
172.0,31.8519,59,1.0,A5,A5,A5,A4,A5,A4,A3,A2,A4,A3,r,r,A5,A4,A3,A2,A1
173.0,32.037,59,2.0,F5,F5,F5,F4,F5,F4,F3,F2,r,r,r,r,F5,F4,F3,F2,F1
174.0,32.2222,59,3.0,G5,G5,G5,G4,G5,G4,G3,G2,r,r,r,r,G5,G4,G3,G2,G1
175.0,32.4074,60,1.0,A5,A5,A5,A4,A5,A4,A3,A2,A4,A3,r,r,A5,A4,A3,A2,A1
178.0,32.963,61,1.0,G5,G5,G5,G4,G5,G4,G3,G2,G4,G4,r,r,G5,G4,G3,G2,G1
180.0,33.3333,61,3.0,F5,F5,F5,F4,F5,F4,F3,F2,C4,r,r,r,F5,F4,F3,F2,F2
181.0,33.5185,62,1.0,E5,E5,E5,E4,E5,E4,E3,E2,C4,C3,r,r,E5,E4,E3,E2,E2
183.0,33.8889,62,3.0,D5,D5,D5,D4,D5,D4,D3,D2,C4,C3,r,r,D5,D4,D3,D2,D2
184.0,34.0741,63,1.0,C5,C5,C5,C4,C5,C4,C3,C2,C4,C3,r,r,C5,C4,C3,C2,C2
186.0,34.4444,63,3.0,E5,E5,E5,C5,C5,G4,B-3,B-2,C4,C3,r,r,E5,C5,G3,B-2,B-1
187.0,34.6296,64,1.0,F5,F5,F5,C5,C5,F4,A3,A2,F4,F4,r,r,F5,F5,C4,A2,A1
190.0,35.1852,65,1.0,G5,F5,F5,G4,F5,D5,B-3,B-2,G4,F4,r,r,G5,F5,D4,B-2,B-1
193.0,35.7407,66,1.0,A5,F5,F5,A4,C5,A4,C4,C3,A4,F4,r,r,A5,F5,C4,C3,C2
196.0,36.2963,67,1.0,G5,E5,E5,C5,C5,E4,C3,C2,G4,C4,r,r,G5,E5,C3,C3,C2
199.0,36.8519,68,1.0,A5,F5,F5,C5,C5,F4,F3,F2,A4,F4,r,r,A5,F5,F3,F3,F2
201.0,37.2222,68,3.0,A6,A5,A5,A5,r,r,A3,A2,r,r,r,r,A5,A5,A4,A3,A2
202.0,37.4074,69,1.0,G6,G5,G5,G5,r,r,G3,G2,r,r,r,r,G5,G5,G4,G3,G2
204.0,37.7778,69,3.0,F6,F5,F5,F5,r,r,F3,F2,C4,C3,r,r,F5,F5,F4,F3,F2
205.0,37.963,70,1.0,E6,E5,E5,E5,r,r,E3,E2,C4,C3,r,r,E5,E5,E4,E3,E2
207.0,38.3333,70,3.0,D6,D5,D5,D5,C5,C4,D3,D2,C4,C3,r,r,D5,D5,D4,D3,D2
208.0,38.5185,71,1.0,C6,C5,C5,C5,C5,C4,C3,C2,C4,C3,r,r,C5,C5,C4,C3,C2
210.0,38.8889,71,3.0,E6,C6,E5,r,G4,E4,B-3,B-2,G4,C4,r,r,E5,E5,G4,B-3,B-2
211.0,39.0741,72,1.0,F6,F5,F5,C5,A4,F4,A3,A2,F4,F3,r,r,F5,F5,C4,A3,A2
214.0,39.6296,73,1.0,F6,D6,G5,F5,G4,F4,B-3,B-2,F4,F3,r,r,G5,G4,D4,B-3,B-2
217.0,40.1852,74,1.0,F6,C6,A5,F5,A4,F4,C4,C3,F4,F3,r,r,A5,C5,A4,C4,C3
220.0,40.7407,75,1.0,E6,C6,G5,E5,G4,E4,C3,C2,C4,C3,r,r,G5,E5,C4,C3,C2
223.0,41.2963,76,1.0,F6,C6,A5,F5,F4,A3,F3,F2,F4,F3,r,r,F5,F5,F3,F3,F2
223.5,41.3889,76,1.5,F6,C6,A5,F5,F4,A3,F3,F2,F4,F3,r,r,F5,F5,A3,F3,F2
224.0,41.4815,76,2.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,r,C4,r,r
224.5,41.5741,76,2.5,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,r,F4,r,r
225.0,41.6667,76,3.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,r,A4,r,r
226.0,41.8519,77,1.0,r,r,r,r,r,r,C4,A3,C5,A4,r,r,r,A3,r,r,r
226.5,41.9444,77,1.5,r,r,r,r,r,r,C4,A3,C5,A4,r,r,r,C4,r,r,r
227.0,42.037,77,2.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,F4,r,r,r
227.5,42.1296,77,2.5,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,A4,r,r,r
228.0,42.2222,77,3.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,C5,r,r,r
229.0,42.4074,78,1.0,r,r,r,r,r,r,C4,A3,C5,A4,r,r,A4,r,r,r,r
229.5,42.5,78,1.5,r,r,r,r,r,r,C4,A3,C5,A4,r,r,C5,r,r,r,r
230.0,42.5926,78,2.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,F5,r,r,r,r
