qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe  2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
572.0,596.0,P8(Bassoon 1)&P8(Bassoon 2),,,,Main Part,,P8(Flute 1)&P8(Bassoon 2),P8(Flute 1)&P8(Bassoon 1),,,,,P8(Violin 2)&P8(Viola),P8(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),,
596.0,620.0,,,,,Main Part,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
620.0,644.0,P8(Bassoon 1)&P8(Bassoon 2),,,,,,P8(Flute 1)&P8(Bassoon 2),P8(Flute 1)&P8(Bassoon 1),Main Part,,,,P8(Violin 2)&P8(Viola),P8(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),,
644.0,668.0,,,,,,,,,Main Part,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
668.0,692.0,,,Main Part,,P8(Bb Clarinet 2),P8(Bb Clarinet 1),,,U(F Horn 2),U(F Horn 1),,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
692.0,717.0,,,Main Part,,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
717.0,729.0,P8(F Horn 1)&P8(F Horn 2),P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Bb Clarinet 2),,Main Part,P8(Oboe 1)&P8(Main),P8(Flute 2)&U(Bassoon 2),P8(Flute 2)&U(Bassoon 1),P8(Flute 1)&P8(F Horn 2),P8(Flute 1)&P8(F Horn 1),,,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
729.0,747.0,P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,Main Part,P8(Main),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),,,,,U(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 1)&U(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
747.0,773.0,P8(Violin 1),U(Oboe 1),U(Flute 2),,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),Main Part,,,,P8(Flute 1),,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
773.0,795.0,,,,,,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),Main Part,,,,,,,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
