qstamp,tstamp,measure,beat,Flute,Oboe 1,Oboe 2,Bassoon 1,Bassoon 2,Bb Horn 1,Bb Horn 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
241.5,100.625,61,1.75,C6,E5,C5,C3,C3,C4,C4,C6,C5,C4,C3,C2
242.0,100.8333,61,2.0,G6,G5,G4,C#3,C#3,F4,F3,B5,B4,C#4,C#3,C#2
243.0,101.25,61,2.5,G6,G5,G4,C#3,C#3,F4,F3,B5,B4,C#4,C#3,C#2
244.0,101.6667,62,1.0,G6,G5,G4,C3,C3,C4,C4,C6,C5,C4,C3,C2
245.5,102.2917,62,1.75,G6,G5,G4,C3,C3,C4,C4,C6,C5,C4,C3,C2
246.0,102.5,62,2.0,G6,G5,G4,C#3,C#3,F4,F3,B5,B4,C#4,C#3,C#2
247.0,102.9167,62,2.5,G6,G5,G4,C#3,C#3,F4,F3,B5,B4,C#4,C#3,C#2
248.0,103.3333,63,1.0,G6,G5,G4,C3,C3,C4,C4,C6,C5,C4,C3,C2
249.0,103.75,63,1.5,C6,C5,C5,C3,C3,C4,C4,C4,C4,C3,C4,C3
249.5,103.9583,63,1.75,C6,C5,C5,C3,C3,C4,C4,C4,C4,C3,C4,C3
250.0,104.1667,63,2.0,C6,C5,C5,C3,C3,C4,C4,C4,C4,C3,C4,C3
251.0,104.5833,63,2.5,C6,C5,C5,C3,C3,C4,C4,C4,C4,C3,C4,C3
252.0,105.0,64,1.0,C6,C5,C5,C3,C3,C4,C4,C4,C4,C3,C4,C3
256.0,106.6667,65,1.0,r,r,r,r,r,r,r,A5,A4,A3,F3,F2
258.0,107.5,65,2.0,r,r,r,r,r,r,r,G5,G4,B-3,G3,G2
259.5,108.125,65,2.75,r,r,r,r,r,r,r,E5,E4,B-3,G3,G2
260.0,108.3333,66,1.0,r,r,r,r,r,r,r,E5,E4,C4,A3,A2
261.0,108.75,66,1.5,r,r,r,r,r,r,r,F5,F4,C4,A3,A2
262.0,109.1667,66,2.0,r,r,r,r,r,r,r,C5,C4,r,r,r
264.0,110.0,67,1.0,r,r,r,r,r,r,r,D5,D4,D4,B-3,B-2
265.0,110.4167,67,1.5,r,r,r,r,r,r,r,D5,D4,D4,B-3,B-2
266.0,110.8333,67,2.0,r,r,r,r,r,r,r,F#5,F#4,E-4,C4,C3
267.0,111.25,67,2.5,r,r,r,r,r,r,r,F#5,F#4,E-4,C4,C3
268.0,111.6667,68,1.0,r,r,r,r,r,r,r,G5,G4,D4,B-3,B-2
268.5,111.875,68,1.25,r,r,r,r,r,r,r,F#5,F#4,D4,B-3,B-2
269.0,112.0833,68,1.5,r,r,r,r,r,r,r,G5,G4,D4,B-3,B-2
269.5,112.2917,68,1.75,r,r,r,r,r,r,r,A5,A4,C4,A3,A2
270.0,112.5,68,2.0,r,r,r,r,r,r,r,B-5,B-4,B-3,G3,G2
272.0,113.3333,69,1.0,r,r,r,r,r,r,r,B-5,B-4,B-3,G3,G2
274.0,114.1667,69,2.0,r,r,r,r,r,r,r,A5,A4,C4,A3,A2
275.5,114.7917,69,2.75,r,r,r,r,r,r,r,F#5,F#4,C4,A3,A2
276.0,115.0,70,1.0,r,r,r,r,r,r,r,F#5,F#4,D4,B-3,B-2
277.0,115.4167,70,1.5,r,r,r,r,r,r,r,G5,G4,D4,B-3,B-2
278.0,115.8333,70,2.0,r,r,r,r,r,r,r,B-5,B-4,r,r,r
279.0,116.25,70,2.5,r,r,r,r,r,r,r,D6,D5,r,r,r
280.0,116.6667,71,1.0,r,r,r,r,r,r,r,F5,F4,A3,C4,C3
281.0,117.0833,71,1.5,r,r,r,r,r,r,r,F5,F4,A3,C4,C3
282.0,117.5,71,2.0,r,r,r,r,r,r,r,G5,G4,B-3,C3,C2
282.5,117.7083,71,2.25,r,r,r,r,r,r,r,F5,F4,A3,C3,C2
283.0,117.9167,71,2.5,r,r,r,r,r,r,r,G5,G4,B-3,C3,C2
283.5,118.125,71,2.75,r,r,r,r,r,r,r,A5,A4,C4,C3,C2
284.0,118.3333,72,1.0,r,r,r,r,r,r,r,F5,F4,A3,F3,F2
285.0,118.75,72,1.5,B4,r,r,B3,B3,r,r,r,r,r,r,r
285.5,118.9583,72,1.75,C5,r,r,C4,C4,r,r,r,r,r,r,r
286.0,119.1667,72,2.0,D5,r,r,D4,D4,r,r,r,r,r,r,r
286.5,119.375,72,2.25,E5,r,r,E4,E4,r,r,r,r,r,r,r
287.0,119.5833,72,2.5,F5,r,r,F4,F4,r,r,r,r,r,r,r
287.5,119.7917,72,2.75,G5,r,r,G4,G4,r,r,r,r,r,r,r
288.0,120.0,73,1.0,A5,A4,A4,F4,F4,r,r,r,r,A3,F3,F2
290.0,120.8333,73,2.0,G5,G4,G4,C#4,C#4,r,r,r,r,B-3,G3,G2
291.5,121.4583,73,2.75,E5,E4,E4,C#4,C#4,r,r,r,r,B-3,G3,G2
292.0,121.6667,74,1.0,E5,E4,E4,C4,C4,r,r,r,r,C4,A3,A2
293.0,122.0833,74,1.5,F5,F4,F4,C4,C4,r,r,C6,C5,C4,A3,A2
294.0,122.5,74,2.0,C5,C4,C4,r,r,r,r,C6,C5,r,r,r
295.0,122.9167,74,2.5,C5,C4,C4,r,r,r,r,B-5,B-4,r,r,r
295.5,123.125,74,2.75,C5,C4,C4,r,r,r,r,A5,A4,r,r,r
296.0,123.3333,75,1.0,D5,D4,D4,r,r,r,r,G5,G4,D4,B-3,B-2
297.0,123.75,75,1.5,D5,D4,D4,r,r,r,r,r,r,D4,B-3,B-2
298.0,124.1667,75,2.0,F#5,F#4,F#4,r,r,r,r,r,r,E-4,C4,C3
299.0,124.5833,75,2.5,F#5,F#4,F#4,r,r,r,r,r,r,E-4,C4,C3
300.0,125.0,76,1.0,G5,G4,G4,r,r,r,r,r,r,D4,B-3,B-2
300.5,125.2083,76,1.25,F#5,F#4,F#4,r,r,r,r,r,r,D4,B-3,B-2
301.0,125.4167,76,1.5,G5,G4,G4,r,r,r,r,r,r,D4,B-3,B-2
301.5,125.625,76,1.75,A5,A4,A4,r,r,r,r,r,r,C4,A3,A2
302.0,125.8333,76,2.0,B-5,B-4,B-4,G3,G3,r,r,G5,G4,B-3,G3,G2
302.5,126.0417,76,2.25,B-5,B-4,B-4,F#3,F#3,r,r,F#5,F#4,B-3,G3,G2
303.0,126.25,76,2.5,r,r,r,G3,G3,r,r,G5,G4,r,r,r
303.5,126.4583,76,2.75,r,r,r,A3,A3,r,r,A5,A4,r,r,r
304.0,126.6667,77,1.0,B-5,B-4,r,B-3,B-3,r,r,B-5,B-4,B-3,G3,G2
306.0,127.5,77,2.0,A5,A4,r,E-4,E-4,r,r,r,r,C4,A3,A2
307.5,128.125,77,2.75,F#5,F#4,r,E-4,E-4,r,r,r,r,C4,A3,A2
308.0,128.3333,78,1.0,F#5,F#4,r,D4,D4,r,r,r,r,D4,B-3,B-2
309.0,128.75,78,1.5,G5,G4,r,D4,D4,r,r,D6,D5,D4,B-3,B-2
310.0,129.1667,78,2.0,B-5,B-4,r,r,r,r,r,D6,D5,r,r,r
311.0,129.5833,78,2.5,D6,D5,r,r,r,r,r,B-5,B-4,r,r,r
311.5,129.7917,78,2.75,D6,D5,r,r,r,r,r,G5,G4,r,r,r
312.0,130.0,79,1.0,F5,F4,r,r,r,r,r,F5,F4,A3,C4,C3
313.0,130.4167,79,1.5,F5,F4,r,r,r,r,r,r,r,A3,C4,C3
314.0,130.8333,79,2.0,G5,G4,r,r,r,r,r,E5,E4,B-3,C3,C2
314.5,131.0417,79,2.25,F5,F4,r,r,r,r,r,E5,E4,A3,C3,C2
315.0,131.25,79,2.5,G5,G4,r,r,r,r,r,r,r,B-3,C3,C2
315.5,131.4583,79,2.75,A5,A4,r,r,r,r,r,r,r,C4,C3,C2
316.0,131.6667,80,1.0,F5,F4,r,r,r,r,r,F5,F4,G#3,C#3,C#2
317.0,132.0833,80,1.5,r,r,r,r,r,r,r,F5,F4,G#3,C#3,C#2
318.0,132.5,80,2.0,r,G#5,G#4,r,r,r,r,F#5,F#4,E-4,C3,C2
318.5,132.7083,80,2.25,r,G#5,G#4,r,r,r,r,F5,F4,E-4,C3,C2
319.0,132.9167,80,2.5,r,G#5,G#4,r,r,r,r,F#5,F#4,E-4,C3,C2
319.5,133.125,80,2.75,r,G#5,G#4,r,r,r,r,G#5,G#4,E-4,C3,C2
320.0,133.3333,81,1.0,r,G#5,G#4,r,r,r,r,F5,F4,F4,C#3,C#2
321.0,133.75,81,1.5,r,G#5,G#4,r,r,r,r,F5,F4,F4,C#3,C#2
322.0,134.1667,81,2.0,r,G#5,G#4,r,r,r,r,F#5,F#4,E-4,C3,C2
322.5,134.375,81,2.25,r,G#5,G#4,r,r,r,r,F5,F4,E-4,C3,C2
323.0,134.5833,81,2.5,r,G#5,G#4,r,r,r,r,F#5,F#4,E-4,C3,C2
323.5,134.7917,81,2.75,r,G#5,G#4,r,r,r,r,G#5,G#4,E-4,C3,C2
324.0,135.0,82,1.0,r,G#5,G#4,r,r,r,r,F5,F4,F4,C#3,C#2
325.0,135.4167,82,1.5,r,G#5,G#4,r,r,r,r,F5,F4,F4,C#3,C#2
326.0,135.8333,82,2.0,A5,A5,A4,C#3,C#3,F4,F3,A5,A4,F4,C#3,C#2
327.0,136.25,82,2.5,A5,A5,A4,C#3,C#3,F4,F3,A5,A4,F4,C#3,C#2
328.0,136.6667,83,1.0,B-5,B-5,B-4,C#3,C#3,F4,F3,B-5,B-4,F4,C#3,C#2
329.0,137.0833,83,1.5,B-5,B-5,B-4,C#3,C#3,F4,F3,B-5,B-4,F4,C#3,C#2
330.0,137.5,83,2.0,B5,G#5,G#4,C#3,C#3,F4,F3,B5,B4,G#4,C#3,C#2
331.0,137.9167,83,2.5,B5,G#5,G#4,C#3,C#3,F4,F3,B5,B4,G#4,C#3,C#2
332.0,138.3333,84,1.0,C6,A5,C5,C3,C3,F4,F3,C6,C5,A4,C3,C2
333.0,138.75,84,1.5,F6,A5,F5,C4,C3,C4,C4,F6,F5,A4,C4,C3
335.0,139.5833,84,2.5,C6,A5,F5,A3,A2,C4,C4,C6,C5,C4,A3,A2
335.5,139.7917,84,2.75,A5,A5,F5,A3,A2,C4,C4,A5,A4,C4,A3,A2
336.0,140.0,85,1.0,G5,G5,F5,B-3,B-2,D4,B-3,G5,G4,D4,B-3,B-2
336.5,140.2083,85,1.25,G5,G5,F5,B-3,B-2,D4,B-3,A5,A4,D4,B-3,B-2
337.0,140.4167,85,1.5,G5,G5,F5,B-3,B-2,D4,B-3,B-5,B-4,D4,B-3,B-2
337.5,140.625,85,1.75,G5,G5,F5,B-3,B-2,D4,B-3,D6,D5,D4,B-3,B-2
338.0,140.8333,85,2.0,C6,G5,E5,C4,C3,C4,C4,C6,C5,E4,C4,C3
338.5,141.0417,85,2.25,C6,G5,E5,C4,C3,C4,C4,B-5,B-4,E4,C4,C3
339.0,141.25,85,2.5,C6,G5,E5,C4,C3,C4,C4,A5,A4,E4,C4,C3
339.5,141.4583,85,2.75,C6,G5,E5,C4,C3,C4,C4,G5,G4,E4,C4,C3
340.0,141.6667,86,1.0,F5,F5,F5,F3,F3,F3,F3,F5,F4,G#3,C#3,C#2
341.0,142.0833,86,1.5,r,r,r,r,r,r,r,F5,F4,G#3,C#3,C#2
342.0,142.5,86,2.0,r,G#5,G#4,r,r,r,r,F#5,F#4,E-4,C3,C2
342.5,142.7083,86,2.25,r,G#5,G#4,r,r,r,r,F5,F4,E-4,C3,C2
343.0,142.9167,86,2.5,r,G#5,G#4,r,r,r,r,F#5,F#4,E-4,C3,C2
343.5,143.125,86,2.75,r,G#5,G#4,r,r,r,r,G#5,G#4,E-4,C3,C2
344.0,143.3333,87,1.0,r,G#5,G#4,r,r,r,r,F5,F4,F4,C#3,C#2
345.0,143.75,87,1.5,r,G#5,G#4,r,r,r,r,F5,F4,F4,C#3,C#2
346.0,144.1667,87,2.0,r,G#5,G#4,r,r,r,r,F#5,F#4,E-4,C3,C2
346.5,144.375,87,2.25,r,G#5,G#4,r,r,r,r,F5,F4,E-4,C3,C2
347.0,144.5833,87,2.5,r,G#5,G#4,r,r,r,r,F#5,F#4,E-4,C3,C2
347.5,144.7917,87,2.75,r,G#5,G#4,r,r,r,r,G#5,G#4,E-4,C3,C2
348.0,145.0,88,1.0,r,G#5,G#4,r,r,r,r,F5,F4,F4,C#3,C#2
349.0,145.4167,88,1.5,r,G#5,G#4,r,r,r,r,F5,F4,F4,C#3,C#2
350.0,145.8333,88,2.0,A5,A5,A4,C#3,C#3,F4,F3,A5,A4,F4,C#3,C#2
351.0,146.25,88,2.5,A5,A5,A4,C#3,C#3,F4,F3,A5,A4,F4,C#3,C#2
352.0,146.6667,89,1.0,B-5,B-5,B-4,C#3,C#3,F4,F3,B-5,B-4,F4,C#3,C#2
353.0,147.0833,89,1.5,B-5,B-5,B-4,C#3,C#3,F4,F3,B-5,B-4,F4,C#3,C#2
354.0,147.5,89,2.0,B5,G#5,G#4,C#3,C#3,F4,F3,B5,B4,G#4,C#3,C#2
355.0,147.9167,89,2.5,B5,G#5,G#4,C#3,C#3,F4,F3,B5,B4,G#4,C#3,C#2
356.0,148.3333,90,1.0,C6,A5,C5,C3,C3,F4,F3,C6,C5,A4,C3,C2
357.0,148.75,90,1.5,F6,A5,F5,C4,C3,C4,C4,F6,F5,A4,C4,C3
359.0,149.5833,90,2.5,C6,A5,F5,A3,A2,C4,C4,C6,C5,C4,A3,A2
359.5,149.7917,90,2.75,A5,A5,F5,A3,A2,C4,C4,A5,A4,C4,A3,A2
360.0,150.0,91,1.0,G5,G5,F5,B-3,B-3,D4,B-3,G5,G4,D4,B-3,B-2
360.5,150.2083,91,1.25,G5,G5,F5,B-3,B-3,D4,B-3,A5,A4,D4,B-3,B-2
361.0,150.4167,91,1.5,G5,G5,F5,B-3,B-3,D4,B-3,B-5,B-4,D4,B-3,B-2
361.5,150.625,91,1.75,G5,G5,F5,B-3,B-3,D4,B-3,D6,D5,D4,B-3,B-2
362.0,150.8333,91,2.0,C6,C6,E5,C4,C4,C4,C4,C6,C5,E4,C4,C3
362.5,151.0417,91,2.25,C6,C6,E5,C4,C4,C4,C4,B-5,B-4,E4,C4,C3
363.0,151.25,91,2.5,C6,C6,E5,C4,C4,C4,C4,A5,A4,E4,C4,C3
363.5,151.4583,91,2.75,C6,C6,E5,C4,C4,C4,C4,G5,G4,E4,C4,C3
364.0,151.6667,92,1.0,F6,A5,A4,F3,F3,F4,F3,F5,A4,F4,F3,F2
364.5,151.875,92,1.25,F6,A5,A4,F3,F3,F4,F3,F5,A4,F3,F3,F2
365.0,152.0833,92,1.5,F6,A5,A4,F3,F3,F4,F3,F5,A4,F3,F3,F2
365.5,152.2917,92,1.75,F6,A5,A4,F3,F3,F4,F3,F5,A4,F3,F3,F2
366.0,152.5,92,2.0,F6,B-5,B-4,G3,G3,F4,F3,F5,B-4,G3,G3,G2
368.0,153.3333,93,1.0,F6,B5,B4,G#3,G#3,F4,F3,F5,B4,G#3,G#3,G#2
370.0,154.1667,93,2.0,F6,C6,C5,A3,A3,F4,F3,F5,C5,A3,A3,A2
372.0,155.0,94,1.0,F6,C#6,C#5,B-3,B-3,F4,F3,F5,C#5,B-3,B-3,B-2
374.0,155.8333,94,2.0,F6,A5,A4,C4,C4,F4,F3,F5,A4,E-4,C4,C3
376.0,156.6667,95,1.0,F6,B-5,B-4,C#4,C#4,F4,F3,F5,B-4,C#4,C#4,C#3
378.0,157.5,95,2.0,F6,B5,F5,D4,D4,F4,F3,F5,B4,G#4,D4,D3
380.0,158.3333,96,1.0,E-6,C6,E-5,E-3,E-3,r,r,E-5,C5,G#4,E-4,E-3
382.0,159.1667,96,2.0,C#6,B-5,C#5,E3,E3,r,r,C#5,B-4,G4,E4,E3
384.0,160.0,97,1.0,C6,G#5,C5,F3,F3,r,r,C5,G#4,G#4,F4,F3
386.0,160.8333,97,2.0,B-5,G5,B-4,B-3,B-3,r,r,B-4,G4,C#4,B-3,B-2
388.0,161.6667,98,1.0,A5,C5,C5,C4,C3,C4,C4,A4,F4,C4,C4,C3
389.0,162.0833,98,1.5,C6,C5,C5,C4,C3,C4,C4,A4,F4,C4,C4,C3
390.0,162.5,98,2.0,B-5,B-4,B-4,C4,C3,C4,C4,G#4,F4,C4,C4,C3
390.5,162.7083,98,2.25,G#5,G#4,G#4,C4,C3,C4,C4,G#4,F4,C4,C4,C3
391.0,162.9167,98,2.5,G5,G4,G4,C4,C3,C4,C4,G#4,F4,C4,C4,C3
391.5,163.125,98,2.75,F5,F4,F4,C4,C3,C4,C4,G#4,F4,C4,C4,C3
392.0,163.3333,99,1.0,B-5,B-4,B-4,C4,C3,C4,C4,G4,F4,C4,C3,C2
394.0,164.1667,99,2.0,G#5,G#4,G#4,C4,C3,C4,C4,C5,E4,C4,C3,C2
394.5,164.375,99,2.25,G5,G4,G4,C4,C3,C4,C4,C5,E4,C4,C3,C2
395.0,164.5833,99,2.5,F5,F4,F4,C4,C3,C4,C4,C5,E4,C4,C3,C2
395.5,164.7917,99,2.75,E5,E4,E4,C4,C3,C4,C4,C5,E4,C4,C3,C2
396.0,165.0,100,1.0,F5,F4,F4,F3,F3,F4,F3,F5,A4,F3,F3,F2
397.5,165.625,100,1.75,F6,A5,A4,F3,F3,F4,F3,F5,A4,F3,F3,F2
398.0,165.8333,100,2.0,F6,B-5,B-4,G3,G3,F4,F3,F5,B-4,G3,G3,G2
399.5,166.4583,100,2.75,F6,B-5,B-4,G3,G3,F4,F3,F5,B-4,G3,G3,G2
400.0,166.6667,101,1.0,F6,B5,B4,G#3,G#3,F4,F3,F5,B4,G#3,G#3,G#2
401.5,167.2917,101,1.75,F6,B5,B4,G#3,G#3,F4,F3,F5,B4,G#3,G#3,G#2
402.0,167.5,101,2.0,F6,C6,C5,A3,A3,F4,F3,F5,C5,A3,A3,A2
403.5,168.125,101,2.75,F6,C6,C5,A3,A3,F4,F3,F5,C5,A3,A3,A2
404.0,168.3333,102,1.0,F6,C#6,C#5,B-3,B-3,F4,F3,F5,C#5,B-3,B-3,B-2
405.5,168.9583,102,1.75,F6,C#6,C#5,B-3,B-3,F4,F3,F5,C#5,B-3,B-3,B-2
406.0,169.1667,102,2.0,F6,A5,A4,C4,C4,F4,F3,F5,A4,C4,C4,C3
407.5,169.7917,102,2.75,F6,A5,A4,C4,C4,F4,F3,F5,A4,C4,C4,C3
408.0,170.0,103,1.0,F6,B-5,B-4,C#4,C#4,F4,F3,F5,B-4,C#4,C#4,C#3
409.5,170.625,103,1.75,F6,B-5,B-4,C#4,C#4,F4,F3,F5,B-4,C#4,C#4,C#3
410.0,170.8333,103,2.0,F6,B5,B4,D4,D4,F4,F3,F5,B4,D4,D4,D3
411.5,171.4583,103,2.75,F6,B5,B4,D4,D4,F4,F3,F5,B4,D4,D4,D3
412.0,171.6667,104,1.0,E-6,C6,E-5,E-3,E-3,r,r,E-5,C5,G#4,E-4,E-3
414.0,172.5,104,2.0,C#6,B-5,C#5,E3,E3,r,r,C#5,B-4,G4,E4,E3
416.0,173.3333,105,1.0,C6,G#5,C5,F3,F3,r,r,C5,G#4,G#4,F4,F3
418.0,174.1667,105,2.0,B-5,G5,B-4,B-3,B-3,r,r,B-4,G4,C#4,B-3,B-2
420.0,175.0,106,1.0,A5,C5,C5,C4,C3,C4,C4,A4,F4,C4,C4,C3
421.0,175.4167,106,1.5,C6,C5,C5,C4,C3,C4,C4,A4,F4,C4,C4,C3
422.0,175.8333,106,2.0,B-5,B-4,B-4,C4,C3,C4,C4,G#4,F4,C4,C4,C3
422.5,176.0417,106,2.25,G#5,G#4,G#4,C4,C3,C4,C4,G#4,F4,C4,C4,C3
423.0,176.25,106,2.5,G5,G4,G4,C4,C3,C4,C4,G#4,F4,C4,C4,C3
423.5,176.4583,106,2.75,F5,F4,F4,C4,C3,C4,C4,G#4,F4,C4,C4,C3
424.0,176.6667,107,1.0,B-5,B-4,B-4,C4,C3,C4,C4,G4,F4,C4,C4,C3
426.0,177.5,107,2.0,G#5,G#4,G#4,C4,C3,C4,C4,C5,E4,C4,C4,C3
426.5,177.7083,107,2.25,G5,G4,G4,C4,C3,C4,C4,C5,E4,C4,C4,C3
427.0,177.9167,107,2.5,F5,F4,F4,C4,C3,C4,C4,C5,E4,C4,C4,C3
427.5,178.125,107,2.75,E5,E4,E4,C4,C3,C4,C4,C5,E4,C4,C4,C3
428.0,178.3333,108,1.0,C6,F5,F5,C3,C2,C4,C4,C6,C5,A3,C3,C2
430.0,179.1667,108,2.0,C6,F5,F5,C3,C2,C4,C4,B-5,B-4,G#3,C3,C2
430.5,179.375,108,2.25,C6,F5,F5,C3,C2,C4,C4,G#5,G#4,G#3,C3,C2
431.0,179.5833,108,2.5,C6,F5,F5,C3,C2,C4,C4,G5,G4,G#3,C3,C2
431.5,179.7917,108,2.75,C6,F5,F5,C3,C2,C4,C4,F5,F4,G#3,C3,C2
432.0,180.0,109,1.0,C6,F5,F5,C3,C2,C4,C4,B-5,B-4,G3,C3,C2
434.0,180.8333,109,2.0,C6,E5,E5,C3,C2,C4,C4,G#5,G#4,B-3,C3,C2
434.5,181.0417,109,2.25,C6,E5,E5,C3,C2,C4,C4,G5,G4,B-3,C3,C2
435.0,181.25,109,2.5,C6,E5,E5,C3,C2,C4,C4,F5,F4,B-3,C3,C2
435.5,181.4583,109,2.75,C6,E5,E5,C3,C2,C4,C4,E5,E4,B-3,C3,C2
436.0,181.6667,110,1.0,F6,F5,A4,F3,F2,C4,F3,F5,F4,A3,F3,F2
437.0,182.0833,110,1.5,r,r,r,r,r,r,r,F5,F4,r,r,r
437.5,182.2917,110,1.75,r,r,r,r,r,r,r,A5,A4,r,r,r
438.0,182.5,110,2.0,E6,G5,E5,C4,C3,C4,C4,C6,C5,E4,C3,C2
439.0,182.9167,110,2.5,r,r,r,r,r,r,r,C6,C5,r,r,r
440.0,183.3333,111,1.0,F6,A5,F5,F3,F2,C4,F3,r,r,F4,F3,F2
441.0,183.75,111,1.5,r,r,r,r,r,r,r,F5,F4,r,r,r
441.5,183.9583,111,1.75,r,r,r,r,r,r,r,A5,A4,r,r,r
442.0,184.1667,111,2.0,E6,G5,E5,C4,C3,C4,C4,C6,C5,E4,C3,C2
443.0,184.5833,111,2.5,r,r,r,r,r,r,r,C6,C5,r,r,r
444.0,185.0,112,1.0,F6,A5,F5,F3,F3,C4,C4,F5,F4,F4,F3,F2
444.5,185.2083,112,1.25,F6,A5,F5,F3,F3,C4,C4,A5,A4,F4,F3,F2
445.0,185.4167,112,1.5,E6,G5,E5,C3,C3,C4,C4,C6,C5,E4,C3,C2
445.5,185.625,112,1.75,E6,G5,E5,C3,C3,C4,C4,C6,C5,E4,C3,C2
446.0,185.8333,112,2.0,F6,A5,F5,F3,F3,C4,C4,F5,F4,F4,F3,F2
446.5,186.0417,112,2.25,F6,A5,F5,F3,F3,C4,C4,A5,A4,F4,F3,F2
447.0,186.25,112,2.5,E6,G5,E5,C3,C3,C4,C4,C6,C5,E4,C3,C2
447.5,186.4583,112,2.75,E6,G5,E5,C3,C3,C4,C4,C6,C5,E4,C3,C2
448.0,186.6667,113,1.0,F6,A5,F5,F3,F3,C4,C4,F5,F4,F4,F3,F2
448.5,186.875,113,1.25,F6,A5,F5,F3,F3,C4,C4,A5,A4,F4,F3,F2
449.0,187.0833,113,1.5,E6,G5,E5,C3,C3,C4,C4,C6,C5,E4,C3,C2
449.5,187.2917,113,1.75,E6,G5,E5,C3,C3,C4,C4,C6,C5,E4,C3,C2
450.0,187.5,113,2.0,F6,A5,F5,F3,F3,C4,C4,F5,F4,F4,F3,F2
450.5,187.7083,113,2.25,F6,A5,F5,F3,F3,C4,C4,A5,A4,F4,F3,F2
451.0,187.9167,113,2.5,E6,G5,E5,C3,C3,C4,C4,C6,C5,E4,C3,C2
451.5,188.125,113,2.75,E6,G5,E5,C3,C3,C4,C4,C6,C5,E4,C3,C2
452.0,188.3333,114,1.0,E6,G5,B-4,C#4,F3,F3,F2,G4,G3,C#4,F2,F1
452.5,188.5417,114,1.25,E6,G5,B-4,C#4,F3,F3,F2,G4,G3,C#4,F2,F1
453.0,188.75,114,1.5,E6,G5,B-4,C#4,F3,F3,F2,B-4,B-3,C#4,F2,F1
453.5,188.9583,114,1.75,E6,G5,B-4,C#4,F3,F3,F2,B-4,B-3,C#4,F2,F1
454.0,189.1667,114,2.0,E6,G5,B-4,C#4,F3,F3,F2,C#5,C#4,C#4,F2,F1
454.5,189.375,114,2.25,E6,G5,B-4,C#4,F3,F3,F2,C#5,C#4,C#4,F2,F1
455.0,189.5833,114,2.5,E6,G5,B-4,C#4,F3,F3,F2,E5,E4,C#4,F2,F1
455.5,189.7917,114,2.75,E6,G5,B-4,C#4,F3,F3,F2,E5,E4,C#4,F2,F1
456.0,190.0,115,1.0,E6,G5,B-4,C#4,F3,F3,F2,G5,G4,C#4,F2,F1
456.5,190.2083,115,1.25,E6,G5,B-4,C#4,F3,F3,F2,G5,G4,C#4,F2,F1
457.0,190.4167,115,1.5,E6,G5,B-4,C#4,F3,F3,F2,B-5,B-4,C#4,F2,F1
457.5,190.625,115,1.75,E6,G5,B-4,C#4,F3,F3,F2,B-5,B-4,C#4,F2,F1
458.0,190.8333,115,2.0,E6,G5,B-4,C#4,F3,F3,F2,C#6,C#5,C#4,F2,F1
458.5,191.0417,115,2.25,E6,G5,B-4,C#4,F3,F3,F2,C#6,C#5,C#4,F2,F1
459.0,191.25,115,2.5,E6,G5,B-4,C#4,F3,F3,F2,E6,E5,C#4,F2,F1
459.5,191.4583,115,2.75,E6,G5,B-4,C#4,F3,F3,F2,E6,E5,C#4,F2,F1
460.0,191.6667,116,1.0,F6,F5,A4,C4,F3,F3,F2,F6,F5,C4,F2,F1
462.0,192.5,116,2.0,A6,A5,C5,F3,F3,F3,F2,A5,A5,A4,F3,F2
464.0,193.3333,117,1.0,F6,F5,A4,F3,F2,F3,F2,F4,F4,F3,F2,F1
468.0,195.0,1,1.0,B-5,D5,B-4,B-3,B-3,r,r,r,r,r,r,r
472.0,196.6667,2,1.0,D5,D5,B-4,G4,G4,r,r,r,r,r,r,r
476.0,198.3333,3,1.0,G5,C5,B-4,E-4,E-4,r,r,r,r,r,r,r
477.0,198.75,3,1.5,G5,C5,B-4,E-4,E-4,r,r,E-5,r,r,r,r
477.5,198.9583,3,1.75,G5,C5,B-4,E-4,E-4,r,r,F5,r,r,r,r
478.0,199.1667,3,2.0,G5,C5,B-4,E-4,E-4,r,r,G5,r,r,r,r
478.5,199.375,3,2.25,G5,C5,B-4,E-4,E-4,r,r,F5,r,r,r,r
479.0,199.5833,3,2.5,G5,C5,B-4,E-4,E-4,r,r,E-5,r,r,r,r
479.5,199.7917,3,2.75,G5,C5,B-4,E-4,E-4,r,r,D5,r,r,r,r
480.0,200.0,4,1.0,F5,C5,A4,F4,F4,r,r,C5,r,r,r,r
480.5,200.2083,4,1.25,F5,C5,A4,F4,F4,r,r,B-4,r,r,r,r
481.0,200.4167,4,1.5,F5,C5,A4,F4,F4,r,r,A4,r,r,r,r
481.5,200.625,4,1.75,F5,C5,A4,F4,F4,r,r,G4,r,r,r,r
482.0,200.8333,4,2.0,E-5,C5,A4,F4,F4,r,r,F4,r,r,r,r
482.5,201.0417,4,2.25,E-5,C5,A4,F4,F4,r,r,E-4,r,r,r,r
483.0,201.25,4,2.5,E-5,C5,A4,F4,F4,r,r,D4,r,r,r,r
483.5,201.4583,4,2.75,E-5,C5,A4,F4,F4,r,r,C4,r,r,r,r
484.0,201.6667,5,1.0,D5,B-4,B-4,B-3,B-3,r,r,B-4,F4,B-3,B-2,B-1
