qstamp,tstamp,measure,beat,Traverso 1,Violin 1,Violin 2,Viola,Soprano 1 solo,Tenor solo,Continuo
53.0,41.8421,14,2.0,D6,A5,A4,D5,r,r,F#3
53.25,42.0395,14,2.25,D5,A5,A4,D5,r,r,F#3
53.5,42.2368,14,2.5,F#5,A5,r,r,r,r,A3
53.75,42.4342,14,2.75,A5,A5,r,r,r,r,A3
54.0,42.6316,14,3.0,C5,A5,D5,F#4,r,r,D3
54.5,43.0263,14,3.5,C5,A5,r,r,r,r,F#3
55.0,43.4211,14,4.0,B4,A5,F#5,B4,r,r,B2
55.25,43.6184,14,4.25,D5,A5,F#5,B4,r,r,B2
55.5,43.8158,14,4.5,F#5,A5,r,r,r,r,D3
55.75,44.0132,14,4.75,A5,A5,r,r,r,r,D3
56.0,44.2105,15,1.0,A5,A5,F#5,B4,r,r,E2
56.5,44.6053,15,1.5,A5,G5,r,r,r,r,G3
56.75,44.8026,15,1.75,A5,F#5,r,r,r,r,G3
57.0,45.0,15,2.0,G5,G5,E5,B3,r,r,E3
57.25,45.1974,15,2.25,B4,G5,E5,B3,r,r,E3
57.5,45.3947,15,2.5,E5,G5,r,r,r,r,G3
57.75,45.5921,15,2.75,G5,G5,r,r,r,r,G3
58.0,45.7895,15,3.0,B4,G5,E5,C#4,r,r,C#3
58.5,46.1842,15,3.5,B4,G5,r,r,r,r,E3
59.0,46.5789,15,4.0,A4,G5,C#5,E4,r,r,A2
59.25,46.7763,15,4.25,C#5,G5,C#5,E4,r,r,A2
59.5,46.9737,15,4.5,E5,A5,r,r,r,r,C#3
59.75,47.1711,15,4.75,G5,G5,r,r,r,r,C#3
60.0,47.3684,16,1.0,F#5,F#5,A4,D4,r,r,D2
60.25,47.5658,16,1.25,A5,F#5,A4,D4,r,r,D2
60.5,47.7632,16,1.5,F#5,D5,D4,A4,r,r,F#3
60.75,47.9605,16,1.75,D5,D5,D4,A4,r,r,F#3
61.0,48.1579,16,2.0,A4,A4,F#4,F#4,r,r,A3
61.25,48.3553,16,2.25,D5,A4,F#4,F#4,r,r,A3
61.5,48.5526,16,2.5,E5,C#5,A4,E4,r,r,A2
61.75,48.75,16,2.75,C#5,C#5,A4,E4,r,r,A2
62.0,48.9474,16,3.0,C#5,D5,A4,F#4,r,r,D3
62.5,49.3421,16,3.5,C#5,D5,A4,F#4,r,r,C3
63.0,49.7368,16,4.0,D5,D5,A4,F#4,r,r,B2
63.25,49.9342,16,4.25,F#5,D5,A4,F#4,r,r,B2
63.5,50.1316,16,4.5,A5,D5,A4,F#4,r,r,A2
63.75,50.3289,16,4.75,C6,D5,A4,F#4,r,r,A2
64.0,50.5263,17,1.0,B5,r,r,r,r,G4,G2
64.25,50.7237,17,1.25,A5,r,r,r,r,G4,G2
64.5,50.9211,17,1.5,C6,r,r,r,r,F#4,A2
64.75,51.1184,17,1.75,B5,r,r,r,r,F#4,A2
65.0,51.3158,17,2.0,A5,r,r,r,r,F#4,B2
65.25,51.5132,17,2.25,G5,r,r,r,r,F#4,B2
65.5,51.7105,17,2.5,B5,r,r,r,r,E4,C3
65.75,51.9079,17,2.75,A5,r,r,r,r,E4,C3
66.0,52.1053,17,3.0,G5,r,r,r,D5,D4,B2
66.25,52.3026,17,3.25,F#5,r,r,r,D5,D4,B2
66.5,52.5,17,3.5,A5,r,r,r,C5,D4,G3
66.75,52.6974,17,3.75,G5,r,r,r,C5,D4,G3
67.0,52.8947,17,4.0,F#5,r,r,r,C5,D4,A2
67.25,53.0921,17,4.25,E5,r,r,r,C5,D4,A2
67.5,53.2895,17,4.5,D5,r,r,r,B4,D4,F#3
67.75,53.4868,17,4.75,C5,r,r,r,B4,D4,F#3
68.0,53.6842,18,1.0,B4,G4,r,r,B4,D4,G2
68.25,53.8816,18,1.25,A4,G4,r,r,B4,D4,G2
68.5,54.0789,18,1.5,B4,F#4,r,r,A4,C4,A2
68.75,54.2763,18,1.75,C5,E4,r,r,A4,C4,A2
