qstamp_start,qstamp_end,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
330.0,348.0,U(Oboe d’amore 1),U(Oboe d’amore 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,,,,Main Part,,U(Bassoon)
348.0,358.0,U(Oboe d’amore 1),U(Oboe d’amore 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,U(Main),,,Main Part,,,U(Bassoon)
358.0,376.5,U(Oboe d’amore 1),,U(Traverso 1),,U(Continuo),U(Main),,,Main Part,,,,,U(Bassoon)
376.5,380.5,U(Oboe d’amore 1)&U(Violin 1)&U(Main),,U(Traverso 1)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,,U(Oboe d’amore 2)&U(Violin 2),U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
380.5,382.5,U(Oboe d’amore 1)&U(Violin 1)&U(Main),,U(Traverso 1)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,,U(Oboe d’amore 2)&U(Violin 2),U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
382.5,384.0,Main Part,U(Oboe d’amore 2)&U(Violin 2)&U(Alto),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Main)&U(Oboe d’amore 1),U(Traverso 2)&U(Oboe d’amore 2)&U(Alto),U(Tenor),,,U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
384.0,394.5,U(Oboe d’amore 1)&U(Violin 1),,U(Traverso 1)&U(Violin 1),U(Violin 2)&U(Main),U(Continuo),U(Traverso 1)&U(Oboe d’amore 1),U(Oboe d’amore 2)&U(Main),,,Main Part,,,,U(Bassoon)
394.5,398.5,U(Oboe d’amore 1)&U(Violin 1)&U(Soprano 1),U(Oboe d’amore 2)&U(Violin 2)&U(Main),U(Traverso 1)&U(Violin 1)&U(Soprano 1),U(Traverso 2)&U(Violin 2)&U(Main),U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Soprano 1),U(Traverso 2)&U(Oboe d’amore 2)&U(Main),,U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1),Main Part,,,,U(Bassoon)
398.5,402.5,U(Oboe d’amore 1)&U(Violin 1)&U(Soprano 1),U(Oboe d’amore 2)&U(Violin 2)&U(Main),U(Traverso 1)&U(Violin 1)&U(Soprano 1),U(Traverso 2)&U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Soprano 1),U(Traverso 2)&U(Oboe d’amore 2)&U(Main),U(Tenor),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1),Main Part,,U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
402.5,404.0,U(Oboe d’amore 1)&U(Violin 1)&U(Soprano 1),U(Oboe d’amore 2)&U(Violin 2)&U(Main),U(Traverso 1)&U(Violin 1)&U(Soprano 1),U(Traverso 2)&U(Violin 2)&U(Main),U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Soprano 1),U(Traverso 2)&U(Oboe d’amore 2)&U(Main),U(Tenor),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1),Main Part,,U(Viola),,U(Bassoon)
