score_qstamp,qstamp,tstamp,measure,beat,instrument,duration_quarter,duration,pitch,velocity
23.625,23.625,33.75,9,3.5,Violin 2,0.5,0.7143,62,0.4961
23.625,23.625,33.75,9,3.5,Viola,0.5,0.7143,59,0.4961
24.125,24.125,34.4643,10,1.0,Violoncello,1.0,1.4286,46,1.0
24.125,24.125,34.4643,10,1.0,Violin 1,1.0,1.4286,64,0.7087
24.125,24.125,34.4643,10,1.0,Contrabass,1.0,1.4286,34,1.0
24.125,24.125,34.4643,10,1.0,Violin 2,1.0,1.4286,61,0.7087
24.125,24.125,34.4643,10,1.0,Violin 2,1.0,1.4286,64,0.7087
24.125,24.125,34.4643,10,1.0,Violin 1,1.0,1.4286,61,0.7087
24.125,24.125,34.4643,10,1.0,D Horn 1,1.0,1.4286,66,1.0
24.125,24.125,34.4643,10,1.0,Viola,1.0,1.4286,58,1.0
24.125,24.125,34.4643,10,1.0,D Horn 2,1.0,1.4286,54,1.0
25.0,25.0,35.7143,10,1.875,Oboe 2,0.125,0.1786,76,0.4961
25.0,25.0,35.7143,10,1.875,Bassoon 2,0.125,0.1786,58,0.4961
25.0,25.0,35.7143,10,1.875,Bassoon 1,0.125,0.1786,61,0.4961
25.0,25.0,35.7143,10,1.875,Oboe 1,0.125,0.1786,78,0.4961
25.125,25.125,35.8929,10,2.0,Bassoon 2,1.0,1.4286,58,0.4961
25.125,25.125,35.8929,10,2.0,Oboe 1,1.0,1.4286,78,0.4961
25.125,25.125,35.8929,10,2.0,Oboe 2,1.0,1.4286,76,0.4961
25.125,25.125,35.8929,10,2.0,Bassoon 1,1.0,1.4286,61,0.4961
26.125,26.125,37.3214,10,3.0,Oboe 1,0.5,0.7143,78,0.5461
26.125,26.125,37.3214,10,3.0,Bassoon 2,0.5,0.7143,59,0.5461
26.125,26.125,37.3214,10,3.0,Oboe 2,0.5,0.7143,74,0.5461
26.125,26.125,37.3214,10,3.0,Bassoon 1,0.5,0.7143,62,0.5461
26.625,26.625,38.0357,10,3.5,Violin 1,0.5,0.7143,62,0.4961
26.625,26.625,38.0357,10,3.5,Violin 2,0.5,0.7143,62,0.4961
26.625,26.625,38.0357,10,3.5,Flute 2,0.5,0.7143,78,0.4961
26.625,26.625,38.0357,10,3.5,Flute 1,0.5,0.7143,78,0.4961
27.125,27.125,38.75,11,1.0,Violoncello,1.0,1.4286,47,1.0
27.125,27.125,38.75,11,1.0,Violin 2,1.0,1.4286,55,0.7087
27.125,27.125,38.75,11,1.0,Flute 2,1.0,1.4286,79,1.0
27.125,27.125,38.75,11,1.0,D Horn 1,1.0,1.4286,67,1.0
27.125,27.125,38.75,11,1.0,Violin 1,1.0,1.4286,55,0.7087
27.125,27.125,38.75,11,1.0,Viola,1.0,1.4286,62,0.7087
27.125,27.125,38.75,11,1.0,Viola,1.0,1.4286,59,0.7087
27.125,27.125,38.75,11,1.0,Flute 1,1.0,1.4286,79,1.0
27.125,27.125,38.75,11,1.0,Contrabass,1.0,1.4286,35,1.0
27.125,27.125,38.75,11,1.0,Violin 2,1.0,1.4286,65,0.7087
27.125,27.125,38.75,11,1.0,Violin 1,1.0,1.4286,67,0.7087
27.125,27.125,38.75,11,1.0,D Horn 2,1.0,1.4286,67,1.0
28.0,28.0,40.0,11,1.875,Oboe 2,0.125,0.1786,77,0.4961
28.0,28.0,40.0,11,1.875,Bassoon 1,0.125,0.1786,62,0.4961
28.0,28.0,40.0,11,1.875,Oboe 1,0.125,0.1786,79,0.4961
28.0,28.0,40.0,11,1.875,Bassoon 2,0.125,0.1786,59,0.4961
28.125,28.125,40.1786,11,2.0,Oboe 2,1.0,1.4286,77,0.4961
28.125,28.125,40.1786,11,2.0,Bassoon 1,1.0,1.4286,62,0.4961
28.125,28.125,40.1786,11,2.0,Oboe 1,1.0,1.4286,79,0.4961
28.125,28.125,40.1786,11,2.0,Bassoon 2,1.0,1.4286,59,0.4961
29.125,29.125,41.6071,11,3.0,Bassoon 2,0.5,0.7143,60,0.5461
29.125,29.125,41.6071,11,3.0,Bassoon 1,0.5,0.7143,64,0.5461
29.125,29.125,41.6071,11,3.0,Oboe 2,0.5,0.7143,76,0.5461
29.125,29.125,41.6071,11,3.0,Oboe 1,0.5,0.7143,79,0.5461
29.625,29.625,42.3214,11,3.5,Violin 2,0.5,0.7143,64,0.4961
29.625,29.625,42.3214,11,3.5,Flute 2,0.5,0.7143,80,0.4961
29.625,29.625,42.3214,11,3.5,Flute 1,0.5,0.7143,80,0.4961
29.625,29.625,42.3214,11,3.5,Violin 1,0.5,0.7143,68,0.4961
30.125,30.125,43.0357,12,1.0,Flute 1,1.0,1.4286,81,0.9921
30.125,30.125,43.0357,12,1.0,Violoncello,1.0,1.4286,49,1.0
30.125,30.125,43.0357,12,1.0,Flute 2,1.0,1.4286,81,1.0
30.125,30.125,43.0357,12,1.0,Violin 1,1.0,1.4286,69,0.7087
30.125,30.125,43.0357,12,1.0,Violin 1,1.0,1.4286,57,0.7087
30.125,30.125,43.0357,12,1.0,Contrabass,1.0,1.4286,37,1.0
30.125,30.125,43.0357,12,1.0,Viola,1.0,1.4286,61,0.7087
30.125,30.125,43.0357,12,1.0,D Horn 1,1.0,1.4286,67,1.0
30.125,30.125,43.0357,12,1.0,Violin 2,1.0,1.4286,67,0.7087
30.125,30.125,43.0357,12,1.0,D Horn 2,1.0,1.4286,67,1.0
30.125,30.125,43.0357,12,1.0,Violin 2,1.0,1.4286,57,0.7087
30.125,30.125,43.0357,12,1.0,Viola,1.0,1.4286,64,0.7087
31.0,31.0,44.2857,12,1.875,Oboe 1,0.125,0.1786,81,0.4961
31.0,31.0,44.2857,12,1.875,Oboe 2,0.125,0.1786,79,0.4961
31.0,31.0,44.2857,12,1.875,Bassoon 1,0.125,0.1786,64,0.4961
31.0,31.0,44.2857,12,1.875,Bassoon 2,0.125,0.1786,61,0.4961
31.125,31.125,44.4643,12,2.0,Oboe 1,1.0,1.4286,81,0.4961
