qstamp,tstamp,measure,beat,Hunting Horn,Bassoon 1,Bassoon 2,Bass solo,Continuo
156.5,111.7857,53,1.5,A4,A2,E3,A2,A2
157.0,112.1429,53,2.0,r,r,r,E3,r
157.5,112.5,53,2.5,r,A3,C#3,E3,A2
157.75,112.6786,53,2.75,r,G3,B2,D3,A2
158.0,112.8571,53,3.0,r,A3,C#3,E3,G2
158.5,113.2143,53,3.5,r,B3,E-3,F#3,F#2
158.75,113.3929,53,3.75,r,A3,E-3,F#3,F#2
159.0,113.5714,54,1.0,r,G3,E3,G3,E2
159.5,113.9286,54,1.5,B4,G3,E3,G3,E2
159.75,114.1071,54,1.75,A4,G3,E3,F#3,E2
160.0,114.2857,54,2.0,G4,G3,E3,G3,r
160.25,114.4643,54,2.25,A4,G3,E3,G3,r
160.5,114.6429,54,2.5,F#4,G3,E3,G3,B2
160.75,114.8214,54,2.75,G4,G3,E3,G3,B2
161.0,115.0,54,3.0,E4,G3,E3,r,G2
161.25,115.1786,54,3.25,F#4,G3,E3,r,G2
161.5,115.3571,54,3.5,D4,G3,E3,r,E2
161.75,115.5357,54,3.75,E4,G3,E3,r,E2
162.0,115.7143,55,1.0,C4,F#3,E3,F#3,A2
162.5,116.0714,55,1.5,r,F#3,E-3,A3,A2
162.75,116.25,55,1.75,r,F#3,C#3,A3,A2
163.0,116.4286,55,2.0,r,F#3,E-3,C4,r
163.5,116.7857,55,2.5,r,E3,r,A3,F#2
163.75,116.9643,55,2.75,r,E-3,r,A3,F#2
164.0,117.1429,55,3.0,r,E3,r,B3,G2
164.5,117.5,55,3.5,r,r,C4,E3,A2
165.0,117.8571,56,1.0,r,r,C4,E-3,B2
165.25,118.0357,56,1.25,r,r,B3,E-3,B2
165.5,118.2143,56,1.5,r,B3,A3,E-3,B2
165.75,118.3929,56,1.75,r,B3,G3,E-3,B2
166.0,118.5714,56,2.0,r,C#4,F#3,C#3,r
166.5,118.9286,56,2.5,r,E-4,r,B2,B2
167.0,119.2857,56,3.0,r,E4,r,A3,C#3
167.5,119.6429,56,3.5,r,F#4,B2,A3,E-3
168.0,120.0,57,1.0,r,G4,E2,r,E3
168.5,120.3571,57,1.5,r,G4,E2,B2,E3
169.0,120.7143,57,2.0,r,r,r,G3,r
169.25,120.8929,57,2.25,r,r,r,F#3,r
169.5,121.0714,57,2.5,r,G4,E4,G3,D3
169.75,121.25,57,2.75,r,F#4,D4,G3,D3
170.0,121.4286,57,3.0,r,G4,E4,r,C#3
170.5,121.7857,57,3.5,r,A4,F#4,C#4,A2
170.75,121.9643,57,3.75,r,G4,E4,C#4,A2
171.0,122.1429,58,1.0,r,F#4,D4,C#4,D3
171.5,122.5,58,1.5,r,F#4,D4,F#3,D3
172.0,122.8571,58,2.0,r,r,r,B3,r
172.5,123.2143,58,2.5,r,F#4,D4,B3,D3
172.75,123.3929,58,2.75,r,E4,C#4,B3,D3
173.0,123.5714,58,3.0,r,F#4,D4,r,B2
173.5,123.9286,58,3.5,r,G4,E4,B2,G2
173.75,124.1071,58,3.75,r,F#4,D4,B2,G2
174.0,124.2857,59,1.0,r,E4,C#4,E3,C#3
174.25,124.4643,59,1.25,r,E4,C#4,D3,C#3
174.5,124.6429,59,1.5,r,G4,E4,E3,F#2
175.0,125.0,59,2.0,r,F#4,D4,r,G#2
175.5,125.3571,59,2.5,r,E4,C#4,C#4,B-2
176.0,125.7143,59,3.0,r,D4,B3,D4,B2
176.5,126.0714,59,3.5,r,C#4,B-3,E4,G#2
176.75,126.25,59,3.75,r,B3,B3,E4,G#2
177.0,126.4286,60,1.0,F#4,F#4,C#4,B-3,F#2
177.25,126.6071,60,1.25,F#4,F#4,C#4,B3,F#2
177.5,126.7857,60,1.5,F#4,F#4,C#4,C#4,C#3
177.75,126.9643,60,1.75,F#4,F#4,C#4,B-3,C#3
178.0,127.1429,60,2.0,B4,r,r,F#3,C#3
178.5,127.5,60,2.5,B4,r,r,F#3,D3
179.0,127.8571,60,3.0,B-4,r,r,F#3,E3
179.5,128.2143,60,3.5,B-4,r,r,F#3,F#3
179.75,128.3929,60,3.75,B-4,r,r,F#3,E3
180.0,128.5714,61,1.0,B4,F#4,D4,F#3,D3
180.5,128.9286,61,1.5,F#4,D4,B3,F#3,D3
181.0,129.2857,61,2.0,G4,D4,B3,B3,B2
181.5,129.6429,61,2.5,F#4,E4,C#4,B3,B2
182.0,130.0,61,3.0,E4,E4,C#4,B-3,r
182.5,130.3571,61,3.5,E4,D4,B3,B-3,r
182.75,130.5357,61,3.75,E4,E4,C#4,B-3,r
183.0,130.7143,62,1.0,D4,F#4,D4,B3,r
183.5,131.0714,62,1.5,D4,E4,C#4,G3,r
183.75,131.25,62,1.75,D4,F#4,D4,G3,r
184.0,131.4286,62,2.0,r,G4,E4,E3,B2
184.5,131.7857,62,2.5,r,F#4,D4,E3,B2
185.0,132.1429,62,3.0,r,E4,C#4,E3,B3
185.5,132.5,62,3.5,r,D4,B3,E3,B3
186.0,132.8571,63,1.0,r,E4,C#4,r,B3
186.5,133.2143,63,1.5,r,C#4,B-3,r,C#4
186.75,133.3929,63,1.75,r,C#4,B-3,r,B3
187.0,133.5714,63,2.0,r,C#4,B-3,G3,B-3
187.5,133.9286,63,2.5,r,D4,B3,G3,B-3
188.0,134.2857,63,3.0,r,D4,B3,G3,r
188.25,134.4643,63,3.25,r,D4,B3,F#3,r
188.5,134.6429,63,3.5,r,C#4,B-3,E3,r
188.75,134.8214,63,3.75,r,D4,B3,D3,r
189.0,135.0,64,1.0,r,E4,C#4,C#3,r
189.5,135.3571,64,1.5,r,D4,B3,G3,E3
189.75,135.5357,64,1.75,r,E4,C#4,G3,E3
190.0,135.7143,64,2.0,r,F#4,D4,F#3,D3
190.5,136.0714,64,2.5,r,E4,C#4,B-3,F#3
191.0,136.4286,64,3.0,r,D4,B3,B3,G#3
191.5,136.7857,64,3.5,r,C#4,B-3,C#4,B-3
192.0,137.1429,65,1.0,r,D4,B3,D3,B3
192.5,137.5,65,1.5,r,F#4,A3,C#3,F#3
192.75,137.6786,65,1.75,r,E4,G3,C#3,F#3
193.0,137.8571,65,2.0,r,F#4,A3,B2,E-3
193.5,138.2143,65,2.5,r,G4,B3,E-3,B2
193.75,138.3929,65,2.75,r,F#4,A3,E-3,B2
194.0,138.5714,65,3.0,r,E4,G3,E3,E3
194.5,138.9286,65,3.5,r,r,r,G3,E3
195.0,139.2857,66,1.0,r,r,r,B-2,E3
195.5,139.6429,66,1.5,r,r,r,B2,D3
195.75,139.8214,66,1.75,r,r,r,B2,E3
196.0,140.0,66,2.0,r,r,r,D3,F#3
196.5,140.3571,66,2.5,r,r,r,D3,E3
197.0,140.7143,66,3.0,r,r,r,C#3,F#3
197.5,141.0714,66,3.5,r,r,r,B2,F#2
198.0,141.4286,67,1.0,r,r,r,B2,B2
198.5,141.7857,67,1.5,F#4,r,r,B2,B2
199.0,142.1429,67,2.0,G4,r,r,B2,r
199.5,142.5,67,2.5,F#4,D4,B3,B2,B2
199.75,142.6786,67,2.75,F#4,C#4,A3,B2,B2
200.0,142.8571,67,3.0,E4,D4,B3,r,G2
200.5,143.2143,67,3.5,E4,E4,C#4,r,E2
200.75,143.3929,67,3.75,E4,D4,B3,r,E2
201.0,143.5714,68,1.0,E4,C#4,A3,r,A2
201.5,143.9286,68,1.5,E4,C#4,A3,r,A2
202.0,144.2857,68,2.0,F#4,r,r,r,r
202.5,144.6429,68,2.5,E4,C4,A3,r,A2
202.75,144.8214,68,2.75,E4,B3,G3,r,A2
203.0,145.0,68,3.0,D4,C4,A3,r,F#2
203.5,145.3571,68,3.5,D4,D4,B3,r,D2
203.75,145.5357,68,3.75,D4,C4,A3,r,D2
204.0,145.7143,69,1.0,D4,B3,G3,r,G2
204.5,146.0714,69,1.5,B4,B3,G3,r,G2
204.75,146.25,69,1.75,A4,B3,G3,r,G2
205.0,146.4286,69,2.0,G4,B3,G3,r,r
205.25,146.6071,69,2.25,A4,B3,G3,r,r
205.5,146.7857,69,2.5,F#4,B3,G3,r,r
205.75,146.9643,69,2.75,G4,B3,G3,r,r
206.0,147.1429,69,3.0,E4,B3,G3,r,G3
206.25,147.3214,69,3.25,G4,B3,G3,r,G3
206.5,147.5,69,3.5,F#4,A3,D3,r,G3
206.75,147.6786,69,3.75,E4,B3,D3,r,G3
207.0,147.8571,70,1.0,A4,C#4,E3,r,G3
207.5,148.2143,70,1.5,A4,B3,D3,r,A3
207.75,148.3929,70,1.75,A4,C#4,E3,r,G3
208.0,148.5714,70,2.0,D4,D4,F#3,r,F#3
208.5,148.9286,70,2.5,D4,D4,G3,r,E3
209.0,149.2857,70,3.0,D4,A3,F#3,r,D3
209.5,149.6429,70,3.5,D4,A3,E3,r,C#3
210.0,150.0,71,1.0,D4,A3,D3,r,B2
210.5,150.3571,71,1.5,G4,C#4,E3,r,A2
210.75,150.5357,71,1.75,F#4,C#4,F#3,r,A2
211.0,150.7143,71,2.0,E4,B3,G3,r,G2
211.25,150.8929,71,2.25,F#4,B3,G3,r,G2
211.5,151.0714,71,2.5,E4,D4,B2,r,F#2
211.75,151.25,71,2.75,F#4,D4,B2,r,F#2
212.0,151.4286,71,3.0,G4,C#4,E3,r,E2
212.25,151.6071,71,3.25,F#4,C#4,E3,r,E2
212.5,151.7857,71,3.5,G4,B3,D3,r,E3
212.75,151.9643,71,3.75,E4,B3,D3,r,E3
213.0,152.1429,72,1.0,F#4,B-3,C#3,r,E3
213.25,152.3214,72,1.25,F#4,B3,D3,r,E3
213.5,152.5,72,1.5,F#3,G#3,B2,r,F#3
213.75,152.6786,72,1.75,F#3,B-3,C#3,r,E3
214.0,152.8571,72,2.0,F#3,B3,D3,r,D3
214.25,153.0357,72,2.25,F#3,C#4,E3,r,D3
214.5,153.2143,72,2.5,F#3,B-3,C#3,r,B2
214.75,153.3929,72,2.75,F#3,B3,D3,r,B2
215.0,153.5714,72,3.0,F#3,C#4,E3,r,B-2
215.25,153.75,72,3.25,F#3,B3,E3,r,B-2
215.5,153.9286,72,3.5,F#3,B-3,E3,r,F#2
215.75,154.1071,72,3.75,F#3,C#4,E3,r,F#2
216.0,154.2857,73,1.0,F#3,B3,E3,r,B2
216.25,154.4643,73,1.25,F#3,B3,D3,r,B2
216.5,154.6429,73,1.5,F#3,B-3,C#3,r,F#2
216.75,154.8214,73,1.75,F#3,G#3,B2,r,F#2
217.0,155.0,73,2.0,F#3,F#3,B-2,r,C#3
217.25,155.1786,73,2.25,F#3,E3,B-2,r,C#3
217.5,155.3571,73,2.5,F#3,D3,B-3,r,F#2
217.75,155.5357,73,2.75,F#3,C#3,B-3,r,F#2
218.0,155.7143,73,3.0,F#3,B2,B3,r,D3
218.25,155.8929,73,3.25,F#3,D3,B3,r,D3
218.5,156.0714,73,3.5,F#3,C#3,F#3,r,B-2
218.75,156.25,73,3.75,F#3,E3,F#3,r,B-2
219.0,156.4286,74,1.0,F#3,D3,F#3,r,B2
219.25,156.6071,74,1.25,F#3,D3,E3,r,B2
219.5,156.7857,74,1.5,F#3,B3,D3,r,F#2
219.75,156.9643,74,1.75,F#3,B-3,C#3,r,F#2
220.0,157.1429,74,2.0,F#3,B3,B2,r,D3
220.25,157.3214,74,2.25,F#3,B3,C#3,r,D3
220.5,157.5,74,2.5,F#3,D4,B2,r,B2
220.75,157.6786,74,2.75,F#3,D4,C#3,r,B2
221.0,157.8571,74,3.0,F#3,F#3,C#3,r,F#3
221.5,158.2143,74,3.5,F#3,B-3,C#3,r,F#2
221.75,158.3929,74,3.75,F#3,B-3,B2,r,F#2
221.875,158.4821,74,3.875,F#3,B-3,C#3,r,F#2
222.0,158.5714,75,1.0,F#3,B3,D3,B2,B2
223.0,159.2857,75,2.0,r,r,r,F#3,r
223.5,159.6429,75,2.5,r,B3,D3,F#3,B2
223.75,159.8214,75,2.75,r,A3,C#3,F3,B2
224.0,160.0,75,3.0,r,B3,E-3,F#3,A2
224.5,160.3571,75,3.5,r,C#4,F3,G#3,G#2
224.75,160.5357,75,3.75,r,B3,F3,G#3,G#2
225.0,160.7143,76,1.0,r,A3,F#3,A3,F#2
225.5,161.0714,76,1.5,C#5,A3,F#3,A3,F#2
225.75,161.25,76,1.75,B4,A3,F#3,G#3,F#2
226.0,161.4286,76,2.0,A4,A3,F#3,A3,r
226.25,161.6071,76,2.25,B4,A3,F#3,A3,r
226.5,161.7857,76,2.5,G#4,A3,F#3,A3,C#3
226.75,161.9643,76,2.75,A4,A3,F#3,A3,C#3
227.0,162.1429,76,3.0,F#4,A3,F#3,r,A2
227.25,162.3214,76,3.25,G#4,A3,F#3,r,A2
227.5,162.5,76,3.5,E4,A3,F#3,r,F#2
227.75,162.6786,76,3.75,F#4,A3,F#3,r,F#2
228.0,162.8571,77,1.0,D4,A3,F#3,r,B2
228.5,163.2143,77,1.5,r,G3,B3,D3,B2
228.75,163.3929,77,1.75,r,G3,B-3,D3,B2
229.0,163.5714,77,2.0,r,G3,B3,D4,r
229.5,163.9286,77,2.5,r,F#3,r,D4,B2
229.75,164.1071,77,2.75,r,F3,r,C#4,B2
230.0,164.2857,77,3.0,r,F#3,r,B3,D3
230.25,164.4643,77,3.25,r,F#3,r,A3,D3
230.5,164.6429,77,3.5,r,r,D4,G3,B2
230.75,164.8214,77,3.75,r,r,D4,F#3,B2
231.0,165.0,78,1.0,r,r,D4,F3,C#3
231.5,165.3571,78,1.5,r,C#3,C#4,F3,C#3
231.75,165.5357,78,1.75,r,C#3,B3,F3,C#3
232.0,165.7143,78,2.0,r,E-3,C#4,E-3,r
232.5,166.0714,78,2.5,r,F3,r,C#3,C#3
233.0,166.4286,78,3.0,r,F#3,r,B3,E-3
233.5,166.7857,78,3.5,r,G#3,C#3,B3,F3
234.0,167.1429,79,1.0,r,A3,F#2,r,F#3
234.5,167.5,79,1.5,r,A3,F#2,C#3,F3
235.0,167.8571,79,2.0,r,r,r,A3,F#3
235.25,168.0357,79,2.25,r,r,r,G#3,F#3
235.5,168.2143,79,2.5,r,C#4,r,A3,G#3
235.75,168.3929,79,2.75,r,B3,r,A3,G#3
236.0,168.5714,79,3.0,r,C#4,r,r,A3
236.5,168.9286,79,3.5,r,D4,F#3,F#3,A2
236.75,169.1071,79,3.75,r,C#4,E3,F#3,A2
237.0,169.2857,80,1.0,r,B3,F#3,D4,A2
237.5,169.6429,80,1.5,r,D3,G#3,B3,B2
237.75,169.8214,80,1.75,r,C#3,F#3,B3,A2
238.0,170.0,80,2.0,r,D3,E3,G#3,B2
238.5,170.3571,80,2.5,r,E3,A3,G#3,C#3
238.75,170.5357,80,2.75,r,D3,G#3,G#3,B2
239.0,170.7143,80,3.0,r,C#3,A3,r,A2
239.5,171.0714,80,3.5,r,D3,G#3,A3,B2
239.75,171.25,80,3.75,r,C#3,F#3,A3,A2
240.0,171.4286,81,1.0,r,B2,E3,B3,G#2
240.5,171.7857,81,1.5,r,r,F#3,B3,B2
240.75,171.9643,81,1.75,r,r,F#3,C#4,B2
240.875,172.0536,81,1.875,r,r,F#3,D4,B2
241.0,172.1429,81,2.0,r,r,G#3,C#4,E2
241.5,172.5,81,2.5,r,D3,A3,B3,F#2
241.75,172.6786,81,2.75,r,C#3,A3,B3,F#2
242.0,172.8571,81,3.0,r,D3,B3,E4,G#2
242.5,173.2143,81,3.5,r,E3,B3,B3,E2
242.75,173.3929,81,3.75,r,D3,B3,B3,E2
243.0,173.5714,82,1.0,A3,C#3,B3,C#4,A2
243.5,173.9286,82,1.5,A3,r,D4,C#4,G#2
243.75,174.1071,82,1.75,A3,r,D4,B3,G#2
244.0,174.2857,82,2.0,A4,r,C#4,A3,A2
244.25,174.4643,82,2.25,A4,r,C#4,G#3,A2
244.5,174.6429,82,2.5,G#4,r,B3,F#3,C#3
244.75,174.8214,82,2.75,G#4,r,B3,F3,C#3
245.0,175.0,82,3.0,A4,C#4,A3,F#3,F#2
245.5,175.3571,82,3.5,G#4,C#4,A3,F#3,A2
246.0,175.7143,83,1.0,F#4,C#4,A3,F#3,D3
246.25,175.8929,83,1.25,F#4,C#4,A3,F3,D3
246.5,176.0714,83,1.5,F#4,A3,F#3,F#3,D3
247.0,176.4286,83,2.0,r,A3,F#3,A3,D2
247.5,176.7857,83,2.5,r,B3,G#3,F#3,D2
248.0,177.1429,83,3.0,r,B3,G#3,F3,r
248.5,177.5,83,3.5,r,A3,F#3,F#3,r
248.75,177.6786,83,3.75,r,B3,G#3,F#3,r
249.0,177.8571,84,1.0,r,C#4,A3,F#3,r
249.5,178.2143,84,1.5,r,B3,G#3,D3,r
249.75,178.3929,84,1.75,r,C#4,A3,D3,r
250.0,178.5714,84,2.0,r,D4,B3,B2,G#2
250.5,178.9286,84,2.5,r,C#4,A3,B2,A2
251.0,179.2857,84,3.0,r,B3,G#3,B2,B2
251.5,179.6429,84,3.5,r,A3,F#3,B2,C#3
251.75,179.8214,84,3.75,r,A3,F#3,B2,D3
252.0,180.0,85,1.0,r,B3,G#3,r,F2
252.5,180.3571,85,1.5,r,G#3,F3,r,F2
253.0,180.7143,85,2.0,r,G#3,F3,D3,r
253.5,181.0714,85,2.5,r,A3,F#3,D3,r
254.0,181.4286,85,3.0,r,A3,F#3,D3,r
254.25,181.6071,85,3.25,r,A3,F#3,C#3,r
254.5,181.7857,85,3.5,r,G#3,F3,B2,r
254.75,181.9643,85,3.75,r,A3,F#3,A2,r
255.0,182.1429,86,1.0,r,B3,G#3,G#2,r
255.5,182.5,86,1.5,r,A3,F#3,D3,B2
255.75,182.6786,86,1.75,r,B3,G#3,D3,B2
256.0,182.8571,86,2.0,r,C#4,A3,C#3,A2
256.5,183.2143,86,2.5,r,B3,G#3,F3,C#3
257.0,183.5714,86,3.0,r,A3,F#3,F#3,E-3
257.5,183.9286,86,3.5,r,G#3,F3,G#3,F3
258.0,184.2857,87,1.0,r,F#3,F#3,A3,F#3
258.5,184.6429,87,1.5,r,E4,C#4,G#3,C#3
258.75,184.8214,87,1.75,r,D4,B3,G#3,C#3
259.0,185.0,87,2.0,r,E4,C#4,F#3,B-2
259.5,185.3571,87,2.5,r,F#4,D4,B-3,F#2
259.75,185.5357,87,2.75,r,E4,C#4,B-3,F#2
260.0,185.7143,87,3.0,r,D4,B3,B3,D3
260.5,186.0714,87,3.5,r,r,r,D4,B2
261.0,186.4286,88,1.0,r,r,r,C#4,F3
261.5,186.7857,88,1.5,r,r,r,F#3,F#3
262.0,187.1429,88,2.0,r,r,r,A3,C#3
263.0,187.8571,88,3.0,r,r,r,G#3,C#2
263.5,188.2143,88,3.5,r,r,r,F#3,C#2
264.0,188.5714,89,1.0,r,r,r,F#3,F#2
264.5,188.9286,89,1.5,r,r,r,F#3,F#3
264.75,189.1071,89,1.75,r,r,r,F#3,E3
265.0,189.2857,89,2.0,r,r,r,F#3,F#3
265.5,189.6429,89,2.5,r,r,r,F#3,G3
265.75,189.8214,89,2.75,r,r,r,F#3,F#3
266.0,190.0,89,3.0,r,r,r,r,E3
266.5,190.3571,89,3.5,r,r,r,r,F#3
266.75,190.5357,89,3.75,r,r,r,r,E3
267.0,190.7143,90,1.0,D3,r,r,D3,D3
267.5,191.0714,90,1.5,D3,r,r,D3,D3
268.0,191.4286,90,2.0,D3,r,r,A3,D2
268.5,191.7857,90,2.5,D3,F#3,D4,A3,D2
268.75,191.9643,90,2.75,D3,E3,C#4,A3,D2
269.0,192.1429,90,3.0,D3,F#3,D4,B3,G2
269.5,192.5,90,3.5,D3,G3,E4,B3,G2
269.75,192.6786,90,3.75,D3,F#3,D4,B3,G2
270.0,192.8571,91,1.0,A3,E3,C#4,C#3,G2
270.5,193.2143,91,1.5,A3,E3,C#4,C#3,A2
270.75,193.3929,91,1.75,A3,E3,C#4,C#3,B2
271.0,193.5714,91,2.0,A3,r,r,E3,A2
271.5,193.9286,91,2.5,A3,C#4,E3,E3,G2
271.75,194.1071,91,2.75,A3,B3,D3,E3,G2
272.0,194.2857,91,3.0,A3,C#4,E3,G3,F#2
272.5,194.6429,91,3.5,A3,D4,F#3,G3,A2
272.75,194.8214,91,3.75,A3,C#4,E3,G3,A2
273.0,195.0,92,1.0,A3,D4,D3,G3,D2
273.5,195.3571,92,1.5,r,r,r,G3,D3
273.75,195.5357,92,1.75,r,r,r,G3,C#3
274.0,195.7143,92,2.0,r,r,r,F#3,D3
274.5,196.0714,92,2.5,r,r,r,F#3,E3
274.75,196.25,92,2.75,r,r,r,F#3,F#3
275.0,196.4286,92,3.0,r,r,r,E3,G3
275.5,196.7857,92,3.5,r,r,r,E3,F#3
275.75,196.9643,92,3.75,r,r,r,E3,G3
276.0,197.1429,93,1.0,r,r,r,C#3,A3
276.5,197.5,93,1.5,r,C#4,E3,C#3,A3
277.0,197.8571,93,2.0,r,C#4,E3,C#3,r
277.5,198.2143,93,2.5,r,D4,F#3,B2,D3
277.75,198.3929,93,2.75,r,D4,F#3,C#3,D3
278.0,198.5714,93,3.0,r,D4,F#3,A2,D3
278.5,198.9286,93,3.5,r,C#4,E3,A2,E3
278.75,199.1071,93,3.75,r,D4,F#3,A2,D3
279.0,199.2857,94,1.0,r,E4,G3,r,C#3
279.5,199.6429,94,1.5,r,r,r,A2,D3
279.75,199.8214,94,1.75,r,r,r,A2,C#3
280.0,200.0,94,2.0,r,r,r,B2,B2
280.25,200.1786,94,2.25,r,r,r,D3,B2
280.5,200.3571,94,2.5,r,r,r,C#3,C#3
280.75,200.5357,94,2.75,r,r,r,E3,B2
281.0,200.7143,94,3.0,r,r,r,D3,A2
281.25,200.8929,94,3.25,r,r,r,F#3,A2
281.5,201.0714,94,3.5,r,r,r,E3,r
281.75,201.25,94,3.75,r,r,r,G3,r
282.0,201.4286,95,1.0,r,r,r,F#3,r
282.5,201.7857,95,1.5,r,r,r,E3,D2
283.0,202.1429,95,2.0,r,r,r,G3,E2
283.5,202.5,95,2.5,r,r,r,F#3,F#2
284.0,202.8571,95,3.0,r,r,r,E3,G2
284.5,203.2143,95,3.5,r,r,r,D3,A2
284.75,203.3929,95,3.75,r,r,r,C#3,A2
285.0,203.5714,96,1.0,r,r,r,D3,B2
285.5,203.9286,96,1.5,r,r,r,B3,G2
286.0,204.2857,96,2.0,r,r,r,G3,E2
286.5,204.6429,96,2.5,r,r,r,G3,F#2
286.75,204.8214,96,2.75,r,r,r,G3,G2
287.0,205.0,96,3.0,r,r,r,G3,A2
287.5,205.3571,96,3.5,r,r,r,F#3,A2
288.0,205.7143,97,1.0,D4,A3,F#3,F#3,D2
288.5,206.0714,97,1.5,D4,F#3,D3,F#3,D2
289.0,206.4286,97,2.0,D5,F#3,D3,F#3,r
289.5,206.7857,97,2.5,D5,G3,E3,F#3,r
290.0,207.1429,97,3.0,C#5,G3,E3,r,r
290.5,207.5,97,3.5,C#5,F#3,D3,r,r
290.75,207.6786,97,3.75,C#5,G3,E3,r,r
291.0,207.8571,98,1.0,D5,A3,F#3,r,r
291.5,208.2143,98,1.5,D5,r,r,A3,D3
291.75,208.3929,98,1.75,D5,r,r,A3,C#3
292.0,208.5714,98,2.0,D4,r,r,B3,D3
292.5,208.9286,98,2.5,D4,D4,B3,A3,B2
292.75,209.1071,98,2.75,D4,C#4,A3,A3,B2
293.0,209.2857,98,3.0,r,D4,B3,G#3,E3
293.25,209.4643,98,3.25,r,D4,B3,A3,E3
293.5,209.6429,98,3.5,r,E4,C#4,F#3,E2
293.75,209.8214,98,3.75,r,D4,B3,G#3,E2
294.0,210.0,99,1.0,A3,C#4,A3,A3,A2
294.5,210.3571,99,1.5,A3,E3,C#3,A3,A2
295.0,210.7143,99,2.0,G4,E3,C#3,A2,A3
295.5,211.0714,99,2.5,G4,F#3,D3,A2,A3
296.0,211.4286,99,3.0,F#4,F#3,D3,r,A2
296.5,211.7857,99,3.5,F#4,E3,C#3,r,A2
296.75,211.9643,99,3.75,F#4,F#3,D3,r,A2
297.0,212.1429,100,1.0,E4,G3,E3,r,A2
297.5,212.5,100,1.5,E4,r,r,E3,A3
297.75,212.6786,100,1.75,E4,r,r,E3,G3
298.0,212.8571,100,2.0,A3,r,r,A3,F#3
298.5,213.2143,100,2.5,A3,C4,A3,G3,E3
298.75,213.3929,100,2.75,A3,B3,G3,G3,E3
299.0,213.5714,100,3.0,r,C4,A3,F#3,D3
299.5,213.9286,100,3.5,r,D4,B3,F#3,C3
299.75,214.1071,100,3.75,r,C4,A3,F#3,D3
300.0,214.2857,101,1.0,r,B3,G3,F#3,G2
300.5,214.6429,101,1.5,r,B3,G3,B3,G2
300.75,214.8214,101,1.75,r,B3,G3,A3,G2
301.0,215.0,101,2.0,r,B3,G3,G3,r
301.25,215.1786,101,2.25,r,B3,G3,A3,r
301.5,215.3571,101,2.5,r,B3,G3,F#3,r
301.75,215.5357,101,2.75,r,B3,G3,G3,r
302.0,215.7143,101,3.0,r,B3,G3,E3,G3
302.25,215.8929,101,3.25,r,B3,G3,G3,G3
302.5,216.0714,101,3.5,r,A3,D3,F#3,G3
302.75,216.25,101,3.75,r,B3,D3,E3,G3
303.0,216.4286,102,1.0,r,C#4,E3,A3,G3
303.5,216.7857,102,1.5,A4,D4,A3,A3,F#3
303.75,216.9643,102,1.75,G4,D4,A3,A3,E3
304.0,217.1429,102,2.0,F#4,D4,A3,D3,D3
304.25,217.3214,102,2.25,G4,D4,A3,D3,D3
304.5,217.5,102,2.5,E4,D4,A3,D3,C#3
304.75,217.6786,102,2.75,F#4,D4,A3,D3,C#3
305.0,217.8571,102,3.0,D4,D4,A3,D3,B2
305.25,218.0357,102,3.25,F#4,D4,A3,D3,B2
305.5,218.2143,102,3.5,E4,C#4,G3,D3,C#3
305.75,218.3929,102,3.75,D4,C#4,F#3,D3,D3
306.0,218.5714,103,1.0,G4,B3,G3,r,E3
306.5,218.9286,103,1.5,G4,B2,B3,G3,E3
306.75,219.1071,103,1.75,G4,B2,A3,F#3,E3
307.0,219.2857,103,2.0,r,E3,G3,E3,r
307.25,219.4643,103,2.25,r,E3,G3,F#3,r
307.5,219.6429,103,2.5,r,F#3,F#3,D3,B2
307.75,219.8214,103,2.75,r,F#3,F#3,E3,B2
308.0,220.0,103,3.0,r,G3,E3,C#3,E2
308.25,220.1786,103,3.25,r,G3,E3,D3,E2
308.5,220.3571,103,3.5,r,G3,D3,B2,G2
308.75,220.5357,103,3.75,r,G3,D3,C#3,G2
309.0,220.7143,104,1.0,r,G3,C#3,A2,A2
309.5,221.0714,104,1.5,r,B3,C#3,A2,G2
310.0,221.4286,104,2.0,r,A3,C#3,A2,F#2
310.5,221.7857,104,2.5,r,G3,D3,B2,E2
310.75,221.9643,104,2.75,r,G3,E3,C#3,E2
311.0,222.1429,104,3.0,r,F#3,F#3,D3,D2
311.25,222.3214,104,3.25,r,F#3,G3,E3,D2
311.5,222.5,104,3.5,r,E3,A3,F#3,E2
311.75,222.6786,104,3.75,r,E3,C#4,G3,E2
312.0,222.8571,105,1.0,r,D3,D4,A3,F#2
312.25,223.0357,105,1.25,r,D3,B3,A3,F#2
312.5,223.2143,105,1.5,r,C#3,A3,F#3,A2
312.75,223.3929,105,1.75,r,C#3,G3,F#3,A2
313.0,223.5714,105,2.0,r,D3,F#3,D3,B2
313.25,223.75,105,2.25,r,D3,E3,D3,B2
313.5,223.9286,105,2.5,r,D3,F#3,B3,G2
313.75,224.1071,105,2.75,r,E3,D3,B3,G2
314.0,224.2857,105,3.0,r,E3,C#3,G3,E2
314.25,224.4643,105,3.25,r,E3,C#3,F#3,E2
314.5,224.6429,105,3.5,r,E3,C#3,G3,A2
314.75,224.8214,105,3.75,r,D3,D3,G3,A2
314.875,224.9107,105,3.875,r,E3,D3,G3,A2
315.0,225.0,106,1.0,r,F#3,D3,F#3,D2
315.5,225.3571,106,1.5,A4,F#3,D3,F#3,D3
