qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,"D, A Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
91.875,92.25,,P5(Oboe 1)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&P8(Violin 2)&P8(Violoncello),P5(Flute 2)&P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(D Horn 1)&P8(D Horn 2)&P5(Violin 2)&P5(Violoncello),,P8(Flute 2)&P5(Oboe 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&U(Violin 2)&P8(Violoncello),P5(Flute 2)&P8(Oboe 1)&P5(Bb Clarinet 1)&P5(D Horn 1)&P8(D Horn 2)&P5(Violin 2)&P5(Violoncello),,,P8(Flute 2)&P5(Oboe 1)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(D Horn 2)&P8(Violin 2)&U(Violoncello),P5(Flute 2)&P8(Oboe 1)&P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(D Horn 1)&P5(Violin 2)&P5(Violoncello),,,,,,,P8(Flute 2)&P5(Oboe 1)&U(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&P8(Violoncello),Main Part,P8(Flute 2)&P5(Oboe 1)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(D Horn 1)&P5(D Horn 2)&P8(Violin 2),P8(Main)
92.25,95.25,P5(Flute 2)&P8(Oboe 1)&P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(D Horn 1)&P8(D Horn 2)&P5(Violin 2)&P5(Violoncello),P5(Flute 1)&P5(Oboe 1)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&P8(Violin 2)&P8(Violoncello),P8(Flute 1)&P5(Flute 2)&P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(D Horn 1)&P8(D Horn 2)&P5(Violin 2)&P5(Violoncello),,P5(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&U(Violin 2)&P8(Violoncello),P8(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P5(Bb Clarinet 1)&P5(D Horn 1)&P8(D Horn 2)&P5(Violin 2)&P5(Violoncello),U(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),U(Bassoon 1)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),P5(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(D Horn 2)&P8(Violin 2)&U(Violoncello),P8(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(D Horn 1)&P5(Violin 2)&P5(Violoncello),P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 4),P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3),,,,Main Part,P5(Flute 1)&P8(Flute 2)&P5(Oboe 1)&U(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&P8(Violoncello),P8(Contrabass),P5(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(D Horn 1)&P5(D Horn 2)&P8(Violin 2),P8(Viola)
95.25,96.25,P8(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),P8(Bb Clarinet 1)&P8(D Horn 1)&P8(Violin 2)&P8(Violoncello),P8(Flute 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),,P8(Flute 2)&P8(D Horn 1)&U(Violin 2)&P8(Violoncello),P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P8(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),P8(Flute 2)&P8(Bb Clarinet 1)&P8(Violin 2)&U(Violoncello),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&U(Bb (basso) Horn 4),P8(Flute 1)&P8(Oboe 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 2)&P8(Bb (basso) Horn 4),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(D Horn 2)&P8(Bb (basso) Horn 3),,,,,P8(Flute 2)&U(Bb Clarinet 1)&P8(D Horn 1)&P8(Violoncello),Main Part,P8(Flute 2)&P8(Bb Clarinet 1)&U(D Horn 1)&P8(Violin 2),P8(Main)
96.25,99.875,,P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Main)&P8(Violin 2)&P8(Violoncello),,,P8(Flute 2)&P8(Bb Clarinet 2)&P8(Main)&U(Violin 2)&P8(Violoncello),P8(Flute 2)&P8(Bb Clarinet 1)&P8(Main)&P8(Violin 2)&P8(Violoncello),U(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),U(Bassoon 1)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),P8(D Horn 2),P8(D Horn 1),P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 4),P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3),"P8(D Trumpet 2)&P8(D, A Timpani)&P6(Contrabass)","P8(D Trumpet 1)&P8(D, A Timpani)&P6(Contrabass)",P8(D Trumpet 1)&P8(D Trumpet 2)&P6(Contrabass),Main Part,P8(Flute 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Main)&P8(Violoncello),,P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Main)&P8(Violin 2),"P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)"
99.875,108.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Horn 2),P8(D Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
108.0,110.25,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(D Horn 2),P8(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
110.25,112.0,P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Main)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Main)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
112.0,114.25,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),U(D Horn 2),U(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),U(D Trumpet 2),U(D Trumpet 1),,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
114.25,116.0,P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(D Horn 2),P8(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",P8(D Trumpet 1)&P8(D Trumpet 2),U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
116.0,118.25,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(D Horn 2),P8(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
118.25,119.25,P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&U(Main)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&U(Flute 2)&U(Main)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",P8(D Trumpet 1)&P8(D Trumpet 2),U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
119.25,120.25,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
120.25,124.0,P8(Main),P8(Oboe 2),Main Part,P8(Flute 2),,,,,P8(D Horn 2),P8(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",P8(D Trumpet 1)&P8(D Trumpet 2),P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
124.0,126.0,P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&U(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Main)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&U(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Bassoon 1)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1),,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
