qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano 1,Alto 1,Tenor 1,Bass 1,Soprano 2,Alto 2,Tenor 2,Bass 2,Continuo
159.0,162.0,P3(Tromba 2)&P8(Tromba 3)&P5(Timpani)&P5(Traverso 1)&P5(Traverso 2)&P5(Oboe 1)&P8(Oboe 2)&P5(Violin 1)&P8(Violin 2)&P5(Viola)&P5(Bass 1)&P5(Bass 2),P3(Tromba 1)&P3(Tromba 3)&P3(Timpani)&P3(Traverso 1)&P3(Traverso 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P3(Bass 1)&P3(Bass 2),P8(Tromba 1)&P3(Tromba 2)&P5(Timpani)&P5(Traverso 1)&P5(Traverso 2)&P5(Oboe 1)&U(Oboe 2)&P5(Violin 1)&U(Violin 2)&P5(Viola)&P5(Bass 1)&P5(Bass 2),P5(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P8(Traverso 1)&P8(Traverso 2)&P8(Oboe 1)&P5(Oboe 2)&P8(Violin 1)&P5(Violin 2)&P8(Viola)&U(Bass 1)&U(Bass 2),P5(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P8(Timpani)&U(Traverso 2)&U(Oboe 1)&P5(Oboe 2)&U(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Bass 1)&P8(Bass 2),P5(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P8(Timpani)&U(Traverso 1)&U(Oboe 1)&P5(Oboe 2)&U(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Bass 1)&P8(Bass 2),P5(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P8(Timpani)&U(Traverso 1)&U(Traverso 2)&P5(Oboe 2)&U(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Bass 1)&P8(Bass 2),P8(Tromba 1)&P3(Tromba 2)&U(Tromba 3)&P5(Timpani)&P5(Traverso 1)&P5(Traverso 2)&P5(Oboe 1)&P5(Violin 1)&U(Violin 2)&P5(Viola)&P5(Bass 1)&P5(Bass 2),P5(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P8(Timpani)&U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&P5(Oboe 2)&P5(Violin 2)&P8(Viola)&P8(Bass 1)&P8(Bass 2),P8(Tromba 1)&P3(Tromba 2)&U(Tromba 3)&P5(Timpani)&P5(Traverso 1)&P5(Traverso 2)&P5(Oboe 1)&U(Oboe 2)&P5(Violin 1)&P5(Viola)&P5(Bass 1)&P5(Bass 2),P5(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P8(Timpani)&P8(Traverso 1)&P8(Traverso 2)&P8(Oboe 1)&P5(Oboe 2)&P8(Violin 1)&P5(Violin 2)&P8(Bass 1)&P8(Bass 2),,,,P5(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&U(Timpani)&P8(Traverso 1)&P8(Traverso 2)&P8(Oboe 1)&P5(Oboe 2)&P8(Violin 1)&P5(Violin 2)&P8(Viola)&U(Bass 2),,,Main Part,P5(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&U(Timpani)&P8(Traverso 1)&P8(Traverso 2)&P8(Oboe 1)&P5(Oboe 2)&P8(Violin 1)&P5(Violin 2)&P8(Viola)&U(Bass 1),
162.0,168.0,,Main Part,,,U(Traverso 2),U(Traverso 1),U(Violin 1),,U(Oboe 1),,,,,,,,,,,
168.0,169.5,,,,,,,,,,,,Main Part,,,,P6(Alto 2)&P2(Tenor 2)&P4(Bass 2),P6(Soprano 2)&P5(Tenor 2)&P3(Bass 2),P2(Soprano 2)&P5(Alto 2)&P3(Bass 2),P4(Soprano 2)&P3(Alto 2)&P3(Tenor 2),
169.5,171.0,P4(Tromba 2)&P8(Tromba 3)&P8(Timpani)&U(Traverso 1)&U(Traverso 2)&P4(Oboe 1)&P8(Oboe 2)&U(Violin 1)&P4(Violin 2)&P8(Viola),P4(Tromba 1)&P4(Tromba 3)&P4(Timpani)&P4(Traverso 1)&P4(Traverso 2)&U(Oboe 1)&P4(Oboe 2)&P4(Violin 1)&U(Violin 2)&P4(Viola),P8(Tromba 1)&P4(Tromba 2)&P8(Timpani)&P8(Traverso 1)&P8(Traverso 2)&P4(Oboe 1)&U(Oboe 2)&P8(Violin 1)&P4(Violin 2)&P8(Viola),P8(Tromba 1)&P4(Tromba 2)&P8(Tromba 3)&P8(Traverso 1)&P8(Traverso 2)&P4(Oboe 1)&P8(Oboe 2)&P8(Violin 1)&P4(Violin 2)&P8(Viola),U(Tromba 1)&P4(Tromba 2)&P8(Tromba 3)&P8(Timpani)&U(Traverso 2)&P4(Oboe 1)&P8(Oboe 2)&U(Violin 1)&P4(Violin 2)&P8(Viola),U(Tromba 1)&P4(Tromba 2)&P8(Tromba 3)&P8(Timpani)&U(Traverso 1)&P4(Oboe 1)&P8(Oboe 2)&U(Violin 1)&P4(Violin 2)&P8(Viola),P4(Tromba 1)&U(Tromba 2)&P4(Tromba 3)&P4(Timpani)&P4(Traverso 1)&P4(Traverso 2)&P4(Oboe 2)&P4(Violin 1)&U(Violin 2)&P4(Viola),P8(Tromba 1)&P4(Tromba 2)&U(Tromba 3)&P8(Timpani)&P8(Traverso 1)&P8(Traverso 2)&P4(Oboe 1)&P8(Violin 1)&P4(Violin 2)&P8(Viola),U(Tromba 1)&P4(Tromba 2)&P8(Tromba 3)&P8(Timpani)&U(Traverso 1)&U(Traverso 2)&P4(Oboe 1)&P8(Oboe 2)&P4(Violin 2)&P8(Viola),P4(Tromba 1)&U(Tromba 2)&P4(Tromba 3)&P4(Timpani)&P4(Traverso 1)&P4(Traverso 2)&U(Oboe 1)&P4(Oboe 2)&P4(Violin 1)&P4(Viola),P8(Tromba 1)&P4(Tromba 2)&P8(Tromba 3)&P8(Timpani)&P8(Traverso 1)&P8(Traverso 2)&P4(Oboe 1)&P8(Oboe 2)&P8(Violin 1)&P4(Violin 2),,P4(Tenor 1),P4(Alto 1),,Main Part,,,,
171.0,174.0,Main Part,U(Soprano 2),,,U(Traverso 2)&P8(Violin 1),U(Traverso 1)&P8(Violin 1),,,P8(Traverso 1)&P8(Traverso 2),,,,,,P8(Bass 2),U(Tromba 2),P8(Main),,P8(Bass 1),
174.0,180.0,P4(Tromba 2)&P8(Tromba 3)&P8(Timpani),P4(Tromba 1)&P4(Tromba 3)&P4(Timpani),P8(Tromba 1)&P4(Tromba 2)&P8(Timpani),P8(Tromba 1)&P4(Tromba 2)&P8(Tromba 3),Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Continuo),P8(Main)&P8(Traverso 2)&U(Oboe 2)&U(Violin 1)&U(Violin 2)&U(Viola)&P8(Continuo),P8(Main)&P8(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Violin 2)&U(Viola)&P8(Continuo),P8(Main)&P8(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 2)&U(Viola)&P8(Continuo),P8(Main)&P8(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Viola)&P8(Continuo),P8(Main)&P8(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Violin 2)&P8(Continuo),,,,,,,,,P8(Main)&P8(Traverso 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)
180.0,182.5,Main Part,,,,U(Traverso 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Continuo),U(Traverso 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Continuo),U(Oboe 2),U(Oboe 1),P8(Traverso 1)&P8(Traverso 2)&U(Violin 2)&U(Viola)&P8(Continuo),P8(Traverso 1)&P8(Traverso 2)&U(Violin 1)&U(Viola)&P8(Continuo),P8(Traverso 1)&P8(Traverso 2)&U(Violin 1)&U(Violin 2)&P8(Continuo),,,,,,,,,P8(Traverso 1)&P8(Traverso 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)
182.5,185.5,,Main Part,,,U(Traverso 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Continuo),U(Traverso 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Continuo),U(Oboe 2),U(Oboe 1),P8(Traverso 1)&P8(Traverso 2)&U(Violin 2)&U(Viola)&P8(Continuo),P8(Traverso 1)&P8(Traverso 2)&U(Violin 1)&U(Viola)&P8(Continuo),P8(Traverso 1)&P8(Traverso 2)&U(Violin 1)&U(Violin 2)&P8(Continuo),,,,,,,,,P8(Traverso 1)&P8(Traverso 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)
185.5,192.0,Main Part,,,,,,,,,,,,,,,,,,,
192.0,199.0,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Main)&U(Oboe 1)&U(Violin 1),U(Main)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Main)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,,,,
199.0,202.0,P3(Tromba 2),P3(Tromba 1),P8(Timpani),P8(Tromba 3),Main Part,U(Main)&U(Violin 1),,U(Violin 2),U(Main)&U(Traverso 2),U(Oboe 2),,,,,,,,,,
202.0,208.0,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Main)&U(Oboe 1)&U(Violin 1),U(Main)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Main)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,,,,
208.0,209.75,,,,,Main Part,U(Main)&U(Oboe 1)&U(Violin 1),U(Main)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Main)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,,,,
209.75,210.75,,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),Main Part,U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Main),,,,,,,,,,
210.75,216.0,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Main)&U(Oboe 1)&U(Violin 1),U(Main)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Main)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,,,,
216.0,221.0,Main Part,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,,,,
