qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
286.5,297.5,,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2),U(Traverso 1)&U(Violin 1),U(Traverso 2),,U(Traverso 1)&U(Oboe 1),,U(Tenor),Main Part,,,U(Viola),,
297.5,298.5,,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Main),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Main),U(Bass),U(Traverso 1)&U(Oboe 1),U(Alto),U(Tenor),Main Part,,U(Violin 2),U(Viola),U(Bassoon),
298.5,300.5,,,,,U(Oboe 1),U(Oboe 2)&U(Soprano 1),U(Traverso 1),U(Traverso 2)&U(Soprano 1),U(Main)&P8(Continuo),,,U(Tenor),U(Traverso 2)&U(Oboe 2),,,U(Viola),Main Part,P8(Bassoon)&P8(Main)
300.5,309.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano 2),U(Oboe 2)&U(Soprano 1),U(Traverso 1)&U(Violin 1)&U(Soprano 2),U(Traverso 2)&U(Soprano 1),U(Bass)&P8(Continuo),U(Traverso 1)&U(Oboe 1)&U(Soprano 2),U(Main),U(Tenor),U(Traverso 2)&U(Oboe 2),U(Traverso 1)&U(Oboe 1)&U(Violin 1),Main Part,U(Viola),U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
309.0,312.25,,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2),U(Traverso 1)&U(Violin 1),U(Traverso 2),P8(Continuo),U(Traverso 1)&U(Oboe 1),,,,Main Part,,,,P8(Bassoon)
312.25,313.5,,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2),U(Traverso 1)&U(Violin 1),U(Traverso 2),U(Continuo),U(Traverso 1)&U(Oboe 1),,,,,Main Part,,,U(Bassoon)
313.5,318.25,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano 1),U(Oboe 2)&U(Soprano 2),U(Traverso 1)&U(Violin 1)&U(Soprano 1),U(Traverso 2)&U(Soprano 2),U(Continuo),U(Traverso 1)&U(Oboe 1)&U(Soprano 1),,,U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 2)&U(Oboe 2),,,Main Part,U(Bassoon)
318.25,324.0,,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Soprano 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Soprano 2),U(Continuo),U(Traverso 1)&U(Oboe 1),,,,U(Traverso 2)&U(Oboe 2),Main Part,,,U(Bassoon)
324.0,330.5,P3(Tromba 2)&P4(Tromba 3)&P3(Timpani),P3(Tromba 1)&P6(Tromba 3)&P8(Timpani),P4(Tromba 1)&P6(Tromba 2)&P6(Timpani),P3(Tromba 1)&P8(Tromba 2)&P6(Tromba 3),,,,,P8(Bass)&U(Continuo),,,,Main Part,,,,P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
330.5,333.5,P3(Tromba 2),P3(Tromba 1),,,P3(Traverso 2),P3(Traverso 1),Main Part,,U(Continuo),U(Violin 2),U(Violin 1),,P3(Alto),,P3(Soprano 1),,,U(Bassoon)
333.5,336.5,,,P8(Timpani),P8(Tromba 3),P3(Traverso 2),P3(Traverso 1),Main Part,,P8(Bass)&U(Continuo),U(Violin 2),U(Violin 1),,,P8(Tenor),,P8(Soprano 2),P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
336.5,339.5,P8(Tromba 3)&P8(Timpani),,P8(Tromba 1)&P8(Timpani),P8(Tromba 1)&P8(Tromba 3),,,Main Part,,P8(Bass)&U(Continuo),U(Violin 2),U(Violin 1),,P3(Soprano 2)&P3(Tenor),P3(Soprano 1)&P8(Tenor),,P3(Soprano 1)&P8(Soprano 2),P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
339.5,342.5,P8(Tromba 3)&P8(Timpani),,P8(Tromba 1)&P8(Timpani),P8(Tromba 1)&P8(Tromba 3),,,Main Part,,P8(Bass)&U(Continuo),U(Violin 2),U(Violin 1),,P3(Soprano 2)&P3(Tenor),P3(Soprano 1)&P8(Tenor),,P3(Soprano 1)&P8(Soprano 2),P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
342.5,345.5,P6(Tromba 2),P6(Tromba 1),,,,,Main Part,,P8(Bass)&U(Continuo),U(Violin 2),U(Violin 1),,,,,,P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
345.5,347.5,P6(Tromba 2)&P3(Tromba 3)&P6(Timpani),P6(Tromba 1)&P4(Tromba 3)&P8(Timpani),P3(Tromba 1)&P4(Tromba 2)&P4(Timpani),P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3),,,Main Part,,U(Continuo),U(Violin 2),U(Violin 1),,P4(Alto),P6(Tenor)&P5(Bass),P4(Soprano 1),P6(Soprano 2)&P2(Bass),P5(Soprano 2)&P2(Tenor),U(Bassoon)
347.5,363.5,,P3(Tromba 3),P3(Tromba 2),,U(Traverso 2),U(Traverso 1),,,U(Continuo),,,,Main Part,,,,,U(Bassoon)
363.5,375.25,Main Part,,,,U(Traverso 2),U(Traverso 1),,,U(Continuo),,,,,,,,,U(Bassoon)
375.25,376.5,,P4(Tromba 3)&P4(Timpani)&P8(Viola)&P4(Bass),P4(Tromba 2)&P8(Timpani)&P4(Viola)&P8(Bass),P4(Tromba 2)&P8(Tromba 3)&P4(Viola)&P8(Bass),Main Part,U(Main)&U(Oboe 1)&U(Violin 1),U(Main)&U(Traverso 2)&U(Violin 1),,U(Continuo),U(Main)&U(Traverso 2)&U(Oboe 1),,P8(Tromba 2)&P4(Tromba 3)&P4(Timpani)&P4(Bass),,,,,P4(Tromba 2)&P8(Tromba 3)&P8(Timpani)&P4(Viola),U(Bassoon)
376.5,381.0,Main Part,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),,P8(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),,,,,,,P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
