qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,G Horn 1,G Horn 2,C Horn 3,C Horn 4,Violin 1,Violin 2,Viola,Violoncello,Contrabass
442.0,445.0,,,P3(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2),P3(Oboe 1)&P3(A Clarinet 1)&P5(A Clarinet 2),P5(Oboe 1)&P3(Oboe 2)&P7(A Clarinet 2),P3(Oboe 1)&P5(Oboe 2)&P7(A Clarinet 1),,,,,,,Main Part,,,,
445.0,448.0,,,Main Part,P5(A Clarinet 2),,P5(Oboe 2),,,,,,,P3(Violin 2)&P5(Viola),P3(Violin 1)&P3(Viola),P5(Violin 1)&P3(Violin 2),,
448.0,465.0,P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2),P3(Flute 1)&P3(A Clarinet 1)&P8(A Clarinet 2),,,P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 2),P3(Flute 1)&P8(Flute 2)&P3(A Clarinet 1),,,U(G Horn 2),U(G Horn 1),,,Main Part,,,,
465.0,481.0,Main Part,,,,,,,,U(G Horn 2)&U(Viola),U(G Horn 1)&U(Viola),,,,,U(G Horn 1)&U(G Horn 2),,
481.0,490.0,P8(Flute 2)&P8(Contrabass),P8(Flute 1)&P8(Contrabass),P8(Oboe 2),P8(Oboe 1),P3(A Clarinet 2),P3(A Clarinet 1),,,U(G Horn 2)&U(Viola),U(G Horn 1)&U(Viola),,,Main Part,,U(G Horn 1)&U(G Horn 2),,P8(Flute 1)&P8(Flute 2)
490.0,509.0,,,Main Part,,,,,,U(G Horn 2),U(G Horn 1),,,P8(Violin 2)&P8(Viola),P8(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),,
509.0,519.0,,P8(A Clarinet 2)&P8(Bassoon 2),,,,P8(Flute 2)&P8(Bassoon 2),,P8(Flute 2)&P8(A Clarinet 2),,,,,Main Part,P8(Main)&P8(Viola),P8(Main)&P8(Violin 2),,
519.0,532.5,Main Part,,,,,P4(Bassoon 2),,P4(A Clarinet 2),,,,,,,,,
532.5,535.5,,,,,,,,,,,,,,,,Main Part,
535.5,540.0,P3(Flute 2)&P7(Bassoon 1)&P8(G Horn 1)&P8(G Horn 2)&P3(C Horn 3)&P5(C Horn 4),P3(Flute 1)&P5(Bassoon 1)&P3(G Horn 1)&P3(G Horn 2)&P8(C Horn 3)&P3(C Horn 4),,,,,P7(Flute 1)&P5(Flute 2)&P7(G Horn 1)&P7(G Horn 2)&P5(C Horn 3)&P3(C Horn 4),,P8(Flute 1)&P3(Flute 2)&P7(Bassoon 1)&U(G Horn 2)&P3(C Horn 3)&P5(C Horn 4),P8(Flute 1)&P3(Flute 2)&P7(Bassoon 1)&U(G Horn 1)&P3(C Horn 3)&P5(C Horn 4),P3(Flute 1)&P8(Flute 2)&P5(Bassoon 1)&P3(G Horn 1)&P3(G Horn 2)&P3(C Horn 4),P5(Flute 1)&P3(Flute 2)&P3(Bassoon 1)&P5(G Horn 1)&P5(G Horn 2)&P3(C Horn 3),,,Main Part,,
540.0,543.0,Main Part,P3(Main)&P5(Bassoon 1)&P3(Bassoon 2)&P3(G Horn 1)&P3(G Horn 2)&P8(C Horn 3)&P3(C Horn 4),P8(A Clarinet 1)&P3(A Clarinet 2),,P8(Oboe 1)&P3(A Clarinet 2),P3(Oboe 1)&P3(A Clarinet 1),P7(Main)&P5(Flute 2)&P3(Bassoon 2)&P7(G Horn 1)&P7(G Horn 2)&P5(C Horn 3)&P3(C Horn 4),P5(Main)&P3(Flute 2)&P3(Bassoon 1)&P5(G Horn 1)&P5(G Horn 2)&P3(C Horn 3)&U(C Horn 4),P8(Main)&P3(Flute 2)&P7(Bassoon 1)&P5(Bassoon 2)&U(G Horn 2)&P3(C Horn 3)&P5(C Horn 4),P8(Main)&P3(Flute 2)&P7(Bassoon 1)&P5(Bassoon 2)&U(G Horn 1)&P3(C Horn 3)&P5(C Horn 4),P3(Main)&P8(Flute 2)&P5(Bassoon 1)&P3(Bassoon 2)&P3(G Horn 1)&P3(G Horn 2)&P3(C Horn 4),P5(Main)&P3(Flute 2)&P3(Bassoon 1)&U(Bassoon 2)&P5(G Horn 1)&P5(G Horn 2)&P3(C Horn 3),P3(Violin 2)&P7(Viola),P3(Violin 1)&P5(Viola),P7(Violin 1)&P5(Violin 2),,
543.0,550.0,P3(C Horn 3),,P6(Oboe 2)&P4(A Clarinet 1)&P6(A Clarinet 2)&P4(Contrabass),P6(Oboe 1)&P3(A Clarinet 1)&U(A Clarinet 2)&P3(Contrabass),P4(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Contrabass),P6(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P3(Contrabass),,U(C Horn 4),U(G Horn 2),U(G Horn 1),P3(Flute 1),U(Bassoon 2),Main Part,,,,P4(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)
550.0,553.0,Main Part,P6(Main)&U(Oboe 1)&P6(Oboe 2)&P4(A Clarinet 1)&P6(A Clarinet 2)&P8(Bassoon 1)&P4(Bassoon 2)&P8(G Horn 1)&P8(G Horn 2)&P4(C Horn 3)&P4(C Horn 4)&P4(Violin 1)&P8(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P6(Main)&U(Flute 2)&P6(Oboe 2)&P4(A Clarinet 1)&P6(A Clarinet 2)&P8(Bassoon 1)&P4(Bassoon 2)&P8(G Horn 1)&P8(G Horn 2)&P4(C Horn 3)&P4(C Horn 4)&P4(Violin 1)&P8(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P8(Main)&P6(Flute 2)&P6(Oboe 1)&P3(A Clarinet 1)&U(A Clarinet 2)&P6(Bassoon 1)&P3(Bassoon 2)&P6(G Horn 1)&P6(G Horn 2)&P3(C Horn 3)&P3(C Horn 4)&P3(Violin 1)&P6(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P3(Main)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(G Horn 1)&P4(G Horn 2)&P8(C Horn 3)&P8(C Horn 4)&P8(Violin 1)&P4(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P6(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P6(Bassoon 1)&P3(Bassoon 2)&P6(G Horn 1)&P6(G Horn 2)&P3(C Horn 3)&P3(C Horn 4)&P3(Violin 1)&P6(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P6(Main)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P4(A Clarinet 1)&P6(A Clarinet 2)&P4(Bassoon 2)&U(G Horn 1)&U(G Horn 2)&P4(C Horn 3)&P4(C Horn 4)&P4(Violin 1)&U(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P3(Main)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 1)&P4(G Horn 1)&P4(G Horn 2)&P8(C Horn 3)&U(C Horn 4)&P8(Violin 1)&P4(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P6(Main)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P4(A Clarinet 1)&P6(A Clarinet 2)&U(Bassoon 1)&P4(Bassoon 2)&U(G Horn 2)&P4(C Horn 3)&P4(C Horn 4)&P4(Violin 1)&U(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P6(Main)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P4(A Clarinet 1)&P6(A Clarinet 2)&U(Bassoon 1)&P4(Bassoon 2)&U(G Horn 1)&P4(C Horn 3)&P4(C Horn 4)&P4(Violin 1)&U(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P3(Main)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(G Horn 1)&P4(G Horn 2)&P8(C Horn 4)&U(Violin 1)&P4(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P3(Main)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 1)&U(Bassoon 2)&P4(G Horn 1)&P4(G Horn 2)&P8(C Horn 3)&P8(Violin 1)&P4(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P3(Main)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(G Horn 1)&P4(G Horn 2)&U(C Horn 3)&P8(C Horn 4)&P4(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P6(Main)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P4(A Clarinet 1)&P6(A Clarinet 2)&U(Bassoon 1)&P4(Bassoon 2)&U(G Horn 1)&U(G Horn 2)&P4(C Horn 3)&P4(C Horn 4)&P4(Violin 1)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P8(Main)&P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&P3(Bassoon 2)&P6(G Horn 1)&P6(G Horn 2)&P3(C Horn 3)&P3(C Horn 4)&P3(Violin 1)&P6(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Main)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(G Horn 1)&P4(G Horn 2)&P8(C Horn 3)&P8(C Horn 4)&P8(Violin 1)&P4(Violin 2)&P3(Viola)&P8(Contrabass),P3(Main)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(G Horn 1)&P4(G Horn 2)&P8(C Horn 3)&P8(C Horn 4)&P8(Violin 1)&P4(Violin 2)&P3(Viola)&P8(Violoncello)
