qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,E Horn 3,E Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
60.0,50.7042,16,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D3,D2
60.5,51.1268,16,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,r
61.0,51.5493,16,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,E-4,E-4,E-3,r
61.5,51.9718,16,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-3,E-2
62.0,52.3944,16,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3,C2
62.5,52.8169,16,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C4,C4,C3,r
63.0,53.2394,17,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-3,B-3,B-2,r
63.5,53.662,17,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-2,B-1
64.0,54.0845,17,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3,C2
64.5,54.507,17,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C4,C4,C3,r
65.0,54.9296,17,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#4,C#4,C#3,r
65.5,55.3521,17,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,C#3,C#2
66.0,55.7746,17,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-2,B-1
66.5,56.1972,17,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-3,B-3,B-2,r
67.0,56.6197,18,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#3,G#3,G#2,r
67.5,57.0423,18,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,G#2,G#1
68.0,57.4648,18,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B2,B1
68.5,57.8873,18,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B3,B3,B2,r
69.0,58.3099,18,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,E4,E3,r
69.5,58.7324,18,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E3,E2
70.0,59.1549,18,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2,G1
70.5,59.5775,18,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G3,G2,r
