qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,C Trumpet 1,C Trumpet 2,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
126.0,134.0,,,,,P8(Bassoon 1)&P3(Bassoon 2),,P8(Bb Clarinet)&P3(Bassoon 2),P3(Bb Clarinet)&P3(Bassoon 1),U(Eb Horn 2)&P3(Violin 2),U(Eb Horn 1)&P3(Violin 2),,,,,P3(Eb Horn 1)&P3(Eb Horn 2),Main Part,P8(Contrabass),P8(Violoncello)
134.0,142.0,P8(Violin 1),,,,,,,,U(Eb Horn 2)&P3(Violin 2),U(Eb Horn 1)&P3(Violin 2),,,,P8(Flute 1),P3(Eb Horn 1)&P3(Eb Horn 2),,Main Part,P8(Main)
142.0,150.0,,,,,,,,,U(Eb Horn 2),U(Eb Horn 1),,,,,,,Main Part,P8(Main)
150.0,158.0,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
158.0,168.0,,,,,P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P3(Bb Clarinet)&P3(Eb Horn 1)&P3(Eb Horn 2),,,P8(Bb Clarinet)&P3(Bb Clarinet 2)&P8(Eb Horn 2),P8(Bb Clarinet)&P3(Bb Clarinet 2)&P8(Eb Horn 1),,,,Main Part,,,,
168.0,176.0,,,P8(Bb Clarinet 2),,P8(Eb Horn 1)&P8(Eb Horn 2),P8(Oboe 1),P8(Bassoon 2),P8(Bassoon 1),P8(Bb Clarinet)&P8(Eb Horn 2),P8(Bb Clarinet)&P8(Eb Horn 1),,,,P8(Main)&P8(Violoncello),Main Part,P8(Contrabass),P8(Violin 1)&U(Main),P8(Viola)
176.0,186.0,,,P4(Bb Clarinet)&P8(Bb Clarinet 2)&P4(Eb Horn 1)&P4(Eb Horn 2),,P4(Oboe 1)&P4(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P8(Oboe 1)&P4(Bb Clarinet)&P4(Eb Horn 1)&P4(Eb Horn 2),P8(Bassoon 2),P8(Bassoon 1),P4(Oboe 1)&P8(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Eb Horn 2),P4(Oboe 1)&P8(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Eb Horn 1),,,,P8(Main)&P8(Violoncello),Main Part,P8(Contrabass),P8(Violin 1)&U(Main),P8(Viola)
186.0,190.5,,P4(Oboe 2)&P4(C Trumpet 1)&P4(C Trumpet 2),P8(Bb Clarinet 2),P4(Flute 2)&U(C Trumpet 1)&U(C Trumpet 2),P8(Eb Horn 2),P8(Oboe 1),P8(Bassoon 2)&P3(Eb Horn 1)&U(Main)&P8(Contrabass),P8(Bassoon 1)&P3(Eb Horn 1)&P8(Main)&U(Contrabass),P3(Bassoon 1)&P3(Bassoon 2)&P3(Main)&P3(Contrabass),P8(Bb Clarinet),P4(Flute 2)&U(Oboe 2)&U(C Trumpet 2),P4(Flute 2)&U(Oboe 2)&U(C Trumpet 1),,P8(Violin 2),P8(Violin 1),Main Part,,P8(Bassoon 1)&U(Bassoon 2)&P3(Eb Horn 1)&P8(Main)
190.5,198.0,,P8(Bb Clarinet),,,P8(Flute 2),,,P8(Main)&P8(Violoncello)&P8(Contrabass),,,P8(C Trumpet 2),P8(C Trumpet 1),,U(Violin 2),U(Violin 1),Main Part,P8(Bassoon 2)&U(Main)&P8(Contrabass),P8(Bassoon 2)&P8(Main)&P8(Violoncello)
198.0,208.0,,,,,,,,,,,P8(C Trumpet 2),P8(C Trumpet 1),,P8(Violin 2),P8(Violin 1),,Main Part,P8(Main)
208.0,220.5,,,,,,,,,P8(Eb Horn 2),P8(Eb Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,P8(Violin 2),P8(Violin 1),,Main Part,P8(Main)
220.5,222.5,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&U(Bassoon 1),P8(Eb Horn 2),P8(Eb Horn 1),,,,Main Part,P8(Main)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P3(Main)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P8(Main)&P8(Violin 2)&P3(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P3(Viola)&P8(Violoncello)
