qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,C Trumpet 1,C Trumpet 2,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
147.0,40.8333,73,2.0,C6,r,r,r,r,r,F3,B-2,B-3,B-3,r,r,r,C5,G#4,D4,B-2,B-1
147.5,40.9722,73,2.5,C6,r,r,r,r,r,F3,B-2,B-3,B-3,r,r,r,C5,G#4,D4,B-2,B-1
148.0,41.1111,74,1.0,C6,r,r,r,r,r,G3,E-3,B-3,B-3,r,r,r,C5,G4,E-4,E-3,E-2
149.0,41.3889,74,2.0,B-5,r,r,r,r,r,G3,E-3,B-3,B-3,r,r,r,B-4,G4,E-4,r,r
150.0,41.6667,75,1.0,r,r,r,r,r,r,B-3,G3,r,r,r,r,r,B-4,G4,E-4,r,r
151.0,41.9444,75,2.0,r,r,r,r,r,r,B-3,G3,r,r,r,r,r,C5,G4,E-4,r,r
152.0,42.2222,76,1.0,r,r,r,r,r,r,G3,E3,r,r,r,r,r,C#5,G4,E4,r,r
153.0,42.5,76,2.0,r,r,r,r,r,r,G3,E3,r,r,r,r,r,C5,G4,E4,r,r
154.0,42.7778,77,1.0,r,r,r,r,r,r,E3,C3,r,r,r,r,r,B-4,G4,E4,r,r
154.5,42.9167,77,1.5,r,r,r,r,r,r,E3,C3,r,r,r,r,r,B-4,G4,E4,C3,C2
155.0,43.0556,77,2.0,r,r,r,r,r,r,E3,C3,r,r,r,r,r,C5,G4,E4,C3,C2
155.5,43.1944,77,2.5,r,r,r,r,r,r,E3,C3,r,r,r,r,r,C5,G4,E4,C3,C2
156.0,43.3333,78,1.0,r,r,r,r,r,r,G#3,F3,r,r,r,r,r,B-4,F4,C4,F3,F2
157.0,43.6111,78,2.0,r,r,r,r,r,r,G#3,F3,r,r,r,r,r,G#4,F4,C4,r,r
158.0,43.8889,79,1.0,r,r,r,r,r,r,C#4,G#3,r,r,r,r,r,C#5,G#4,F4,r,r
159.0,44.1667,79,2.0,r,r,r,r,r,r,C#4,G#3,r,r,r,r,r,E-5,G#4,F4,r,r
160.0,44.4444,80,1.0,r,r,r,r,r,r,B-3,G3,r,r,r,r,r,F5,B-4,G4,r,r
161.0,44.7222,80,2.0,r,r,r,r,r,r,B-3,G3,r,r,r,r,r,E-5,B-4,G4,r,r
162.0,45.0,81,1.0,r,r,r,r,r,r,G3,E-3,r,r,r,r,r,C#5,B-4,G4,r,r
162.5,45.1389,81,1.5,r,r,r,r,r,r,G3,E-3,r,r,r,r,r,C#5,B-4,G4,E-3,E-2
163.0,45.2778,81,2.0,r,r,r,r,r,r,G3,E-3,r,r,r,r,r,E-5,B-4,G4,E-3,E-2
163.5,45.4167,81,2.5,r,r,r,r,r,r,G3,E-3,r,r,r,r,r,E-5,B-4,G4,E-3,E-2
164.0,45.5556,82,1.0,r,r,r,r,r,r,C4,G#3,r,r,r,r,r,C#5,G#4,E-4,G#3,G#2
165.0,45.8333,82,2.0,r,r,r,r,r,r,C4,G#3,r,r,r,r,r,C5,G#4,E-4,r,r
166.0,46.1111,83,1.0,r,r,r,r,E-5,C5,G#3,G#2,E-4,E-3,r,r,r,E-5,E-4,r,E-4,r
167.0,46.3889,83,2.0,r,r,r,r,E-5,C5,G#3,G#2,E-4,E-3,r,r,r,F5,F4,r,F4,r
168.0,46.6667,84,1.0,r,r,C6,r,E-5,C5,A3,A2,E-4,E-3,r,r,r,F#5,F#4,r,F#4,r
168.5,46.8056,84,1.5,r,r,C6,r,E-5,C5,A3,A2,E-4,E-3,r,r,r,F#5,F#4,A3,F#4,A2
169.0,46.9444,84,2.0,r,r,C6,r,E-5,C5,A3,A2,E-4,E-3,r,r,r,F5,F4,A3,F4,A2
169.5,47.0833,84,2.5,r,r,C6,r,E-5,C5,A3,A2,E-4,E-3,r,r,r,F5,F4,A3,F4,A2
170.0,47.2222,85,1.0,r,r,C6,r,E-5,C5,A3,A2,E-4,E-3,r,r,r,E-5,E-4,A3,E-4,A2
171.0,47.5,85,2.0,r,r,C6,r,E-5,C5,A3,A2,E-4,E-3,r,r,r,F5,F4,r,F4,r
172.0,47.7778,86,1.0,r,r,B-5,r,E-5,B-4,B-3,B-2,E-4,E-3,r,r,r,F#5,F#4,r,F#4,r
172.5,47.9167,86,1.5,r,r,B-5,r,E-5,B-4,B-3,B-2,E-4,E-3,r,r,r,F#5,F#4,B-3,F#4,B-2
173.0,48.0556,86,2.0,r,r,B-5,r,E-5,B-4,B-3,B-2,E-4,E-3,r,r,r,F5,F4,B-3,F4,B-2
173.5,48.1944,86,2.5,r,r,B-5,r,E-5,B-4,B-3,B-2,E-4,E-3,r,r,r,F5,F4,B-3,F4,B-2
174.0,48.3333,87,1.0,r,r,B-5,r,E-5,B-4,B-3,B-2,E-4,E-3,r,r,r,E-5,E-4,B-3,E-4,B-2
175.0,48.6111,87,2.0,r,r,B-5,r,E-5,B-4,B-3,B-2,E-4,E-3,r,r,r,F5,F4,r,F4,r
176.0,48.8889,88,1.0,r,r,A5,r,E-5,A4,B3,B2,E-4,E-3,r,r,r,F#5,F#4,r,F#4,r
176.5,49.0278,88,1.5,r,r,A5,r,E-5,A4,B3,B2,E-4,E-3,r,r,r,F#5,F#4,B3,F#4,B2
177.0,49.1667,88,2.0,r,r,A5,r,E-5,A4,B3,B2,E-4,E-3,r,r,r,F5,F4,B3,F4,B2
177.5,49.3056,88,2.5,r,r,A5,r,E-5,A4,B3,B2,E-4,E-3,r,r,r,F5,F4,B3,F4,B2
178.0,49.4444,89,1.0,r,r,A5,r,E-5,A4,B3,B2,E-4,E-3,r,r,r,E-5,E-4,B3,E-4,B2
179.0,49.7222,89,2.0,r,r,A5,r,E-5,A4,B3,B2,E-4,E-3,r,r,r,F5,F4,r,F4,r
180.0,50.0,90,1.0,r,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,F#5,F#4,r,F#4,r
180.5,50.1389,90,1.5,r,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,F#5,F#4,C4,F#4,C3
181.0,50.2778,90,2.0,r,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,F5,F4,C4,F4,C3
181.5,50.4167,90,2.5,r,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,F5,F4,C4,F4,C3
182.0,50.5556,91,1.0,E-6,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,E-5,E-4,C4,E-4,C3
183.0,50.8333,91,2.0,F6,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,F5,F4,r,F4,r
184.0,51.1111,92,1.0,F#6,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,F#5,F#4,r,F#4,r
184.5,51.25,92,1.5,F#6,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,F#5,F#4,C4,F#4,C3
185.0,51.3889,92,2.0,F6,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,F5,F4,C4,F4,C3
185.5,51.5278,92,2.5,F6,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,F5,F4,C4,F4,C3
186.0,51.6667,93,1.0,F#6,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,F#5,F#4,C4,F#4,C3
187.0,51.9444,93,2.0,F#6,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,A5,A4,C4,C4,C3
187.5,52.0833,93,2.5,F#6,r,A5,r,E-5,A4,C4,C3,E-4,E-3,r,r,r,A5,A4,C4,C4,C3
188.0,52.2222,94,1.0,F6,B-5,G#5,F5,B-4,G#4,D4,D3,F4,B-3,F5,F5,r,B-5,B-5,D4,D4,D3
190.0,52.7778,95,1.0,F6,B-5,G#5,F5,B-4,G#4,D4,D3,F4,B-3,F5,F5,r,B-5,B-5,D4,D4,D3
190.5,52.9167,95,1.5,F6,B-5,G#5,F5,B-4,G#4,D4,D3,F4,B-3,F5,F5,r,C6,C6,D4,D4,D3
191.0,53.0556,95,2.0,F6,B-5,G#5,F5,B-4,F4,F3,D3,B-3,B-2,r,r,r,B-5,B-5,D3,D3,D2
191.5,53.1944,95,2.5,F6,B-5,G#5,F5,B-4,F4,F3,D3,B-3,B-2,r,r,r,G#5,G#5,D3,D3,D2
192.0,53.3333,96,1.0,G6,B-5,G5,E-5,B-4,G4,G3,E-3,B-3,B-2,r,r,r,G#5,G#5,E-3,E-3,E-2
192.5,53.4722,96,1.5,G6,B-5,G5,E-5,B-4,G4,G3,E-3,B-3,B-2,r,r,r,G5,G5,E-3,E-3,E-2
193.0,53.6111,96,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F5,r,r,r
193.5,53.75,96,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,E-5,r,r,r
194.0,53.8889,97,1.0,F6,B-5,G#5,G#5,B-4,G#4,G#3,F3,B-3,B-2,r,r,r,E-5,E-5,F3,F3,F2
194.5,54.0278,97,1.5,F6,B-5,G#5,G#5,B-4,G#4,G#3,F3,B-3,B-2,r,r,r,D5,D5,F3,F3,F2
195.0,54.1667,97,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,r,r,r
195.5,54.3056,97,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D5,r,r,r
196.0,54.4444,98,1.0,E-6,B-5,B-5,E-5,B-4,G4,B-3,G3,B-3,B-2,G4,G3,G2,F5,F5,G3,G3,G2
196.5,54.5833,98,1.5,E-6,B-5,B-5,E-5,B-4,G4,B-3,G3,B-3,B-2,G4,G3,G2,E-5,E-5,G3,G3,G2
197.0,54.7222,98,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,r,r,r
197.5,54.8611,98,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,r,r,r
198.0,55.0,99,1.0,E-6,C6,C6,E-5,C5,F4,C4,G#3,E-4,E-3,C5,C4,C3,D5,D5,G#3,G#3,G#2
198.5,55.1389,99,1.5,E-6,C6,C6,E-5,C5,F4,C4,G#3,E-4,E-3,C5,C4,C3,C5,C5,G#3,G#3,G#2
199.0,55.2778,99,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,r,r,r
199.5,55.4167,99,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,r,r,r
200.0,55.5556,100,1.0,E-6,B-5,G5,E-5,B-4,G4,B-3,B-3,G4,E-4,r,r,r,C5,C5,B-3,B-3,B-2
200.5,55.6944,100,1.5,E-6,B-5,G5,E-5,B-4,G4,B-3,B-3,G4,E-4,r,r,r,B-4,B-4,B-3,B-3,B-2
201.0,55.8333,100,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,r,r,r
201.5,55.9722,100,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-4,r,r,r
202.0,56.1111,101,1.0,D6,B-5,F5,D5,B-4,F4,B-2,B-2,F4,B-3,r,r,r,B-3,B-3,B-3,B-2,B-1
202.5,56.25,101,1.5,D6,B-5,F5,D5,A5,A4,B-2,B-2,F4,B-3,r,r,r,A5,A4,B-3,B-2,B-1
203.0,56.3889,101,2.0,r,r,r,r,B-5,B-4,r,r,B-3,B-2,r,r,r,B-5,B-4,r,r,r
203.5,56.5278,101,2.5,r,r,r,r,A5,A4,r,r,B-3,B-2,r,r,r,A5,A4,r,r,r
204.0,56.6667,102,1.0,F6,B-5,G#5,F5,B-5,B-4,G#4,F4,B-3,B-2,F5,F5,r,B-5,B-4,F3,D3,D2
204.5,56.8056,102,1.5,F6,B-5,G#5,F5,A5,A4,G#4,F4,B-3,B-2,F5,F5,r,A5,A4,F3,D3,D2
205.0,56.9444,102,2.0,F6,B-5,G#5,F5,B-5,B-4,G#4,F4,B-3,B-2,F5,F5,r,B-5,B-4,B-3,F3,F2
205.5,57.0833,102,2.5,F6,B-5,G#5,F5,A5,A4,G#4,F4,B-3,B-2,F5,F5,r,A5,A4,B-3,F3,F2
206.0,57.2222,103,1.0,F6,B-5,G#5,F5,B-5,B-4,G#4,F4,B-3,B-2,F5,F5,r,B-5,B-4,F3,D3,D2
206.5,57.3611,103,1.5,F6,B-5,G#5,F5,C6,C5,G#4,F4,B-3,B-2,F5,F5,r,C6,C6,F3,D3,D2
207.0,57.5,103,2.0,F6,B-5,G#5,F5,B-5,B-4,F4,B-3,B-3,B-2,F5,F5,r,B-5,B-5,B-3,F3,F2
207.5,57.6389,103,2.5,F6,B-5,G#5,F5,G#5,G#4,F4,B-3,B-3,B-2,F5,F5,r,G#5,G#5,B-3,F3,F2
208.0,57.7778,104,1.0,G6,B-5,G5,E-5,G5,G4,G4,E-4,B-3,B-2,G5,G5,r,G#5,G#5,G3,E-3,E-2
208.5,57.9167,104,1.5,G6,B-5,G5,E-5,G5,G4,G4,E-4,B-3,B-2,G5,G5,r,G5,G5,G3,E-3,E-2
209.0,58.0556,104,2.0,G6,B-5,G5,E-5,G5,G4,G4,E-4,B-3,B-2,G5,G5,G2,F5,F5,B-3,G3,G2
209.5,58.1944,104,2.5,G6,B-5,G5,E-5,G5,G4,G4,E-4,B-3,B-2,G5,G5,G2,E-5,E-5,B-3,G3,G2
210.0,58.3333,105,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,E-5,G#3,F3,F2
210.5,58.4722,105,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D5,G#3,F3,F2
211.0,58.6111,105,2.0,D6,B-5,F5,D5,D5,F4,F4,B-3,B-3,B-2,r,r,r,C5,C5,B-3,G#3,G#2
211.5,58.75,105,2.5,D6,B-5,F5,D5,D5,F4,F4,B-3,B-3,B-2,r,r,r,D5,D5,B-3,G#3,G#2
212.0,58.8889,106,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F5,F4,G3,G2
212.5,59.0278,106,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,E-5,E-4,G3,G2
213.0,59.1667,106,2.0,E-6,B-5,G5,E-5,E-5,G4,E-4,B-3,E-4,E-3,G4,G3,G2,B-4,B-4,B-3,B-3,B-2
213.5,59.3056,106,2.5,E-6,B-5,G5,E-5,E-5,G4,E-4,B-3,E-4,E-3,G4,G3,G2,G4,G4,G3,B-3,B-2
214.0,59.4444,107,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D5,D4,G#3,G#2
214.5,59.5833,107,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,G#3,G#2
215.0,59.7222,107,2.0,E-6,G#5,F5,E-5,G#4,F4,C4,G#3,E-4,E-3,C5,C4,C3,G#4,G#4,G#3,C4,C3
215.5,59.8611,107,2.5,E-6,G#5,F5,E-5,G#4,F4,C4,G#3,E-4,E-3,C5,C4,C3,F4,F4,F3,C4,C3
216.0,60.0,108,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,B-3,B-2
216.5,60.1389,108,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,B-3,B-3,B-2
217.0,60.2778,108,2.0,E-6,B-5,G5,E-5,G4,E-4,B-3,G3,E-4,E-3,r,r,r,G4,G4,G3,B-2,B-1
217.5,60.4167,108,2.5,E-6,B-5,G5,E-5,G4,E-4,B-3,G3,E-4,E-3,r,r,r,E-4,E-4,E-3,B-2,B-1
218.0,60.5556,109,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,D3,B-3,B-2
218.5,60.6944,109,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,D4,B-3,B-2
219.0,60.8333,109,2.0,D6,B-5,F5,D5,D5,F4,B-3,B-2,B-3,B-2,r,r,r,B-5,B-5,F4,B-2,B-1
219.5,60.9722,109,2.5,D6,B-5,F5,D5,D5,F4,B-3,B-2,B-3,B-2,r,r,r,B-5,B-5,D4,B-2,B-1
220.0,61.1111,110,1.0,E-6,B-5,G5,E-5,E-5,G4,E-4,E-3,r,r,r,r,r,E-5,E-4,G3,E-3,E-2
220.5,61.25,110,1.5,G6,G6,G5,G5,G5,G5,G4,G4,r,r,r,r,r,E-5,E-4,G3,E-3,E-2
221.0,61.3889,110,2.0,G6,G6,G5,G5,G5,G5,G4,G4,r,r,r,r,r,E-5,E-4,G3,E-3,E-2
221.5,61.5278,110,2.5,G6,G6,G5,G5,G5,G5,G4,G4,r,r,r,r,r,E-5,E-4,G3,E-3,E-2
222.0,61.6667,111,1.0,E-6,E-6,E-5,E-5,E-5,E-5,E-4,E-4,r,r,r,r,r,E-5,E-4,G3,E-3,E-2
222.5,61.8056,111,1.5,B-5,B-5,B-5,B-5,B-5,r,B-3,B-3,B-4,B-3,r,r,r,E-5,E-4,G3,E-3,E-2
223.0,61.9444,111,2.0,B-5,B-5,B-5,B-5,B-5,r,B-3,B-3,B-4,B-3,r,r,r,E-5,E-4,G3,E-3,E-2
223.5,62.0833,111,2.5,B-5,B-5,B-5,B-5,B-5,r,B-3,B-3,B-4,B-3,r,r,r,E-5,E-4,G3,E-3,E-2
224.0,62.2222,112,1.0,G5,G5,G5,G5,G5,G4,G3,G3,G4,G3,r,r,r,E-5,E-4,G3,E-3,E-2
224.5,62.3611,112,1.5,E-5,E-5,E-5,E-5,E-5,E-4,E-3,E-3,E-4,E-3,r,r,r,E-5,E-4,G3,E-3,E-2
225.0,62.5,112,2.0,E-5,E-5,E-5,E-5,E-5,E-4,E-3,E-3,E-4,E-3,r,r,r,E-5,E-4,G3,E-3,E-2
225.5,62.6389,112,2.5,E-5,E-5,E-5,E-5,E-5,E-4,E-3,E-3,E-4,E-3,r,r,r,E-5,E-4,G3,E-3,E-2
226.0,62.7778,113,1.0,B-4,B-4,B-4,B-4,B-4,B-3,B-2,B-2,B-3,B-2,r,r,r,E-5,E-4,G3,E-3,E-2
226.5,62.9167,113,1.5,B-4,B-4,B-4,B-4,B-4,B-3,B-2,B-2,B-3,B-2,r,r,r,D5,D4,B-3,B-2,B-1
227.0,63.0556,113,2.0,B-4,B-4,B-4,B-4,B-4,B-3,B-2,B-2,B-3,B-2,r,r,r,F5,D4,B-3,B-2,B-1
227.5,63.1944,113,2.5,B-4,B-4,B-4,B-4,B-4,B-3,B-2,B-2,B-3,B-2,r,r,r,F5,D4,B-3,B-2,B-1
228.0,63.3333,114,1.0,E-6,B-5,G5,E-5,E-5,G4,E-4,E-3,r,r,r,r,r,G5,E-4,B-3,E-3,E-2
228.5,63.4722,114,1.5,G6,G6,G5,G5,G5,G5,G4,G4,r,r,r,r,r,G5,E-4,B-3,E-3,E-2
229.0,63.6111,114,2.0,G6,G6,G5,G5,G5,G5,G4,G4,r,r,r,r,r,G5,E-4,B-3,E-3,E-2
229.5,63.75,114,2.5,G6,G6,G5,G5,G5,G5,G4,G4,r,r,r,r,r,G5,E-4,B-3,E-3,E-2
230.0,63.8889,115,1.0,E-6,E-6,E-5,E-5,E-5,E-5,E-4,E-4,r,r,r,r,r,G5,E-4,B-3,E-3,E-2
230.5,64.0278,115,1.5,B-5,B-5,B-5,B-5,B-5,B-4,B-3,B-3,B-4,B-3,r,r,r,G5,E-4,B-3,E-3,E-2
231.0,64.1667,115,2.0,B-5,B-5,B-5,B-5,B-5,B-4,B-3,B-3,B-4,B-3,r,r,r,G5,E-4,B-3,E-3,E-2
231.5,64.3056,115,2.5,B-5,B-5,B-5,B-5,B-5,B-4,B-3,B-3,B-4,B-3,r,r,r,G5,E-4,B-3,E-3,E-2
232.0,64.4444,116,1.0,G5,G5,G5,G5,G5,G4,G3,G3,G4,G3,r,r,r,G5,E-4,B-3,E-3,E-2
232.5,64.5833,116,1.5,E-5,E-5,E-5,E-5,E-5,E-4,E-3,E-3,E-4,E-3,r,r,r,G5,E-4,B-3,E-3,E-2
233.0,64.7222,116,2.0,E-5,E-5,E-5,E-5,E-5,E-4,E-3,E-3,E-4,E-3,r,r,r,G5,E-4,B-3,E-3,E-2
233.5,64.8611,116,2.5,E-5,E-5,E-5,E-5,E-5,E-4,E-3,E-3,E-4,E-3,r,r,r,G5,E-4,B-3,E-3,E-2
234.0,65.0,117,1.0,B-4,B-4,B-4,B-4,B-4,B-3,B-2,B-2,B-3,B-2,r,r,r,G5,E-4,B-3,E-3,E-2
234.5,65.1389,117,1.5,B-4,B-4,B-4,B-4,B-4,B-3,B-2,B-2,B-3,B-2,r,r,r,B-5,D5,B-3,B-2,B-1
235.0,65.2778,117,2.0,B-4,B-4,B-4,B-4,B-4,B-3,B-2,B-2,B-3,B-2,r,r,r,B-5,D5,B-3,B-2,B-1
235.5,65.4167,117,2.5,B-4,B-4,B-4,B-4,B-4,B-3,B-2,B-2,B-3,B-2,r,r,r,B-5,D5,B-3,B-2,B-1
236.0,65.5556,118,1.0,B-4,B-4,B-4,B-4,B-4,B-3,B-2,B-2,B-3,B-2,r,r,r,B-5,E-5,B-3,E-3,E-2
238.5,66.25,119,1.5,B-5,B-5,F5,D5,D5,F4,D4,B-3,B-3,B-2,r,r,r,B-5,D5,B-3,B-2,B-1
239.0,66.3889,119,2.0,B-5,B-5,F5,D5,D5,F4,D4,B-3,B-3,B-2,r,r,r,B-5,D5,B-3,B-2,B-1
239.5,66.5278,119,2.5,B-5,B-5,F5,D5,D5,F4,D4,B-3,B-3,B-2,r,r,r,B-5,D5,B-3,B-2,B-1
240.0,66.6667,120,1.0,B-5,B-5,G5,E-5,E-5,G4,E-4,B-3,E-4,E-3,r,r,r,B-5,E-5,B-3,E-3,E-2
242.5,67.3611,121,1.5,D6,F5,B-5,F5,F5,D5,B-2,B-2,F4,B-3,r,r,r,D6,F5,B-3,B-2,B-1
243.0,67.5,121,2.0,D6,F5,B-5,F5,F5,D5,B-2,B-2,F4,B-3,r,r,r,D6,F5,B-3,B-2,B-1
243.5,67.6389,121,2.5,D6,F5,B-5,F5,F5,D5,B-2,B-2,F4,B-3,r,r,r,D6,F5,B-3,B-2,B-1
244.0,67.7778,122,1.0,E-6,G5,G5,E-5,E-5,G4,E-3,E-3,E-4,E-3,r,r,r,E-6,G5,E-4,E-3,E-2
256.5,71.25,1,1.5,r,r,r,r,G4,G4,r,r,r,r,r,r,r,G4,G4,G3,G2,G2
257.0,71.3889,1,2.0,r,r,r,r,G4,G4,r,r,r,r,r,r,r,G4,G4,G3,G2,G2
257.5,71.5278,1,2.5,r,r,r,r,G4,G4,r,r,r,r,r,r,r,G4,G4,G3,G2,G2
258.0,71.6667,2,1.0,r,r,r,r,E-4,E-4,r,r,r,r,r,r,r,E-4,E-4,E-3,E-2,E-2
260.5,72.3611,3,1.5,r,r,r,r,F4,F4,r,r,r,r,r,r,r,F4,F4,F3,F2,F2
261.0,72.5,3,2.0,r,r,r,r,F4,F4,r,r,r,r,r,r,r,F4,F4,F3,F2,F2
261.5,72.6389,3,2.5,r,r,r,r,F4,F4,r,r,r,r,r,r,r,F4,F4,F3,F2,F2
262.0,72.7778,4,1.0,r,r,r,r,D4,D4,r,r,r,r,r,r,r,D4,D4,D3,D2,D2
264.0,73.3333,5,1.0,r,r,r,r,D4,D4,r,r,r,r,r,r,r,D4,D4,D3,D2,D2
266.5,74.0278,6,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r
267.0,74.1667,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r
267.5,74.3056,6,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r
268.0,74.4444,7,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,E-4,r,C4,r
268.5,74.5833,7,1.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,E-4,G#4,C4,r
269.0,74.7222,7,2.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,E-4,G#4,C4,r
269.5,74.8611,7,2.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,E-4,G#4,C4,r
270.0,75.0,8,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,E-4,G4,C4,r
270.5,75.1389,8,1.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,E-4,G4,C4,r
271.0,75.2778,8,2.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,E-4,G4,C4,r
271.5,75.4167,8,2.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,E-4,G4,C4,r
272.0,75.5556,9,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,C5,E-4,G4,C4,r
274.0,76.1111,10,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,C5,E-4,G4,C4,r
274.5,76.25,10,1.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,C5,G4,G4,C4,r
275.0,76.3889,10,2.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,G4,r,C4,r
275.5,76.5278,10,2.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,G4,r,C4,r
276.0,76.6667,11,1.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,D4,r,B3,r
276.5,76.8056,11,1.5,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,D4,G#4,B3,r
277.0,76.9444,11,2.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,D4,G#4,B3,r
277.5,77.0833,11,2.5,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,D4,G#4,B3,r
278.0,77.2222,12,1.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,D4,G4,B3,r
278.5,77.3611,12,1.5,r,r,r,r,r,r,B3,B3,r,r,r,r,r,F5,D4,G4,B3,r
279.0,77.5,12,2.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,F5,D4,G4,B3,r
279.5,77.6389,12,2.5,r,r,r,r,r,r,B3,B3,r,r,r,r,r,F5,D4,G4,B3,r
280.0,77.7778,13,1.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,D5,G4,D4,B3,r
282.0,78.3333,14,1.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,D5,G4,D4,B3,r
282.5,78.4722,14,1.5,r,r,r,r,r,r,B3,B3,r,r,r,r,r,G5,G4,D4,B3,r
283.0,78.6111,14,2.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,G5,G4,D4,B3,r
283.5,78.75,14,2.5,r,r,r,r,r,r,B3,B3,r,r,r,r,r,F5,G4,D4,B3,r
284.0,78.8889,15,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,G4,E-4,C4,r
284.5,79.0278,15,1.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,E-4,E-4,C4,r
285.0,79.1667,15,2.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,E-4,E-4,C4,r
285.5,79.3056,15,2.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,F4,F4,C4,r
286.0,79.4444,16,1.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,D5,G4,G4,B3,r
286.5,79.5833,16,1.5,r,r,r,r,r,r,B3,B3,r,r,r,r,r,G5,G4,G4,B3,r
287.0,79.7222,16,2.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,G5,G4,G4,B3,r
287.5,79.8611,16,2.5,r,r,r,r,r,r,B3,B3,r,r,r,r,r,F5,G4,G4,B3,r
288.0,80.0,17,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,G4,G4,C4,r
288.5,80.1389,17,1.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,E-4,E-4,C4,r
289.0,80.2778,17,2.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,E-4,E-4,C4,r
