qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
75.5,98.4783,52,1.0,r,r,r,r,E-5,r,r,r,r,r,r,r,r,F5,F4,F3,F3,C#2
75.75,98.8043,52,1.1667,r,r,r,r,E-5,r,r,r,r,r,r,r,r,F5,F4,A3,A3,C#2
76.0,99.1304,52,1.3333,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,B-3,B-3,C#2
76.25,99.4565,52,1.5,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,A3,A3,C#2
76.5,99.7826,52,1.6667,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,B-3,B-3,r
76.75,100.1087,52,1.8333,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,C4,C4,r
77.0,100.4348,53,1.0,r,r,r,r,E-5,r,r,r,r,r,r,r,r,C#5,C#4,C#4,C#4,B-1
77.25,100.7609,53,1.1667,r,r,r,r,E-5,r,r,r,r,r,r,r,r,C#5,C#4,C4,C4,B-1
77.5,101.087,53,1.3333,r,r,r,r,E-5,r,r,r,r,r,r,r,r,B-4,B-3,B-3,B-3,G1
77.75,101.413,53,1.5,r,r,r,r,E-5,r,r,r,r,r,r,r,r,B-4,B-3,C#4,C#4,G1
78.0,101.7391,53,1.6667,r,r,r,r,E-5,r,r,r,r,r,r,r,r,C#5,C#4,G3,G3,B-1
78.25,102.0652,53,1.8333,r,r,r,r,E-5,r,r,r,r,r,r,r,r,C#5,C#4,B-3,B-3,B-1
78.5,102.3913,54,1.0,r,r,r,r,E5,r,r,r,r,r,r,r,r,G4,G3,E3,E3,C2
78.75,102.7174,54,1.1667,r,r,r,r,E5,r,r,r,r,r,r,r,r,G4,G3,G3,G3,C2
79.0,103.0435,54,1.3333,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,C4,C4,r
79.25,103.3696,54,1.5,r,r,r,r,E5,r,r,r,r,r,r,r,r,r,r,G3,G3,r
79.5,103.6957,54,1.6667,r,r,r,r,E5,r,r,r,r,r,r,r,r,C5,C4,C4,C4,C2
79.75,104.0217,54,1.8333,r,r,r,r,E5,r,r,r,r,r,r,r,r,C5,C4,B-3,B-3,C2
80.0,104.3478,55,1.0,r,r,r,r,F5,r,r,r,r,r,r,r,r,C5,C4,A3,A3,F2
80.25,104.6739,55,1.1667,r,r,r,r,F5,r,r,r,r,r,r,r,r,C5,C4,F3,F3,F2
80.5,105.0,55,1.3333,r,r,r,r,F5,r,r,r,r,r,r,r,r,C#5,C#4,B-3,B-3,B-1
80.75,105.3261,55,1.5,r,r,r,r,F5,r,r,r,r,r,r,r,r,C#5,C#4,C4,C4,B-1
81.0,105.6522,55,1.6667,r,r,r,r,F5,r,r,r,r,r,r,r,r,r,r,C#4,C#4,r
81.25,105.9783,55,1.8333,r,r,r,r,F5,r,r,r,r,r,r,r,r,r,r,B-3,B-3,r
81.5,106.3043,56,1.0,r,r,r,r,F5,r,r,r,r,r,r,r,r,B-4,B-3,G3,G3,E-2
81.75,106.6304,56,1.1667,r,r,r,r,F5,r,r,r,r,r,r,r,r,B-4,B-3,E-3,E-3,E-2
82.0,106.9565,56,1.3333,r,r,r,r,E-5,r,r,r,r,r,r,r,r,C5,C4,G#3,G#3,G#1
82.25,107.2826,56,1.5,r,r,r,r,E-5,r,r,r,r,r,r,r,r,C5,C4,G3,G3,G#1
82.5,107.6087,56,1.6667,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,G#3,G#3,r
82.75,107.9348,56,1.8333,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,C4,C4,r
83.0,108.2609,57,1.0,r,r,B-4,G4,E-5,G4,B-3,E-3,r,r,r,r,r,E-4,B-4,D4,D4,E-1
83.25,108.587,57,1.1667,r,r,B-4,G4,E-5,G4,B-3,E-3,r,r,r,r,r,E-4,B-4,E-4,E-4,E-1
83.5,108.913,57,1.3333,r,r,B-4,G4,F5,G4,B-3,E-3,r,r,r,r,r,E-4,B-4,F4,F4,E-1
83.75,109.2391,57,1.5,r,r,B-4,G4,E-5,G4,B-3,E-3,r,r,r,r,r,E-4,B-4,E-4,E-4,E-1
84.0,109.5652,57,1.6667,r,r,B-4,G4,D5,G4,B-3,E-3,r,r,r,r,r,E-4,B-4,D4,D4,E-1
84.25,109.8913,57,1.8333,r,r,B-4,G4,E-5,G4,B-3,E-3,r,r,r,r,r,E-4,B-4,E-4,E-4,E-1
84.5,110.2174,58,1.0,r,r,C5,G#4,C5,G#4,C4,E-3,r,r,r,r,r,G#3,C5,C4,C4,G#1
84.75,110.5435,58,1.1667,r,r,C5,G#4,C5,G#4,G3,r,r,r,r,r,r,G4,C5,C4,C4,G#1
85.0,110.8696,58,1.3333,r,r,C5,G#4,C5,G#4,G#3,r,r,r,r,r,r,G#4,r,r,r,r
85.25,111.1957,58,1.5,r,r,C5,G#4,C5,G#4,G3,r,r,r,r,r,r,G4,E-4,C4,C3,C2
85.5,111.5217,58,1.6667,r,r,r,r,r,r,G#3,r,r,r,r,r,r,G#4,E-4,C4,C3,C2
85.75,111.8478,58,1.8333,r,r,r,r,r,r,C4,r,r,r,r,r,r,C5,C4,G#3,G#2,G#1
86.0,112.1739,59,1.0,r,r,r,r,r,r,D4,D4,r,r,r,r,r,D5,B-3,G3,E-2,E-1
86.25,112.5,59,1.1667,r,r,r,r,r,r,E-4,E-4,r,r,r,r,r,E-5,B-3,G3,E-2,E-1
86.5,112.8261,59,1.3333,r,r,r,r,r,r,F4,F4,r,r,r,r,r,F5,B-3,G3,E-2,E-1
86.75,113.1522,59,1.5,r,r,r,r,r,r,E-4,E-4,r,r,r,r,r,E-5,B-3,G3,E-2,E-1
87.0,113.4783,59,1.6667,r,r,r,r,r,r,D4,D4,r,r,r,r,r,D5,B-3,G3,E-2,E-1
87.25,113.8043,59,1.8333,r,r,r,r,r,r,E-4,E-4,r,r,r,r,r,E-5,B-3,G3,E-2,E-1
87.5,114.1304,60,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,C5,C4,G#3,G#2,G#1
87.75,114.4565,60,1.1667,G5,r,r,r,r,r,C4,C4,r,r,r,r,r,C5,C4,G#3,G#2,G#1
88.0,114.7826,60,1.3333,G#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
88.25,115.1087,60,1.5,G5,r,E-5,r,E-5,C5,G#4,G#4,r,r,r,r,r,r,r,r,r,r
88.5,115.4348,60,1.6667,G#5,r,E-5,r,E-5,C5,G#4,G#4,r,r,r,r,r,r,r,r,r,r
88.75,115.7609,60,1.8333,C6,r,E-5,r,C5,G#4,G#4,G#4,r,r,r,r,r,r,r,r,r,r
89.0,116.087,61,1.0,D6,r,E-5,r,E-5,B-4,G4,E-4,r,r,r,r,r,r,r,r,r,r
89.25,116.413,61,1.1667,E-6,r,E-5,r,E-5,B-4,G4,E-4,r,r,r,r,r,r,r,r,r,r
89.5,116.7391,61,1.3333,F6,r,E-5,r,E-5,B-4,G4,E-4,r,r,r,r,r,r,r,r,r,r
89.75,117.0652,61,1.5,E-6,r,E-5,r,E-5,B-4,G4,E-4,r,r,r,r,r,r,r,r,r,r
90.0,117.3913,61,1.6667,D6,r,F5,r,E-5,B-4,G4,E-4,r,r,r,r,r,r,r,r,r,r
90.25,117.7174,61,1.8333,E-6,r,G5,r,E-5,B-4,G4,E-4,r,r,r,r,r,r,r,r,r,r
90.5,118.0435,62,1.0,C#6,r,G#5,r,C#5,G#4,F4,F4,r,r,r,r,r,r,r,r,r,r
91.0,118.6957,62,1.3333,C6,r,G#5,r,C5,G#4,F4,F4,r,r,r,r,r,r,r,r,r,r
92.0,120.0,63,1.0,B-5,r,E-5,r,B-4,E-4,C4,C4,r,r,r,r,r,r,r,r,r,r
92.5,120.6522,63,1.3333,G#5,r,E-5,r,G#4,E-4,C4,C4,r,r,r,r,r,r,r,r,r,r
93.5,121.9565,64,1.0,G5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
94.0,122.6087,64,1.3333,G5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
94.5,123.2609,64,1.6667,G5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
94.6667,123.4783,64,1.7778,G#5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
94.8333,123.6956,64,1.8889,G#5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
94.875,123.75,64,1.9167,r,r,E-5,r,C#5,G4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
95.0,123.913,65,1.0,G#5,r,E-5,r,C5,G#4,E-4,G#3,r,r,r,r,r,r,r,r,r,r
95.75,124.8913,65,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#3,r,r,r
96.0,125.2174,65,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C4,r,r,r
96.25,125.5435,65,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,E-4,r,r,r
96.5,125.8696,66,1.0,r,r,r,r,r,r,G#3,G#2,r,r,r,r,r,E-5,E-4,G#4,F3,F2
96.75,126.1957,66,1.1667,r,r,r,r,r,r,G#3,G#2,r,r,r,r,r,C#5,C#4,G#4,F3,F2
97.0,126.5217,66,1.3333,r,r,r,r,r,r,G#3,G#2,r,r,r,r,r,C5,C4,G#4,F3,F2
97.75,127.5,66,1.8333,r,r,r,r,r,r,G#3,G#2,r,r,r,r,r,C5,C4,G#4,F3,F2
98.0,127.8261,67,1.0,r,r,r,r,r,r,G#3,E-3,r,r,r,r,r,C5,C4,E-4,C3,C2
98.25,128.1522,67,1.1667,r,r,r,r,r,r,G#3,E-3,r,r,r,r,r,B-4,B-3,E-4,C3,C2
98.5,128.4783,67,1.3333,r,r,r,r,r,r,G#3,E-3,r,r,r,r,r,G#4,G#3,E-4,C3,C2
99.0,129.1304,67,1.6667,r,r,r,r,E-4,C4,G#3,E-3,r,r,r,r,r,G#4,G#3,E-4,C3,C2
99.25,129.4565,67,1.8333,r,r,r,r,E-4,C4,G#3,E-3,r,r,r,r,r,G#4,G#3,E-4,C3,C2
99.5,129.7826,68,1.0,r,r,r,r,E-4,C#4,B-3,E-3,r,r,r,r,r,G4,G3,C#4,E-3,E-2
100.0,130.4348,68,1.3333,r,r,r,r,E-4,C#4,B-3,E-3,r,r,r,r,r,G4,G3,C#4,E-3,E-2
100.5,131.087,68,1.6667,r,r,r,r,E-4,C#4,B-3,E-3,r,r,r,r,r,G4,G3,C#4,E-3,E-2
100.6667,131.3044,68,1.7778,r,r,r,r,E-4,C#4,B-3,E-3,r,r,r,r,r,G#4,G#3,C#4,E-3,E-2
100.8333,131.5217,68,1.8889,r,r,r,r,E-4,C#4,B-3,E-3,r,r,r,r,r,G#4,G#3,C#4,E-3,E-2
100.875,131.5761,68,1.9167,r,r,r,r,E-4,C#4,G3,E-3,r,r,r,r,r,r,r,C#4,E-3,E-2
101.0,131.7391,69,1.0,r,r,r,r,E-4,C4,G#3,E-3,r,r,r,r,r,G#4,G#3,C4,G#2,G#1
102.0,133.0435,69,1.6667,G5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
102.1667,133.2609,69,1.7778,G#5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
102.3333,133.4782,69,1.8889,G#5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
102.375,133.5326,69,1.9167,r,r,E-5,r,C#5,G4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
102.5,133.6957,70,1.0,G#5,r,E-5,r,C5,G#4,E-4,G#3,r,r,r,r,r,r,r,r,r,r
103.5,135.0,70,1.6667,B-5,G5,G5,B-4,B-3,G3,E-4,E-3,r,r,r,r,r,G4,B-3,C#3,E-3,E-2
103.6667,135.2174,70,1.7778,B-5,G5,G5,B-4,B-3,G3,E-4,E-3,r,r,r,r,r,G#4,G#3,C3,E-3,E-2
103.8333,135.4347,70,1.8889,B-5,G5,G5,B-4,B-3,G3,E-4,E-3,r,r,r,r,r,G#4,G#3,C3,E-3,E-2
104.0,135.6522,71,1.0,G#5,G#5,G#5,C5,C4,G#3,E-4,E-3,r,r,r,r,r,G#4,G#3,C3,G#2,G#1
104.5,136.3043,71,1.3333,G#5,G#4,E-5,C5,C4,G#3,C4,E-3,r,r,r,r,r,G#4,G#3,C3,G#2,G#1
105.0,136.9565,71,1.6667,G#5,G#4,E-5,C5,C4,G#3,C4,E-3,r,r,r,r,r,G#4,G#3,C3,G#2,G#1
105.5,137.6087,72,1.0,G#5,G#4,E-5,C5,C4,G#3,G#3,C3,r,r,r,r,r,G#4,G#3,C3,G#2,G#1
106.5,138.913,72,1.6667,r,r,r,r,E-4,r,E-3,r,r,r,r,r,r,r,r,r,r,r
106.875,139.4022,72,1.9167,r,r,r,r,G4,r,G3,r,r,r,r,r,r,r,r,r,r,r
107.0,139.5652,73,1.0,r,r,r,r,G#4,E-4,G#3,C3,r,r,r,r,r,r,r,C3,G#3,G#2
107.125,139.7283,73,1.0833,r,r,r,r,G#4,E-4,G#3,C3,r,r,r,r,r,r,r,E-3,G#3,G#2
107.25,139.8913,73,1.1667,r,r,r,r,G#4,E-4,G#3,C3,r,r,r,r,r,r,r,G#3,G#3,G#2
107.375,140.0543,73,1.25,r,r,r,r,G#4,E-4,G#3,C3,r,r,r,r,r,r,r,E-3,G#3,G#2
107.5,140.2174,73,1.3333,r,r,r,r,G#4,E-4,G#3,C3,r,r,r,r,r,G#4,E-4,C3,G#3,G#2
107.625,140.3804,73,1.4167,r,r,r,r,G#4,E-4,G#3,C3,r,r,r,r,r,G#4,E-4,E-3,G#3,G#2
107.75,140.5435,73,1.5,r,r,r,r,G#4,E-4,G#3,C3,r,r,r,r,r,G#4,E-4,G#3,G#3,G#2
107.875,140.7065,73,1.5833,r,r,r,r,G#4,E-4,G#3,C3,r,r,r,r,r,G#4,E-4,E-3,G#3,G#2
108.0,140.8696,73,1.6667,r,r,r,r,B-4,G4,B-3,E-3,r,r,r,r,r,B-4,G4,E-3,E-3,E-2
108.125,141.0326,73,1.75,r,r,r,r,B-4,G4,B-3,E-3,r,r,r,r,r,B-4,G4,G3,E-3,E-2
108.25,141.1957,73,1.8333,r,r,r,r,B-4,G4,B-3,E-3,r,r,r,r,r,B-4,G4,B-3,E-3,E-2
108.375,141.3587,73,1.9167,r,r,r,r,B-4,G4,B-3,E-3,r,r,r,r,r,B-4,G4,G3,E-3,E-2
108.5,141.5217,74,1.0,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,C5,G#4,E-3,G#2,G#1
108.625,141.6848,74,1.0833,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,C5,G#4,G#3,G#2,G#1
108.75,141.8478,74,1.1667,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,C5,G#4,C4,G#2,G#1
108.875,142.0109,74,1.25,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,C5,G#4,G#3,G#2,G#1
109.0,142.1739,74,1.3333,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,r,r,E-3,r,r
109.125,142.337,74,1.4167,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,r,r,G#3,r,r
109.25,142.5,74,1.5,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,r,r,E-3,r,r
109.375,142.663,74,1.5833,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,r,r,C3,r,r
109.5,142.8261,74,1.6667,r,r,r,r,G#4,E-4,G#3,C3,r,r,r,r,r,r,r,C3,r,r
109.625,142.9891,74,1.75,r,r,r,r,G#4,E-4,G#3,C3,r,r,r,r,r,r,r,G#3,r,r
109.75,143.1522,74,1.8333,r,r,r,r,G#4,E-4,G#3,C3,r,r,r,r,r,r,r,E-3,r,r
109.875,143.3152,74,1.9167,r,r,r,r,B-4,G4,B-3,E-3,r,r,r,r,r,r,r,B-3,r,r
110.0,143.4783,75,1.0,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,r,r,E-3,G#2,G#1
110.125,143.6413,75,1.0833,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,r,r,G#3,G#2,G#1
110.25,143.8043,75,1.1667,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,r,r,C4,G#2,G#1
110.375,143.9674,75,1.25,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,r,r,G#3,G#2,G#1
110.5,144.1304,75,1.3333,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,C5,G#4,E-3,G#3,G#2
110.625,144.2935,75,1.4167,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,C5,G#4,G#3,G#3,G#2
110.75,144.4565,75,1.5,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,C5,G#4,C4,G#3,G#2
110.875,144.6196,75,1.5833,r,r,r,r,C5,G#4,C4,G#3,r,r,r,r,r,C5,G#4,G#3,G#3,G#2
111.0,144.7826,75,1.6667,r,r,r,r,C#5,B-4,C#4,B-3,r,r,r,r,r,C#5,B-4,E-3,G#3,G#2
111.125,144.9457,75,1.75,r,r,r,r,C#5,B-4,C#4,B-3,r,r,r,r,r,C#5,B-4,B-3,G#3,G#2
111.25,145.1087,75,1.8333,r,r,r,r,C#5,B-4,C#4,B-3,r,r,r,r,r,C#5,B-4,C#4,G#3,G#2
111.375,145.2717,75,1.9167,r,r,r,r,C#5,B-4,C#4,B-3,r,r,r,r,r,C#5,B-4,B-3,G#3,G#2
111.5,145.4348,76,1.0,r,r,r,r,E-5,C5,E-4,C4,r,r,r,r,r,E-5,C5,E-3,G#3,G#2
111.625,145.5978,76,1.0833,r,r,r,r,E-5,C5,E-4,C4,r,r,r,r,r,E-5,C5,C4,G#3,G#2
111.75,145.7609,76,1.1667,r,r,r,r,E-5,C5,E-4,C4,r,r,r,r,r,E-5,C5,E-4,G#3,G#2
111.875,145.9239,76,1.25,r,r,r,r,E-5,C5,E-4,C4,r,r,r,r,r,E-5,C5,C4,G#3,G#2
112.0,146.087,76,1.3333,r,r,r,r,E-5,C5,E-4,C4,r,r,r,r,r,r,r,G#3,r,r
112.125,146.25,76,1.4167,r,r,r,r,E-5,C5,E-4,C4,r,r,r,r,r,r,r,C4,r,r
112.25,146.413,76,1.5,r,r,r,r,E-5,C5,E-4,C4,r,r,r,r,r,r,r,E-4,r,r
112.375,146.5761,76,1.5833,r,r,r,r,E-5,C5,E-4,C4,r,r,r,r,r,r,r,G4,r,r
112.5,146.7391,76,1.6667,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,E-5,r,G#4,r,r
112.875,147.2283,76,1.9167,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F5,r,G#4,r,r
113.0,147.3913,77,1.0,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,r,r,r,r
113.125,147.5543,77,1.0833,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,A4,A4,r,r
113.25,147.7174,77,1.1667,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,A4,A4,r,r
113.375,147.8804,77,1.25,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,A4,A4,r,r
113.5,148.0435,77,1.3333,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,A4,A4,r,r
113.75,148.3696,77,1.5,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,A4,A4,r,r
114.0,148.6957,77,1.6667,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,E-5,A4,A4,r,r
114.375,149.1848,77,1.9167,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F5,r,r,r,r
114.5,149.3478,78,1.0,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,r,r,r,r
114.625,149.5109,78,1.0833,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,A4,A4,r,r
114.75,149.6739,78,1.1667,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,A4,A4,r,r
114.875,149.837,78,1.25,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,A4,A4,r,r
115.0,150.0,78,1.3333,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,A4,A4,r,r
115.25,150.3261,78,1.5,r,r,r,r,E-5,C5,r,r,r,r,r,r,r,F#5,A4,A4,r,r
115.5,150.6522,78,1.6667,E-6,r,E-5,r,r,r,E-4,r,r,r,r,r,r,E-5,A4,A4,r,r
115.875,151.1413,78,1.9167,F6,r,F5,r,r,r,F4,r,r,r,r,r,r,F5,r,r,r,r
116.0,151.3043,79,1.0,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
116.125,151.4674,79,1.0833,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
116.25,151.6304,79,1.1667,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
116.375,151.7935,79,1.25,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
116.5,151.9565,79,1.3333,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
116.625,152.1196,79,1.4167,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
116.75,152.2826,79,1.5,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
116.875,152.4457,79,1.5833,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
117.0,152.6087,79,1.6667,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
117.125,152.7717,79,1.75,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
117.25,152.9348,79,1.8333,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
117.375,153.0978,79,1.9167,F#6,E-6,F#5,E-5,C5,E-4,F#4,C4,C4,C3,C5,C4,C3,F#5,E-5,C5,G#2,G#1
117.5,153.2609,80,1.0,G6,E6,G5,E5,C5,E4,G4,E4,C4,C3,C5,C4,G2,G5,E5,C5,G2,G1
117.625,153.4239,80,1.0833,G6,E6,G5,E5,C5,E4,G4,E4,C4,C3,C5,C4,G2,G5,E5,C5,G2,G1
117.75,153.587,80,1.1667,G6,E6,G5,E5,C5,E4,G4,E4,C4,C3,C5,C4,G2,G5,E5,C5,C3,C2
117.875,153.75,80,1.25,E6,C6,E5,C5,C5,E4,E4,C4,C4,C3,C5,C4,G2,E5,C5,G4,E3,E2
118.0,153.913,80,1.3333,C6,G5,C5,G4,G4,E4,C4,G3,C4,E3,C5,E4,G2,C5,G4,E4,G3,G2
118.125,154.0761,80,1.4167,C6,G5,C5,G4,G4,E4,C4,G3,C4,E3,C5,E4,G2,C5,G4,E4,G3,G2
118.25,154.2391,80,1.5,C6,G5,C5,G4,G4,E4,C4,G3,C4,E3,C5,E4,G2,C5,G4,E4,G3,G2
118.375,154.4022,80,1.5833,C6,G5,C5,G4,G4,E4,C4,G3,C4,E3,C5,E4,G2,C5,E4,C4,G3,G2
118.5,154.5652,80,1.6667,D6,B5,D5,B4,G4,F4,D4,B3,D4,G3,D5,G4,G2,D5,B4,G4,G2,G1
118.625,154.7283,80,1.75,D6,B5,D5,B4,G4,F4,D4,B3,D4,G3,D5,G4,G2,D5,B4,G3,G2,G1
118.75,154.8913,80,1.8333,D6,B5,D5,B4,G4,F4,D4,B3,D4,G3,D5,G4,G2,D5,B4,G4,G2,G1
118.875,155.0543,80,1.9167,D6,B5,D5,B4,G4,F4,D4,B3,D4,G3,D5,G4,G2,D5,B4,G4,G2,G1
119.0,155.2174,81,1.0,C6,E5,C5,G4,G4,E4,C4,C4,C4,E3,C5,E4,C3,C5,C5,C4,C3,C2
119.5,155.8696,81,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C2,C2
120.0,156.5217,81,1.6667,r,r,E4,E4,r,r,r,r,E3,E3,E4,E4,r,r,r,r,r,r
120.375,157.0109,81,1.9167,r,r,G4,G4,r,r,r,r,G3,G3,G4,G4,r,r,r,r,r,r
120.5,157.1739,82,1.0,r,r,C5,E4,r,r,r,r,C4,E3,C5,E4,C3,E4,E4,E3,C3,C2
120.625,157.337,82,1.0833,r,r,C5,E4,r,r,r,r,C4,E3,C5,E4,C3,G4,G4,G3,C3,C2
120.75,157.5,82,1.1667,r,r,C5,E4,r,r,r,r,C4,E3,C5,E4,C3,C5,C5,C4,C3,C2
120.875,157.663,82,1.25,r,r,C5,E4,r,r,r,r,C4,E3,C5,E4,C3,G4,G4,G3,C3,C2
121.0,157.8261,82,1.3333,r,r,C5,E4,r,r,r,r,C4,E3,C5,E4,C3,E4,E4,E3,C3,C2
121.125,157.9891,82,1.4167,r,r,C5,E4,r,r,r,r,C4,E3,C5,E4,C3,G4,G4,G3,C3,C2
121.25,158.1522,82,1.5,r,r,C5,E4,r,r,r,r,C4,E3,C5,E4,C3,C5,C5,C4,C3,C2
121.375,158.3152,82,1.5833,r,r,C5,E4,r,r,r,r,C4,E3,C5,E4,C3,G4,G4,G3,C3,C2
121.5,158.4783,82,1.6667,r,r,D5,G4,r,r,r,r,D4,G3,D5,G4,G2,G4,G4,G3,G2,G1
121.625,158.6413,82,1.75,r,r,D5,G4,r,r,r,r,D4,G3,D5,G4,G2,B4,B4,B3,G2,G1
121.75,158.8043,82,1.8333,r,r,D5,G4,r,r,r,r,D4,G3,D5,G4,G2,D5,D5,D4,G2,G1
121.875,158.9674,82,1.9167,r,r,D5,G4,r,r,r,r,D4,G3,D5,G4,G2,B4,B4,B3,G2,G1
122.0,159.1304,83,1.0,r,r,E5,C5,r,r,r,r,E4,C4,E5,C5,C3,G4,G4,G3,C3,C2
122.125,159.2935,83,1.0833,r,r,E5,C5,r,r,r,r,E4,C4,E5,C5,C3,C5,C5,C4,C3,C2
122.25,159.4565,83,1.1667,r,r,E5,C5,r,r,r,r,E4,C4,E5,C5,C3,E5,E5,E4,C3,C2
122.375,159.6196,83,1.25,r,r,E5,C5,r,r,r,r,E4,C4,E5,C5,C3,C5,C5,C4,C3,C2
122.5,159.7826,83,1.3333,r,r,E5,C5,r,r,r,r,E4,C4,E5,C5,C3,G4,G4,G3,C3,C2
122.625,159.9457,83,1.4167,r,r,E5,C5,r,r,r,r,E4,C4,E5,C5,C3,C5,C5,C4,C3,C2
122.75,160.1087,83,1.5,r,r,E5,C5,r,r,r,r,E4,C4,E5,C5,C3,G4,G4,G3,C3,C2
122.875,160.2717,83,1.5833,r,r,E5,C5,r,r,r,r,E4,C4,E5,C5,C3,E4,E4,E3,C3,C2
123.0,160.4348,83,1.6667,r,r,C5,E4,r,r,r,r,C4,E3,C5,E4,C3,C4,C4,C3,C3,C2
123.125,160.5978,83,1.75,r,r,C5,E4,r,r,r,r,C4,E3,C5,E4,C3,G4,G4,G3,C3,C2
