qstamp,tstamp,measure,beat,Violin solo,Violin 1,Violin 2,Viola,Soprano 2 solo (sic),Continuo
91.5,74.1892,24,4.0,G#4,r,r,r,E4,E3
91.625,74.2905,24,4.125,F#4,r,r,r,E4,E3
91.75,74.3919,24,4.25,E4,r,r,r,B4,E3
92.0,74.5946,24,4.5,B4,B4,G#4,E3,B4,E2
92.125,74.6959,24,4.625,A4,B4,G#4,E3,B4,E2
92.25,74.7973,24,4.75,G#4,B4,G#4,E3,C#5,E2
92.375,74.8986,24,4.875,G#4,B4,G#4,E3,D5,E2
92.5,75.0,25,1.0,E5,C#5,A4,E3,C#5,A2
92.75,75.2027,25,1.25,E5,A4,F#4,E3,A4,A2
93.0,75.4054,25,1.5,E5,A4,F#4,C#4,A4,A3
93.25,75.6081,25,1.75,E5,B4,G#4,C#4,B4,A3
93.375,75.7095,25,1.875,E5,C#5,A4,C#4,C#5,A3
93.5,75.8108,25,2.0,E5,B4,G#4,E4,B4,E3
93.75,76.0135,25,2.25,E5,G#4,E4,E4,B4,E3
94.0,76.2162,25,2.5,E5,G#4,E4,E4,E5,C#3
94.25,76.4189,25,2.75,E5,A4,F#4,E4,C#5,C#3
94.375,76.5203,25,2.875,E5,B4,G#4,E4,C#5,C#3
94.5,76.6216,25,3.0,E5,A4,F#4,C#4,A4,F#3
94.75,76.8243,25,3.25,F#5,F#4,E-4,C#4,G#4,F#3
94.875,76.9257,25,3.375,E5,F#4,E-4,C#4,G#4,F#3
95.0,77.027,25,3.5,E-5,F#4,E-4,B3,A4,B2
95.125,77.1284,25,3.625,C#5,F#4,E-4,B3,A4,B2
95.25,77.2297,25,3.75,B4,G#4,E4,B3,A4,B2
95.375,77.3311,25,3.875,B4,A4,F#4,B3,A4,B2
95.5,77.4324,25,4.0,B4,G#4,E4,B3,G#4,E3
95.75,77.6351,25,4.25,C#5,G#4,E4,B3,G#4,E3
95.875,77.7365,25,4.375,B4,G#4,E4,B3,G#4,E3
96.0,77.8378,25,4.5,A4,r,r,r,B4,E2
96.125,77.9392,25,4.625,G#4,r,r,r,B4,E2
96.25,78.0405,25,4.75,F#4,r,r,r,G#4,E2
96.375,78.1419,25,4.875,E4,r,r,r,G#4,E2
96.5,78.2432,26,1.0,C#5,r,r,r,E4,A2
96.625,78.3446,26,1.125,B4,r,r,r,E4,A2
96.75,78.4459,26,1.25,A4,r,r,r,F#4,A2
97.0,78.6486,26,1.5,E-5,r,r,r,F#4,B2
97.125,78.75,26,1.625,C#5,r,r,r,F#4,B2
97.25,78.8514,26,1.75,B4,r,r,r,G#4,B2
97.5,79.0541,26,2.0,E5,r,r,r,G#4,C#3
97.625,79.1554,26,2.125,E-5,r,r,r,G#4,C#3
97.75,79.2568,26,2.25,C#5,r,r,r,A4,C#3
98.0,79.4595,26,2.5,F#5,r,r,r,A4,E-3
98.125,79.5608,26,2.625,E5,r,r,r,A4,E-3
98.25,79.6622,26,2.75,E-5,r,r,r,B4,E-3
98.5,79.8649,26,3.0,G#5,r,r,r,B4,E3
98.625,79.9662,26,3.125,F#5,r,r,r,B4,E3
98.75,80.0676,26,3.25,E5,r,r,r,C#5,E3
99.0,80.2703,26,3.5,A5,r,r,r,C#5,F#3
99.125,80.3716,26,3.625,G#5,r,r,r,C#5,F#3
99.25,80.473,26,3.75,F#5,r,r,r,E-5,F#3
99.5,80.6757,26,4.0,B5,r,r,r,E-5,G#3
99.625,80.777,26,4.125,A5,r,r,r,E-5,G#3
99.75,80.8784,26,4.25,G#5,r,r,r,E5,G#3
100.0,81.0811,26,4.5,C#6,r,r,r,E-5,A3
100.125,81.1824,26,4.625,B5,r,r,r,E-5,A3
100.25,81.2838,26,4.75,A5,r,r,r,C#5,A3
100.5,81.4865,27,1.0,E-6,r,r,r,B4,A3
100.625,81.5878,27,1.125,C#6,r,r,r,B4,A3
100.75,81.6892,27,1.25,B5,r,r,r,B4,A3
101.0,81.8919,27,1.5,E6,r,r,r,E4,G#3
101.25,82.0946,27,1.75,E-6,r,r,r,E4,A3
101.375,82.1959,27,1.875,C#6,r,r,r,E4,A3
101.5,82.2973,27,2.0,B5,r,r,r,G#4,B3
101.75,82.5,27,2.25,A5,r,r,r,F#4,B3
101.875,82.6014,27,2.375,G#5,r,r,r,F#4,B3
102.0,82.7027,27,2.5,A5,r,r,r,E4,B2
102.25,82.9054,27,2.75,G#5,r,r,r,E-4,B2
102.375,83.0068,27,2.875,F#5,r,r,r,E-4,B2
102.5,83.1081,27,3.0,E5,r,r,r,E4,E3
103.0,83.5135,27,3.5,E5,F#4,D4,G#3,E4,E2
103.25,83.7162,27,3.75,E5,E4,C#4,G#3,E4,E2
103.5,83.9189,27,4.0,r,E4,C#4,A3,r,F#2
103.75,84.1216,27,4.25,r,D4,B3,A3,r,F#2
104.0,84.3243,27,4.5,D4,D4,B3,B3,r,G#2
104.25,84.527,27,4.75,D4,C#4,A3,B3,r,G#2
104.5,84.7297,28,1.0,C#4,C#4,A3,E3,r,A2
104.75,84.9324,28,1.25,A3,C#4,A3,E3,r,A2
105.0,85.1351,28,1.5,A3,r,r,r,r,F#2
105.125,85.2365,28,1.625,G#3,r,r,r,r,F#2
105.25,85.3378,28,1.75,A3,r,r,r,r,F#2
105.5,85.5405,28,2.0,A3,E-4,A3,B3,r,B2
105.625,85.6419,28,2.125,E-4,E-4,A3,B3,r,B2
105.75,85.7432,28,2.25,B4,E-4,A3,B3,r,B2
106.0,85.9459,28,2.5,B4,r,r,r,r,G#2
106.125,86.0473,28,2.625,A4,r,r,r,r,G#2
106.25,86.1486,28,2.75,G#4,r,r,r,r,G#2
106.375,86.25,28,2.875,F#4,r,r,r,r,G#2
106.5,86.3514,28,3.0,E4,E4,A3,E3,r,C#3
106.75,86.5541,28,3.25,A3,E4,A3,E3,r,C#3
107.0,86.7568,28,3.5,A3,r,r,r,r,C#3
107.125,86.8581,28,3.625,G#3,r,r,r,r,C#3
107.25,86.9595,28,3.75,A3,r,r,r,r,C#3
107.5,87.1622,28,4.0,A3,F#4,A3,E-3,r,E-3
107.625,87.2635,28,4.125,F#4,F#4,A3,E-3,r,E-3
107.75,87.3649,28,4.25,C#5,F#4,A3,E-3,r,E-3
108.0,87.5676,28,4.5,C#5,r,r,r,r,B2
108.25,87.7703,28,4.75,B4,r,r,r,r,B2
108.375,87.8716,28,4.875,A4,r,r,r,r,B2
108.5,87.973,29,1.0,G#4,r,r,r,r,E3
108.625,88.0743,29,1.125,F#4,r,r,r,r,E3
108.75,88.1757,29,1.25,E4,r,r,r,r,E3
109.0,88.3784,29,1.5,A4,E4,C#4,A3,r,C#3
109.125,88.4797,29,1.625,G#4,E4,C#4,A3,r,C#3
109.25,88.5811,29,1.75,F#4,E4,C#4,A3,r,C#3
109.5,88.7838,29,2.0,E4,F#4,C#4,A3,r,A2
110.0,89.1892,29,2.5,E-4,E-4,B3,F#3,r,B2
110.375,89.4932,29,2.875,E4,E-4,B3,F#3,r,B2
110.5,89.5946,29,3.0,E4,E4,B-3,E3,r,C#3
110.75,89.7973,29,3.25,B-4,E4,B-3,E3,r,C#3
110.875,89.8986,29,3.375,B4,E4,B-3,E3,r,C#3
111.0,90.0,29,3.5,C#5,G4,r,r,r,r
111.25,90.2027,29,3.75,C#5,G4,r,r,r,r
111.375,90.3041,29,3.875,E-5,G4,r,r,r,r
111.5,90.4054,29,4.0,E5,B-3,r,r,r,r
111.75,90.6081,29,4.25,E5,B-3,r,r,r,r
111.875,90.7095,29,4.375,F#5,B-3,r,r,r,r
112.0,90.8108,29,4.5,G5,r,B3,E3,r,B2
112.5,91.2162,30,1.0,G5,r,C#4,E3,r,B-2
112.625,91.3176,30,1.125,F#5,r,C#4,E3,r,B-2
112.75,91.4189,30,1.25,E5,r,C#4,E3,r,B-2
112.875,91.5203,30,1.375,E-5,r,C#4,E3,r,B-2
113.0,91.6216,30,1.5,E5,C#5,r,r,r,r
113.125,91.723,30,1.625,G5,C#5,r,r,r,r
113.25,91.8243,30,1.75,B-4,C#5,r,r,r,r
113.5,92.027,30,2.0,B-4,E4,r,r,r,r
113.625,92.1284,30,2.125,B4,E4,r,r,r,r
113.75,92.2297,30,2.25,C#5,E4,r,r,r,r
113.875,92.3311,30,2.375,B4,E4,r,r,r,r
114.0,92.4324,30,2.5,B-4,r,C#4,F#3,r,F#2
114.125,92.5338,30,2.625,G4,r,C#4,F#3,r,F#2
114.25,92.6351,30,2.75,F#4,r,C#4,F#3,r,F#2
114.375,92.7365,30,2.875,E4,r,C#4,F#3,r,F#2
114.5,92.8378,30,3.0,E-4,r,B3,F#3,r,B2
114.625,92.9392,30,3.125,B4,r,B3,F#3,r,B2
114.75,93.0405,30,3.25,A4,r,B3,F#3,r,B2
114.875,93.1419,30,3.375,G#4,r,B3,F#3,r,B2
115.0,93.2432,30,3.5,A4,F#5,r,r,r,r
115.125,93.3446,30,3.625,E-5,F#5,r,r,r,r
115.25,93.4459,30,3.75,F#5,F#5,r,r,r,r
115.5,93.6486,30,4.0,F#5,A4,r,r,r,r
115.625,93.75,30,4.125,E5,A4,r,r,r,r
115.75,93.8514,30,4.25,E-5,A4,r,r,r,r
115.875,93.9527,30,4.375,C#5,A4,r,r,r,r
116.0,94.0541,30,4.5,B4,r,F#4,B3,r,E-3
116.125,94.1554,30,4.625,A4,r,F#4,B3,r,E-3
116.25,94.2568,30,4.75,G#4,r,F#4,B3,r,E-3
116.375,94.3581,30,4.875,F#4,r,F#4,B3,r,E-3
116.5,94.4595,31,1.0,G#4,r,E4,B3,r,E3
116.625,94.5608,31,1.125,C#5,r,E4,B3,r,E3
116.75,94.6622,31,1.25,B-4,r,E4,B3,r,E3
117.0,94.8649,31,1.5,B-4,E5,E4,B3,r,G#2
117.25,95.0676,31,1.75,B4,E5,E4,B3,r,G#2
117.375,95.1689,31,1.875,E4,E5,E4,B3,r,G#2
117.5,95.2703,31,2.0,G#4,G#4,E4,C#4,r,A2
118.0,95.6757,31,2.5,F#4,F#4,E-4,F#3,r,B2
118.375,95.9797,31,2.875,E4,F#4,E-4,F#3,r,B2
118.5,96.0811,31,3.0,E4,E4,B3,G#3,r,E2
118.75,96.2838,31,3.25,F#4,E4,B3,G#3,r,E2
118.875,96.3851,31,3.375,G#4,E4,B3,G#3,r,E2
119.0,96.4865,31,3.5,A4,E4,B3,G#3,r,E2
119.125,96.5878,31,3.625,B4,E4,B3,G#3,r,E2
119.25,96.6892,31,3.75,C#5,E4,B3,G#3,r,E2
119.375,96.7905,31,3.875,E-5,E4,B3,G#3,r,E2
119.5,96.8919,31,4.0,E5,E4,B3,G#3,r,r
120.0,97.2973,31,4.5,r,r,r,r,G#4,E3
120.25,97.5,31,4.75,r,r,r,r,B-4,E3
120.5,97.7027,32,1.0,r,r,r,r,B4,D3
121.0,98.1081,32,1.5,r,E4,C#4,B-3,C#5,r
121.125,98.2095,32,1.625,r,E4,C#4,B-3,B4,r
121.25,98.3108,32,1.75,r,E4,C#4,B-3,B-4,r
121.5,98.5135,32,2.0,r,D4,B3,B3,B4,r
122.0,98.9189,32,2.5,E5,r,r,r,C#5,B-2
122.25,99.1216,32,2.75,F#5,r,r,r,C#5,B-2
122.375,99.223,32,2.875,G5,r,r,r,C#5,B-2
122.5,99.3243,32,3.0,G5,r,r,r,D5,B2
122.75,99.527,32,3.25,F#5,r,r,r,D5,B2
123.0,99.7297,32,3.5,r,D4,G#3,F3,C#5,r
123.25,99.9324,32,3.75,r,D4,G#3,F3,B4,r
123.5,100.1351,32,4.0,r,C#4,A3,F#3,A4,r
123.75,100.3378,32,4.25,r,C#4,A3,F#3,B4,r
124.0,100.5405,32,4.5,F5,r,r,r,G#4,C#3
124.25,100.7432,32,4.75,F#5,r,r,r,G#4,C#3
124.375,100.8446,32,4.875,G#5,r,r,r,G#4,C#3
124.5,100.9459,33,1.0,G#5,r,r,r,C#5,A2
124.75,101.1486,33,1.25,F#5,r,r,r,F#4,A2
125.0,101.3514,33,1.5,r,C#5,C#4,A3,F4,r
125.25,101.5541,33,1.75,r,C#5,C#4,A3,F#4,r
125.5,101.7568,33,2.0,r,F4,B3,G#3,B4,r
125.75,101.9595,33,2.25,r,F4,B3,G#3,G#4,r
126.0,102.1622,33,2.5,E-5,r,r,r,A4,F#2
126.25,102.3649,33,2.75,F5,r,r,r,F#4,F#2
126.375,102.4662,33,2.875,F#5,r,r,r,F#4,F#2
126.5,102.5676,33,3.0,F#5,r,r,r,G#4,C#2
126.75,102.7703,33,3.25,F5,r,r,r,F4,C#2
127.0,102.973,33,3.5,r,B4,F4,G#3,C#4,C#3
127.25,103.1757,33,3.75,r,A4,F#4,A3,C#4,C#3
127.5,103.3784,33,4.0,r,A4,F#4,A3,C#5,C#3
127.75,103.5811,33,4.25,r,G#4,F4,B3,C#5,B2
128.0,103.7838,33,4.5,r,G#4,F4,B3,r,B2
128.25,103.9865,33,4.75,r,F#4,F#4,C#4,r,A2
128.5,104.1892,34,1.0,r,F#4,F#4,C#4,r,A2
128.75,104.3919,34,1.25,r,F#4,F#4,C#4,r,B2
129.0,104.5946,34,1.5,D5,r,r,r,F4,B2
129.25,104.7973,34,1.75,C#5,r,r,r,F4,A2
129.5,105.0,34,2.0,C#5,r,r,r,F#4,A2
129.75,105.2027,34,2.25,B4,r,r,r,F#4,G#2
130.0,105.4054,34,2.5,B4,r,r,r,G#4,G#2
130.25,105.6081,34,2.75,A4,r,r,r,G#4,F#2
130.5,105.8108,34,3.0,A4,r,r,r,A4,F#2
130.75,106.0135,34,3.25,G#4,r,r,r,A4,F#2
131.0,106.2162,34,3.5,G#4,F4,B3,G#3,B4,F#3
131.125,106.3176,34,3.625,G#4,F4,B3,G#3,A4,F#3
131.25,106.4189,34,3.75,A4,F#4,C#4,C#3,G#4,F#3
131.5,106.6216,34,4.0,A4,F#4,C#4,C#3,A4,F#3
131.75,106.8243,34,4.25,B-4,C#4,C#4,C#3,A4,E3
132.0,107.027,34,4.5,B-4,C#4,r,r,r,E3
132.25,107.2297,34,4.75,B4,D4,r,r,r,D3
132.5,107.4324,35,1.0,B4,D4,r,r,r,D3
132.75,107.6351,35,1.25,B-4,C#4,r,r,r,E3
133.0,107.8378,35,1.5,B-4,C#4,C#4,C#4,F#4,E3
133.25,108.0405,35,1.75,B4,D4,B3,F#3,F#4,D3
133.5,108.2432,35,2.0,B4,D4,B3,F#3,B4,D3
133.75,108.4459,35,2.25,C#5,E4,B3,F#3,B-4,C#3
134.0,108.6486,35,2.5,C#5,E4,r,r,B-4,C#3
134.25,108.8514,35,2.75,D5,D4,r,r,B4,B2
134.5,109.0541,35,3.0,D5,D4,r,r,B4,B2
134.75,109.2568,35,3.25,E5,B-4,r,r,B4,B2
135.0,109.4595,35,3.5,E5,B-4,C#4,E3,B4,B3
135.25,109.6622,35,3.75,D5,B4,D4,F#3,B4,B3
135.5,109.8649,35,4.0,D5,B4,D4,F#3,r,B3
135.75,110.0676,35,4.25,C#5,C#5,D4,F#3,F#4,A3
136.0,110.2703,35,4.5,C#5,C#5,r,r,F4,A3
136.25,110.473,35,4.75,F#5,E-5,r,r,F#4,G#3
136.5,110.6757,36,1.0,F#5,E-5,r,r,C5,G#3
136.75,110.8784,36,1.25,A5,F#5,r,r,C5,G#3
137.0,111.0811,36,1.5,A5,F#5,C5,E-3,C5,G#2
137.25,111.2838,36,1.75,G#5,F5,C#5,G#3,C5,G#2
137.5,111.4865,36,2.0,G#5,F5,C#5,G#3,C5,G#2
137.75,111.6892,36,2.25,F#5,E-5,E-5,C4,C5,G#2
138.0,111.8919,36,2.5,F#5,E-5,E-5,C4,C#5,G#2
138.125,111.9932,36,2.625,F#5,E-5,E-5,C4,C5,G#2
138.25,112.0946,36,2.75,F5,C#5,G#4,C#4,B-4,G#2
138.375,112.1959,36,2.875,F5,C#5,G#4,C#4,C5,G#2
138.5,112.2973,36,3.0,F5,C#5,G#4,C#4,C#5,C#3
138.75,112.5,36,3.25,F5,C#5,G#4,C#4,C#5,B2
139.0,112.7027,36,3.5,r,r,r,r,G#4,B2
139.25,112.9054,36,3.75,r,r,r,r,G#4,A2
139.5,113.1081,36,4.0,r,r,r,r,F#4,A2
139.75,113.3108,36,4.25,r,r,r,r,F4,G#2
140.0,113.5135,36,4.5,r,r,r,r,B4,G#2
140.25,113.7162,36,4.75,r,r,r,r,B4,F#2
140.5,113.9189,37,1.0,r,r,r,r,A4,F#2
140.75,114.1216,37,1.25,r,r,r,r,D5,F#2
141.0,114.3243,37,1.5,r,r,r,r,C#5,B2
141.25,114.527,37,1.75,r,r,r,r,B4,B2
141.5,114.7297,37,2.0,r,r,r,r,A4,C#3
142.0,115.1351,37,2.5,r,r,r,r,G#4,C#2
142.5,115.5405,37,3.0,r,r,r,r,F#4,F#2
143.0,115.9459,37,3.5,r,r,r,r,F#4,G#2
143.5,116.3514,37,4.0,r,r,r,r,r,A2
144.0,116.7568,37,4.5,C#5,r,r,r,r,F#2
144.5,117.1622,38,1.0,D5,r,r,r,r,B2
144.75,117.3649,38,1.25,B4,r,r,r,r,B2
145.0,117.5676,38,1.5,B4,r,r,r,r,F#3
145.25,117.7703,38,1.75,C#5,r,r,r,r,F#3
145.375,117.8716,38,1.875,D5,r,r,r,r,F#3
145.5,117.973,38,2.0,C#5,r,r,r,r,A2
145.75,118.1757,38,2.25,A4,r,r,r,r,A2
146.0,118.3784,38,2.5,A4,r,r,r,r,F#3
146.25,118.5811,38,2.75,B4,r,r,r,r,F#3
146.375,118.6824,38,2.875,C#5,r,r,r,r,F#3
146.5,118.7838,38,3.0,B4,r,r,r,r,G#2
146.75,118.9865,38,3.25,G#4,r,r,r,r,G#2
147.0,119.1892,38,3.5,G#4,r,r,r,r,F3
147.25,119.3919,38,3.75,A4,r,r,r,r,F3
147.375,119.4932,38,3.875,B4,r,r,r,r,F3
147.5,119.5946,38,4.0,A4,r,r,r,r,F#3
147.625,119.6959,38,4.125,G#4,r,r,r,r,F#3
147.75,119.7973,38,4.25,F#4,r,r,r,r,F#3
148.0,120.0,38,4.5,C#5,A4,C#4,F#4,r,E3
148.125,120.1014,38,4.625,B4,A4,C#4,F#4,r,E3
148.25,120.2027,38,4.75,A4,A4,C#4,F#4,r,E3
148.5,120.4054,39,1.0,F#5,B4,D4,B3,r,D3
148.75,120.6081,39,1.25,F#5,G#4,B3,B3,r,D3
149.0,120.8108,39,1.5,F#5,G#4,B3,D4,r,B2
149.25,121.0135,39,1.75,F#5,A4,C#4,D4,r,B2
149.375,121.1149,39,1.875,F#5,B4,D4,D4,r,B2
149.5,121.2162,39,2.0,F#5,A4,C#4,F#4,r,F#2
149.75,121.4189,39,2.25,F#5,F#4,A3,F#4,r,F#2
150.0,121.6216,39,2.5,F#5,F#4,A3,C#4,r,A2
150.25,121.8243,39,2.75,F#5,G#4,B3,C#4,r,A2
150.375,121.9257,39,2.875,F#5,A4,C#4,C#4,r,A2
150.5,122.027,39,3.0,F#5,G#4,B3,C#4,r,C#3
150.75,122.2297,39,3.25,G#5,F4,G#3,C#4,r,C#3
150.875,122.3311,39,3.375,F#5,F4,G#3,C#4,r,C#3
151.0,122.4324,39,3.5,F5,F4,G#3,C#4,r,C#2
151.125,122.5338,39,3.625,E-5,F4,G#3,C#4,r,C#2
151.25,122.6351,39,3.75,C#5,F#4,A3,C#4,r,C#2
151.375,122.7365,39,3.875,C#5,G#4,B3,C#4,r,C#2
151.5,122.8378,39,4.0,C#5,F#4,A3,C#4,r,F#2
151.625,122.9392,39,4.125,D5,F#4,A3,C#4,r,F#2
151.75,123.0405,39,4.25,C#5,F#4,A3,C#4,r,F#2
151.875,123.1419,39,4.375,B4,F#4,A3,C#4,r,F#2
152.0,123.2432,39,4.5,A4,C#5,F#4,C#4,r,A2
152.125,123.3446,39,4.625,G#4,C#5,F#4,C#4,r,A2
152.25,123.4459,39,4.75,F#4,C#5,F#4,C#4,r,A2
152.375,123.5473,39,4.875,E4,C#5,F#4,C#4,r,A2
152.5,123.6486,40,1.0,D4,B4,F#4,F#3,r,B2
152.625,123.75,40,1.125,C#4,B4,F#4,F#3,r,B2
152.75,123.8514,40,1.25,B3,B4,F#4,F#3,r,B2
153.0,124.0541,40,1.5,F4,r,r,r,r,C#3
153.125,124.1554,40,1.625,E-4,r,r,r,r,C#3
153.25,124.2568,40,1.75,C#4,r,r,r,r,C#3
153.5,124.4595,40,2.0,F#4,r,r,r,r,E-3
153.625,124.5608,40,2.125,F4,r,r,r,r,E-3
153.75,124.6622,40,2.25,E-4,r,r,r,r,E-3
154.0,124.8649,40,2.5,G#4,B4,G#4,C#4,r,F3
154.125,124.9662,40,2.625,F#4,B4,G#4,C#4,r,F3
154.25,125.0676,40,2.75,F4,B4,G#4,C#4,r,F3
154.5,125.2703,40,3.0,A4,A4,F#4,C#4,r,F#3
154.625,125.3716,40,3.125,G#4,A4,F#4,C#4,r,F#3
154.75,125.473,40,3.25,F#4,A4,F#4,C#4,r,F#3
155.0,125.6757,40,3.5,B4,r,r,r,r,G#3
155.125,125.777,40,3.625,A4,r,r,r,r,G#3
155.25,125.8784,40,3.75,G#4,r,r,r,r,G#3
155.5,126.0811,40,4.0,C#5,r,r,r,r,A3
155.625,126.1824,40,4.125,B4,r,r,r,r,A3
155.75,126.2838,40,4.25,A4,r,r,r,r,A3
156.0,126.4865,40,4.5,D5,A4,F#4,D4,r,B3
156.125,126.5878,40,4.625,C#5,A4,F#4,D4,r,B3
156.25,126.6892,40,4.75,B4,A4,F#4,D4,r,B3
156.5,126.8919,41,1.0,F5,G#4,C#4,G#3,r,B3
156.625,126.9932,41,1.125,E-5,G#4,C#4,G#3,r,B3
156.75,127.0946,41,1.25,C#5,G#4,C#4,G#3,r,B3
157.0,127.2973,41,1.5,F#5,F#4,C#4,A3,r,A3
157.25,127.5,41,1.75,E5,F#4,C#4,A3,r,B3
157.375,127.6014,41,1.875,D5,F#4,C#4,A3,r,B3
157.5,127.7027,41,2.0,C#5,F#4,C#4,A3,r,C#4
157.75,127.9054,41,2.25,B4,F#4,C#4,A3,r,C#4
157.875,128.0068,41,2.375,A4,F#4,C#4,A3,r,C#4
158.0,128.1081,41,2.5,B4,F4,C#4,G#3,r,C#3
158.25,128.3108,41,2.75,A4,F4,C#4,G#3,r,C#3
158.375,128.4122,41,2.875,G#4,F4,C#4,G#3,r,C#3
158.5,128.5135,41,3.0,F#4,F#4,C#4,A3,r,F#2
159.0,128.9189,41,3.5,F#4,F#4,C#4,A3,r,C#3
159.5,129.3243,41,4.0,r,r,r,r,A4,F#3
159.75,129.527,41,4.25,r,r,r,r,G#4,F#3
160.0,129.7297,41,4.5,r,r,r,r,A4,E3
160.25,129.9324,41,4.75,r,r,r,r,A4,D3
160.5,130.1351,42,1.0,r,r,r,r,E5,C#3
161.0,130.5405,42,1.5,r,r,r,r,E5,E3
161.25,130.7432,42,1.75,r,r,r,r,D5,E3
161.5,130.9459,42,2.0,r,r,r,r,C#5,A2
161.75,131.1486,42,2.25,r,r,r,r,B4,A2
162.0,131.3514,42,2.5,r,r,r,r,A4,C#3
162.25,131.5541,42,2.75,r,r,r,r,G4,C#3
162.5,131.7568,42,3.0,r,r,r,r,F#4,D3
163.0,132.1622,42,3.5,r,r,r,r,F#4,E3
163.25,132.3649,42,3.75,r,r,r,r,F#4,F#3
163.5,132.5676,42,4.0,r,r,r,r,B-4,E3
163.75,132.7703,42,4.25,r,r,r,r,B-4,D3
164.0,132.973,42,4.5,r,r,r,r,B-4,C#3
164.25,133.1757,42,4.75,r,r,r,r,B4,B2
164.5,133.3784,43,1.0,r,r,r,r,G4,B-2
164.75,133.5811,43,1.25,r,r,r,r,F#4,B-2
165.0,133.7838,43,1.5,r,r,r,r,E4,C#3
165.5,134.1892,43,2.0,r,r,r,r,E4,F#2
165.75,134.3919,43,2.25,r,r,r,r,B-4,F#2
165.875,134.4932,43,2.375,r,r,r,r,B4,F#2
166.0,134.5946,43,2.5,r,r,r,r,C#5,B-2
166.25,134.7973,43,2.75,r,r,r,r,E4,B-2
166.5,135.0,43,3.0,r,r,r,r,E4,B2
166.75,135.2027,43,3.25,r,r,r,r,C#4,B2
167.0,135.4054,43,3.5,r,r,r,r,D4,B2
167.25,135.6081,43,3.75,r,r,r,r,D4,B-2
167.5,135.8108,43,4.0,r,r,r,r,D5,B2
167.75,136.0135,43,4.25,r,r,r,r,D5,C#3
168.0,136.2162,43,4.5,r,r,r,r,B4,D3
168.5,136.6216,44,1.0,r,r,r,r,G#4,D3
169.0,137.027,44,1.5,r,r,r,r,A4,C#3
169.25,137.2297,44,1.75,r,r,r,r,B4,B2
169.5,137.4324,44,2.0,r,r,r,r,C#5,A2
169.75,137.6351,44,2.25,r,r,r,r,D5,A2
169.875,137.7365,44,2.375,r,r,r,r,E5,A2
170.0,137.8378,44,2.5,r,r,r,r,D5,A3
170.25,138.0405,44,2.75,r,r,r,r,C#5,A3
170.5,138.2432,44,3.0,r,r,r,r,B4,A3
171.0,138.6486,44,3.5,r,r,r,r,B4,G#3
171.25,138.8514,44,3.75,r,r,r,r,B4,F#3
171.5,139.0541,44,4.0,r,r,r,r,r,G#3
172.0,139.4595,44,4.5,r,r,r,r,C#5,C#3
172.5,139.8649,45,1.0,r,r,r,r,B4,F#3
172.75,140.0676,45,1.25,r,r,r,r,A4,F#3
173.0,140.2703,45,1.5,r,r,r,r,G#4,F#3
173.25,140.473,45,1.75,r,r,r,r,F#4,F#3
173.5,140.6757,45,2.0,r,r,r,r,G#4,F#3
174.0,141.0811,45,2.5,r,r,r,r,G#4,E3
174.25,141.2838,45,2.75,r,r,r,r,G#4,E-3
174.5,141.4865,45,3.0,r,r,r,r,G#4,E3
174.625,141.5878,45,3.125,r,r,r,r,A4,E3
174.75,141.6892,45,3.25,r,r,r,r,G#4,E3
174.875,141.7905,45,3.375,r,r,r,r,F#4,E3
175.0,141.8919,45,3.5,r,r,r,r,G#4,C#3
175.25,142.0946,45,3.75,r,r,r,r,C#5,C#3
175.5,142.2973,45,4.0,r,r,r,r,C#5,A2
175.75,142.5,45,4.25,r,r,r,r,B4,A2
176.0,142.7027,45,4.5,r,r,r,r,A4,C#3
176.25,142.9054,45,4.75,r,r,r,r,G#4,C#3
176.5,143.1081,46,1.0,r,r,r,r,F#4,E-2
176.625,143.2095,46,1.125,r,r,r,r,G#4,E-2
176.75,143.3108,46,1.25,r,r,r,r,F#4,E-2
176.875,143.4122,46,1.375,r,r,r,r,F4,E-2
177.0,143.5135,46,1.5,r,r,r,r,F#4,C#3
177.25,143.7162,46,1.75,r,r,r,r,A4,C#3
177.5,143.9189,46,2.0,r,r,r,r,A4,C3
177.75,144.1216,46,2.25,r,r,r,r,G#4,C3
178.0,144.3243,46,2.5,r,r,r,r,F#4,E-3
178.25,144.527,46,2.75,r,r,r,r,E4,E-3
178.5,144.7297,46,3.0,r,r,r,r,E-4,F#3
178.75,144.9324,46,3.25,r,r,r,r,C5,F#3
179.0,145.1351,46,3.5,r,r,r,r,C5,E-3
179.25,145.3378,46,3.75,r,r,r,r,C#5,E-3
179.5,145.5405,46,4.0,r,r,r,r,C#5,E3
179.75,145.7432,46,4.25,r,r,r,r,B4,E3
179.875,145.8446,46,4.375,r,r,r,r,A4,E3
180.0,145.9459,46,4.5,r,r,r,r,G#4,C#3
180.25,146.1486,46,4.75,r,r,r,r,F#4,C#3
180.5,146.3514,47,1.0,r,r,r,r,E4,G#3
181.0,146.7568,47,1.5,r,r,r,r,F#4,F#3
181.5,147.1622,47,2.0,r,r,r,r,F#4,G#3
182.0,147.5676,47,2.5,r,r,r,r,E-4,G#2
182.125,147.6689,47,2.625,r,r,r,r,C#4,G#2
182.25,147.7703,47,2.75,r,r,r,r,E-4,G#2
182.5,147.973,47,3.0,r,r,r,r,C#4,C#3
