qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Trombone 1,Trombone 2,Trombone 3,Harp,Soprano,Alto,Tenor,Bass,Viola 1,Viola 2,Violoncello 1,Violoncello 2,Violoncello 3,Contrabass
67.0,43.6957,17,4.0,r,r,r,r,r,r,F3,F3,r,r,r,r,r,r,r,r,C4,F3,C4,D3,F2,F1
68.0,44.3478,18,1.0,r,r,r,r,r,r,E3,F3,r,r,r,r,r,r,r,r,B-3,E3,B-3,C#3,F2,F1
69.0,45.0,18,2.0,r,r,r,r,r,r,E3,F3,r,r,r,r,r,r,r,r,A3,E3,A3,C#3,F2,F1
70.0,45.6522,18,3.0,r,r,r,r,r,r,E3,F3,r,r,r,r,r,r,r,r,G3,E3,G3,C#3,F2,F1
71.0,46.3043,18,4.0,r,r,r,r,r,r,E3,F3,r,r,r,r,r,r,r,r,A3,E3,A3,C#3,F2,F1
72.0,46.9565,19,1.0,r,r,r,r,r,r,F3,F3,r,r,r,r,F4,C4,A3,F3,A3,F3,A3,C3,F2,F1
73.0,47.6087,19,2.0,r,r,r,r,r,r,F3,r,r,r,r,r,F4,C4,A3,F3,r,r,r,r,r,r
74.0,48.2609,19,3.0,r,r,r,r,r,r,F3,r,r,r,r,r,A4,C4,E-4,F3,r,r,r,r,r,r
75.0,48.913,19,4.0,r,r,r,r,r,r,F3,r,r,r,r,r,A4,C4,E-4,F3,r,r,r,r,r,r
76.0,49.5652,20,1.0,r,r,r,r,r,r,F3,r,r,r,r,r,B-4,F4,D4,F3,r,r,r,r,r,r
77.0,50.2174,20,2.0,r,r,r,r,r,r,F3,r,r,r,r,r,B-4,G4,E4,F3,r,r,r,r,r,r
78.0,50.8696,20,3.0,r,r,r,r,r,r,F3,r,r,r,r,r,A4,C4,F4,F3,r,r,r,r,r,r
79.0,51.5217,20,4.0,r,r,r,r,r,r,A3,r,r,r,r,r,D5,F4,A3,D3,r,r,r,r,r,r
80.0,52.1739,21,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,A3,A3,r,r,r,r,r,r
81.0,52.8261,21,2.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,A4,C4,E3,r,r,r,r,r,r
82.0,53.4783,21,3.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,A4,E4,E3,r,r,r,r,r,r
83.0,54.1304,21,4.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,E4,E3,r,r,r,r,r,r
84.0,54.7826,22,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,G4,C4,F3,r,r,r,r,r,r
85.0,55.4348,22,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,E4,A3,F3,r,r,r,r,r,r
86.0,56.087,22,3.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,A3,D3,r,r,r,r,r,r
87.0,56.7391,22,4.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,D4,D3,r,r,r,r,r,r
88.0,57.3913,23,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,D4,A2,r,r,r,r,r,r
89.0,58.0435,23,2.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C4,A2,r,r,r,r,r,r
90.0,58.6957,23,3.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,G4,B-2,r,r,r,r,r,r
90.5,59.0217,23,3.5,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,G4,A2,r,r,r,r,r,r
91.0,59.3478,23,4.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,B-4,E4,G2,r,r,r,r,r,r
92.0,60.0,24,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F5,A4,C4,A2,r,r,r,r,r,r
93.0,60.6522,24,2.0,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,C4,C3,r,r,r,r,r,r
94.0,61.3043,24,3.0,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,B3,G3,r,r,r,r,r,r
95.0,61.9565,24,4.0,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,C4,C3,r,r,r,r,r,r
96.0,62.6087,25,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,F4,A3,F3,r,r,r,r,r,r
97.0,63.2609,25,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,E4,C4,A3,r,r,r,r,r,r
98.0,63.913,25,3.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,r,r,r,r,r,r,r,r
99.0,64.5652,25,4.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,A3,F3,F3,r,r,r,r,r,r
100.0,65.2174,26,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,F3,B-2,r,r,r,r,r,r
101.0,65.8696,26,2.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,B-3,F3,D3,r,r,r,r,r,r
102.0,66.5217,26,3.0,r,r,r,r,r,r,r,r,r,r,r,r,F4,G3,G3,C3,r,r,r,r,r,r
102.5,66.8478,26,3.5,r,r,r,r,r,r,r,r,r,r,r,r,D4,G3,G3,C3,r,r,r,r,r,r
103.0,67.1739,26,4.0,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,G3,C3,r,r,r,r,r,r
104.0,67.8261,27,1.0,r,r,r,r,r,r,F4,F3,r,r,r,r,F4,C4,A3,F2,r,F4,F3,r,r,r
105.0,68.4783,27,2.0,A4,r,r,r,r,r,F4,F3,r,r,r,r,r,r,r,r,A4,F4,F3,F3,F3,F2
106.0,69.1304,27,3.0,D5,r,r,r,r,r,F4,F3,r,r,r,r,r,r,r,r,D5,F4,F3,B-2,B-2,B-1
107.0,69.7826,27,4.0,B-4,r,r,r,r,r,F4,F3,r,r,r,r,r,r,r,r,B-4,F4,F3,D3,D3,D2
108.0,70.4348,28,1.0,G4,r,r,r,r,r,F4,C3,r,r,r,r,r,r,r,r,G4,F4,G3,C3,C3,C2
109.0,71.087,28,2.0,G4,r,r,r,r,r,D4,C3,r,r,r,r,r,r,r,r,G4,D4,G3,C3,C3,C2
