qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
356.0,364.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,P8(D Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Trumpet 1)&P8(Timpani)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,,P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violoncello)&P8(Contrabass),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Contrabass),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)
364.0,372.0,Main Part,U(Main),P8(A Clarinet 1),P8(A Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,,P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
372.0,380.0,Main Part,U(Main),P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P6(Oboe 2)&P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 2),P6(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1),,,P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
380.0,388.0,P8(Flute 2),P8(Flute 1),P8(A Horn 2),P8(A Horn 1),P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(A Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 2),P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1),P8(Oboe 2),P8(Oboe 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
388.0,396.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),,,U(Bassoon 2),U(Bassoon 1),P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
396.0,404.0,P8(Flute 2),P8(Flute 1),P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 2),P8(A Clarinet 1),P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
404.0,412.0,P4(Flute 2),P4(Flute 1),P8(Bassoon 1),U(A Clarinet 1)&P8(Bassoon 2),U(Oboe 2)&P8(Bassoon 2),,P8(Oboe 1),P8(Oboe 2)&P8(A Clarinet 1),P8(A Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Timpani),P8(A Horn 1)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Timpani),P6(A Horn 1)&P6(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),P6(A Horn 1)&P6(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P6(A Horn 1)&P6(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,Main Part,,P8(Contrabass),P8(Violoncello)
412.0,434.75,,,,,,,,,P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2),P8(D Trumpet 1),,,,Main Part,P8(Contrabass),P8(Violoncello)
434.75,442.75,P2(Flute 2),P2(Flute 1),P2(Oboe 2)&P2(A Clarinet 1)&P8(A Clarinet 2)&P2(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(Timpani),P2(Oboe 1)&U(A Clarinet 1)&P2(A Clarinet 2)&P8(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P4(Timpani),P2(Oboe 1)&U(Oboe 2)&P2(A Clarinet 2)&P8(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P4(Timpani),P8(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&U(D Trumpet 1)&U(D Trumpet 2)&P3(Timpani),,P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P2(A Clarinet 2)&P4(A Horn 1)&P4(A Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P4(Timpani),P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 2)&U(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(Timpani),P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 2)&U(A Horn 1)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(Timpani),P8(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&U(A Clarinet 2)&P2(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&U(D Trumpet 2)&P3(Timpani),P8(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&U(A Clarinet 2)&P2(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&U(D Trumpet 1)&P3(Timpani),P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2),,,Main Part,P8(Contrabass),P8(Violoncello)
442.75,454.75,,,,,,,,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
454.75,464.0,,U(Oboe 2),,U(Flute 2),U(A Clarinet 2),U(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,Main Part,,P8(Contrabass),P8(Violoncello)
464.0,474.0,P8(Oboe 1),,P8(Flute 1),,P3(A Clarinet 2),P3(A Clarinet 1),,,,,,,,Main Part,,P3(Main),,P3(Main)
474.0,483.0,,U(Oboe 2),P8(A Clarinet 1)&P8(A Clarinet 2),U(Flute 2),P8(Oboe 1)&U(A Clarinet 2),P8(Oboe 1)&U(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
483.0,484.0,P8(Violin 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Main),,P2(A Clarinet 1)&P2(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2),P2(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P2(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P2(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P2(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1),,,,,,P8(Flute 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),Main Part,P3(Flute 1)&P3(Violin 1)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P3(Violin 1)&P8(Viola)&P8(Contrabass),P3(Flute 1)&P3(Violin 1)&P8(Viola)&P8(Violoncello)
484.0,492.75,P8(Oboe 1),,P8(Flute 1),,P3(A Clarinet 2),P3(A Clarinet 1),,,,,,,,,Main Part,P3(Main)&P8(Contrabass),,P3(Main)&P8(Viola)
492.75,494.75,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,,,,,,Main Part,,
494.75,496.75,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(Timpani),,,,,P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(A Clarinet 1)&P4(A Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2),,,Main Part,U(Main),
496.75,500.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(Timpani),,,,,P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(A Clarinet 1)&P4(A Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2),,Main Part,U(Violoncello),U(Viola),
500.0,502.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,,,,,Main Part,,,
502.0,506.75,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
506.75,508.75,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(Timpani),,,,,P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(A Clarinet 1)&P4(A Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2),Main Part,,,,
508.75,512.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(Timpani),,,,,P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(A Clarinet 1)&P4(A Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2),Main Part,,U(Violoncello),U(Viola),
512.0,514.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,,,,Main Part,,,,
514.0,536.0,Main Part,,P8(A Clarinet 1),P8(A Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2),P8(D Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
536.0,550.0,Main Part,,P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2),P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2),P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2),P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1),P3(Main)&P3(Violin 1),,P3(Main)&U(A Horn 2)&P3(Violin 1)&P8(Violoncello)&P8(Contrabass),P3(Main)&U(A Horn 1)&P3(Violin 1)&P8(Violoncello)&P8(Contrabass),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),U(Main)&P3(Bassoon 1)&P3(A Horn 1)&P3(A Horn 2)&P3(Violoncello)&P3(Contrabass),,,P3(Main)&P8(A Horn 1)&P8(A Horn 2)&P3(Violin 1)&U(Contrabass),P3(Main)&P8(A Horn 1)&P8(A Horn 2)&P3(Violin 1)&U(Violoncello)
550.0,562.0,U(Flute 2)&P8(D Trumpet 1)&P8(D Trumpet 2),U(Flute 1)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Clarinet 1),P8(A Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,P8(A Horn 2),P8(A Horn 1),P8(Flute 1)&P8(Flute 2)&U(D Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(D Trumpet 1),,Main Part,P8(Viola),P8(Violin 2),U(Contrabass),U(Violoncello)
562.0,572.0,U(Flute 2),U(Flute 1),P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,U(D Trumpet 2),U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
572.0,576.0,U(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),U(Flute 1)&P5(Oboe 1)&P3(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P5(Flute 1)&P5(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(A Horn 1)&P3(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Timpani),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Violin 2),P8(Violin 1),Main Part,P8(Contrabass),P8(Violoncello)
