qstamp_start,qstamp_end,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Trumpet 1,Eb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
278.0,279.0,P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&U(Violoncello)&P8(Contrabass),,,,,,Main Part,,,P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
279.0,280.0,P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&U(Violoncello)&P8(Contrabass),,,,,,,Main Part,,P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
280.0,281.0,P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&U(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(Viola)&U(Violoncello)&P8(Contrabass),,,,,,Main Part,,P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&U(Bassoon 2)&P3(Viola)&P8(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Viola)&P8(Violoncello)
281.0,282.0,P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P3(Bb Clarinet 2),P3(Bb Clarinet 1),P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&U(Violoncello)&P8(Contrabass),,,,,,,,Main Part,P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
282.0,285.0,P8(Bb Clarinet 1),P3(Oboe 2)&P8(Bb Clarinet 2),P3(Oboe 1)&P3(Bb Clarinet 2),P8(Flute),P8(Oboe 1)&P3(Oboe 2),P3(Bassoon 2)&P3(Viola)&P3(Contrabass),P3(Bassoon 1)&U(Viola)&P8(Contrabass),,P8(Violin 1)&P3(Violin 2),,,,P8(Eb Horn 2)&P3(Violin 2),P3(Eb Horn 2)&P3(Violin 1),P3(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),Main Part,P3(Bassoon 1)&P8(Bassoon 2)&P8(Viola)
285.0,291.5,Main Part,,,P8(Main),,,,,,,,,,,,,
291.5,292.5,,,,,,,,,Main Part,,,,,,,,
292.5,293.5,,,,,,,,,,,,,Main Part,,,,
293.5,295.0,,,,Main Part,,,,,,,,,,,,,
295.0,297.0,Main Part,,,,,,,,,,,,,,,,
297.0,298.0,,,,,,,,P8(Eb Horn 2)&U(Viola)&U(Violoncello),P8(Eb Horn 1)&P8(Viola)&P8(Violoncello),,,,Main Part,,U(Eb Horn 1)&P8(Eb Horn 2)&U(Violoncello),U(Eb Horn 1)&P8(Eb Horn 2)&U(Viola),
298.0,299.0,,P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Violin 2)&P4(Contrabass),,P8(Oboe 1)&P8(Bassoon 1)&U(Violin 2)&P4(Contrabass),,P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Violin 2)&P4(Contrabass),,Main Part,P8(Main),,,,,P8(Oboe 1)&U(Bb Clarinet 1)&P8(Bassoon 1)&P4(Contrabass),U(Violoncello),U(Viola),P4(Oboe 1)&P4(Bb Clarinet 1)&P4(Bassoon 1)&P4(Violin 2)
299.0,302.0,,Main Part,P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Bassoon 1)&P8(Violin 1),P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Bb Clarinet 1)&P8(Violin 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Eb Horn 2),P8(Eb Horn 1),P8(Eb Trumpet 2)&P8(Timpani),P8(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Main)&P8(Bb Clarinet 1)&P8(Bassoon 1),,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
302.0,306.0,P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P8(Flute)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P3(Flute)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P5(Eb Trumpet 1)&P5(Eb Trumpet 2),P8(Flute)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P3(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P5(Eb Trumpet 1)&P5(Eb Trumpet 2),P8(Flute)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P3(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P5(Eb Trumpet 1)&P5(Eb Trumpet 2),,,P3(Flute)&P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Eb Trumpet 2),P3(Flute)&P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Eb Trumpet 1),Main Part,P3(Violin 2),P3(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
306.0,309.0,P8(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P8(Flute)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),,P8(Flute)&P8(Oboe 1)&P3(Bb Clarinet 2),P3(Flute)&P3(Oboe 1)&P3(Bb Clarinet 1),P8(Bassoon 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Bassoon 1)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Trumpet 2),P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Trumpet 1),P8(Viola)&P8(Violoncello)&P8(Contrabass),Main Part,,P8(Timpani)&P8(Violoncello)&P8(Contrabass),P8(Timpani)&P8(Viola)&P8(Contrabass),P8(Timpani)&P8(Viola)&P8(Violoncello)
