qstamp,tstamp,measure,beat,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Trumpet 1,Eb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
36.375,25.9821,13,1.375,A5,E-5,C5,A4,E-4,F3,B-2,B-3,B-2,r,r,r,E-4,C4,B-3,B-2,B-1
36.5,26.0714,13,1.5,A5,E-5,C5,A4,E-4,F3,B-2,B-3,B-2,r,r,r,A4,E-4,B-3,B-2,B-1
36.75,26.25,13,1.75,A5,E-5,C5,A4,E-4,F3,B-2,B-3,B-2,r,r,r,A4,E-4,B-3,B-2,B-1
37.0,26.4286,13,2.0,B-5,D5,B-4,B-4,D4,B-3,B-2,B-3,B-2,r,r,r,r,r,B-3,B-2,B-1
37.375,26.6964,13,2.375,B-5,D5,B-4,B-4,D4,B-3,B-2,B-3,B-2,r,r,r,D4,B-3,B-3,B-2,B-1
37.5,26.7857,13,2.5,B-5,D5,B-4,B-4,D4,B-3,B-2,B-3,B-2,r,r,r,B-4,D4,B-3,B-2,B-1
37.75,26.9643,13,2.75,B-5,D5,B-4,B-4,D4,B-3,B-2,B-3,B-2,r,r,r,B-4,D4,B-3,B-2,B-1
38.0,27.1429,13,3.0,B5,r,r,B4,F4,B3,G2,F4,F4,r,r,r,r,r,F3,G2,G1
38.375,27.4107,13,3.375,B5,r,r,B4,F4,B3,G2,F4,F4,r,r,r,D4,B3,F3,G2,G1
38.5,27.5,13,3.5,B5,r,r,B4,F4,B3,G2,F4,F4,r,r,r,B4,B3,F3,G2,G1
38.875,27.7679,13,3.875,C6,r,r,C5,F4,C4,G2,F4,F4,r,r,r,C5,C4,F3,G2,G1
39.0,27.8571,14,1.0,C6,r,r,C5,F4,C4,G#2,F4,F4,r,r,r,C5,C4,F3,G#2,G#1
39.375,28.125,14,1.375,C6,r,r,C5,F4,C4,G#2,F4,F4,r,r,r,C4,C4,C3,G#2,G#1
39.5,28.2143,14,1.5,F5,r,r,F4,r,F3,G#2,r,r,r,r,r,F4,F4,F3,G#2,G#1
39.875,28.4821,14,1.875,F5,r,r,F4,r,F3,G#2,r,r,r,r,r,C4,C4,C3,G#2,G#1
40.0,28.5714,14,2.0,F5,r,r,F4,r,F3,G#2,r,r,r,r,r,F4,F4,F3,G#2,G#1
40.375,28.8393,14,2.375,F5,r,r,F4,r,F3,G#2,r,r,r,r,r,C4,C4,C3,G#2,G#1
40.5,28.9286,14,2.5,F5,r,r,F4,r,F3,G#2,r,r,r,r,r,F4,F4,F3,G#2,G#1
40.875,29.1964,14,2.875,F5,r,r,F4,r,F3,G#2,r,r,r,r,r,C4,C4,C3,G#2,G#1
41.0,29.2857,14,3.0,F5,r,r,F4,r,F3,G#2,r,r,r,r,r,F4,F4,F3,G#2,G#1
41.25,29.4643,14,3.25,F5,r,r,F4,r,F3,G#2,r,r,r,r,r,F4,F4,F3,G#2,G#1
41.5,29.6429,14,3.5,G5,r,r,G4,r,G3,r,r,r,r,r,r,r,r,r,r,r
41.75,29.8214,14,3.75,G#5,r,r,G#4,r,G#3,r,r,r,r,r,r,r,r,r,r,r
42.0,30.0,15,1.0,G#5,r,r,G#4,r,G#3,B-2,r,r,r,r,r,r,r,r,B-2,B-1
42.375,30.2679,15,1.375,G#5,r,r,G#4,r,G#3,B-2,r,r,r,r,r,G#3,G#3,F3,B-2,B-1
42.5,30.3571,15,1.5,D5,r,r,D4,r,D3,B-2,r,r,r,r,r,D4,D4,G#3,B-2,B-1
42.875,30.625,15,1.875,D5,r,r,D4,r,D3,B-2,r,r,r,r,r,G#3,G#3,F3,B-2,B-1
43.0,30.7143,15,2.0,D5,r,r,D4,r,D3,B-2,r,r,r,r,r,D4,D4,G#3,B-2,B-1
43.375,30.9821,15,2.375,D5,r,r,D4,r,D3,B-2,r,r,r,r,r,G#3,G#3,F3,B-2,B-1
43.5,31.0714,15,2.5,E-5,r,r,E-4,r,E-3,C3,r,r,r,r,r,E-4,E-4,G3,C3,C2
43.875,31.3393,15,2.875,E-5,r,r,E-4,r,E-3,C3,r,r,r,r,r,G3,G3,E-3,C3,C2
44.0,31.4286,15,3.0,F5,r,r,F4,r,F3,G#2,r,r,r,r,r,F4,F4,C4,G#2,G#1
44.25,31.6071,15,3.25,G5,r,r,G4,r,G3,G#2,r,r,r,r,r,r,r,r,G#2,G#1
44.375,31.6964,15,3.375,G5,r,r,G4,r,G3,G#2,r,r,r,r,r,C4,C4,G#3,G#2,G#1
44.5,31.7857,15,3.5,G#5,r,r,G#4,r,G#3,F2,r,r,r,r,r,C5,G#4,C4,F2,F1
44.75,31.9643,15,3.75,C6,r,r,C5,r,C4,F2,r,r,r,r,r,r,r,r,F2,F1
44.875,32.0536,15,3.875,C6,r,r,C5,r,C4,F2,r,r,r,r,r,G#4,F4,G#3,F2,F1
45.0,32.1429,16,1.0,C6,r,r,C5,r,C4,B-2,r,r,r,r,r,r,r,G3,B-2,B-1
45.375,32.4107,16,1.375,C6,r,r,C5,r,C4,B-2,r,r,r,r,r,G4,E-4,G3,B-2,B-1
45.5,32.5,16,1.5,B-5,G5,E-5,B-4,r,B-3,B-2,G4,E-4,r,r,r,B-4,G4,G3,B-2,B-1
45.75,32.6786,16,1.75,B-5,G5,E-5,B-4,r,B-3,B-2,G4,E-4,r,r,r,B-4,G4,G3,B-2,B-1
46.0,32.8571,16,2.0,B-5,G5,E-5,B-4,r,B-3,B-2,G4,E-4,r,r,r,r,r,G3,B-2,B-1
