qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
1236.0,1248.0,P8(Violin 1)&P4(Violoncello),P8(Bb Clarinet 2)&P8(Viola),,P4(Bb Clarinet 1)&P4(Violin 2)&P4(Contrabass),P4(Oboe 2)&U(Violin 2)&P8(Contrabass),P8(Flute 2)&P8(Viola),,P8(Main),Main Part,,,,P8(F Trumpet 1)&P8(F Trumpet 2),P8(F Horn 4)&P8(F Trumpet 2),P8(F Horn 4)&P8(F Trumpet 1),,,,,P8(Flute 1)&P4(Violoncello),P4(Oboe 2)&U(Bb Clarinet 1)&P8(Contrabass),P8(Flute 2)&P8(Bb Clarinet 2),P4(Flute 1)&P4(Violin 1),P4(Oboe 2)&P8(Bb Clarinet 1)&P8(Violin 2)
1248.0,1323.0,,,,,,,,,,,,,,,,,,,,Main Part,,,,
1323.0,1369.0,,,,,,,,,,,,P8(F Horn 4),P8(F Horn 3),,,,,,,Main Part,,,,
1369.0,1375.5,,,Main Part,P3(Main)&P8(Bassoon 2),,,,P3(Main)&P8(Oboe 2),,,,,,,,,,,,,,,,
1375.5,1388.0,,,P3(Oboe 2),P3(Oboe 1),P3(Bb Clarinet 2),P3(Bb Clarinet 1),,,,,,,,,,,,,,Main Part,,,,
1388.0,1399.0,,,,,P3(Bb Clarinet 2)&U(F Horn 3)&P5(F Horn 4),P3(Bb Clarinet 1)&P3(F Horn 3)&P3(F Horn 4),Main Part,,,,,U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(F Horn 4),P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(F Horn 3),,,,,,,P3(Violin 2),P3(Violin 1),,,
1399.0,1415.0,,,P3(Violin 1),,Main Part,,P8(Main),,,,,P5(F Horn 4)&P8(Viola),P5(F Horn 3)&P5(Viola),,,,,,,P3(Oboe 1),,P8(F Horn 3)&P5(F Horn 4),,
1415.0,1437.0,Main Part,,,,,,,,,,,P5(F Horn 4)&P8(Viola),P5(F Horn 3)&P5(Viola),,,,,,,,,P8(F Horn 3)&P5(F Horn 4),,
1437.0,1462.0,,,,,Main Part,,,,,,,,,,,,,,,,,,,
1462.0,1479.0,,,P8(Bassoon 1)&P3(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),,,,P8(Oboe 1)&P3(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P3(Oboe 1)&P3(Bassoon 1)&P6(C Horn 1)&P6(C Horn 2),,P4(Oboe 1)&P4(Bassoon 1)&P6(Bassoon 2)&U(C Horn 2),P4(Oboe 1)&P4(Bassoon 1)&P6(Bassoon 2)&U(C Horn 1),,,,,,,,,Main Part,,,,
1479.0,1490.0,P8(F Horn 4),,Main Part,,,,,,,U(C Horn 2),U(C Horn 1),,P8(Flute 1),,,,,,,,,,,
1490.0,1493.0,Main Part,,,,,,,,,,,,,,,,,,,P4(Violin 2),P4(Violin 1),,,
1493.0,1496.0,,,P4(Bassoon 2),,Main Part,,,P4(Oboe 1),,,,,,,,,,,,,,,,
1496.0,1502.0,P8(Oboe 2)&P3(Bb Clarinet 2),,Main Part,P8(Flute 1)&P3(Bb Clarinet 2),,P3(Flute 1)&P3(Oboe 2),,,,,,,,,,,,,,,,,,
1502.0,1539.0,Main Part,,,,,,,,,P3(C Horn 2),P3(C Horn 1),,,,,,,,,,,,,
1539.0,1550.0,P8(Oboe 1)&P4(Bassoon 1),P8(Oboe 2)&P8(C Horn 2)&P8(F Trumpet 1),P8(Flute 1)&P4(Bassoon 1),P8(Flute 2)&P8(C Horn 2)&P8(F Trumpet 1),P3(Bb Clarinet 2),P3(Bb Clarinet 1),P4(Flute 1)&P4(Oboe 1),P8(Violoncello)&P8(Contrabass),,,P8(Flute 2)&P8(Oboe 2)&P8(F Trumpet 1),,,P8(Flute 2)&P8(Oboe 2)&P8(C Horn 2),,,,,,Main Part,,,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
1550.0,1553.0,,,,,P8(Bassoon 1)&U(Violin 1)&P6(Viola),,P8(Bb Clarinet 1)&P8(Violin 1)&P6(Viola),Main Part,,,,,,,,,,,,U(Bb Clarinet 1)&P8(Bassoon 1)&P6(Viola),,P6(Bb Clarinet 1)&P6(Bassoon 1)&P6(Violin 1),,
1553.0,1556.0,,,,,,,Main Part,P5(C Horn 1)&P8(Violin 2)&P3(Contrabass),,P5(Bassoon 2)&P5(Violin 2)&P3(Contrabass),,,,,,,,,,P8(Main),P8(Bassoon 2)&P5(C Horn 1)&P3(Contrabass),,,P3(Bassoon 2)&P3(C Horn 1)&P3(Violin 2)
1556.0,1559.0,,,,,P8(Bassoon 1)&U(Violin 1)&P6(Viola),,P8(Bb Clarinet 1)&P8(Violin 1)&P6(Viola),Main Part,,,,,,,,,,,,U(Bb Clarinet 1)&P8(Bassoon 1)&P6(Viola),P8(Main),P6(Bb Clarinet 1)&P6(Bassoon 1)&P6(Violin 1),,
1559.0,1562.0,,,,,,,Main Part,P4(C Horn 1)&P8(Violin 2)&P3(Contrabass),,P4(Bassoon 2)&P4(Violin 2)&P6(Contrabass),,,,,,,,,,,P8(Bassoon 2)&P4(C Horn 1)&P3(Contrabass),,,P3(Bassoon 2)&P6(C Horn 1)&P3(Violin 2)
1562.0,1565.0,,,,,,,P8(Violin 1),Main Part,,,,,,,,,,,,P8(Bassoon 1),P8(Main),,P8(Contrabass),P8(Violoncello)
1565.0,1569.0,,U(Oboe 1)&P8(Bb Clarinet 2)&P4(C Horn 2),U(Flute 2)&P8(Bb Clarinet 2)&P4(C Horn 2),,,P8(Flute 2)&P8(Oboe 1)&P4(C Horn 2),Main Part,,,,P4(Flute 2)&P4(Oboe 1)&P4(Bb Clarinet 2),,,,,,,,,,,,,
1569.0,1574.0,P8(Bb Clarinet 1)&P8(Bassoon 2),P8(Oboe 1)&P8(Bb Clarinet 2)&P8(Viola)&P3(Contrabass),P8(Flute 2)&P8(Bb Clarinet 2)&P8(Viola)&P3(Contrabass),P8(Bassoon 1),P8(Flute 1)&P8(Bassoon 2),P8(Flute 2)&P8(Oboe 1)&U(Viola)&P3(Contrabass),P8(Oboe 2),P8(Flute 1)&P8(Bb Clarinet 1),,P2(C Horn 2),P2(C Horn 1),P3(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2),P3(F Horn 3)&P3(F Trumpet 1)&P3(F Trumpet 2),P8(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 2),U(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 1),,,,,Main Part,P8(Main),P8(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 2)&P3(Contrabass),,P3(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 2)&P3(Viola)
1574.0,1598.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1),,P3(C Horn 2)&P2(Trombone 1)&P4(Trombone 2)&P3(Trombone 3),P3(C Horn 1)&P4(Trombone 1)&P6(Trombone 2)&P8(Trombone 3),,,P8(F Trumpet 2),P8(F Trumpet 1),P2(C Horn 1)&P4(C Horn 2)&P3(Trombone 2)&P4(Trombone 3),P4(C Horn 1)&P6(C Horn 2)&P3(Trombone 1)&P6(Trombone 3),P3(C Horn 1)&P8(C Horn 2)&P4(Trombone 1)&P6(Trombone 2),,,,,,
1598.0,1629.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,P8(Bassoon 2),P8(Bassoon 1),P8(Timpani),,,,,,,,,,P8(Contrabassoon),Main Part,,,P8(Contrabass),P8(Violoncello)
1629.0,1699.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,Main Part,,,,
1699.0,1725.0,P8(Oboe 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1),P8(Flute 2)&P8(Bb Clarinet 2),,P8(Flute 2)&P8(Oboe 2),,,U(Contrabass),P8(C Horn 2),P8(C Horn 1),,,,P8(Timpani),,,,P8(F Trumpet 2),Main Part,,,,U(Contrabassoon)
1725.0,1755.0,,,,,,,,,,,,,,P5(F Trumpet 2),P5(F Trumpet 1),P3(Trombone 2),P3(Trombone 1),P8(Timpani),P8(Trombone 3),Main Part,,,,
1755.0,1797.0,P8(Oboe 2),U(Oboe 1),U(Flute 2),P8(Flute 1),,,,,,U(C Horn 2),U(C Horn 1),P8(F Horn 4),P8(F Horn 3),,,,,,,Main Part,,,,
1797.0,1806.0,,,U(Oboe 2)&P3(F Horn 3)&P3(F Horn 4),U(Oboe 1)&P3(F Horn 3)&P3(F Horn 4),,,Main Part,,,,,P3(Oboe 1)&P3(Oboe 2)&U(F Horn 4),P3(Oboe 1)&P3(Oboe 2)&U(F Horn 3),,,,,,,P3(Violin 2),P3(Violin 1),,P8(Contrabass),P8(Violoncello)
1806.0,1832.0,,,U(Oboe 2),U(Oboe 1),,,P6(Bassoon 2),P6(Bassoon 1),,P6(C Horn 2),P6(C Horn 1),Main Part,,,,,,,,,,,,
1832.0,1851.0,,,,P4(Timpani),,P6(Bassoon 1),P6(Bb Clarinet 2),P8(Trombone 3),,,,,,,,,,P8(Bassoon 2),P4(Oboe 2),Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
1851.0,1875.0,P3(Flute 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P8(F Horn 4),P3(Flute 1)&P8(Bassoon 1)&P3(Bassoon 2)&P6(C Horn 1)&P6(C Horn 2)&P3(F Horn 4),P8(F Horn 3),,P6(Bb Clarinet 2),P6(Bb Clarinet 1),P3(Flute 1)&P8(Flute 2)&P3(Bassoon 2)&P6(C Horn 1)&P6(C Horn 2)&P3(F Horn 4),P8(Flute 1)&P3(Flute 2)&P3(Bassoon 1)&P4(C Horn 1)&P4(C Horn 2)&P8(F Horn 4),,P4(Flute 1)&P6(Flute 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(C Horn 2)&P4(F Horn 4),P4(Flute 1)&P6(Flute 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(C Horn 1)&P4(F Horn 4),P8(Oboe 1),P8(Flute 1)&P3(Flute 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),,,P6(Trombone 2),P6(Trombone 1),P8(Timpani),P8(Trombone 3),Main Part,,,,
