qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb basso Horn 1,Bb basso Horn 2,Violin 1,Violin 2,Viola,Violoncello solo,Violoncello,Contrabass
806.5,807.0,P3(Main),,Main Part,,U(Bb Clarinet 2),U(Bb Clarinet 1),,,,,,,,,,
807.0,809.5,,,,,Main Part,U(Main),,,,,,,,,,
809.5,810.0,P3(Main),,Main Part,,U(Bb Clarinet 2),U(Bb Clarinet 1),,,,,,,,,,
810.0,811.0,,,,,Main Part,U(Main),,,,,,,,,,
811.0,811.5,P3(Main),,Main Part,,U(Bb Clarinet 2),U(Bb Clarinet 1),,,,,,,,,,
811.5,812.5,,,,,Main Part,U(Main),,,,,,,,,,
812.5,815.5,,,,,,,,,P4(Bb basso Horn 2)&P3(Violin 2)&P3(Viola)&P4(Violoncello)&P4(Contrabass),P4(Bb basso Horn 1)&P2(Violin 2)&P2(Viola)&P8(Violoncello)&P8(Contrabass),Main Part,P3(Bb basso Horn 1)&P2(Bb basso Horn 2)&P8(Viola)&P2(Violoncello)&P2(Contrabass),P3(Bb basso Horn 1)&P2(Bb basso Horn 2)&P8(Violin 2)&P2(Violoncello)&P2(Contrabass),,P4(Bb basso Horn 1)&P8(Bb basso Horn 2)&P2(Violin 2)&P2(Viola)&P8(Contrabass),P4(Bb basso Horn 1)&P8(Bb basso Horn 2)&P2(Violin 2)&P2(Viola)&P8(Violoncello)
815.5,818.5,,,,,,,Main Part,,,,P3(Violoncello)&P3(Contrabass),P8(Viola),P8(Violin 2),,P3(Violin 1)&P8(Contrabass),P3(Violin 1)&P8(Violoncello)
818.5,821.5,,,,,Main Part,,,,,,P5(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P5(Violin 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Violin 1)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),,P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Contrabass),P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)
821.5,831.0,Main Part,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
