qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,E Horn 3,E Horn 4,D Trumpet 1,D Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
876.0,882.0,Main Part,P3(Main)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Main)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),,,,,,,,,,,,P8(Violin 2),P8(Violin 1),P3(Violoncello)&P3(Contrabass),P3(Viola)&P8(Contrabass),P3(Viola)&P8(Violoncello)
882.0,888.0,Main Part,P3(Main)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Main)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),,,,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
888.0,894.0,Main Part,P8(Oboe 2)&P8(Bassoon 2),P8(Main),P8(Flute 2)&P8(Bassoon 2),,,,P8(Flute 2)&P8(Oboe 2),U(D Horn 2)&P8(Timpani),U(D Horn 1)&P8(Timpani),,,,,,,,,P8(D Horn 1)&P8(D Horn 2),P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
894.0,906.0,Main Part,P8(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2),P8(Main)&P8(Flute 2)&P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(D Horn 1)&P8(D Horn 2),P8(A Clarinet 2)&P8(E Horn 3)&P8(E Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Clarinet 1)&U(E Horn 3)&U(E Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2),,P8(Viola),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(D Horn 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(D Horn 1),P8(A Clarinet 1)&U(A Clarinet 2)&U(E Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Clarinet 1)&U(A Clarinet 2)&U(E Horn 3)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Clarinet 1)&P8(A Clarinet 2)&P8(E Horn 3)&P8(E Horn 4)&U(D Trumpet 2),P8(A Clarinet 1)&P8(A Clarinet 2)&P8(E Horn 3)&P8(E Horn 4)&U(D Trumpet 1),,,,,,,,P8(Bassoon 2),P8(Contrabass),P8(Violoncello)
906.0,938.0,Main Part,P8(Oboe 2)&P8(A Clarinet 1),P8(Main),P8(Flute 2)&U(A Clarinet 1),P8(Flute 2)&U(Oboe 2),,P8(Bassoon 2),P8(Bassoon 1),P8(D Horn 2),P8(D Horn 1),U(E Horn 4),U(E Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
938.0,945.0,P8(Violin 1),Main Part,,P8(Main),,,U(Bassoon 2),U(Bassoon 1),P8(D Horn 2),P8(D Horn 1),,,,,,,,,,P8(Flute 1),,,P8(Contrabass),P8(Violoncello)
945.0,964.0,,Main Part,,,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Violoncello)&P8(Contrabass),,,,,,,P3(Trombone 2)&P4(Trombone 3)&P3(Tuba),P3(Trombone 1)&P6(Trombone 3)&P5(Tuba),P4(Trombone 1)&P6(Trombone 2)&P2(Tuba),P3(Trombone 1)&P5(Trombone 2)&P2(Trombone 3),,P8(Violin 2),P8(Violin 1),,P8(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
964.0,1020.0,,,,Main Part,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1020.0,1044.0,,P8(Main)&P2(Violin 1),,Main Part,,,,,,,,,,,,,,,,P2(Flute 2)&P2(Main),,,,
1044.0,1065.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,,,,,,,,Main Part,,,
1065.0,1071.0,P8(Violin 1),,U(Oboe 2),U(Oboe 1),,,,,,,,P2(Main)&U(Contrabass),,,,,,,,P8(Flute 1),Main Part,,,U(E Horn 4)&P2(Main)
1071.0,1077.0,P8(Violin 1),P8(Violin 2),U(Oboe 2)&P8(Bassoon 2),U(Oboe 1)&P8(Bassoon 2),P3(A Clarinet 2)&P3(Viola),P3(A Clarinet 1)&U(Viola),Main Part,P8(Oboe 1)&P8(Oboe 2),,,P8(E Horn 4),P8(E Horn 3),,,,,,,,P8(Flute 1),P8(Flute 2),P3(A Clarinet 1)&U(A Clarinet 2),P8(Contrabass),P8(Violoncello)
1077.0,1083.0,Main Part,P8(Main),P8(Bassoon 1),P8(Bassoon 2),,,P8(Oboe 1),P8(Oboe 2),,,P8(E Horn 4),P8(E Horn 3),,,,,,,,P8(Violin 2)&P8(Violoncello),P8(Violin 1)&P8(Violoncello),,P8(Violin 1)&P8(Violin 2),
1083.0,1089.0,,,P8(Oboe 2),P8(Oboe 1),P8(A Clarinet 2),P8(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,,P8(E Horn 4),P8(E Horn 3),,,,,,,,Main Part,,P8(Main),,
1089.0,1101.0,,,,,Main Part,,U(Bassoon 2),U(Bassoon 1),,,,,,,,,,,,,,,,
1101.0,1113.0,,,,,P8(A Clarinet 2),P8(A Clarinet 1),,,Main Part,,,,,,,,,,,,,,,
1113.0,1125.0,P6(Flute 2),P6(Flute 1),Main Part,,U(A Clarinet 2),U(A Clarinet 1),,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1125.0,1137.0,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1137.0,1149.0,P8(D Horn 1),,Main Part,,P8(Bassoon 1),,P8(A Clarinet 1),,P8(Flute 1),,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1149.0,1164.0,Main Part,P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main),P8(Flute 2)&U(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 2)&U(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1164.0,1176.5,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1),,,,P6(E Horn 3)&P6(E Horn 4),,,P6(Bassoon 2)&U(E Horn 4),P6(Bassoon 2)&U(E Horn 3),,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1176.5,1191.0,U(Flute 2),U(Flute 1),,,,,,,,,U(E Horn 4),U(E Horn 3),,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1191.0,1230.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),,,U(Bassoon 2)&P8(Contrabass),U(Bassoon 1)&P8(Contrabass),,,,,,,,,,,,,,,,P8(Bassoon 1)&P8(Bassoon 2)
1230.0,1242.0,Main Part,U(Main)&P8(D Horn 1)&P8(D Horn 2),P8(Oboe 2),P8(Oboe 1),P8(E Horn 3)&P8(E Horn 4),,,U(Violoncello),P8(Main)&P8(Flute 2)&U(D Horn 2),P8(Main)&P8(Flute 2)&U(D Horn 1),P8(A Clarinet 1)&P8(E Horn 4),P8(A Clarinet 1)&P8(E Horn 3),U(D Trumpet 2),U(D Trumpet 1),,,,,,P8(Violin 2),P8(Violin 1),,U(Bassoon 2),
1242.0,1248.0,U(Flute 2),U(Flute 1),Main Part,P8(Main)&P8(E Horn 3)&P8(E Horn 4),,,P8(Bassoon 2),P8(Bassoon 1),,,P8(Main)&P8(Oboe 2)&P8(E Horn 4),P8(Main)&P8(Oboe 2)&P8(E Horn 3),,,,,,,,,,,,
1248.0,1251.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2),P8(Main)&P8(Flute 2)&U(Oboe 2),P8(Main)&P8(Flute 2)&U(Oboe 1),,,P7(Trombone 1)&P4(Trombone 2)&U(Trombone 3),P5(E Horn 3)&P5(E Horn 4)&P4(Trombone 2),P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P3(Tuba)&P4(Violin 1)&P7(Violin 2)&U(Viola)&P3(Violoncello)&P3(Contrabass),P4(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P2(Tuba)&P8(Violin 1)&P4(Violin 2)&P4(Viola)&P2(Violoncello)&P2(Contrabass),P5(Bassoon 2)&P8(E Horn 4)&P2(Trombone 2),P5(Bassoon 2)&P8(E Horn 3)&P2(Trombone 2),P4(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P2(Tuba)&U(Violin 1)&P4(Violin 2)&P4(Viola)&P2(Violoncello)&P2(Contrabass),P4(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P2(Tuba)&P8(Violin 1)&P4(Violin 2)&P4(Viola)&P2(Violoncello)&P2(Contrabass),P7(Bassoon 1)&P4(Trombone 2)&P7(Trombone 3),P4(Bassoon 1)&P4(Bassoon 2)&P2(E Horn 3)&P2(E Horn 4)&P4(Trombone 1)&P4(Trombone 3),U(Bassoon 1)&P7(Trombone 1)&P4(Trombone 2),P3(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Violin 1)&P5(Violin 2)&P3(Viola)&U(Violoncello)&P8(Contrabass),,P4(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P2(Tuba)&P4(Violin 2)&P4(Viola)&P2(Violoncello)&P2(Contrabass),P7(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P5(Tuba)&P4(Violin 1)&P7(Viola)&P5(Violoncello)&P5(Contrabass),U(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P3(Tuba)&P4(Violin 1)&P7(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&U(Tuba)&P2(Violin 1)&P5(Violin 2)&P3(Viola)&P8(Contrabass),P3(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P8(Tuba)&P2(Violin 1)&P5(Violin 2)&P3(Viola)&P8(Violoncello)
1251.0,1267.0,,,,,Main Part,,,,P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P7(Trombone 1)&P4(Trombone 2)&U(Trombone 3)&P3(Tuba),P4(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P4(Trombone 1)&U(Trombone 2)&P4(Trombone 3)&P2(Tuba),,,P4(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P4(Trombone 1)&P8(Trombone 2)&P4(Trombone 3)&P2(Tuba),P4(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P4(Trombone 1)&P8(Trombone 2)&P4(Trombone 3)&P2(Tuba),P7(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Trombone 2)&P7(Trombone 3)&P5(Tuba),P4(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P4(Trombone 1)&P4(Trombone 3)&P2(Tuba),U(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P7(Trombone 1)&P4(Trombone 2)&P3(Tuba),P3(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P5(Trombone 1)&P2(Trombone 2)&P3(Trombone 3),,,,,P8(Contrabass),P8(Violoncello)
1267.0,1290.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,P8(Bassoon 2),P8(Bassoon 1),P3(D Horn 2),P3(D Horn 1),P8(E Horn 4)&U(Trombone 1)&P8(Trombone 2)&P6(Timpani),P8(E Horn 3)&P8(Trombone 1)&U(Trombone 2)&P6(Timpani),,,U(E Horn 3)&P8(E Horn 4)&P8(Trombone 2)&P6(Timpani),P8(E Horn 3)&U(E Horn 4)&P8(Trombone 1)&P6(Timpani),,,P6(E Horn 3)&P6(E Horn 4)&P6(Trombone 1)&P6(Trombone 2),Main Part,,,P8(Contrabass),P8(Violoncello)
1290.0,1302.0,Main Part,U(Main),P8(Oboe 2),P8(Oboe 1),P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1),,,P8(E Horn 4),P8(E Horn 3),,,,,P8(Tuba),P8(Trombone 3),,,,,P8(Contrabass),P8(Violoncello)
1302.0,1314.0,Main Part,U(Main)&P8(A Clarinet 2),U(Oboe 2)&P6(D Horn 1)&P6(D Horn 2),U(Oboe 1)&P6(D Horn 1)&P6(D Horn 2),,P8(Main)&P8(Flute 2),,,P6(Oboe 1)&P6(Oboe 2)&P8(D Horn 2),P6(Oboe 1)&P6(Oboe 2)&P8(D Horn 1),,,,,P6(Tuba)&P6(Violin 1)&U(Violin 2),,U(Timpani),P6(Trombone 1)&P8(Violin 1)&P6(Violin 2),U(Trombone 3),P6(Trombone 1)&P8(Tuba)&P6(Violin 2),U(Trombone 1)&P6(Tuba)&P6(Violin 1),,,
1314.0,1326.0,U(Flute 2),U(Flute 1),Main Part,U(Main),,,,,P8(D Horn 2),P8(D Horn 1),,,U(D Trumpet 2),U(D Trumpet 1),P6(Contrabass),,,,,,,,,P6(Trombone 1)
1326.0,1338.0,U(Flute 2),U(Flute 1),U(Oboe 2),U(Oboe 1),U(A Clarinet 2)&P8(D Horn 1),U(A Clarinet 1)&P8(D Horn 1),P8(Bassoon 2),P8(Bassoon 1),P8(A Clarinet 1)&P8(A Clarinet 2),,,,P8(D Trumpet 2),P8(D Trumpet 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1338.0,1350.0,P8(Oboe 1)&P4(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2),,P8(Flute 1)&P4(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2),,P4(Flute 1)&P4(Oboe 1)&P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P6(D Horn 1)&P6(D Horn 2),P3(Flute 1)&P3(Oboe 1)&P6(A Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P4(Flute 1)&P4(Oboe 1)&P8(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 2)&P6(D Horn 1)&P6(D Horn 2),P3(Flute 1)&P3(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&U(D Horn 1)&P8(D Horn 2),P3(Flute 1)&P3(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&U(Bassoon 2)&P8(D Horn 2),P3(Flute 1)&P3(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1),,,,,P8(Viola),P3(Trombone 3)&P8(Violin 2),P3(Trombone 2)&P3(Violin 2),P8(Timpani),P8(Tuba),Main Part,P8(Trombone 2)&P3(Trombone 3),P8(Trombone 1),P8(Main),
1350.0,1362.0,Main Part,,P8(Main),,,,,,P8(D Horn 2)&P8(Tuba),P8(D Horn 1)&P8(Tuba),,,,,P4(Trombone 2)&P6(Contrabass),P4(Trombone 1)&P3(Contrabass),,P8(D Horn 1)&P8(D Horn 2),,,,,,P6(Trombone 1)&P3(Trombone 2)
1362.0,1374.0,U(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P6(D Horn 1)&P6(D Horn 2)&P3(E Horn 3)&P8(E Horn 4)&P6(Tuba)&P6(Violin 1),U(Flute 1)&U(Oboe 1)&P3(Oboe 2)&P6(D Horn 1)&P6(D Horn 2)&P3(E Horn 3)&P8(E Horn 4)&P6(Tuba)&P6(Violin 1),U(Flute 1)&U(Flute 2)&P3(Oboe 2)&P6(D Horn 1)&P6(D Horn 2)&P3(E Horn 3)&P8(E Horn 4)&P6(Tuba)&P6(Violin 1),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P4(D Horn 1)&P4(D Horn 2)&P8(E Horn 3)&P3(E Horn 4)&P4(Tuba)&P4(Violin 1),Main Part,,P8(Main),,P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P8(D Horn 2)&P4(E Horn 3)&P6(E Horn 4)&P8(Tuba)&P8(Violin 1),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P8(D Horn 1)&P4(E Horn 3)&P6(E Horn 4)&P8(Tuba)&P8(Violin 1),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P4(D Horn 1)&P4(D Horn 2)&P3(E Horn 4)&P4(Tuba)&P4(Violin 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P6(D Horn 1)&P6(D Horn 2)&P3(E Horn 3)&P6(Tuba)&P6(Violin 1),,,P6(Trombone 3)&P6(Timpani)&P6(Violin 2)&U(Viola),,P6(Trombone 1)&U(Timpani)&P8(Violin 2)&P6(Viola),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P8(D Horn 1)&P8(D Horn 2)&P4(E Horn 3)&P6(E Horn 4)&P8(Violin 1),P6(Trombone 1)&U(Trombone 3)&P8(Violin 2)&P6(Viola),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P8(D Horn 1)&P8(D Horn 2)&P4(E Horn 3)&P6(E Horn 4)&P8(Tuba),P6(Trombone 1)&P8(Trombone 3)&P8(Timpani)&P6(Viola),U(Trombone 1)&P6(Trombone 3)&P6(Timpani)&P6(Violin 2),,
1374.0,1386.0,U(Flute 2),U(Flute 1),,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),P8(D Horn 2),P8(D Horn 1),,,,,,,,,,Main Part,,,,
1386.0,1398.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),P3(D Horn 2)&P3(D Trumpet 1)&U(D Trumpet 2),P3(D Horn 1)&P8(D Trumpet 1)&P3(D Trumpet 2),,,P3(D Horn 1)&P8(D Horn 2)&P3(D Trumpet 2),U(D Horn 1)&P3(D Horn 2)&P3(D Trumpet 1),U(Trombone 2),U(Trombone 1),,,,,,,,
1398.0,1422.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1),P3(A Clarinet 2),P3(A Clarinet 1),P3(Bassoon 2)&P8(Timpani),P3(Bassoon 1)&P3(Timpani),,,,,,,U(Trombone 2),U(Trombone 1),,,P8(Bassoon 1)&P3(Bassoon 2),Main Part,P8(Main),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
1422.0,1434.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Trombone 1)&P3(Trombone 2)&P3(Timpani),U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Trombone 1)&P3(Trombone 2)&P3(Timpani),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2)&P4(Trombone 1)&P3(Trombone 2)&P3(Timpani),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&P4(Trombone 1)&P3(Trombone 2)&P3(Timpani),Main Part,P8(D Trumpet 2),,,P8(Main),P8(D Horn 2),P4(A Clarinet 1)&P4(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P6(Trombone 2)&P6(Timpani),P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P6(Trombone 1)&U(Timpani),U(Violoncello)&P8(Contrabass),,P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P6(Trombone 1)&U(Trombone 2),P8(Violin 2),P8(Violin 1),,U(Trombone 3)&P8(Contrabass),P8(Trombone 3)&P8(Violoncello)
1434.0,1440.0,Main Part,,U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1),U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1),U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),,P8(D Trumpet 1),P8(D Trumpet 2)&P6(Trombone 1)&P8(Trombone 2)&P4(Trombone 3)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P8(E Horn 4),P8(E Horn 3),P8(D Horn 1),P8(D Horn 2)&P6(Trombone 1)&P8(Trombone 2)&P4(Trombone 3)&P8(Timpani)&P8(Violin 1)&U(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P6(D Horn 2)&P6(D Trumpet 2)&P6(Trombone 2)&P3(Trombone 3)&P6(Timpani)&P6(Violin 1)&P6(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P8(D Horn 2)&P8(D Trumpet 2)&P6(Trombone 1)&P4(Trombone 3)&U(Timpani)&P8(Violin 1)&P8(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P4(D Horn 2)&P4(D Trumpet 2)&P3(Trombone 1)&P4(Trombone 2)&P4(Timpani)&P4(Violin 1)&P4(Violin 2)&P3(Viola)&U(Violoncello)&P8(Contrabass),,P8(D Horn 2)&P8(D Trumpet 2)&P6(Trombone 1)&U(Trombone 2)&P4(Trombone 3)&P8(Violin 1)&P8(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P8(D Horn 2)&P8(D Trumpet 2)&P6(Trombone 1)&P8(Trombone 2)&P4(Trombone 3)&P8(Timpani)&P8(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P8(D Horn 2)&U(D Trumpet 2)&P6(Trombone 1)&P8(Trombone 2)&P4(Trombone 3)&P8(Timpani)&P8(Violin 1)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P6(D Horn 2)&P6(D Trumpet 2)&P8(Trombone 1)&P6(Trombone 2)&P3(Trombone 3)&P6(Timpani)&P6(Violin 1)&P6(Violin 2)&P3(Violoncello)&P3(Contrabass),P4(D Horn 2)&P4(D Trumpet 2)&P3(Trombone 1)&P4(Trombone 2)&U(Trombone 3)&P4(Timpani)&P4(Violin 1)&P4(Violin 2)&P3(Viola)&P8(Contrabass),P4(D Horn 2)&P4(D Trumpet 2)&P3(Trombone 1)&P4(Trombone 2)&P8(Trombone 3)&P4(Timpani)&P4(Violin 1)&P4(Violin 2)&P3(Viola)&P8(Violoncello)
1440.0,1446.0,P3(Bassoon 2)&P3(Trombone 3)&P3(Violoncello)&P3(Contrabass),P6(Oboe 1)&P6(A Clarinet 2)&P6(Bassoon 1)&P8(D Horn 2)&P8(D Trumpet 2)&P8(Timpani)&P6(Viola),P6(Flute 2)&P6(D Horn 2)&P6(D Trumpet 2)&P6(Timpani),U(A Clarinet 1)&P3(Bassoon 2)&P3(Trombone 3)&P3(Violoncello)&P3(Contrabass),U(Oboe 2)&P3(Bassoon 2)&P3(Trombone 3)&P3(Violoncello)&P3(Contrabass),P6(Flute 2)&P8(Bassoon 1)&P6(D Horn 2)&P6(D Trumpet 2)&P6(Timpani)&U(Viola),P6(Flute 2)&P8(A Clarinet 2)&P6(D Horn 2)&P6(D Trumpet 2)&P6(Timpani)&P8(Viola),P3(Flute 1)&P3(Oboe 2)&P3(A Clarinet 1)&P8(Trombone 3)&P8(Violoncello)&P8(Contrabass),P8(D Trumpet 1),P8(Flute 2)&P6(Oboe 1)&P6(A Clarinet 2)&P6(Bassoon 1)&P8(D Trumpet 2)&P8(Timpani)&P6(Viola),P8(E Horn 4),P8(E Horn 3),P8(D Horn 1),P8(Flute 2)&P6(Oboe 1)&P6(A Clarinet 2)&P6(Bassoon 1)&P8(D Horn 2)&P8(Timpani)&P6(Viola),P6(Trombone 2),P6(Trombone 1),P3(Flute 1)&P3(Oboe 2)&P3(A Clarinet 1)&P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),,P8(Flute 2)&P6(Oboe 1)&P6(A Clarinet 2)&P6(Bassoon 1)&P8(D Horn 2)&P8(D Trumpet 2)&P6(Viola),Main Part,P8(Main),P6(Flute 2)&U(A Clarinet 2)&P8(Bassoon 1)&P6(D Horn 2)&P6(D Trumpet 2)&P6(Timpani),P3(Flute 1)&P3(Oboe 2)&P3(A Clarinet 1)&P8(Bassoon 2)&U(Trombone 3)&P8(Contrabass),P3(Flute 1)&P3(Oboe 2)&P3(A Clarinet 1)&P8(Bassoon 2)&P8(Trombone 3)&P8(Violoncello)
