qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"D, A Timpani",Triangle,Cymbals,Bass Drum,Soprano solo,Alto solo,Tenor solo,Bass solo,Soprano,Alto,Tenor,Bass,Violin 1,Violin 2,Viola,Violoncello,Contrabass
2695.0,2719.0,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Violin 1),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Violin 1),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Main)&U(Violin 1),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Main)&U(Violin 1),U(Bb Clarinet 2)&U(Alto)&U(Violin 2),U(Bb Clarinet 1)&U(Alto)&U(Violin 2),U(Tenor Trombone)&U(Tenor),U(Bass Trombone)&U(Bass),P8(Violoncello)&U(Contrabass),P8(D Horn 2),P8(D Horn 1),,,P8(D Trumpet 2),P8(D Trumpet 1),,U(Bassoon 1)&U(Tenor),U(Bassoon 2)&U(Bass),,,,,,,,,Main Part,U(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Violin 2),U(Bassoon 1)&U(Tenor Trombone),U(Bassoon 2)&U(Bass Trombone),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Main),U(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Alto),,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
2719.0,2749.0,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Main),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Main),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Main),U(Bb Clarinet 2)&U(Alto)&U(Violin 2),U(Bb Clarinet 1)&U(Alto)&U(Violin 2),,U(Bass Trombone)&U(Bass),U(Contrabass),P8(D Trumpet 2),,,,,P8(D Horn 1),,U(Tenor)&U(Viola),U(Bassoon 2)&U(Bass),,,,,,,,,Main Part,U(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Violin 2),U(Tenor Trombone)&U(Viola),U(Bassoon 2)&U(Bass Trombone),,U(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Alto),U(Tenor Trombone)&U(Tenor),,U(Contrabassoon)
2749.0,2761.0,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Soprano),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Soprano),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(D Trumpet 1)&P8(D Trumpet 2)&U(Soprano),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(D Trumpet 1)&P8(D Trumpet 2)&U(Soprano),U(Bb Clarinet 2)&U(Alto Trombone)&U(Main),U(Bb Clarinet 1)&U(Alto Trombone)&U(Main),U(Tenor Trombone)&U(Tenor)&U(Viola),P8(Contrabassoon)&U(Bass Trombone)&U(Bass)&P8(Contrabass),P8(Bassoon 2)&P8(Bass Trombone)&P8(Bass)&U(Contrabass),,,,,P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(D Trumpet 2)&U(Soprano),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(D Trumpet 1)&P8(Soprano),U(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Main),U(Bassoon 1)&U(Tenor)&U(Viola),U(Bassoon 2)&P8(Contrabassoon)&U(Bass)&P8(Contrabass),,,,,,,,,P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(D Trumpet 1)&P8(D Trumpet 2),Main Part,U(Bassoon 1)&U(Tenor Trombone)&U(Viola),U(Bassoon 2)&P8(Contrabassoon)&U(Bass Trombone)&P8(Contrabass),,,U(Bassoon 1)&U(Tenor Trombone)&U(Tenor),,P8(Bassoon 2)&U(Contrabassoon)&P8(Bass Trombone)&P8(Bass)
2761.0,2773.0,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(D Horn 1)&P5(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Soprano),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P5(D Horn 1)&P5(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Soprano),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P5(D Horn 1)&P5(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&U(Soprano),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P5(D Horn 1)&P5(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&U(Soprano),U(Bb Clarinet 2)&U(Alto Trombone)&U(Main),U(Bb Clarinet 1)&U(Alto Trombone)&U(Main),U(Tenor Trombone)&U(Tenor)&U(Viola),P8(Contrabassoon)&U(Bass Trombone)&U(Bass)&U(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Bass Trombone)&P8(Bass)&P8(Violoncello)&U(Contrabass),P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(D Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Soprano),P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(D Horn 1)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Soprano),,,P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P5(D Horn 1)&P5(D Horn 2)&P8(D Trumpet 2)&U(Soprano),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(D Horn 1)&P5(D Horn 2)&P8(D Trumpet 1)&P8(Soprano),U(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Main),U(Bassoon 1)&U(Tenor)&U(Viola),U(Bassoon 2)&P8(Contrabassoon)&U(Bass)&U(Violoncello)&P8(Contrabass),,,,,,,,,P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P5(D Horn 1)&P5(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2),Main Part,U(Bassoon 1)&U(Tenor Trombone)&U(Viola),U(Bassoon 2)&P8(Contrabassoon)&U(Bass Trombone)&U(Violoncello)&P8(Contrabass),,,U(Bassoon 1)&U(Tenor Trombone)&U(Tenor),U(Bassoon 2)&P8(Contrabassoon)&U(Bass Trombone)&U(Bass)&P8(Contrabass),P8(Bassoon 2)&U(Contrabassoon)&P8(Bass Trombone)&P8(Bass)&P8(Violoncello)
2773.0,2785.0,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Soprano),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Soprano),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(D Trumpet 1)&P8(D Trumpet 2)&U(Soprano),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(D Trumpet 1)&P8(D Trumpet 2)&U(Soprano),U(Bb Clarinet 2)&U(Main),U(Bb Clarinet 1)&U(Main),U(Tenor)&U(Viola),P8(Contrabassoon)&U(Bass Trombone)&U(Bass)&U(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Bass Trombone)&P8(Bass)&P8(Violoncello)&U(Contrabass),P8(D Horn 2),P8(D Horn 1),,,P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(D Trumpet 2)&U(Soprano),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(D Trumpet 1)&P8(Soprano),,,U(Bassoon 2)&P8(Contrabassoon)&U(Bass)&U(Violoncello)&P8(Contrabass),,,,,,,,,P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(D Trumpet 1)&P8(D Trumpet 2),Main Part,U(Bassoon 1)&U(Viola),U(Bassoon 2)&P8(Contrabassoon)&U(Bass Trombone)&U(Violoncello)&P8(Contrabass),,,U(Bassoon 1)&U(Tenor),U(Bassoon 2)&P8(Contrabassoon)&U(Bass Trombone)&U(Bass)&P8(Contrabass),P8(Bassoon 2)&U(Contrabassoon)&P8(Bass Trombone)&P8(Bass)&P8(Violoncello)
2785.0,2809.0,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Soprano),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Soprano),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(D Trumpet 1)&P8(D Trumpet 2)&U(Soprano),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(D Trumpet 1)&P8(D Trumpet 2)&U(Soprano),U(Bb Clarinet 2)&U(Main),U(Bb Clarinet 1)&U(Main),U(Tenor Trombone)&U(Tenor),P8(Contrabassoon)&U(D Horn 1)&U(D Horn 2)&U(Bass Trombone),P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P8(Bass Trombone),U(Bassoon 2)&P8(Contrabassoon)&U(D Horn 2)&U(Bass Trombone),U(Bassoon 2)&P8(Contrabassoon)&U(D Horn 1)&U(Bass Trombone),,,P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(D Trumpet 2)&U(Soprano),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(D Trumpet 1)&P8(Soprano),,U(Bassoon 1)&U(Tenor),U(Bassoon 2)&P8(Contrabassoon)&U(D Horn 1)&U(D Horn 2),,,,,,,,,P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(D Trumpet 1)&P8(D Trumpet 2),Main Part,U(Bassoon 1)&U(Tenor Trombone),U(Violoncello)&P8(Contrabass),,,,U(Bass)&P8(Contrabass),P8(Bass)&P8(Violoncello)
2809.0,2833.0,,,,,,U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1),,,,,,,,,,,,,,,,,,,,,,Main Part,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
2833.0,2857.0,,,,,,U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1),,,,,,,,,,,,,,,,,,,,,Main Part,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
2857.0,2881.0,,,,U(Bb Clarinet 1)&P8(Bassoon 1),,U(Oboe 1)&P8(Bassoon 1),P8(Bassoon 2),P8(Oboe 1)&P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,,,,,,,,,,,,,,,,,P8(Tenor)&P8(Bass),Main Part,P8(Soprano)&P8(Bass),P8(Soprano)&P8(Tenor),P8(Main)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Main)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
2881.0,2899.0,,P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2),P8(Flute 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2),P8(Flute 1)&U(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),,P8(Flute 2)&U(Oboe 2)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2),P8(Flute 2)&P8(Oboe 2)&P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),,,U(Flute 2)&P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2),P8(Flute 2)&U(Oboe 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1),,,,,,,,,,,,Main Part,P8(Main)&P8(Tenor)&P8(Bass)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Alto)&P8(Bass)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Alto)&P8(Tenor)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),U(Main)&P8(Alto)&P8(Tenor)&P8(Bass)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Main)&P8(Alto)&P8(Tenor)&P8(Bass)&U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&U(Alto)&P8(Tenor)&P8(Bass)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Alto)&P8(Tenor)&U(Bass)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Alto)&P8(Tenor)&P8(Bass)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
2899.0,2911.0,,P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(D Horn 1)&P8(Main),P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Tenor),P8(Flute 1)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(D Horn 1)&U(Main),P8(Flute 2)&U(Bb Clarinet 2)&P8(Bassoon 2)&P8(Tenor),P8(Flute 1)&U(Oboe 1)&P8(Bassoon 1)&P8(D Horn 1)&U(Main),P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2)&P8(Tenor),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(D Horn 1)&P8(Main),P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Tenor),,P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Main),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Alto)&U(Bass),,,P8(D Horn 2)&P8(D Trumpet 2)&P8(Alto)&P8(Bass),P8(D Horn 2)&P8(D Trumpet 1)&P8(Alto)&P8(Bass),,,,,,,,,,,,Main Part,P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Bass),P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Alto),,,,P8(Contrabass),P8(Violoncello)
2911.0,2917.0,,P5(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P2(Bassoon 2)&P8(D Horn 1)&P4(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Soprano)&P5(Alto)&P2(Tenor)&P4(Bass),P5(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P6(Bassoon 2)&P5(D Horn 1)&P2(D Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Soprano)&P8(Alto)&P6(Tenor)&P2(Bass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P3(D Horn 1)&P2(D Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Soprano)&P3(Alto)&P4(Tenor)&P2(Bass),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P5(Bassoon 1)&P6(Bassoon 2)&P5(D Horn 1)&P2(D Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Soprano)&U(Alto)&P6(Tenor)&P2(Bass),P3(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P3(D Horn 1)&P2(D Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Soprano)&P3(Alto)&P4(Tenor)&P2(Bass),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P5(Bassoon 1)&P6(Bassoon 2)&P5(D Horn 1)&P2(D Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Soprano)&U(Alto)&P6(Tenor)&P2(Bass),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P2(Bassoon 2)&U(D Horn 1)&P4(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Soprano)&P5(Alto)&P2(Tenor)&P4(Bass),P2(Flute 1)&P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P2(Bassoon 1)&P2(D Horn 1)&P5(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Soprano)&P6(Alto)&U(Tenor)&P5(Bass),,P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(Bassoon 1)&P2(Bassoon 2)&P4(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Soprano)&P5(Alto)&P2(Tenor)&P4(Bass),P4(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Bassoon 1)&P5(Bassoon 2)&P4(D Horn 1)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Soprano)&P2(Alto)&P5(Tenor)&U(Bass),,,P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P2(Bassoon 2)&P8(D Horn 1)&P4(D Horn 2)&U(D Trumpet 2)&U(Soprano)&P5(Alto)&P2(Tenor)&P4(Bass),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P2(Bassoon 2)&P8(D Horn 1)&P4(D Horn 2)&U(D Trumpet 1)&U(Soprano)&P5(Alto)&P2(Tenor)&P4(Bass),,,,,,,,,,,,P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P2(Bassoon 2)&P8(D Horn 1)&P4(D Horn 2)&U(D Trumpet 1)&U(D Trumpet 2)&P5(Alto)&P2(Tenor)&P4(Bass),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P5(Bassoon 1)&P6(Bassoon 2)&P5(D Horn 1)&P2(D Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Soprano)&P6(Tenor)&P2(Bass),P2(Flute 1)&P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P2(Bassoon 1)&U(Bassoon 2)&P2(D Horn 1)&P5(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Soprano)&P6(Alto)&P5(Bass),P4(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Bassoon 1)&P5(Bassoon 2)&P4(D Horn 1)&U(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Soprano)&P2(Alto)&P5(Tenor),Main Part,P5(Main)&P6(Viola)&P2(Violoncello)&P2(Contrabass),P2(Main)&P6(Violin 2)&P5(Violoncello)&P5(Contrabass),P4(Main)&P2(Violin 2)&P5(Viola)&P8(Contrabass),P4(Main)&P2(Violin 2)&P5(Viola)&P8(Violoncello)
2917.0,2959.0,,,,,,,,,,,,,,,U(D Trumpet 2),U(D Trumpet 1),,,,,,,,,,,,Main Part,,,,,,P4(Violoncello)&P4(Contrabass),P4(Viola)&P8(Contrabass),P4(Viola)&P8(Violoncello)
2959.0,2983.0,,P8(Bassoon 1)&P8(Bassoon 2),,"P4(D, A Timpani)",,P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Flute 1)&P8(Bassoon 2),P8(Flute 1)&P8(Bassoon 1),,U(Tenor),,,,P8(D Trumpet 2),P8(D Trumpet 1),,,,P4(Oboe 1),,,,,,,,Main Part,,U(D Horn 1),U(Violoncello)&P8(Contrabass),U(Main),,,U(Bass)&P8(Contrabass),P8(Bass)&P8(Violoncello)
2983.0,3007.0,,P8(Flute 2),P8(Flute 1),,,U(Bb Clarinet 2),U(Bb Clarinet 1),U(Bassoon 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P8(Main)&P4(Alto)&P4(Tenor)&P8(Bass)&P3(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),U(Bassoon 1)&P4(D Trumpet 1)&P4(D Trumpet 2)&P8(Main)&P4(Alto)&P4(Tenor)&P8(Bass)&P3(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),,P8(D Horn 2),P8(D Horn 1),,,P4(Bassoon 1)&P4(Bassoon 2)&P8(D Trumpet 2)&P4(Main)&U(Alto)&P8(Tenor)&P4(Bass)&P6(Violin 2)&P8(Viola)&P4(Violoncello)&P4(Contrabass),P4(Bassoon 1)&P4(Bassoon 2)&P8(D Trumpet 1)&P4(Main)&P8(Alto)&U(Tenor)&P4(Bass)&P6(Violin 2)&U(Viola)&P4(Violoncello)&P4(Contrabass),,,,,,,,,,,,Main Part,P4(Bassoon 1)&P4(Bassoon 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P4(Main)&P8(Tenor)&P4(Bass)&P6(Violin 2)&P8(Viola)&P4(Violoncello)&P4(Contrabass),P4(Bassoon 1)&P4(Bassoon 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P4(Main)&P8(Alto)&P4(Bass)&P6(Violin 2)&U(Viola)&P4(Violoncello)&P4(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P8(Main)&P4(Alto)&P4(Tenor)&P3(Violin 2)&P4(Viola)&U(Violoncello)&P8(Contrabass),,P3(Bassoon 1)&P3(Bassoon 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P3(Main)&P6(Alto)&P6(Tenor)&P3(Bass)&P6(Viola)&P3(Violoncello)&P3(Contrabass),P4(Bassoon 1)&P4(Bassoon 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P4(Main)&P8(Alto)&U(Tenor)&P4(Bass)&P6(Violin 2)&P4(Violoncello)&P4(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P8(Main)&P4(Alto)&P4(Tenor)&U(Bass)&P3(Violin 2)&P4(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P8(Main)&P4(Alto)&P4(Tenor)&P8(Bass)&P3(Violin 2)&P4(Viola)&P8(Violoncello)
3007.0,3015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,
3015.0,3023.0,,,,,,,,,U(D Horn 2)&P3(Tenor solo)&U(Bass solo),,,U(Bassoon 2)&P3(Tenor solo)&U(Bass solo),,,,,,,,,,,,,,P3(Bassoon 2)&P3(D Horn 2)&P3(Bass solo),U(Bassoon 2)&U(D Horn 2)&P3(Tenor solo),,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
3023.0,3031.0,,U(Violin 1)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),,,P3(Soprano solo)&U(Alto solo),,,P3(Bassoon 2),P3(Bassoon 1),,,U(Viola),,,,,,,,,,,,P3(Oboe 2)&P3(Alto solo),U(Oboe 2)&P3(Soprano solo),Main Part,P3(Main),,,,,U(Flute 1)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P3(Violin 1)&P3(Violoncello)&P3(Contrabass),U(D Horn 2),P8(Flute 1)&P8(Violin 1)&P3(Violin 2)&P8(Contrabass),P8(Flute 1)&P8(Violin 1)&P3(Violin 2)&P8(Violoncello)
3031.0,3043.0,,,,P3(Oboe 2),P3(Oboe 1),,,P3(Bassoon 2),P3(Bassoon 1),,,U(Viola),,,,,,,,,,,,Main Part,P3(Main),P3(Bass solo),P3(Tenor solo),,,,,P8(Violin 2)&P5(Violoncello)&P5(Contrabass),P8(Violin 1)&P5(Violoncello)&P5(Contrabass),U(D Horn 2),P5(Violin 1)&P5(Violin 2)&P8(Contrabass),P5(Violin 1)&P5(Violin 2)&P8(Violoncello)
3043.0,3049.0,,,,P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1),,P8(Oboe 1)&P8(Bb Clarinet 1),P8(Oboe 2),,,,,,,,,,,,,,,,,,,,,,,Main Part,P8(Main),U(Violoncello)&P8(Contrabass),U(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
