qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,F Horn 1,F Horn 2,C Horn 3,C Horn 4,C Trumpet 1,C Trumpet 2,Timpani,Triangle,Violin 1,Violin 2,Viola,Violoncello,Contrabass
59.0,29.5,30,2.0,r,r,r,A5,F5,A4,F4,A4,F4,r,r,r,G4,G3,G4,G3,r,r,A5,C5,F4,r,r
59.25,29.625,30,2.25,r,r,r,A5,F5,A4,F4,A4,F4,r,r,r,G4,G3,G4,G3,r,r,F5,C5,F4,r,r
59.5,29.75,30,2.5,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,r,r,A5,r,r,r,r
59.75,29.875,30,2.75,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,r,r,D6,A4,F4,r,r
60.0,30.0,31,1.0,r,r,r,G5,E5,G4,E4,G4,E4,r,r,r,G4,G3,G4,G3,r,r,G5,C5,E4,r,r
60.25,30.125,31,1.25,r,r,r,G5,E5,G4,E4,G4,E4,r,r,r,G4,G3,G4,G3,r,r,E5,C5,E4,r,r
60.5,30.25,31,1.5,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,r,r,G5,r,r,r,r
60.75,30.375,31,1.75,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,r,r,C6,G4,E4,r,r
61.0,30.5,31,2.0,r,r,r,F5,D5,F5,D5,F4,D4,r,r,r,G4,G3,G4,G3,r,r,F5,B4,D4,r,r
61.25,30.625,31,2.25,r,r,r,F5,D5,F5,D5,F4,D4,r,r,r,G4,G3,G4,G3,r,r,D5,B4,D4,r,r
61.5,30.75,31,2.5,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,r,r,F5,r,r,r,r
61.75,30.875,31,2.75,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,r,r,B5,F4,D4,r,r
62.0,31.0,32,1.0,r,r,r,A5,C5,E5,C5,E4,C4,r,r,r,G4,G3,G4,G3,G2,r,A5,A4,E4,C4,r
62.25,31.125,32,1.25,r,r,r,A5,C5,E5,C5,E4,C4,r,r,r,G4,G3,G4,G3,G2,r,G5,G4,D4,B3,r
62.5,31.25,32,1.5,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,G2,r,F5,F4,C4,A3,r
62.75,31.375,32,1.75,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,G2,r,E5,E4,B3,G3,r
63.0,31.5,32,2.0,r,r,r,F5,A4,C5,A4,C4,A3,r,r,r,G4,G3,G4,G3,G2,r,F5,F4,C4,A3,r
63.25,31.625,32,2.25,r,r,r,F5,A4,C5,A4,C4,A3,r,r,r,G4,G3,G4,G3,G2,r,E5,E4,B3,G3,r
63.5,31.75,32,2.5,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,G2,r,D5,D4,A3,F3,r
63.75,31.875,32,2.75,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,G2,r,C5,C4,G3,E3,r
64.0,32.0,33,1.0,r,r,r,D5,F4,A4,F4,A3,F3,r,r,r,G4,G3,G4,G3,G2,r,D5,D4,A3,F3,r
64.25,32.125,33,1.25,r,r,r,D5,F4,A4,F4,A3,F3,r,r,r,G4,G3,G4,G3,G2,r,C5,C4,G3,E3,r
64.5,32.25,33,1.5,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,G2,r,B4,B3,F3,D3,r
64.75,32.375,33,1.75,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,G2,r,A4,A3,E3,C3,r
65.0,32.5,33,2.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,G2,r,G4,G3,D3,B2,r
65.25,32.625,33,2.25,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,G2,r,A4,A3,E3,C3,r
65.5,32.75,33,2.5,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,G2,r,B4,B3,F3,D3,r
65.75,32.875,33,2.75,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G4,G3,G2,r,C5,C4,G3,E3,r
66.0,33.0,34,1.0,r,r,r,G5,F5,G5,F5,G3,G3,r,G4,G4,F4,G3,G5,G4,G2,r,D5,D4,A3,F3,r
66.25,33.125,34,1.25,r,r,r,G5,F5,G5,F5,G3,G3,r,G4,G4,F4,G3,G5,G4,G2,r,C5,C4,G3,E3,r
66.5,33.25,34,1.5,r,r,r,G5,F5,G5,F5,G3,G3,r,G4,G4,F4,G3,G5,G4,G2,r,D5,D4,A3,F3,r
66.75,33.375,34,1.75,r,r,r,G5,F5,G5,F5,G3,G3,r,G4,G4,F4,G3,G5,G4,G2,r,E5,E4,B3,G3,r
67.0,33.5,34,2.0,r,r,r,G5,F5,G5,F5,G3,G3,r,G4,G4,F4,G3,G5,G4,G2,r,F5,F4,C4,A3,r
67.25,33.625,34,2.25,r,r,r,G5,F5,G5,F5,G3,G3,r,G4,G4,F4,G3,G5,G4,G2,r,G5,G4,D4,B3,r
67.5,33.75,34,2.5,r,r,r,G5,F5,G5,F5,G3,G3,r,G4,G4,F4,G3,G5,G4,G2,r,A5,A4,E4,C4,r
67.75,33.875,34,2.75,r,r,r,G5,F5,G5,F5,G3,G3,r,G4,G4,F4,G3,G5,G4,G2,r,B5,B4,F4,D4,r
68.0,34.0,35,1.0,r,r,r,E5,C5,E5,C5,C4,C4,C3,C4,C4,E4,C4,C5,C4,C3,r,C5,C5,E4,C4,C3
68.5,34.25,35,1.5,r,r,r,E5,C5,E5,G4,B3,B3,B2,E4,r,C4,C3,r,r,r,r,E5,C5,G4,B3,B2
69.0,34.5,35,2.0,r,r,r,F5,F5,F5,C5,A3,A3,A2,F4,r,C4,C3,r,r,r,r,F5,C5,F4,A3,A2
69.5,34.75,35,2.5,r,r,r,G5,B4,G5,B4,G3,G3,G2,G4,r,D4,G3,r,r,r,r,G5,D5,B4,G3,G2
70.0,35.0,36,1.0,r,r,r,A5,C5,A5,C5,F3,F3,F2,A4,A4,F4,C4,r,r,r,r,A5,F5,C5,F3,F2
71.0,35.5,36,2.0,r,r,r,G5,B4,D5,B4,G3,G3,G2,G4,G4,D4,G3,r,r,r,r,G5,D5,B4,G3,G2
72.0,36.0,37,1.0,r,r,r,C5,C5,E5,G4,C4,C4,C3,C4,C4,C4,C3,C5,C4,C3,r,C5,C5,E4,C4,C3
72.5,36.25,37,1.5,r,r,r,E5,C5,E5,G4,B3,B3,B2,E4,r,C4,C3,r,r,r,r,E5,C5,G4,B3,B2
73.0,36.5,37,2.0,r,r,r,F5,F5,F5,C5,A3,A3,A2,F4,r,C4,C3,r,r,r,r,F5,C5,F4,A3,A2
73.5,36.75,37,2.5,r,r,r,A5,C5,F5,A4,F3,F3,F2,F4,C4,C4,C3,r,r,r,r,A5,F5,A4,F3,F2
74.0,37.0,38,1.0,r,r,r,D6,F5,A5,F5,D3,D3,D2,A4,F4,r,r,r,r,r,r,D6,A5,D5,D3,D2
75.0,37.5,38,2.0,r,r,r,B5,G#5,G#5,B4,E3,E3,E2,G#4,E4,r,r,r,r,r,r,B5,G#5,B4,E3,E2
76.0,38.0,39,1.0,E7,A6,A6,A5,E5,A5,E5,C2,C2,C1,A4,A3,C3,C2,E5,E4,C3,E4,E6,A5,E5,C2,C1
78.0,39.0,40,1.0,E7,A6,A6,A5,E5,A5,E5,C2,C2,C1,A4,A3,C4,C3,E5,E4,C3,E4,E6,A5,E5,C2,C1
79.0,39.5,40,2.0,A6,F#6,F#6,A5,F#5,F#5,A4,C4,C3,r,A4,C4,r,r,r,r,C3,r,A5,A4,F#4,C4,C3
79.25,39.625,40,2.25,A6,F#6,F#6,A5,F#5,F#5,A4,C4,C3,r,A4,C4,r,r,r,r,C3,r,A5,A4,F#4,C4,C3
79.5,39.75,40,2.5,A6,F#6,F#6,A5,F#5,F#5,A4,C4,C3,r,A4,C4,r,r,r,r,C3,r,A5,A4,F#4,C4,C3
80.0,40.0,41,1.0,D7,G6,G6,G5,D5,G5,D5,B3,B2,r,G4,G4,r,r,r,r,G2,r,D6,D5,D4,B3,B2
80.25,40.125,41,1.25,D7,G6,G6,G5,D5,G5,D5,B3,B2,r,G4,G4,r,r,r,r,G2,r,D6,D5,D4,B3,B2
80.5,40.25,41,1.5,D7,G6,G6,G5,D5,G5,D5,B3,B2,r,G4,G4,r,r,r,r,G2,r,D6,D5,D4,B3,B2
81.0,40.5,41,2.0,B6,G6,G6,B5,D5,B5,D5,G3,G2,r,r,r,G4,G3,G4,G3,r,E4,B5,B4,D4,G3,G2
81.25,40.625,41,2.25,B6,G6,G6,B5,D5,B5,D5,G3,G2,r,r,r,G4,G3,G4,G3,r,E4,G5,B4,D4,G3,G2
81.5,40.75,41,2.5,B6,G6,G6,B5,D5,B5,D5,G3,G2,r,r,r,G4,G3,G4,G3,r,E4,B5,B4,D4,G3,G2
81.75,40.875,41,2.75,B6,G6,G6,B5,D5,B5,D5,G3,G2,r,r,r,G4,G3,G4,G3,r,E4,D6,B4,D4,G3,G2
82.0,41.0,42,1.0,A6,F#6,F#6,A5,F#5,A5,F#5,D4,D3,r,r,r,D4,D4,D5,D5,r,E4,A5,A4,D4,D4,D3
82.25,41.125,42,1.25,A6,F#6,F#6,A5,F#5,A5,F#5,D4,D3,r,r,r,D4,D4,D5,D5,r,E4,A5,A4,D4,D4,D3
82.5,41.25,42,1.5,A6,F#6,F#6,A5,F#5,A5,F#5,D4,D3,r,r,r,D4,D4,D5,D5,r,E4,A5,A4,D4,D4,D3
83.0,41.5,42,2.0,A6,F#6,F#6,A5,F#5,A5,F#5,C4,C3,r,A4,C4,r,r,r,r,C3,r,C6,E5,F#4,C4,C3
83.25,41.625,42,2.25,A6,F#6,F#6,A5,F#5,A5,F#5,C4,C3,r,A4,C4,r,r,r,r,C3,r,A5,E5,F#4,C4,C3
83.5,41.75,42,2.5,A6,F#6,F#6,A5,F#5,A5,F#5,C4,C3,r,A4,C4,r,r,r,r,C3,r,C6,E5,F#4,C4,C3
83.75,41.875,42,2.75,A6,F#6,F#6,A5,F#5,A5,F#5,C4,C3,r,A4,C4,r,r,r,r,C3,r,E6,E5,F#4,C4,C3
84.0,42.0,43,1.0,D7,G6,G6,G5,D5,G5,D5,B3,B2,r,G4,G4,r,r,r,r,G2,r,G6,G5,D4,B3,B2
84.25,42.125,43,1.25,D7,G6,G6,G5,D5,G5,D5,B3,B2,r,G4,G4,r,r,r,r,G2,r,D6,G5,D4,B3,B2
84.5,42.25,43,1.5,D7,G6,G6,G5,D5,G5,D5,B3,B2,r,G4,G4,r,r,r,r,G2,r,B5,G5,D4,B3,B2
84.75,42.375,43,1.75,D7,G6,G6,G5,D5,G5,D5,B3,B2,r,G4,G4,r,r,r,r,G2,r,D6,G5,D4,B3,B2
85.0,42.5,43,2.0,B6,G6,G6,B5,D5,B5,D5,G3,G2,r,r,r,G4,G3,G4,G3,r,E4,B5,B4,D4,G3,G2
85.25,42.625,43,2.25,B6,G6,G6,B5,D5,B5,D5,G3,G2,r,r,r,G4,G3,G4,G3,r,E4,G5,B4,D4,G3,G2
85.5,42.75,43,2.5,B6,G6,G6,B5,D5,B5,D5,G3,G2,r,r,r,G4,G3,G4,G3,r,E4,B5,B4,D4,G3,G2
85.75,42.875,43,2.75,B6,G6,G6,B5,D5,B5,D5,G3,G2,r,r,r,G4,G3,G4,G3,r,E4,D6,B4,D4,G3,G2
86.0,43.0,44,1.0,A6,F#6,F#6,A5,F#5,A5,F#5,D4,D3,r,r,r,D4,D4,D5,D5,r,E4,A5,A4,D4,D3,D2
86.25,43.125,44,1.25,A6,F#6,F#6,A5,F#5,A5,F#5,D4,D3,r,r,r,D4,D4,D5,D5,r,r,A5,A4,D4,D3,D2
86.5,43.25,44,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D3,D2
87.0,43.5,44,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-3,E-2
87.25,43.625,44,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-3,E-2
87.5,43.75,44,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-3,E-2
88.0,44.0,45,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
88.25,44.125,45,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
88.5,44.25,45,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
89.0,44.5,45,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
89.25,44.625,45,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
89.5,44.75,45,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
90.0,45.0,46,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E-4,G3,r,r
90.25,45.125,46,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E-4,G3,r,r
90.5,45.25,46,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E-4,G3,r,r
91.0,45.5,46,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,D4,F3,B-2,B-1
91.25,45.625,46,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,D4,F3,B-2,B-1
91.5,45.75,46,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,D4,F3,B-2,B-1
92.0,46.0,47,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,G#3,r,r
92.25,46.125,47,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,G#3,r,r
92.5,46.25,47,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,G#3,r,r
93.0,46.5,47,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G#3,F3,B2,B1
93.25,46.625,47,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G#3,F3,B2,B1
93.5,46.75,47,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,G#3,F3,B2,B1
94.0,47.0,48,1.0,r,D6,r,r,r,D5,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
95.0,47.5,48,2.0,r,E-6,r,r,r,E-5,r,E-4,r,r,r,r,r,r,r,r,r,r,E-4,G3,E-3,C3,C2
95.25,47.625,48,2.25,r,E-6,r,r,r,E-5,r,E-4,r,r,r,r,r,r,r,r,r,r,E-4,G3,E-3,C3,C2
95.5,47.75,48,2.5,r,E-6,r,r,r,E-5,r,E-4,r,r,r,r,r,r,r,r,r,r,E-4,G3,E-3,C3,C2
96.0,48.0,49,1.0,r,C6,r,r,r,C5,r,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
97.0,48.5,49,2.0,r,A5,r,r,r,A4,r,A3,r,r,r,r,r,r,r,r,r,r,C4,A3,F#3,D3,D2
97.25,48.625,49,2.25,r,A5,r,r,r,A4,r,A3,r,r,r,r,r,r,r,r,r,r,C4,A3,F#3,D3,D2
97.5,48.75,49,2.5,r,A5,r,r,r,A4,r,A3,r,r,r,r,r,r,r,r,r,r,C4,A3,F#3,D3,D2
98.0,49.0,50,1.0,r,F#5,r,r,r,F#4,r,F#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
99.0,49.5,50,2.0,r,D5,r,r,r,D4,r,D4,r,r,r,r,r,r,r,r,r,r,B3,G3,D3,G2,G1
99.25,49.625,50,2.25,r,D5,r,r,r,D4,r,D4,r,r,r,r,r,r,r,r,r,r,B3,G3,D3,G2,G1
99.5,49.75,50,2.5,r,D5,r,r,r,D4,r,D4,r,r,r,r,r,r,r,r,r,r,B3,G3,D3,G2,G1
100.0,50.0,51,1.0,r,r,r,r,r,r,r,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
101.0,50.5,51,2.0,r,r,r,r,r,r,r,G3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
101.5,50.75,51,2.5,r,r,r,r,r,r,r,G3,r,r,r,r,r,r,r,r,r,r,G4,D4,B3,G3,G2
102.0,51.0,52,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,C4,E3,E2
102.5,51.25,52,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,G4,C4,E3,E2
103.0,51.5,52,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,r,r
103.5,51.75,52,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,G3,C3,C2
104.0,52.0,53,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,D4,B2,B1
104.75,52.375,53,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,B2,B1
105.0,52.5,53,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
105.5,52.75,53,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,G2,G1
106.0,53.0,54,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,D3,D3,D2
106.75,53.375,54,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,F#4,D3,D3,D2
107.0,53.5,54,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,r,r,r,r
107.5,53.75,54,2.5,D6,r,r,r,r,D4,r,D3,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,G2,G1
107.75,53.875,54,2.75,E6,r,r,r,r,E4,r,E3,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,G2,G1
108.0,54.0,55,1.0,F6,r,r,r,r,F4,r,F3,r,r,r,r,r,r,r,r,r,r,A4,F4,D4,D3,D2
108.25,54.125,55,1.25,G6,r,r,r,r,G4,r,G3,r,r,r,r,r,r,r,r,r,r,A4,F4,D4,D3,D2
108.5,54.25,55,1.5,A6,r,r,r,r,A4,r,A3,r,r,r,r,r,r,r,r,r,r,A4,F4,D4,D3,D2
108.75,54.375,55,1.75,B6,r,r,r,r,B4,r,B3,r,r,r,r,r,r,r,r,r,r,A4,F4,D4,D3,D2
109.0,54.5,55,2.0,C7,r,r,r,r,C5,r,C4,r,r,r,r,r,r,r,r,r,r,A4,F4,D4,D3,r
109.25,54.625,55,2.25,D7,r,r,r,r,D5,r,D4,r,r,r,r,r,r,r,r,r,r,A4,F4,D4,D3,r
109.5,54.75,55,2.5,B6,r,r,r,r,B4,r,B3,r,r,r,r,r,r,r,r,r,r,G4,D4,B3,G3,G2
109.75,54.875,55,2.75,A6,r,r,r,r,A4,r,A3,r,r,r,r,r,r,r,r,r,r,G4,D4,B3,G3,G2
110.0,55.0,56,1.0,G6,r,r,r,r,G4,r,G3,r,r,r,r,r,r,r,r,r,r,G5,G4,C4,E3,E2
110.5,55.25,56,1.5,G6,r,r,r,r,G4,r,G3,r,r,r,r,r,r,r,r,r,r,C5,G4,C4,E3,E2
111.0,55.5,56,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,r,r
111.5,55.75,56,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,G3,C3,C2
112.0,56.0,57,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,D4,B2,B1
112.75,56.375,57,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,B2,B1
113.0,56.5,57,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
113.5,56.75,57,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,G2,G1
114.0,57.0,58,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,E4,C#4,A2,A1
114.5,57.25,58,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,E4,C#4,A2,A1
115.0,57.5,58,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,r,r,r
115.5,57.75,58,2.5,A6,A6,A6,r,r,A5,F#5,A4,F#4,r,r,r,r,r,r,r,r,r,A5,C#4,A3,A3,A2
115.75,57.875,58,2.75,G6,G6,G6,r,r,G5,E5,G4,E4,r,r,r,r,r,r,r,r,r,A5,C#4,A3,A3,A2
116.0,58.0,59,1.0,F#6,F#6,F#6,r,r,F#5,D5,F#4,D4,r,r,r,r,r,r,r,r,r,A5,A4,F#4,D3,D2
116.25,58.125,59,1.25,E6,E6,E6,r,r,E5,C5,E4,C4,r,r,r,r,r,r,r,r,r,A5,A4,F#4,D3,D2
116.5,58.25,59,1.5,D6,D6,D6,r,r,D5,B4,D4,B3,r,r,r,r,r,r,r,r,r,A5,A4,F#4,D3,D2
116.75,58.375,59,1.75,C6,C6,C6,r,r,C5,A4,C4,A3,r,r,r,r,r,r,r,r,r,A5,A4,F#4,D3,D2
117.0,58.5,59,2.0,B5,B5,B5,r,r,B4,G4,B3,G3,r,r,r,r,r,r,r,r,r,A5,r,r,r,r
117.25,58.625,59,2.25,A5,A5,A5,r,r,A4,F#4,A3,F#3,r,r,r,r,r,r,r,r,r,A5,r,r,r,r
117.5,58.75,59,2.5,G5,G5,G5,r,r,G4,E4,G3,E3,r,r,r,r,r,r,r,r,r,C5,C5,E4,A2,A1
117.75,58.875,59,2.75,A5,A5,A5,r,r,A4,F#4,A3,F#3,r,r,r,r,r,r,r,r,r,C5,C5,E4,A2,A1
118.0,59.0,60,1.0,F#5,F#5,F#5,r,r,F#4,E-4,F#3,E-3,r,r,r,r,r,r,r,r,r,B4,F#4,E-4,B2,B1
118.5,59.25,60,1.5,F#5,F#5,F#5,r,r,F#4,E-4,F#3,E-3,r,r,r,r,r,r,r,r,r,E-5,F#4,E-4,B2,B1
119.0,59.5,60,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,r,r,r,r
119.5,59.75,60,2.5,G6,G6,G6,r,r,G5,E-5,G4,E-4,r,r,r,r,r,r,r,r,r,B5,E-4,B3,B3,B2
119.75,59.875,60,2.75,A6,A6,A6,r,r,A5,F#5,A4,F#4,r,r,r,r,r,r,r,r,r,B5,E-4,B3,B3,B2
120.0,60.0,61,1.0,G6,G6,G6,r,r,G5,E5,G4,E4,r,r,r,r,r,r,r,r,r,B5,B4,G4,E3,E2
120.25,60.125,61,1.25,F#6,F#6,F#6,r,r,F#5,D5,F#4,D4,r,r,r,r,r,r,r,r,r,B5,B4,G4,E3,E2
120.5,60.25,61,1.5,E6,E6,E6,r,r,E5,C5,E4,C4,r,r,r,r,r,r,r,r,r,B5,B4,G4,E3,E2
120.75,60.375,61,1.75,D6,D6,D6,r,r,D5,B4,D4,B3,r,r,r,r,r,r,r,r,r,B5,B4,G4,E3,E2
121.0,60.5,61,2.0,C6,C6,C6,r,r,C5,A4,C4,A3,r,r,r,r,r,r,r,r,r,B5,B4,G4,r,r
121.25,60.625,61,2.25,B5,B5,B5,r,r,B4,G4,B3,G3,r,r,r,r,r,r,r,r,r,B5,B4,G4,r,r
121.5,60.75,61,2.5,A5,A5,A5,r,r,A4,F#4,A3,F#3,r,r,r,r,r,r,r,r,r,B5,B4,G4,r,r
121.75,60.875,61,2.75,B5,B5,B5,r,r,B4,G4,B3,G3,r,r,r,r,r,r,r,r,r,B5,B4,G4,r,r
122.0,61.0,62,1.0,G6,r,r,r,r,G5,E5,G4,E4,r,r,r,r,r,r,r,r,r,B5,D5,F4,G2,G1
122.25,61.125,62,1.25,F6,r,r,r,r,F5,D5,F4,D4,r,r,r,r,r,r,r,r,r,B5,D5,F4,G2,G1
122.5,61.25,62,1.5,E6,r,r,r,r,E5,C5,E4,C4,r,r,r,r,r,r,r,r,r,B5,D5,F4,G2,G1
122.75,61.375,62,1.75,D6,r,r,r,r,D5,B4,D4,B3,r,r,r,r,r,r,r,r,r,B5,D5,F4,G2,G1
123.0,61.5,62,2.0,C6,r,r,r,r,C5,A4,C4,A3,r,r,r,r,r,r,r,r,r,B5,r,r,r,r
123.25,61.625,62,2.25,B5,r,r,r,r,B4,G4,B3,G3,r,r,r,r,r,r,r,r,r,B5,r,r,r,r
123.5,61.75,62,2.5,A5,G5,r,G4,r,A4,F4,A3,F3,r,r,r,G3,G3,r,r,r,E4,B5,B4,D4,G3,G2
123.75,61.875,62,2.75,B5,G5,r,G4,r,B4,G4,B3,G3,r,r,r,G3,G3,r,r,r,E4,B5,B4,D4,G3,G2
124.0,62.0,63,1.0,G5,E6,r,G5,r,G4,C4,G3,E3,r,r,r,G4,G4,r,r,r,E4,G5,C5,G4,E3,E2
125.0,62.5,63,2.0,r,C6,r,C5,r,r,r,r,r,r,r,r,C4,C4,r,r,r,E4,r,r,r,r,r
125.5,62.75,63,2.5,r,C6,r,C5,r,r,r,r,r,r,r,r,C4,C4,r,r,r,E4,C5,E4,G4,C3,C2
126.0,63.0,64,1.0,r,D6,r,D5,r,r,r,r,r,r,r,r,D4,D4,r,r,r,E4,D5,G4,D4,B2,B1
127.0,63.5,64,2.0,r,r,r,B4,r,B5,B5,B3,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r
127.5,63.75,64,2.5,r,r,r,B4,r,B5,B5,B3,B3,r,r,r,r,r,r,r,r,r,B4,G4,D4,G2,G1
128.0,64.0,65,1.0,r,r,r,A4,r,A5,A5,A3,A3,r,r,r,r,r,r,r,r,r,A4,F#4,D4,D3,D2
129.0,64.5,65,2.0,r,r,r,D4,r,D5,D5,D3,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r
129.3333,64.6667,65,2.3333,r,r,r,D4,r,D5,D5,D3,D3,r,r,r,r,r,r,r,r,r,r,r,D4,D3,r
129.5,64.75,65,2.5,r,r,r,D4,r,D5,D5,D3,D3,r,r,r,r,r,r,r,r,r,B4,G4,D4,D3,G2
129.6667,64.8333,65,2.6667,r,r,r,D4,r,D5,D5,D3,D3,r,r,r,r,r,r,r,r,r,B4,G4,E4,E3,G2
130.0,65.0,66,1.0,r,r,r,A4,r,A5,A5,A3,A3,r,r,r,r,r,r,r,r,r,A4,F4,F4,F3,D2
130.3333,65.1667,66,1.3333,r,r,r,A4,r,A5,A5,A3,A3,r,r,r,r,r,r,r,r,r,A4,F4,G4,G3,D2
130.6667,65.3333,66,1.6667,r,r,r,A4,r,A5,A5,A3,A3,r,r,r,r,r,r,r,r,r,A4,F4,A4,A3,D2
131.0,65.5,66,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,B3,r
131.3333,65.6667,66,2.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,A3,r
131.5,65.75,66,2.5,r,G5,r,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B4,D4,F4,A3,G2
