qstamp,tstamp,measure,beat,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
139.0,41.7,35,2.5,E5,C5,E5,C5,C4,E5,C5,C4,A3,A2
139.5,41.85,35,2.75,F#5,C5,F#5,C5,C4,F#5,C5,C4,A3,A2
140.0,42.0,36,1.0,E-5,F#4,E-5,F#4,B3,E-5,F#4,B3,A3,A2
140.5,42.15,36,1.25,B4,F#4,B4,F#4,B3,E-5,F#4,B3,A3,A2
141.0,42.3,36,1.5,C#5,G4,C#5,G4,B3,B4,G4,B3,G3,G2
141.5,42.45,36,1.75,E-5,A4,E-5,A4,B3,B4,A4,B3,F#3,F#2
142.0,42.6,36,2.0,E5,B4,E5,B4,B3,E5,B4,B3,G3,G2
142.5,42.75,36,2.25,E5,A4,E5,A4,B3,E5,A4,B3,G3,G2
143.0,42.9,36,2.5,E5,B4,E5,B4,E3,E5,B4,E3,A3,A2
143.5,43.05,36,2.75,E5,C5,E5,C5,E3,E5,C5,E3,A3,A2
144.0,43.2,37,1.0,E5,F#4,E5,F#4,B3,E5,F#4,B3,B3,B2
145.0,43.5,37,1.5,D5,F#4,D5,F#4,B3,D5,F#4,B3,B3,B2
145.5,43.65,37,1.75,C#5,F#4,C#5,F#4,B3,C#5,F#4,B3,A3,B2
146.0,43.8,37,2.0,D5,F#4,D5,F#4,B3,D5,F#4,B3,B3,B2
147.0,44.1,37,2.5,D5,F#4,D5,F#4,B3,D5,F#4,B3,B2,B2
148.0,44.4,38,1.0,D5,E4,D5,E4,B3,D5,E4,B3,E3,E2
148.5,44.55,38,1.25,C#5,E4,C#5,E4,B3,C#5,E4,B3,E3,E2
149.0,44.7,38,1.5,D5,E4,D5,E4,G#3,D5,E4,G#3,E3,E2
149.5,44.85,38,1.75,E5,E4,E5,E4,G#3,E5,E4,G#3,E3,E2
150.0,45.0,38,2.0,D5,E4,D5,E4,A3,D5,E4,A3,E3,E2
150.5,45.15,38,2.25,C#5,E4,C#5,E4,A3,C#5,E4,A3,E3,E2
151.0,45.3,38,2.5,B4,E4,B4,E4,C#4,B4,E4,B3,E3,E2
151.5,45.45,38,2.75,A4,E4,A4,E4,C#4,A4,E4,B3,E3,E2
152.0,45.6,39,1.0,B4,E4,B4,E4,B3,B4,E4,B3,E3,E2
153.0,45.9,39,1.5,E5,E4,E5,E4,A3,E5,E4,A3,E3,E2
153.5,46.05,39,1.75,E5,E4,E5,E4,A3,E5,E4,A3,D3,E2
154.0,46.2,39,2.0,E5,E4,E5,E4,B3,E5,E4,B3,E3,E2
155.0,46.5,39,2.5,E5,E4,E5,E4,B3,E5,E4,B3,E3,E2
156.0,46.8,40,1.0,C#5,E4,C#5,E4,A3,C#5,E4,A3,A2,A2
157.0,47.1,40,1.5,E5,r,E5,r,r,E5,r,r,r,C#3
158.0,47.4,40,2.0,F#5,r,F#5,r,r,F#5,r,r,r,D3
159.0,47.7,40,2.5,F#5,r,F#5,r,r,F#5,r,r,r,B2
160.0,48.0,41,1.0,G4,r,G4,r,r,G4,r,r,r,E3
161.0,48.3,41,1.5,G5,r,G5,r,r,G5,r,r,r,E2
162.0,48.6,41,2.0,E5,r,E5,r,r,E5,r,r,r,G2
163.0,48.9,41,2.5,B4,r,B4,r,r,B4,r,r,r,E2
164.0,49.2,42,1.0,C#5,r,C#5,r,r,C#5,A4,E4,A3,A2
165.0,49.5,42,1.5,A4,r,A4,r,r,A4,A4,E4,A3,A2
166.0,49.8,42,2.0,D5,r,D5,r,r,D5,A4,A3,A3,r
166.5,49.95,42,2.25,D5,r,D5,r,r,D5,A4,A3,A3,A2
167.0,50.1,42,2.5,G4,r,G4,r,r,G4,A4,A3,A3,B2
167.5,50.25,42,2.75,G4,r,G4,r,r,G4,A4,A3,A3,C#3
168.0,50.4,43,1.0,F#4,A4,F#4,A4,r,F#4,r,r,r,D3
