qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Violin 1,Violin 2,Viola,Violoncello,Contrabass
294.0,299.5,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P2(F Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P4(F Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P2(F Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P4(F Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2),P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(Violin 1),P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(Violin 1),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P8(Violin 1),P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(Violin 1),,P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&U(C Trumpet 1)&P8(C Trumpet 2),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&U(F Horn 2)&P8(C Trumpet 2),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P8(F Horn 2)&P8(C Trumpet 1),,,U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),,P5(Contrabass),Main Part,P5(Viola)
299.5,306.0,Main Part,P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),,,P8(Main)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),P8(Viola)&P5(Contrabass),,P8(C Trumpet 2),P8(C Trumpet 1),,,,,P8(F Horn 1)&P5(Contrabass),,P5(F Horn 1)&P5(Viola)
306.0,311.5,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(F Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P8(Violin 1),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(F Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P3(Violin 1),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(F Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&U(Violin 1),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(F Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P3(Violin 1),,,P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2)&P2(F Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P8(Violin 1),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P4(F Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P3(Violin 1),P8(Viola)&P5(Contrabass),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(Bassoon 1)&P4(Bassoon 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P2(Violin 1),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(Bassoon 1)&P4(Bassoon 2)&U(F Horn 2)&P8(C Trumpet 2)&P2(Violin 1),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 2)&P8(C Trumpet 1)&P2(Violin 1),,,P8(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(F Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2),,P8(F Horn 1)&P5(Contrabass),Main Part,P5(F Horn 1)&P5(Viola)
311.5,324.0,Main Part,P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Violoncello),P8(Flute 2)&P8(Bassoon 2),,,,P8(Flute 2)&P8(Oboe 2),P5(Contrabass),,P8(C Trumpet 2),P8(C Trumpet 1),,,,,,P8(Main)&P8(Oboe 1),P5(F Horn 1)
324.0,336.0,Main Part,U(Main),,,,P5(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 1)&P8(F Horn 2)&P8(Violoncello)&P8(Contrabass),P5(Bb Clarinet 2)&P5(Bassoon 2)&P8(F Horn 1)&P5(F Horn 2)&P5(Violoncello)&P5(Contrabass),P8(Bb Clarinet 2)&P5(Bassoon 1)&P5(F Horn 1)&P8(F Horn 2)&U(Violoncello)&P8(Contrabass),P5(Bb Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2)&P5(F Horn 2)&P5(Violoncello)&P5(Contrabass),P8(Bb Clarinet 2)&P5(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 1)&P8(Violoncello)&P8(Contrabass),,,,,,,,P8(Bb Clarinet 2)&P5(Bassoon 1)&U(Bassoon 2)&P5(F Horn 1)&P8(F Horn 2)&P8(Contrabass),P8(Bb Clarinet 2)&P5(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 1)&P8(F Horn 2)&P8(Violoncello)
336.0,342.0,P3(Bassoon 2)&P3(F Horn 1)&P3(Violoncello),,P3(Oboe 2),P3(Oboe 1),Main Part,,,P3(Flute 1),P3(Flute 1),,,,,,,,,P3(Flute 1),
342.0,348.0,P3(Oboe 1)&P8(Oboe 2),P8(Violoncello)&P4(Contrabass),P3(Flute 1)&P3(Oboe 2),P8(Flute 1)&P3(Oboe 1),,P8(Bassoon 1)&P3(Bassoon 2),P8(Bb Clarinet 2)&P3(Bassoon 2),P3(Bb Clarinet 2)&P3(Bassoon 1),Main Part,,P8(C Trumpet 2),P8(C Trumpet 1),,,,,,P8(Flute 2)&P4(Contrabass),P4(Flute 2)&P4(Violoncello)
348.0,371.5,P4(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P4(C Trumpet 1)&P4(C Trumpet 2),P4(Flute 1)&P6(Oboe 1)&P4(Oboe 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P3(Flute 1)&P6(Flute 2)&P3(Oboe 2)&P6(C Trumpet 1)&P6(C Trumpet 2),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(C Trumpet 1)&P4(C Trumpet 2),,,,,,,P4(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P8(C Trumpet 2),P4(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P8(C Trumpet 1),,,Main Part,,,,
371.5,396.0,P4(Flute 2),P4(Flute 1),P3(Oboe 2),P3(Oboe 1),,,,,,,P8(C Trumpet 2)&P6(Alto Trombone)&P4(Tenor Trombone),P8(C Trumpet 1)&P6(Alto Trombone)&P4(Tenor Trombone),P6(C Trumpet 1)&P6(C Trumpet 2)&P3(Tenor Trombone),P4(C Trumpet 1)&P4(C Trumpet 2)&P3(Alto Trombone),,Main Part,,,
396.0,417.0,P8(Oboe 2)&P8(Bb Clarinet 2)&U(Violin 1),,P8(Bb Clarinet 1),P8(Flute 1)&P8(Bb Clarinet 2)&P8(Violin 1),P8(Oboe 1),P8(Flute 1)&P8(Oboe 2)&P8(Violin 1),P8(Contrabass),,,,,,,,U(Flute 1)&P8(Oboe 2)&P8(Bb Clarinet 2),,Main Part,U(Main),P8(Bassoon 1)
