qstamp,tstamp,measure,beat,Oboe d’amore 1,Oboe d’amore 2,Violin 1,Violin 2,Viola,Soprano 1 solo,Alto solo,Continuo
119.0,96.4865,30,4.0,A5,r,A5,r,E4,r,r,C3
119.5,96.8919,30,4.5,G5,r,G5,r,D4,r,r,B2
120.0,97.2973,31,1.0,r,A4,r,A4,E4,r,r,C3
120.5,97.7027,31,1.5,r,B4,r,B4,D4,r,r,B2
121.0,98.1081,31,2.0,E5,C5,E5,C5,C4,r,r,A2
121.5,98.5135,31,2.5,F#5,C5,F#5,C5,D4,r,r,D3
122.0,98.9189,31,3.0,G5,C5,G5,C5,D4,r,r,G2
122.5,99.3243,31,3.5,G5,B4,G5,B4,G3,r,r,G3
122.75,99.527,31,3.75,G5,C5,G5,C5,G3,r,r,G3
123.0,99.7297,31,4.0,G5,D5,G5,D5,B3,r,r,r
123.25,99.9324,31,4.25,G5,B4,G5,B4,B3,r,r,r
123.5,100.1351,31,4.5,G5,G4,G5,G4,E4,r,r,E3
123.75,100.3378,31,4.75,G5,B4,G5,B4,E4,r,r,E3
124.0,100.5405,32,1.0,G5,A4,G5,A4,r,r,r,C#3
124.5,100.9459,32,1.5,F#5,B4,F#5,B4,D4,r,r,D3
124.75,101.1486,32,1.75,E5,C#5,E5,C#5,D4,r,r,D3
125.0,101.3514,32,2.0,F#5,D5,F#5,D5,B3,r,r,r
125.25,101.5541,32,2.25,F#5,A4,F#5,A4,B3,r,r,r
125.5,101.7568,32,2.5,F#5,F#4,F#5,F#4,D4,r,r,B2
125.75,101.9595,32,2.75,F#5,A4,F#5,A4,D4,r,r,B2
126.0,102.1622,32,3.0,F#5,G4,F#5,G4,r,r,r,E3
126.5,102.5676,32,3.5,E5,G4,E5,G4,B3,r,r,G3
126.75,102.7703,32,3.75,F#5,G4,F#5,G4,B3,r,r,G3
127.0,102.973,32,4.0,G5,G4,G5,G4,E3,r,r,r
127.25,103.1757,32,4.25,E5,G4,E5,G4,E3,r,r,r
127.5,103.3784,32,4.5,B4,G4,B4,G4,G3,r,r,E3
127.75,103.5811,32,4.75,D5,G4,D5,G4,G3,r,r,E3
128.0,103.7838,33,1.0,C#5,G4,C#5,G4,r,r,r,A3
128.25,103.9865,33,1.25,B4,G4,B4,G4,r,r,r,A3
128.5,104.1892,33,1.5,C#5,B4,C#5,B4,G4,r,r,A2
128.75,104.3919,33,1.75,D5,B4,D5,B4,G4,r,r,A2
129.0,104.5946,33,2.0,E5,A4,E5,A4,C#4,r,r,r
129.25,104.7973,33,2.25,C#5,A4,C#5,A4,C#4,r,r,r
129.5,105.0,33,2.5,A4,G4,A4,G4,E4,r,r,A3
129.75,105.2027,33,2.75,C#5,G4,C#5,G4,E4,r,r,A3
130.0,105.4054,33,3.0,D5,F#4,D5,F#4,D4,r,r,B3
130.5,105.8108,33,3.5,D5,F#4,D5,F#4,B3,r,r,G3
130.75,106.0135,33,3.75,E5,E4,E5,E4,B3,r,r,G3
131.0,106.2162,33,4.0,C#5,E4,C#5,E4,A3,r,r,A3
131.5,106.6216,33,4.5,C#5,E4,C#5,E4,G3,r,r,A2
131.75,106.8243,33,4.75,D5,D4,D5,D4,G3,r,r,A2
132.0,107.027,34,1.0,D5,D4,D5,D4,F#3,A4,r,D3
132.5,107.4324,34,1.5,D5,D4,D5,D4,F#3,A4,r,F#3
132.75,107.6351,34,1.75,D5,D4,D5,D4,F#3,A4,r,E3
133.0,107.8378,34,2.0,r,r,r,r,r,r,A4,D3
133.5,108.2432,34,2.5,r,r,r,r,r,A4,A4,F#3
134.0,108.6486,34,3.0,r,r,r,r,r,B4,r,G3
134.5,109.0541,34,3.5,r,r,r,r,r,A4,A4,F#3
134.75,109.2568,34,3.75,r,r,r,r,r,A4,A4,E3
135.0,109.4595,34,4.0,r,r,r,r,r,r,B4,D3
135.5,109.8649,34,4.5,r,r,r,r,r,A4,A4,C3
136.0,110.2703,35,1.0,r,r,r,r,r,B4,r,B2
136.5,110.6757,35,1.5,r,r,r,r,r,D5,E4,A2
136.75,110.8784,35,1.75,r,r,r,r,r,C5,E4,A2
137.0,111.0811,35,2.0,r,r,r,r,r,D5,F#4,D2
137.5,111.4865,35,2.5,r,r,r,r,r,D5,A4,E2
137.75,111.6892,35,2.75,r,r,r,r,r,D5,G#4,E2
138.0,111.8919,35,3.0,r,r,r,r,r,D5,A4,A2
138.25,112.0946,35,3.25,r,r,r,r,r,B4,A4,A2
138.5,112.2973,35,3.5,r,r,E5,C5,E4,C5,A4,G2
139.0,112.7027,35,4.0,r,r,E5,C5,A4,r,A4,F#2
139.5,113.1081,35,4.5,r,r,E-5,B4,F#4,r,A4,B2
140.0,113.5135,36,1.0,r,r,E5,B4,E4,E4,A4,E2
140.25,113.7162,36,1.25,r,r,E5,B4,E4,E4,F#4,E2
140.5,113.9189,36,1.5,r,r,E5,B4,E4,E4,G4,E3
140.75,114.1216,36,1.75,r,r,E5,B4,E4,E4,G4,F#3
141.0,114.3243,36,2.0,r,r,r,r,r,r,E4,G3
141.5,114.7297,36,2.5,r,r,r,r,r,E4,E4,A3
142.0,115.1351,36,3.0,r,r,r,r,r,B4,r,G3
142.25,115.3378,36,3.25,r,r,r,r,r,G4,r,G3
142.5,115.5405,36,3.5,r,r,r,r,r,E4,E4,G3
142.75,115.7432,36,3.75,r,r,r,r,r,E4,E4,F#3
143.0,115.9459,36,4.0,r,r,r,r,r,r,B4,G3
143.25,116.1486,36,4.25,r,r,r,r,r,r,G4,G3
143.5,116.3514,36,4.5,r,r,r,r,r,E4,E4,C4
144.0,116.7568,37,1.0,r,r,r,r,r,F#4,r,B3
144.5,117.1622,37,1.5,r,r,r,r,r,G4,B3,A3
144.75,117.3649,37,1.75,r,r,r,r,r,G4,B3,G3
145.0,117.5676,37,2.0,r,r,r,r,r,A4,C#4,F#3
145.5,117.973,37,2.5,r,r,r,r,r,A4,E-4,B3
146.0,118.3784,37,3.0,r,r,r,r,r,A4,E4,E3
146.5,118.7838,37,3.5,r,r,r,r,r,G4,E4,E2
147.0,119.1892,37,4.0,r,r,r,r,r,C5,E4,A2
147.5,119.5946,37,4.5,r,r,r,r,r,B4,E4,G2
148.0,120.0,38,1.0,r,r,r,r,r,B-4,E4,F#2
148.25,120.2027,38,1.25,r,r,r,r,r,F#4,E4,F#2
148.5,120.4054,38,1.5,r,r,D5,B4,r,F#4,D4,B2
148.625,120.5068,38,1.625,r,r,D5,B4,r,E4,D4,B2
148.75,120.6081,38,1.75,r,r,D5,B4,r,F#4,D4,B-2
149.0,120.8108,38,2.0,r,r,D5,B4,r,B4,G4,B2
149.5,121.2162,38,2.5,r,r,E5,C#5,r,B4,F#4,B3
149.75,121.4189,38,2.75,r,r,F#5,D5,r,B4,F#4,B3
150.0,121.6216,38,3.0,r,r,G5,E5,r,B4,E4,C#3
150.25,121.8243,38,3.25,r,r,G5,E5,r,B4,C#4,C#3
150.5,122.027,38,3.5,r,r,r,r,r,B-4,C#4,F#3
150.625,122.1284,38,3.625,r,r,r,r,r,B-4,B3,F#3
150.75,122.2297,38,3.75,r,r,r,r,r,G#4,C#4,F#3
151.0,122.4324,38,4.0,r,r,r,r,r,B-4,F#4,F#2
151.25,122.6351,38,4.25,r,r,r,r,r,F#4,F#4,F#2
151.5,122.8378,38,4.5,r,r,r,r,r,B4,F#4,B-2
151.75,123.0405,38,4.75,r,r,r,r,r,C#5,F#4,B-2
152.0,123.2432,39,1.0,r,r,r,r,r,D5,F#4,B2
152.5,123.6486,39,1.5,r,r,r,r,r,C#5,E4,F#3
152.75,123.8514,39,1.75,r,r,r,r,r,C#5,D4,F#3
153.0,124.0541,39,2.0,r,r,E5,r,r,B4,E4,G3
153.25,124.2568,39,2.25,r,r,E5,r,r,B4,B3,G3
153.5,124.4595,39,2.5,r,r,D5,r,r,B-4,E4,F#3
153.75,124.6622,39,2.75,r,r,D5,r,r,B-4,F#4,F#3
154.0,124.8649,39,3.0,r,r,C#5,r,r,B4,G4,E3
154.5,125.2703,39,3.5,r,r,D5,r,r,B4,F#4,F#3
155.0,125.6757,39,4.0,r,r,E5,G4,r,B4,E4,G3
155.5,126.0811,39,4.5,r,r,F#5,F#4,r,B4,E-4,A3
156.0,126.4865,40,1.0,r,r,G5,E4,r,B4,E4,G3
156.5,126.8919,40,1.5,r,r,A5,F#4,r,A4,E4,F#3
157.0,127.2973,40,2.0,r,r,B5,G4,r,G4,E4,E3
157.5,127.7027,40,2.5,r,r,B4,F#4,r,G4,D4,G3
158.0,128.1081,40,3.0,r,r,C#5,E4,r,G4,C#4,B-2
158.25,128.3108,40,3.25,r,r,C#5,E4,r,F#4,C#4,B-2
158.5,128.5135,40,3.5,r,r,B-4,C#4,r,F#4,C#4,E3
159.0,128.9189,40,4.0,r,r,B-4,C#4,r,E5,C#4,F#2
159.5,129.3243,40,4.5,r,r,F#4,F#4,r,D5,C#4,B-2
159.75,129.527,40,4.75,r,r,F#4,F#4,r,C#5,C#4,B-2
160.0,129.7297,41,1.0,r,r,F#4,F#4,r,D5,C#4,B2
160.25,129.9324,41,1.25,r,r,F#4,F#4,r,E5,B3,B2
160.5,130.1351,41,1.5,r,r,F#4,F#4,r,F#5,B3,D3
160.75,130.3378,41,1.75,r,r,F#4,F#4,r,D5,B3,D3
161.0,130.5405,41,2.0,r,r,r,r,r,B4,G4,E3
161.5,130.9459,41,2.5,r,r,r,r,r,B4,F#4,C#3
161.75,131.1486,41,2.75,r,r,r,r,r,B4,E4,C#3
162.0,131.3514,41,3.0,r,r,r,r,r,B4,F#4,D3
162.5,131.7568,41,3.5,r,r,r,r,r,B4,G4,E3
162.75,131.9595,41,3.75,r,r,r,r,r,C#5,E4,E3
163.0,132.1622,41,4.0,r,r,r,r,r,B-4,C#4,F#3
163.5,132.5676,41,4.5,r,r,r,r,r,B-4,C#4,F#2
163.75,132.7703,41,4.75,r,r,r,r,r,B4,B3,F#2
164.0,132.973,42,1.0,B4,r,B4,r,D4,B4,B3,B2
164.5,133.3784,42,1.5,B4,r,B4,r,E4,B4,B3,C#3
165.0,133.7838,42,2.0,r,B4,r,B4,F#4,r,r,D3
165.5,134.1892,42,2.5,B4,B4,B4,B4,D4,r,r,B2
166.0,134.5946,42,3.0,C#5,r,C#5,r,G4,r,r,E3
166.5,135.0,42,3.5,B4,B4,B4,B4,F#4,r,r,D3
167.0,135.4054,42,4.0,r,C#5,r,C#5,G4,r,r,E3
167.5,135.8108,42,4.5,r,B4,r,B4,F#4,r,r,D3
168.0,136.2162,43,1.0,C#5,r,C#5,r,G4,r,r,E3
168.5,136.6216,43,1.5,D5,r,D5,r,F#4,r,r,D3
169.0,137.027,43,2.0,E5,G#4,E5,G#4,E4,r,r,C#3
169.5,137.4324,43,2.5,E5,B-4,E5,B-4,F#4,r,r,F#3
170.0,137.8378,43,3.0,E5,B4,E5,B4,F#4,r,r,B2
170.5,138.2432,43,3.5,E-5,B4,E-5,B4,F#4,r,r,A2
170.75,138.4459,43,3.75,E5,B4,E5,B4,F#4,r,r,A2
171.0,138.6486,43,4.0,F#5,B4,F#5,B4,r,r,r,G2
171.5,139.0541,43,4.5,A4,C#5,A4,C#5,r,r,r,F#2
171.75,139.2568,43,4.75,A4,E-5,A4,E-5,r,r,r,F#2
172.0,139.4595,44,1.0,A4,E5,A4,E5,B3,r,r,E2
172.5,139.8649,44,1.5,G4,E5,G4,E5,B3,r,r,F#2
173.0,140.2703,44,2.0,E4,r,E4,r,B3,r,r,G2
173.5,140.6757,44,2.5,E4,E5,E4,E5,B3,r,r,E2
174.0,141.0811,44,3.0,r,F#5,r,F#5,C4,r,r,A2
174.5,141.4865,44,3.5,E4,E5,E4,E5,B3,r,r,G2
175.0,141.8919,44,4.0,F#4,r,F#4,r,C4,r,r,A2
175.5,142.2973,44,4.5,E4,r,E4,r,B3,r,r,G2
176.0,142.7027,45,1.0,r,F#5,r,F#5,C4,r,r,A2
176.5,143.1081,45,1.5,r,G5,r,G5,B3,r,r,G2
177.0,143.5135,45,2.0,C#5,A5,C#5,A5,A3,r,r,F#2
177.5,143.9189,45,2.5,E-5,A5,E-5,A5,B3,r,r,B2
178.0,144.3243,45,3.0,E5,A5,E5,A5,B3,r,r,E2
178.5,144.7297,45,3.5,E5,G5,E5,G5,B4,r,r,E3
178.75,144.9324,45,3.75,E5,A5,E5,A5,B4,r,r,E3
179.0,145.1351,45,4.0,E5,B5,E5,B5,E4,r,r,r
179.25,145.3378,45,4.25,E5,G5,E5,G5,E4,r,r,r
179.5,145.5405,45,4.5,E5,E5,E5,E5,G4,r,r,C#3
179.75,145.7432,45,4.75,E5,G5,E5,G5,G4,r,r,C#3
180.0,145.9459,46,1.0,E5,F#5,E5,F#5,r,r,r,B-2
180.5,146.3514,46,1.5,D5,G#5,D5,G#5,F#4,r,r,F#3
180.75,146.5541,46,1.75,C#5,B-5,C#5,B-5,F#4,r,r,F#3
181.0,146.7568,46,2.0,D5,B5,D5,B5,B3,r,r,r
181.25,146.9595,46,2.25,D5,F#5,D5,F#5,B3,r,r,r
181.5,147.1622,46,2.5,D5,D5,D5,D5,F#4,r,r,B2
181.75,147.3649,46,2.75,D5,F#5,D5,F#5,F#4,r,r,B2
182.0,147.5676,46,3.0,D5,E5,D5,E5,r,r,r,G2
182.5,147.973,46,3.5,C#5,E5,C#5,E5,G4,r,r,E3
182.75,148.1757,46,3.75,D5,E5,D5,E5,G4,r,r,E3
183.0,148.3784,46,4.0,E5,E5,E5,E5,C#4,r,r,r
183.25,148.5811,46,4.25,C#5,E5,C#5,E5,C#4,r,r,r
183.5,148.7838,46,4.5,G#4,E5,G#4,E5,E4,r,r,C#3
183.75,148.9865,46,4.75,B4,E5,B4,E5,E4,r,r,C#3
184.0,149.1892,47,1.0,B-4,E5,B-4,E5,r,r,r,F#3
184.25,149.3919,47,1.25,G#4,E5,G#4,E5,r,r,r,F#3
184.5,149.5946,47,1.5,B-4,G5,B-4,G5,C#4,r,r,F#2
184.75,149.7973,47,1.75,B4,G5,B4,G5,C#4,r,r,F#2
185.0,150.0,47,2.0,C#5,F#5,C#5,F#5,B-3,r,r,r
185.25,150.2027,47,2.25,B-4,F#5,B-4,F#5,B-3,r,r,r
185.5,150.4054,47,2.5,F#4,E5,F#4,E5,C#4,r,r,F#3
185.75,150.6081,47,2.75,B-4,E5,B-4,E5,C#4,r,r,F#3
186.0,150.8108,47,3.0,B4,D5,B4,D5,B3,r,r,G3
186.5,151.2162,47,3.5,B4,D5,B4,D5,G4,r,r,E3
186.75,151.4189,47,3.75,C#5,C#5,C#5,C#5,G4,r,r,E3
187.0,151.6216,47,4.0,B-4,C#5,B-4,C#5,F#4,r,r,F#3
187.5,152.027,47,4.5,B-4,C#5,B-4,C#5,E4,r,r,F#2
187.75,152.2297,47,4.75,B4,B4,B4,B4,E4,r,r,F#2
188.0,152.4324,48,1.0,B4,B4,B4,B4,D4,r,D4,B2
188.5,152.8378,48,1.5,B4,B4,B4,B4,D4,r,B3,B3
188.75,153.0405,48,1.75,B4,B4,B4,B4,D4,r,B3,C#4
189.0,153.2432,48,2.0,r,r,r,r,r,D5,r,B3
189.5,153.6486,48,2.5,r,r,r,r,r,B4,D4,A3
190.0,154.0541,48,3.0,r,r,r,r,r,r,E4,G3
190.5,154.4595,48,3.5,r,r,r,r,r,D5,D4,F#3
191.0,154.8649,48,4.0,r,r,r,r,r,E5,r,G3
191.5,155.2703,48,4.5,r,r,r,r,r,D5,r,F#3
192.0,155.6757,49,1.0,r,r,r,r,r,r,E4,G3
192.5,156.0811,49,1.5,r,r,r,r,r,r,G4,F#3
192.75,156.2838,49,1.75,r,r,r,r,r,r,F#4,F#3
193.0,156.4865,49,2.0,r,r,r,r,r,B4,G4,E3
193.5,156.8919,49,2.5,r,r,r,r,r,D5,G4,A3
193.75,157.0946,49,2.75,r,r,r,r,r,C#5,G4,A3
194.0,157.2973,49,3.0,r,r,r,r,r,D5,G4,D3
194.25,157.5,49,3.25,r,r,r,r,r,D5,E4,D3
194.5,157.7027,49,3.5,r,r,A4,A4,D4,D5,F#4,C3
195.0,158.1081,49,4.0,r,r,A4,F4,D4,D5,r,B2
195.5,158.5135,49,4.5,r,r,G#4,E4,B3,D5,r,E3
196.0,158.9189,50,1.0,r,r,A4,E4,A3,D5,r,A3
196.25,159.1216,50,1.25,r,r,A4,E4,A3,B4,r,A3
196.5,159.3243,50,1.5,r,r,A4,E4,A3,C5,A4,A2
196.75,159.527,50,1.75,r,r,A4,E4,A3,C5,A4,B2
197.0,159.7297,50,2.0,r,r,r,r,r,r,A4,C3
197.5,160.1351,50,2.5,r,r,r,r,r,A4,A4,A2
198.0,160.5405,50,3.0,r,r,r,r,r,A4,B4,D3
198.5,160.9459,50,3.5,r,r,r,r,r,A4,A4,C3
199.0,161.3514,50,4.0,r,r,r,r,r,B4,r,D3
199.5,161.7568,50,4.5,r,r,r,r,r,A4,A3,C3
200.0,162.1622,51,1.0,r,r,r,r,r,r,B3,D3
200.5,162.5676,51,1.5,r,r,r,r,r,E4,C4,C3
201.0,162.973,51,2.0,r,r,r,r,r,F#4,D4,B2
201.5,163.3784,51,2.5,r,r,r,r,r,G#4,D4,E3
202.0,163.7838,51,3.0,r,r,r,r,r,A4,D4,A2
202.5,164.1892,51,3.5,r,r,r,r,r,A4,C4,A3
202.75,164.3919,51,3.75,r,r,r,r,r,A4,C4,G#3
203.0,164.5946,51,4.0,r,r,r,r,r,A4,F4,A3
203.5,165.0,51,4.5,r,r,r,r,r,A4,E4,C4
204.0,165.4054,52,1.0,r,r,r,r,r,A4,E-4,B3
204.5,165.8108,52,1.5,r,r,E5,G4,r,G4,B3,E3
204.75,166.0135,52,1.75,r,r,E5,G4,r,G4,B3,E-3
205.0,166.2162,52,2.0,r,r,E5,G4,r,C5,E4,E3
205.5,166.6216,52,2.5,r,r,F#5,A4,r,B4,E4,E4
205.75,166.8243,52,2.75,r,r,G5,B4,r,B4,E4,E4
206.0,167.027,52,3.0,r,r,A5,C5,r,A4,E4,F#3
206.5,167.4324,52,3.5,r,r,A5,r,r,F#4,E-4,B3
206.75,167.6351,52,3.75,r,r,A5,r,r,F#4,C#4,B3
207.0,167.8378,52,4.0,r,r,r,r,r,B4,E-4,B2
207.5,168.2432,52,4.5,r,r,r,r,r,B4,F#4,E-3
208.0,168.6486,53,1.0,r,r,r,r,r,B4,G4,E3
208.5,169.0541,53,1.5,r,r,r,r,r,A4,F#4,B3
208.75,169.2568,53,1.75,r,r,r,r,r,G4,F#4,B3
209.0,169.4595,53,2.0,r,r,r,A4,r,A4,E4,C4
209.5,169.8649,53,2.5,r,r,r,G4,r,B4,E-4,B3
210.0,170.2703,53,3.0,r,r,r,F#4,r,C5,E4,A3
210.5,170.6757,53,3.5,r,r,r,G4,r,B4,E4,B3
211.0,171.0811,53,4.0,r,r,C5,A4,r,A4,E4,C4
211.5,171.4865,53,4.5,r,r,B4,B4,r,G#4,E4,D4
212.0,171.8919,54,1.0,r,r,A4,C5,r,A4,E4,C4
212.5,172.2973,54,1.5,r,r,B4,D5,r,A4,D4,B3
213.0,172.7027,54,2.0,r,r,C5,E5,r,A4,C4,A3
213.5,173.1081,54,2.5,r,r,B4,E4,r,G4,C4,C4
214.0,173.5135,54,3.0,r,r,A4,F#4,r,F#4,C4,E-3
214.5,173.9189,54,3.5,r,r,F#4,E-4,r,F#4,B3,A3
215.0,174.3243,54,4.0,r,r,F#4,E-4,r,F#4,A4,B2
215.5,174.7297,54,4.5,r,r,B4,B3,r,F#4,G4,E-3
215.75,174.9324,54,4.75,r,r,B4,B3,r,F#4,F#4,E-3
216.0,175.1351,55,1.0,r,r,B3,B3,r,F#4,G4,E3
216.25,175.3378,55,1.25,r,r,B3,B3,r,F#4,A4,E3
216.5,175.5405,55,1.5,r,r,B3,B3,r,E4,B4,G3
216.75,175.7432,55,1.75,r,r,B3,B3,r,E4,G4,G3
217.0,175.9459,55,2.0,r,r,r,r,r,C5,E4,A3
217.5,176.3514,55,2.5,r,r,r,r,r,B4,E4,F#3
217.75,176.5541,55,2.75,r,r,r,r,r,A4,E4,F#3
218.0,176.7568,55,3.0,r,r,r,r,r,B4,E4,G3
218.25,176.9595,55,3.25,r,r,r,r,r,E5,E4,G3
218.5,177.1622,55,3.5,r,r,r,r,r,C5,E4,A3
218.75,177.3649,55,3.75,r,r,r,r,r,A4,F#4,A3
219.0,177.5676,55,4.0,r,r,r,r,r,F#4,E-4,B3
219.5,177.973,55,4.5,r,r,r,r,r,F#4,E-4,B2
219.75,178.1757,55,4.75,r,r,r,r,r,E4,E4,B2
220.0,178.3784,56,1.0,r,r,E5,G4,r,E4,E4,E3
220.5,178.7838,56,1.5,r,r,E5,G4,G3,E4,E4,E3
221.0,179.1892,56,2.0,r,r,r,r,B3,E5,G4,r
221.25,179.3919,56,2.25,r,r,r,r,B3,E-5,F#4,r
221.5,179.5946,56,2.5,r,r,E5,G4,E4,E5,G4,r
222.0,180.0,56,3.0,r,r,F#5,A4,E-4,r,r,C3
222.5,180.4054,56,3.5,r,r,E5,G4,E4,r,r,C3
223.0,180.8108,56,4.0,r,r,r,r,E-4,F#5,A4,r
223.5,181.2162,56,4.5,r,r,r,r,E4,E5,G4,r
224.0,181.6216,57,1.0,r,r,D5,B4,E3,r,r,G#2
224.5,182.027,57,1.5,r,r,D5,B4,B3,D5,B4,G#2
225.0,182.4324,57,2.0,r,r,r,r,E4,D5,B4,r
225.25,182.6351,57,2.25,r,r,r,r,E4,C5,A4,r
225.5,182.8378,57,2.5,r,r,D5,B4,F#4,D5,B4,r
226.0,183.2432,57,3.0,r,r,D5,B4,G#4,r,r,E2
226.25,183.4459,57,3.25,r,r,E5,C5,G#4,r,r,E2
226.5,183.6486,57,3.5,r,r,D5,B4,A4,D5,B4,E2
227.0,184.0541,57,4.0,r,r,r,r,G#4,D5,B4,r
227.25,184.2568,57,4.25,r,r,r,r,G#4,E5,C5,r
227.5,184.4595,57,4.5,r,r,E5,C5,A4,C5,A4,r
227.75,184.6622,57,4.75,r,r,D5,B4,A4,C5,A4,r
228.0,184.8649,58,1.0,r,r,C5,A4,E4,r,r,A2
228.5,185.2703,58,1.5,r,r,B4,G4,D4,E4,E5,A2
229.0,185.6757,58,2.0,r,r,A4,F4,C4,C5,A4,r
229.5,186.0811,58,2.5,r,r,G4,E4,r,C5,A4,r
230.0,186.4865,58,3.0,r,r,F#4,E-4,r,C5,A4,B2
231.0,187.2973,58,4.0,r,r,E-5,B4,B3,B4,G4,r
231.5,187.7027,58,4.5,r,r,E-5,B4,B3,A4,F#4,r
232.0,188.1081,59,1.0,r,r,r,r,r,G4,E4,r
232.5,188.5135,59,1.5,r,r,r,r,r,G4,E4,C3
233.0,188.9189,59,2.0,r,r,E5,B4,G4,G4,E4,B2
233.5,189.3243,59,2.5,r,r,E5,B4,G4,G4,E4,B-2
234.0,189.7297,59,3.0,r,r,r,r,r,G4,E4,B2
234.5,190.1351,59,3.5,r,r,A5,r,r,F#4,E-4,B2
235.0,190.5405,59,4.0,r,r,F#5,r,r,F#4,E-4,r
235.5,190.9459,59,4.5,r,r,E-5,r,r,F#4,E-4,r
236.0,191.3514,60,1.0,r,r,B4,r,r,r,r,r
236.5,191.7568,60,1.5,r,r,A4,A4,A4,r,r,r
237.0,192.1622,60,2.0,r,r,F#4,F#4,F#4,r,r,r
237.5,192.5676,60,2.5,r,r,E-4,E-4,E-4,r,r,r
238.0,192.973,60,3.0,r,r,B3,B3,B3,r,r,r
238.5,193.3784,60,3.5,r,r,B3,B3,B3,F#4,E-4,F#3
239.0,193.7838,60,4.0,r,r,E-5,B4,r,F#5,A4,E-3
239.5,194.1892,60,4.5,r,r,E-5,B4,r,F#5,A4,B2
240.0,194.5946,61,1.0,r,r,r,r,r,F#5,A4,G2
240.5,195.0,61,1.5,r,r,r,r,r,E5,G4,G2
240.75,195.2027,61,1.75,r,r,r,r,r,E-5,F#4,G2
241.0,195.4054,61,2.0,r,r,E5,G4,E4,E5,G4,r
241.25,195.6081,61,2.25,r,r,E5,G4,E4,D5,F#4,r
241.5,195.8108,61,2.5,r,r,E5,G4,E4,C5,E4,E3
241.75,196.0135,61,2.75,r,r,E5,G4,E4,B4,E4,E3
242.0,196.2162,61,3.0,r,r,r,r,r,B-4,E4,F#3
242.5,196.6216,61,3.5,r,r,r,r,r,B4,E4,G3
242.75,196.8243,61,3.75,r,r,r,r,r,A4,E4,F#3
243.0,197.027,61,4.0,r,r,B4,G4,E4,B4,E4,G3
243.5,197.4324,61,4.5,r,r,B4,G4,E4,C5,E4,A3
244.0,197.8378,62,1.0,r,r,r,r,r,G4,E4,B3
244.5,198.2432,62,1.5,r,r,r,r,r,G4,E4,A3
244.75,198.4459,62,1.75,r,r,r,r,r,G4,F#4,A3
245.0,198.6486,62,2.0,r,r,A4,F#4,E-4,F#4,E-4,B3
245.25,198.8514,62,2.25,r,r,A4,F#4,E-4,E4,E-4,B3
245.5,199.0541,62,2.5,r,r,A4,F#4,E-4,F#4,E-4,B2
246.0,199.4595,62,3.0,r,r,G4,E4,B3,E4,E4,E2
246.5,199.8649,62,3.5,r,r,G4,E4,G4,E4,E4,E3
247.0,200.2703,62,4.0,r,r,r,r,F#4,r,r,D3
247.5,200.6757,62,4.5,r,r,r,r,E4,r,r,C3
248.0,201.0811,63,1.0,G4,r,G4,r,D4,r,r,B2
248.5,201.4865,63,1.5,G4,r,G4,r,C4,r,r,A2
249.0,201.8919,63,2.0,r,G4,r,G4,D4,r,r,B2
249.5,202.2973,63,2.5,G4,G4,G4,G4,B3,r,r,G2
250.0,202.7027,63,3.0,A4,r,A4,r,E4,r,r,C3
250.5,203.1081,63,3.5,G4,G4,G4,G4,D4,r,r,B2
251.0,203.5135,63,4.0,r,A4,r,A4,E4,r,r,C3
251.5,203.9189,63,4.5,r,G4,r,G4,D4,r,r,B2
252.0,204.3243,64,1.0,A4,r,A4,r,E4,r,r,C3
252.5,204.7297,64,1.5,B4,r,B4,r,D4,r,r,B2
253.0,205.1351,64,2.0,C5,E4,C5,E4,C4,r,r,A2
253.5,205.5405,64,2.5,C5,F#4,C5,F#4,D4,r,r,D3
254.0,205.9459,64,3.0,C5,G4,C5,G4,D4,r,r,G2
254.5,206.3514,64,3.5,B4,G4,B4,G4,G3,r,D4,G3
254.75,206.5541,64,3.75,C5,G4,C5,G4,G3,r,D4,G3
255.0,206.7568,64,4.0,D5,G4,D5,G4,B3,r,D4,r
255.25,206.9595,64,4.25,B4,G4,B4,G4,B3,r,D4,r
255.5,207.1622,64,4.5,G4,G4,G4,G4,D4,r,D4,B3
255.75,207.3649,64,4.75,B4,G4,B4,G4,D4,r,D4,B3
256.0,207.5676,65,1.0,A4,G4,A4,G4,r,r,D4,D4
256.5,207.973,65,1.5,D4,F#4,D4,F#4,D4,A4,D4,D3
256.75,208.1757,65,1.75,D4,G4,D4,G4,D4,A4,D4,D3
257.0,208.3784,65,2.0,D5,A4,D5,A4,F#4,A4,D4,r
257.25,208.5811,65,2.25,D5,F#4,D5,F#4,F#4,A4,D4,r
257.5,208.7838,65,2.5,D5,D4,D5,D4,A4,A4,A3,F#3
257.75,208.9865,65,2.75,D5,F#4,D5,F#4,A4,A4,A3,F#3
258.0,209.1892,65,3.0,D5,E4,D5,E4,r,A4,A3,A3
258.5,209.5946,65,3.5,C5,A3,C5,A3,A3,A4,A3,A2
258.75,209.7973,65,3.75,D5,A3,D5,A3,A3,A4,A3,A2
259.0,210.0,65,4.0,E5,A4,E5,A4,C4,A4,r,r
259.25,210.2027,65,4.25,C5,A4,C5,A4,C4,A4,r,r
259.5,210.4054,65,4.5,A4,A4,A4,A4,E4,E4,r,C3
259.75,210.6081,65,4.75,C5,A4,C5,A4,E4,E4,r,C3
