qstamp,tstamp,measure,beat,Oboe d’amore 1,Violin 1,Violin 2,Viola,Alto solo,Continuo
143.5,123.0,49,2.1667,G#4,A4,E4,C#4,A4,C#3
143.75,123.2143,49,2.3333,A4,C#5,A4,E4,C#5,A2
144.0,123.4286,49,2.5,C#5,C#5,A4,E4,C#5,A2
144.25,123.6429,49,2.6667,B4,r,r,r,E5,B-3
144.5,123.8571,49,2.8333,C#5,r,r,r,E5,B-3
144.75,124.0714,50,1.0,F#4,r,r,r,D5,B3
145.0,124.2857,50,1.1667,B-4,r,r,r,D5,B3
145.25,124.5,50,1.3333,B4,r,r,r,B4,D3
145.5,124.7143,50,1.5,D5,r,r,r,B4,D3
145.75,124.9286,50,1.6667,C#5,B-4,F#4,C#4,B-4,F#3
146.0,125.1429,50,1.8333,B-4,B-4,F#4,C#4,B-4,F#3
146.25,125.3571,50,2.0,F#4,B4,F#4,D4,B4,D3
146.5,125.5714,50,2.1667,B-4,B4,F#4,D4,C#5,D3
146.75,125.7857,50,2.3333,B4,D5,B4,F#4,D5,B2
147.0,126.0,50,2.5,D5,D5,B4,F#4,D5,B2
147.25,126.2143,50,2.6667,C#5,E5,B4,G4,E4,G3
147.5,126.4286,50,2.8333,B4,E5,B4,G4,E4,G3
147.75,126.6429,51,1.0,C#5,C#5,A4,E4,E4,G3
148.25,127.0714,51,1.3333,D5,D5,A4,F#4,A4,F#3
148.75,127.5,51,1.6667,G4,G4,D4,G4,r,B3
149.25,127.9286,51,2.0,F#4,F#4,D4,A4,r,A3
149.75,128.3571,51,2.3333,A4,A4,F#4,D4,r,G3
150.0,128.5714,51,2.5,G4,G4,E4,D4,r,G3
150.25,128.7857,51,2.6667,F#4,F#4,D4,A3,r,A3
150.5,129.0,51,2.8333,E4,E4,C#4,A3,r,A3
150.75,129.2143,52,1.0,D4,D4,D4,A3,r,D3
151.25,129.6429,52,1.3333,D4,F#4,D4,A3,D4,D4
151.5,129.8571,52,1.5,D5,F#4,D4,A3,D4,D4
151.75,130.0714,52,1.6667,A4,A4,F#4,D4,D5,C#4
152.0,130.2857,52,1.8333,F#4,A4,F#4,D4,D5,C#4
152.25,130.5,52,2.0,G4,G4,D4,D3,D5,B3
152.5,130.7143,52,2.1667,G4,G4,D4,D3,C#5,B3
152.75,130.9286,52,2.3333,G4,E4,B3,G3,D5,G3
153.0,131.1429,52,2.5,D5,E4,B3,G3,B4,G3
153.25,131.3571,52,2.6667,C#5,r,r,r,A4,r
153.5,131.5714,52,2.8333,D5,r,r,r,G4,r
153.75,131.7857,53,1.0,F#4,F#4,D4,F#3,D5,A3
154.0,132.0,53,1.1667,F#4,F#4,D4,F#3,C#5,A3
154.25,132.2143,53,1.3333,F#4,D4,A3,A3,D5,F#3
154.5,132.4286,53,1.5,D5,D4,A3,A3,A4,F#3
154.75,132.6429,53,1.6667,C#5,r,r,r,G4,r
155.0,132.8571,53,1.8333,D5,r,r,r,F#4,r
155.25,133.0714,53,2.0,E4,B4,B3,G3,D5,G3
155.5,133.2857,53,2.1667,E4,B4,B3,G3,C#5,G3
155.75,133.5,53,2.3333,E4,G4,E4,B3,D5,E3
156.0,133.7143,53,2.5,E5,G4,E4,B3,G4,E3
156.25,133.9286,53,2.6667,D5,r,r,r,F#4,r
156.5,134.1429,53,2.8333,E5,r,r,r,E4,r
156.75,134.3571,54,1.0,F#4,A4,A3,F#3,D5,F#3
157.0,134.5714,54,1.1667,F#4,A4,A3,F#3,C#5,F#3
157.25,134.7857,54,1.3333,F#4,F#4,D4,A3,D5,D3
157.5,135.0,54,1.5,A4,F#4,D4,A3,F#4,D3
157.75,135.2143,54,1.6667,G4,r,r,r,E4,r
158.0,135.4286,54,1.8333,F#4,r,r,r,D4,r
158.25,135.6429,54,2.0,C5,r,r,r,C5,G2
158.5,135.8571,54,2.1667,B4,r,r,r,B4,G2
158.75,136.0714,54,2.3333,A4,B4,E4,G3,A4,E3
159.0,136.2857,54,2.5,G4,B4,E4,G3,G4,E3
159.25,136.5,54,2.6667,E5,E5,G4,B3,E5,D3
159.75,136.9286,55,1.0,E5,E5,G4,A3,E5,C#3
160.25,137.3571,55,1.3333,G4,G4,C#4,E4,G4,A2
161.25,138.2143,55,2.0,r,G4,C#4,A3,r,r
161.75,138.6429,55,2.3333,r,C#4,A3,G3,r,r
162.25,139.0714,55,2.6667,r,r,r,r,G4,A2
162.75,139.5,56,1.0,r,r,r,r,G4,D3
163.0,139.7143,56,1.1667,r,r,r,r,F#4,D3
163.25,139.9286,56,1.3333,r,r,r,r,B4,G2
163.5,140.1429,56,1.5,r,r,r,r,A4,G2
163.75,140.3571,56,1.6667,r,r,r,r,A4,G3
164.25,140.7857,56,2.0,r,r,r,r,A4,F#3
164.75,141.2143,56,2.3333,r,r,r,r,G4,G3
165.0,141.4286,56,2.5,r,r,r,r,F#4,G3
165.25,141.6429,56,2.6667,r,r,r,r,E4,A3
165.5,141.8571,56,2.8333,r,r,r,r,F#4,A3
165.75,142.0714,57,1.0,r,r,r,r,D4,D3
166.25,142.5,57,1.3333,r,A4,F#4,D4,D4,A2
166.75,142.9286,57,1.6667,r,D5,A4,F#4,D4,F#2
167.25,143.3571,57,2.0,r,F#5,D5,A4,D4,D2
167.75,143.7857,57,2.3333,r,A5,F#5,D5,D4,D2
168.0,144.0,57,2.5,D5,A5,F#5,D5,D4,D2
168.25,144.2143,57,2.6667,C#5,G5,E5,A4,r,r
168.5,144.4286,57,2.8333,D5,G5,E5,A4,r,r
168.75,144.6429,58,1.0,A4,F#5,D5,D4,r,r
169.75,145.5,58,1.6667,A4,D5,A4,D4,r,F#3
170.25,145.9286,58,2.0,A4,C#5,G4,E4,r,E3
170.75,146.3571,58,2.3333,A4,D5,F#4,F#4,r,D3
171.0,146.5714,58,2.5,E5,D5,F#4,F#4,r,D3
171.25,146.7857,58,2.6667,D5,r,r,r,r,r
171.5,147.0,58,2.8333,E5,r,r,r,r,r
171.75,147.2143,59,1.0,A4,r,r,r,r,r
172.75,148.0714,59,1.6667,A4,A4,A4,E4,r,C#3
173.25,148.5,59,2.0,A4,G5,C#5,E4,r,A2
173.75,148.9286,59,2.3333,A4,F#5,D5,D4,r,B2
174.0,149.1429,59,2.5,C#5,F#5,D5,D4,r,B2
174.25,149.3571,59,2.6667,E5,E5,E5,A4,r,C#3
174.5,149.5714,59,2.8333,G5,E5,E5,A4,r,C#3
174.75,149.7857,60,1.0,F#5,F#5,D5,A4,r,D3
175.25,150.2143,60,1.3333,E5,E5,D5,A4,r,D3
175.75,150.6429,60,1.6667,D5,D5,G4,E4,r,E3
176.25,151.0714,60,2.0,D5,D5,A4,A3,r,F#3
176.75,151.5,60,2.3333,C5,C5,A4,A3,r,F#3
177.25,151.9286,60,2.6667,B4,B4,G4,D4,r,G3
177.75,152.3571,61,1.0,B4,B4,G4,D4,r,D3
178.0,152.5714,61,1.1667,G4,G4,E4,D4,r,D3
178.25,152.7857,61,1.3333,A4,A4,F#4,D4,r,D2
179.25,153.6429,61,2.0,r,C#5,G4,E4,r,r
179.75,154.0714,61,2.3333,r,D5,A4,F#4,r,r
180.0,154.2857,61,2.5,D5,D5,A4,F#4,r,r
180.25,154.5,61,2.6667,C#5,r,r,r,r,B2
180.5,154.7143,61,2.8333,D5,r,r,r,r,B2
180.75,154.9286,62,1.0,G4,r,r,r,r,E3
181.25,155.3571,62,1.3333,G4,r,r,r,r,G3
181.75,155.7857,62,1.6667,G4,G5,D4,B3,r,F#3
182.25,156.2143,62,2.0,G4,C#5,G4,E4,r,E3
182.75,156.6429,62,2.3333,G4,E5,C#4,G4,r,E3
183.0,156.8571,62,2.5,E5,E5,C#4,G4,r,E3
183.25,157.0714,62,2.6667,D5,r,r,r,r,D3
183.5,157.2857,62,2.8333,E5,r,r,r,r,D3
183.75,157.5,63,1.0,A4,r,r,r,r,C#3
184.25,157.9286,63,1.3333,A4,r,r,r,r,E3
184.75,158.3571,63,1.6667,A4,G5,E4,B3,r,D3
185.25,158.7857,63,2.0,A4,A4,E4,C#4,r,C#3
185.75,159.2143,63,2.3333,A4,C#5,A4,E4,r,A2
186.0,159.4286,63,2.5,C#5,C#5,A4,E4,r,A2
186.25,159.6429,63,2.6667,E5,r,r,r,r,C#3
186.5,159.8571,63,2.8333,G5,r,r,r,r,C#3
186.75,160.0714,64,1.0,F#5,r,r,r,r,D3
187.0,160.2857,64,1.1667,E5,r,r,r,r,D3
187.25,160.5,64,1.3333,G5,C#5,A4,E4,r,A2
187.5,160.7143,64,1.5,F#5,C#5,A4,E4,r,A2
187.75,160.9286,64,1.6667,E5,D5,F#4,B4,r,B2
188.0,161.1429,64,1.8333,D5,D5,F#4,B4,r,B2
188.25,161.3571,64,2.0,E5,D5,B4,E4,r,G2
188.5,161.5714,64,2.1667,D5,D5,B4,E4,r,G2
188.75,161.7857,64,2.3333,F#5,F#5,A4,C#4,r,A2
189.0,162.0,64,2.5,E5,E5,G4,C#4,r,A2
189.25,162.2143,64,2.6667,D5,D5,F#4,A3,r,A2
189.5,162.4286,64,2.8333,C#5,C#5,E4,A3,r,A2
189.75,162.6429,65,1.0,D5,D5,F#4,A3,r,D2
190.25,163.0714,65,1.3333,D5,D5,F#4,A3,r,F#2
190.75,163.5,65,1.6667,D5,D5,F#4,A3,r,A2
191.25,163.9286,65,2.0,D5,D5,F#4,A3,r,D3
191.75,164.3571,65,2.3333,D5,D5,F#4,A3,r,F#3
192.25,164.7857,65,2.6667,D5,r,r,r,F#4,D3
192.75,165.2143,66,1.0,D5,r,r,r,F#4,A3
193.25,165.6429,66,1.3333,C#5,r,r,r,E4,A2
193.5,165.8571,66,1.5,D5,r,r,r,E4,A2
193.75,166.0714,66,1.6667,B4,r,r,r,D4,r
194.0,166.2857,66,1.8333,D5,r,r,r,D4,r
194.25,166.5,66,2.0,C#5,r,r,r,E4,r
194.5,166.7143,66,2.1667,A4,r,r,r,E4,r
194.75,166.9286,66,2.3333,C#5,r,r,r,A4,A3
195.0,167.1429,66,2.5,E5,r,r,r,A4,A3
195.25,167.3571,66,2.6667,A5,r,r,r,C5,F#3
195.5,167.5714,66,2.8333,F#5,r,r,r,C5,F#3
195.75,167.7857,67,1.0,E-5,r,r,r,C5,B3
196.25,168.2143,67,1.3333,E-5,r,r,r,B4,B3
196.75,168.6429,67,1.6667,E-5,E-5,B4,F#4,A4,B2
197.25,169.0714,67,2.0,E5,E5,B4,G4,G4,E2
197.75,169.5,67,2.3333,E5,G5,E5,B4,E4,E3
198.25,169.9286,67,2.6667,E5,r,r,r,G4,C#3
198.75,170.3571,68,1.0,E5,r,r,r,G4,B-2
199.25,170.7857,68,1.3333,D5,r,r,r,F#4,F#2
199.5,171.0,68,1.5,E5,r,r,r,F#4,F#2
199.75,171.2143,68,1.6667,C#5,r,r,r,E4,r
200.0,171.4286,68,1.8333,D5,r,r,r,E4,r
200.25,171.6429,68,2.0,B4,r,r,r,D4,r
200.5,171.8571,68,2.1667,F#4,r,r,r,D4,r
200.75,172.0714,68,2.3333,B4,r,r,r,D5,B3
201.0,172.2857,68,2.5,D5,r,r,r,D5,B3
201.25,172.5,68,2.6667,F#5,r,r,r,C#5,A3
201.75,172.9286,69,1.0,F#5,r,r,r,B4,G3
202.0,173.1429,69,1.1667,D5,r,r,r,B4,G3
202.25,173.3571,69,1.3333,E5,r,r,r,B-4,G3
202.5,173.5714,69,1.5,F#5,r,r,r,B-4,G3
202.75,173.7857,69,1.6667,D5,E5,B4,G4,B4,G2
203.0,174.0,69,1.8333,E5,E5,B4,G4,B4,G2
203.25,174.2143,69,2.0,F#5,F#5,B-4,C#4,B-4,F#2
203.75,174.6429,69,2.3333,F#5,F#4,C#4,B-3,B-4,F#2
204.0,174.8571,69,2.5,F#5,F#4,C#4,B-3,B4,F#2
204.25,175.0714,69,2.6667,r,r,r,r,B-4,r
204.5,175.2857,69,2.8333,r,r,r,r,B4,r
204.75,175.5,70,1.0,r,r,r,r,F#4,r
205.5,176.1429,70,1.5,B4,r,r,r,F#4,r
205.75,176.3571,70,1.6667,B-4,B4,F#4,B3,F#4,D4
206.0,176.5714,70,1.8333,B4,B4,F#4,B3,F#4,D4
206.25,176.7857,70,2.0,F#4,B-4,E4,C#4,F#4,C#4
206.75,177.2143,70,2.3333,F#4,B4,D4,D4,F#4,B3
207.0,177.4286,70,2.5,F#4,B4,D4,D4,C#5,B3
207.25,177.6429,70,2.6667,r,r,r,r,B4,r
207.5,177.8571,70,2.8333,r,r,r,r,C#5,r
207.75,178.0714,71,1.0,r,r,r,r,F#4,r
208.5,178.7143,71,1.5,C#5,r,r,r,F#4,r
208.75,178.9286,71,1.6667,B4,F#4,F#4,C#4,F#4,B3
209.0,179.1429,71,1.8333,C#5,F#4,F#4,C#4,F#4,B3
209.25,179.3571,71,2.0,F#4,E5,F#4,C#4,F#4,B-3
209.75,179.7857,71,2.3333,F#4,D5,B-4,F#4,F#4,F#3
210.0,180.0,71,2.5,B-4,D5,B-4,F#4,B-4,F#3
210.25,180.2143,71,2.6667,C#5,C#5,F#4,F#4,C#5,B-3
210.5,180.4286,71,2.8333,E5,C#5,F#4,F#4,E5,B-3
210.75,180.6429,72,1.0,D5,D5,F#4,B3,D5,B3
211.25,181.0714,72,1.3333,C#5,C#5,E4,G4,C#5,E3
211.75,181.5,72,1.6667,B4,B4,F#4,F#4,B4,D3
212.25,181.9286,72,2.0,B4,B4,G4,E4,B4,C#3
212.75,182.3571,72,2.3333,A4,A4,E4,C#4,A4,C#3
213.25,182.7857,72,2.6667,G4,G4,E4,C#4,G4,A2
213.75,183.2143,73,1.0,F#4,F#4,D4,A3,F#4,D3
214.25,183.6429,73,1.3333,E4,E4,C#4,A3,E4,A2
215.25,184.5,73,2.0,r,D4,B3,G#3,r,r
215.75,184.9286,73,2.3333,r,C#4,A3,A3,r,r
216.25,185.3571,73,2.6667,E4,r,r,r,C#5,B-3
216.75,185.7857,74,1.0,E4,r,r,r,C#5,B3
217.25,186.3413,74,1.3333,D4,r,r,r,B4,B2
217.5,186.619,74,1.5,D4,r,r,r,A4,B2
217.75,186.8968,74,1.6667,r,r,r,r,G4,r
218.0,187.1746,74,1.8333,r,r,r,r,F#4,r
218.25,187.4524,74,2.0,r,B-4,E4,C#4,E4,r
218.5,187.7302,74,2.1667,r,B-4,E4,C#4,G4,r
218.75,188.0079,74,2.3333,r,B4,F#4,D4,F#4,r
219.0,188.2857,74,2.5,r,B4,F#4,D4,E4,r
219.25,188.5635,74,2.6667,B4,r,r,r,D4,F3
219.5,188.8413,74,2.8333,B4,r,r,r,C#4,F3
219.75,189.119,75,1.0,B4,r,r,r,D4,F#3
220.5,189.9524,75,1.5,B-4,r,r,r,C#4,F#3
220.75,190.2302,75,1.6667,B4,F5,G#4,B3,D4,F#3
221.25,190.7857,75,2.0,B-4,F#5,B-4,C#4,C#4,F#2
221.75,191.3413,75,2.3333,B-4,B-4,C#4,F#4,C#4,F#2
222.25,191.8968,75,2.6667,r,r,r,r,C#5,B-3
222.75,192.4524,76,1.0,r,r,r,r,D5,B3
223.0,192.7302,76,1.1667,r,r,r,r,C#5,B3
223.25,193.0079,76,1.3333,r,r,r,r,E5,G3
223.5,193.2857,76,1.5,r,r,r,r,D5,G3
223.75,193.5635,76,1.6667,r,r,r,r,C#5,r
224.0,193.8413,76,1.8333,r,r,r,r,B4,r
224.25,194.119,76,2.0,r,r,r,r,C#5,E3
224.5,194.3968,76,2.1667,r,r,r,r,B4,E3
224.75,194.6746,76,2.3333,r,r,r,r,D5,F#3
225.0,194.9524,76,2.5,r,r,r,r,C#5,F#3
225.25,195.2302,76,2.6667,r,F#4,r,r,B4,r
225.5,195.5079,76,2.8333,r,F#4,r,r,B-4,r
225.75,195.7857,77,1.0,r,B4,r,r,B4,G3
226.0,196.0635,77,1.1667,r,A4,r,r,B4,G3
226.25,196.3413,77,1.3333,r,C5,r,r,B4,E3
226.5,196.619,77,1.5,r,B4,r,r,B4,E3
226.75,196.8968,77,1.6667,r,A4,r,r,B4,r
227.0,197.1746,77,1.8333,r,G4,r,r,B4,r
227.25,197.4524,77,2.0,r,A4,r,r,B4,C#3
227.5,197.7302,77,2.1667,r,G4,r,r,B4,C#3
227.75,198.0079,77,2.3333,r,B4,r,r,B4,E-3
228.0,198.2857,77,2.5,r,A4,r,r,B4,E-3
228.25,198.5635,77,2.6667,F#5,G4,r,r,B4,r
228.5,198.8413,77,2.8333,F#5,F#4,r,r,B4,r
228.75,199.119,78,1.0,G5,E4,r,r,B4,E3
229.0,199.3968,78,1.1667,F#5,E4,r,r,A4,E3
229.25,199.6746,78,1.3333,A5,E4,r,r,C5,E2
229.5,199.9524,78,1.5,G5,E4,r,r,B4,E2
229.75,200.2302,78,1.6667,F#5,E4,r,r,A4,r
230.0,200.5079,78,1.8333,E5,E4,r,r,G4,r
230.25,200.7857,78,2.0,F#5,E-4,r,r,A4,r
230.5,201.0635,78,2.1667,E5,E-4,r,r,G4,r
230.75,201.3413,78,2.3333,G5,B3,r,r,B4,r
231.0,201.619,78,2.5,F#5,B3,r,r,A4,r
231.25,201.8968,78,2.6667,E5,B3,r,r,G4,r
231.5,202.1746,78,2.8333,E-5,B3,r,r,F#4,r
231.75,202.4524,79,1.0,E5,B3,r,r,G4,E3
232.0,202.7302,79,1.1667,D5,B3,r,r,F#4,E3
232.25,203.0079,79,1.3333,F#5,B3,r,r,A4,E2
232.5,203.2857,79,1.5,E5,B3,r,r,G4,E2
232.75,203.5635,79,1.6667,D5,B3,r,r,F#4,r
233.0,203.8413,79,1.8333,C#5,B3,r,r,E4,r
233.25,204.119,79,2.0,D5,B3,r,r,F#4,r
233.5,204.3968,79,2.1667,C#5,B3,r,r,E4,r
233.75,204.6746,79,2.3333,E5,B3,r,r,G4,r
234.0,204.9524,79,2.5,D5,B3,r,r,F#4,r
234.25,205.2302,79,2.6667,C#5,B3,r,r,E4,r
234.5,205.5079,79,2.8333,B4,B3,r,r,D4,r
234.75,205.7857,80,1.0,C#5,B3,r,r,E4,r
235.25,206.3413,80,1.3333,C#5,C#5,G4,E4,D4,E3
235.5,206.619,80,1.5,C#5,C#5,G4,E4,C#4,E3
235.75,206.8968,80,1.6667,C#5,D5,F#4,D4,B4,F#3
236.25,207.4524,80,2.0,C#5,E5,E4,C#4,B-4,G3
236.75,208.0079,80,2.3333,C#5,F#5,D4,D4,B-4,F#3
237.25,208.5635,80,2.6667,C#5,G5,C#4,G3,B4,E3
237.75,209.119,81,1.0,C#5,G5,C#4,E4,C#5,B-3
238.25,209.6746,81,1.3333,C#5,r,r,r,B4,r
238.5,209.9524,81,1.5,C#5,r,r,r,B-4,r
238.75,210.2302,81,1.6667,C#5,r,r,r,G#4,r
239.0,210.5079,81,1.8333,C#5,r,r,r,F#4,r
239.25,210.7857,81,2.0,C#5,r,r,r,F#4,r
239.75,211.3413,81,2.3333,B4,r,r,r,F#4,F#3
240.0,211.619,81,2.5,B-4,r,r,r,F#4,F#3
240.25,211.8968,81,2.6667,G#4,r,r,r,C#5,B-3
240.5,212.1746,81,2.8333,F#4,r,r,r,D5,B-3
240.625,212.3135,81,2.9167,F#4,r,r,r,E5,B-3
240.75,212.4524,82,1.0,F#4,r,r,r,D5,B2
241.25,213.0079,82,1.3333,E5,r,r,r,B-4,C#3
241.75,213.5635,82,1.6667,D5,r,r,r,B4,D3
242.25,214.119,82,2.0,C#5,r,r,r,G4,E3
242.5,214.3968,82,2.1667,E5,r,r,r,G4,E3
242.75,214.6746,82,2.3333,G5,r,r,r,E4,C#3
243.0,214.9524,82,2.5,B-4,r,r,r,E4,C#3
243.25,215.2302,82,2.6667,B4,r,r,r,F#4,D3
243.5,215.5079,82,2.8333,D5,r,r,r,F#4,D3
243.75,215.7857,83,1.0,F#4,r,r,r,F#4,B2
244.25,216.3413,83,1.3333,r,r,r,r,D5,F#3
244.5,216.619,83,1.5,r,r,r,r,C#5,F#3
244.75,216.8968,83,1.6667,r,r,r,r,B4,F#2
245.0,217.1746,83,1.8333,r,r,r,r,B-4,F#2
245.25,217.4524,83,2.0,r,r,r,r,B4,B2
245.75,218.0079,83,2.3333,r,r,r,r,B4,B3
246.0,218.2857,83,2.5,A4,r,r,r,B4,B3
246.25,218.5635,83,2.6667,G4,r,E-4,B3,r,A3
246.5,218.8413,83,2.8333,F#4,r,E-4,B3,r,A3
246.75,219.119,84,1.0,E4,r,E4,B3,r,G3
247.25,219.6746,84,1.3333,E4,E5,B4,G4,r,G3
247.75,220.2302,84,1.6667,E4,C#5,G4,E4,r,G3
248.25,220.7857,84,2.0,E4,B-4,E4,C#4,r,G3
248.75,221.3413,84,2.3333,E4,C#5,G4,E4,r,E3
249.0,221.619,84,2.5,G4,C#5,G4,E4,r,E3
249.25,221.8968,84,2.6667,F#4,E5,C#4,G4,r,C#3
249.5,222.1746,84,2.8333,E4,E5,C#4,G4,r,C#3
249.75,222.4524,85,1.0,F#4,E5,C#4,F#4,r,B-2
250.0,222.7302,85,1.1667,G#4,E5,C#4,F#4,r,B-2
250.25,223.0079,85,1.3333,B-4,B-4,E4,C#4,r,C#3
250.5,223.2857,85,1.5,B4,B-4,E4,C#4,r,C#3
250.75,223.5635,85,1.6667,C#5,r,r,r,r,r
251.0,223.8413,85,1.8333,D5,r,r,r,r,r
251.25,224.119,85,2.0,E5,E5,B-4,C#4,r,F#2
251.5,224.3968,85,2.1667,G5,E5,B-4,C#4,r,F#2
251.75,224.6746,85,2.3333,F#5,F#4,C#4,F#4,r,B-2
252.0,224.9524,85,2.5,E5,F#4,C#4,F#4,r,B-2
252.25,225.2302,85,2.6667,D5,r,r,r,r,r
252.5,225.5079,85,2.8333,C#5,r,r,r,r,r
252.75,225.7857,86,1.0,D5,r,r,r,r,B2
253.0,226.0635,86,1.1667,C#5,r,r,r,r,B2
253.25,226.3413,86,1.3333,E5,E5,B4,B3,r,G3
253.5,226.619,86,1.5,D5,E5,B4,B3,r,G3
253.75,226.8968,86,1.6667,C#5,D5,F#4,B3,r,D3
254.0,227.1746,86,1.8333,B4,D5,F#4,B3,r,D3
254.25,227.4524,86,2.0,C#5,C#5,G4,B3,r,E3
254.5,227.7302,86,2.1667,B4,C#5,G4,B3,r,E3
254.75,228.0079,86,2.3333,D5,D5,D4,B3,r,F#3
255.0,228.2857,86,2.5,C#5,D5,D4,B3,r,F#3
255.25,228.5635,86,2.6667,B4,C#5,E4,F#3,r,F#2
255.5,228.8413,86,2.8333,B-4,C#5,E4,F#3,r,F#2
255.75,229.119,87,1.0,B4,B4,D4,F#3,r,B2
257.25,230.7857,87,2.0,B4,B4,D4,F#3,r,B2
