qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
322.0,324.0,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
324.0,326.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
326.0,328.0,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
328.0,330.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
330.0,332.0,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
332.0,334.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
334.0,336.0,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
336.0,338.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
338.0,340.0,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
340.0,342.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
342.0,344.0,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),U(E Horn 2)&P8(C Horn 3)&P8(C Horn 4)&U(Violin 1)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(E Horn 1)&P8(C Horn 3)&P8(C Horn 4)&U(Violin 1)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(E Horn 1)&P8(E Horn 2)&U(C Horn 4)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(E Horn 1)&P8(E Horn 2)&U(C Horn 3)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),,,,U(E Horn 1)&U(E Horn 2)&P8(C Horn 3)&P8(C Horn 4)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(E Horn 1)&U(E Horn 2)&P8(C Horn 3)&P8(C Horn 4)&U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(E Horn 1)&P8(E Horn 2)&U(C Horn 3)&U(C Horn 4)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(E Horn 1)&P8(E Horn 2)&P8(C Horn 3)&P8(C Horn 4)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(E Horn 1)&P8(E Horn 2)&P8(C Horn 3)&P8(C Horn 4)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
344.0,346.0,P5(Flute 2)&U(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 1)&P5(A Clarinet 2),P5(Flute 1)&P5(Oboe 1)&U(Oboe 2)&P5(A Clarinet 1)&P8(A Clarinet 2),U(Flute 1)&P5(Flute 2)&P5(Oboe 2)&P8(A Clarinet 1)&P5(A Clarinet 2),P5(Flute 1)&U(Flute 2)&P5(Oboe 1)&P5(A Clarinet 1)&P8(A Clarinet 2),P8(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 2),P5(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1),P5(Bassoon 2),P5(Bassoon 1),U(E Horn 2)&P8(C Horn 3)&P8(C Horn 4)&P8(Contrabass),U(E Horn 1)&P8(C Horn 3)&P8(C Horn 4)&P8(Contrabass),P8(E Horn 1)&P8(E Horn 2)&U(C Horn 4)&P8(Contrabass),P8(E Horn 1)&P8(E Horn 2)&U(C Horn 3)&P8(Contrabass),,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello),P8(Main)&P8(Violin 2)&P8(Violoncello),P8(Main)&P8(Violin 2)&P8(Viola),P8(E Horn 1)&P8(E Horn 2)&P8(C Horn 3)&P8(C Horn 4)
346.0,360.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),,,,,,,U(C Horn 4),U(C Horn 3),,,,,,,,
360.0,377.0,,P8(A Clarinet 2),,,,P8(Flute 2),,,,,,,,,,Main Part,,,,
377.0,385.0,P8(A Clarinet 1)&P8(Main),,,,P8(Flute 1)&P8(Main),,,,Main Part,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
385.0,391.0,P8(A Clarinet 1)&P8(Main),,,,P8(Flute 1)&P8(Main),,,,Main Part,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
391.0,407.0,P8(A Clarinet 1),,Main Part,,P8(Flute 1),,,,,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
407.0,409.0,U(Flute 2),U(Flute 1),P3(Bassoon 2)&P8(Main),,,,,P3(Oboe 1)&P3(Main),Main Part,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
409.0,411.0,Main Part,U(Main)&P8(Oboe 1)&P3(Bassoon 2),P8(Main)&P8(Flute 2)&P3(Bassoon 2),,,,,P3(Main)&P3(Flute 2)&P3(Oboe 1),,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
411.0,413.0,U(Flute 2),U(Flute 1),P8(Main),,,,P2(Bassoon 2),P2(Bassoon 1),Main Part,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
413.0,415.0,Main Part,U(Main)&P8(Oboe 1),P8(Main)&P8(Flute 2),,,,P2(Bassoon 2),P2(Bassoon 1),,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
415.0,417.0,U(Flute 2),U(Flute 1),P8(Main),,,,,,Main Part,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
417.0,419.0,Main Part,U(Main)&P8(Oboe 1),P8(Main)&P8(Flute 2),,,,,,,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
419.0,421.0,U(Flute 2),U(Flute 1),P8(Main),,,,P2(Bassoon 2),P2(Bassoon 1),Main Part,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
421.0,423.0,Main Part,U(Main)&P8(Oboe 1),P8(Main)&P8(Flute 2),,,,,,,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
423.0,425.5,,,P8(Main),,P6(A Clarinet 2)&P6(E Horn 2)&P8(C Horn 3)&P6(C Horn 4)&P6(Timpani),P6(A Clarinet 1)&P8(E Horn 2)&P6(C Horn 3)&P8(C Horn 4)&P8(Timpani),,,Main Part,P6(A Clarinet 1)&P8(A Clarinet 2)&P6(C Horn 3)&P8(C Horn 4)&U(Timpani),P8(A Clarinet 1)&P6(A Clarinet 2)&P6(E Horn 2)&P6(C Horn 4)&P6(Timpani),P6(A Clarinet 1)&P8(A Clarinet 2)&P8(E Horn 2)&P6(C Horn 3)&P8(Timpani),,,P6(A Clarinet 1)&P8(A Clarinet 2)&U(E Horn 2)&P6(C Horn 3)&P8(C Horn 4),,,,,
425.5,453.5,,,,,,,,,,,P6(C Horn 4),P6(C Horn 3),P8(E Trumpet 2),P8(E Trumpet 1),,Main Part,,,,
453.5,474.5,P3(Flute 2)&P3(A Clarinet 2),P3(Flute 1)&P8(A Clarinet 2),,,,P3(Flute 1)&P8(Flute 2),,,,,,,P8(E Trumpet 2),P8(E Trumpet 1),,Main Part,,,,
474.5,482.5,,,,,,,,,U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),U(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2),,,P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 2),P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1),,Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
482.5,498.5,P8(Oboe 1)&P8(A Clarinet 2),P8(Oboe 2)&P8(A Clarinet 1),P8(Flute 1)&P8(A Clarinet 2),P8(Flute 2)&U(A Clarinet 1),P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Oboe 1),,,P8(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2),,,P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 2),P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 1),,Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
498.5,506.5,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Horn 3)&P8(C Horn 4),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(C Horn 3)&P8(C Horn 4),,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(C Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(C Horn 3),,,,Main Part,,P8(Main),U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
506.5,544.0,,,,,,,,,,,U(C Horn 4),U(C Horn 3),,,,Main Part,,,,
544.0,560.0,Main Part,,,,,,,,,,,,,,,,,,,
560.0,576.0,Main Part,P6(C Horn 3)&P6(C Horn 4),,,P8(Main)&P8(Bassoon 1),,P8(Main)&P8(A Clarinet 1),,U(E Horn 2),U(E Horn 1),P6(Flute 2)&U(C Horn 4),P6(Flute 2)&U(C Horn 3),,,,,,,,
576.0,592.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),,,,,,,,Main Part,P8(Main),,,
592.0,609.0,,,,,,,,,P3(E Horn 2),P3(E Horn 1),,,,,,Main Part,,,,
609.0,613.0,,,,,P3(C Horn 3)&P3(C Horn 4),,,,,,P3(A Clarinet 1)&U(C Horn 4),P3(A Clarinet 1)&U(C Horn 3),,,,,Main Part,,P8(Contrabass),P8(Violoncello)
613.0,617.0,,,,,P3(A Clarinet 2),P3(A Clarinet 1),,,,,P8(C Horn 4),P8(C Horn 3),,,,Main Part,,,,
617.0,620.0,,,,,P8(Violoncello)&P3(Contrabass),,,,,,P8(C Horn 4),P8(C Horn 3),,,,,Main Part,,P8(A Clarinet 1)&P3(Contrabass),P3(A Clarinet 1)&P3(Violoncello)
620.0,622.0,,,,,P3(Contrabass),,,,,,P8(C Horn 4),P8(C Horn 3),,,,Main Part,,,P3(Contrabass),P3(A Clarinet 1)&P3(Violoncello)
622.0,624.0,P6(Flute 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(Flute 1)&P6(Bassoon 1)&P8(Bassoon 2),,,,P6(C Horn 3)&P6(C Horn 4),P8(Flute 1)&P6(Flute 2)&P6(Bassoon 2),P6(Flute 1)&P8(Flute 2)&P6(Bassoon 1),,,P6(A Clarinet 2)&P8(C Horn 4),P6(A Clarinet 2)&P8(C Horn 3),,,,,Main Part,,P3(Contrabass),P3(Violoncello)
624.0,628.0,Main Part,P8(Bassoon 2),,,,,P8(Main),P8(Flute 2),,,,,,,,,,,,
628.0,632.0,Main Part,P8(Bassoon 2),,,,,P8(Main),P8(Flute 2),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
632.0,636.0,Main Part,,,,,,P8(Main),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
636.0,640.0,Main Part,,P3(Oboe 2),P3(Oboe 1),,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
640.0,644.0,,,Main Part,,,,P3(Bassoon 2),P3(Bassoon 1),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
644.0,652.0,Main Part,,P4(Oboe 2),P4(Oboe 1),,,P8(Main),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
652.0,656.0,P8(Bassoon 1),U(Main),Main Part,,,,P8(Flute 1),,,,,,,,,P5(Violin 2),P5(Violin 1),,P8(Contrabass),P8(Violoncello)
