qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"F, F Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
860.5,148.3621,137,2.5,C6,C6,G5,E5,C5,G4,G4,E4,G4,G4,r,r,r,r,r,r,r,r,C5,C4,r,r,r
861.0,148.4483,137,3.0,G6,C6,C6,E5,G5,E5,E4,C4,G4,G4,r,r,r,r,r,r,r,r,C5,C4,r,r,r
862.0,148.6207,138,1.0,F6,D6,D6,F5,F5,D5,D4,B3,G4,G4,r,r,r,r,r,r,r,r,G4,G3,G4,G4,G3
863.0,148.7931,138,2.0,D6,B5,G5,F5,D5,G4,F4,D4,G4,G4,r,r,r,r,r,r,r,r,r,r,G4,G4,G3
863.5,148.8793,138,2.5,D6,B5,G5,F5,D5,G4,F4,D4,G4,G4,r,r,r,r,r,r,r,r,r,r,G3,G3,G2
864.0,148.9655,138,3.0,G6,B5,D6,F5,G5,F5,D4,B3,G4,G4,r,r,r,r,r,r,r,r,r,r,G3,G3,G2
865.0,149.1379,139,1.0,G5,r,r,r,G3,r,G2,r,r,r,r,r,r,r,r,r,r,r,F5,F4,C4,A3,G1
866.0,149.3103,139,2.0,A5,r,r,r,A3,r,A2,r,r,r,r,r,r,r,r,r,r,r,E5,E4,B3,G3,G1
867.0,149.4828,139,3.0,B5,r,r,r,B3,r,B2,r,r,r,r,r,r,r,r,r,r,r,D5,D4,A3,F3,G1
868.0,149.6552,140,1.0,C6,r,C5,r,C4,r,C3,r,r,r,r,r,r,r,r,r,r,r,C5,C4,G3,E3,G1
869.0,149.8276,140,2.0,D6,r,D5,r,D4,r,D3,r,r,r,r,r,r,r,r,r,r,r,B4,B3,F3,D3,G1
870.0,150.0,140,3.0,E6,r,E5,r,E4,r,E3,r,r,r,r,r,r,r,r,r,r,r,A4,A3,E3,C3,G1
871.0,150.1724,141,1.0,F6,r,F5,r,F4,r,F3,r,r,r,r,r,r,r,r,r,r,r,G4,G3,D3,B2,G1
872.0,150.3448,141,2.0,E6,r,E5,r,E4,r,E3,r,r,r,r,r,r,r,r,r,r,r,A4,A3,E3,C3,G1
873.0,150.5172,141,3.0,F6,r,F5,r,F4,r,F3,r,r,r,r,r,r,r,r,r,r,r,G4,G3,D3,B2,G1
873.5,150.6034,141,3.5,F6,r,F5,r,F4,r,F3,r,r,r,r,r,r,r,r,r,r,r,G4,G3,D4,B3,G1
874.0,150.6897,142,1.0,G6,r,G5,r,G4,r,G3,r,r,r,r,r,r,r,r,r,r,r,F4,G3,C4,A3,G1
875.0,150.8621,142,2.0,A6,r,A5,r,A4,r,A3,r,r,r,r,r,r,r,r,r,r,r,E4,G3,B3,G3,G1
876.0,151.0345,142,3.0,B5,r,B5,r,B4,r,B3,r,r,r,r,r,r,r,r,r,r,r,D4,G3,A3,F3,G1
876.5,151.1207,142,3.5,B5,r,B5,r,B4,r,B3,r,r,r,r,r,r,r,r,r,r,r,B4,G3,G3,F3,G1
877.0,151.2069,143,1.0,C6,r,C6,r,C5,r,C4,r,C4,r,r,r,r,r,r,r,r,r,C5,E4,G3,C2,C1
878.5,151.4655,143,2.5,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,r,r,C4,G4,E4,C3,C2
879.0,151.5517,143,3.0,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,r,r,C4,G4,E4,C3,C2
880.0,151.7241,144,1.0,C6,r,C5,r,E4,C4,A2,r,C4,A3,r,r,r,r,r,r,r,r,C4,A4,E4,A2,A1
881.5,151.9828,144,2.5,C5,r,C5,r,E4,C4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
882.0,152.069,144,3.0,C5,r,C5,r,E4,C4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
883.0,152.2414,145,1.0,C5,r,C5,r,A4,C4,F3,r,C4,A3,F3,r,r,r,r,r,r,r,C5,A4,A3,F2,F1
884.5,152.5,145,2.5,r,r,r,r,r,r,r,r,C4,A3,F3,r,r,r,r,r,r,r,C4,A4,F4,F3,F2
885.0,152.5862,145,3.0,r,r,r,r,r,r,r,r,C4,A3,F3,r,r,r,r,r,r,r,C4,A4,F4,F3,F2
886.0,152.7586,146,1.0,D6,r,D5,r,A4,F4,F3,D3,D4,A3,D3,r,r,r,r,r,r,r,D4,A4,F4,F3,F2
887.5,153.0172,146,2.5,D5,r,D5,r,A4,F4,F4,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
888.0,153.1034,146,3.0,D5,r,D5,r,A4,F4,F4,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
889.0,153.2759,147,1.0,D5,r,D5,r,A4,F4,F4,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
919.0,158.4483,151,1.0,r,r,r,r,r,r,r,r,D4,D3,r,r,r,r,r,r,r,r,D5,A3,F3,D2,D1
920.5,158.7069,151,2.5,r,r,r,r,r,r,r,r,D4,D3,r,r,r,r,r,r,r,r,D4,A4,F4,D3,D2
921.0,158.7931,151,3.0,r,r,r,r,r,r,r,r,D4,D3,r,r,r,r,r,r,r,r,D4,A4,F4,D3,D2
922.0,158.9655,152,1.0,D6,r,D5,B-4,F4,D4,B-2,r,D4,D3,r,r,r,r,r,r,r,r,D4,B-4,F4,B-2,B-1
923.5,159.2241,152,2.5,D5,r,D5,B-4,F4,D4,B-3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
924.0,159.3103,152,3.0,D5,r,D5,B-4,F4,D4,B-3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
925.0,159.4828,153,1.0,D5,r,D5,B-4,G4,D4,G3,r,r,r,B-3,B-2,r,r,r,r,r,r,D5,B-3,G3,G2,G1
926.5,159.7414,153,2.5,r,r,r,r,r,r,r,r,r,r,B-3,B-2,r,r,r,r,r,r,D4,B-4,G4,G3,G2
927.0,159.8276,153,3.0,r,r,r,r,r,r,r,r,r,r,B-3,B-2,r,r,r,r,r,r,D4,B-4,G4,G3,G2
928.0,160.0,154,1.0,E-6,r,E-5,B-4,G4,E-4,E-3,r,r,r,B-3,B-2,r,r,r,r,r,r,E-4,B-4,G4,E-3,E-2
929.5,160.2586,154,2.5,E-5,r,E-5,B-4,G4,E-4,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
930.0,160.3448,154,3.0,E-5,r,E-5,B-4,G4,E-4,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
931.0,160.5172,155,1.0,E-5,r,E-5,B-4,G4,E-4,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
961.0,165.6897,159,1.0,r,r,r,r,r,r,r,r,r,r,E-4,r,r,r,r,r,r,r,E-5,B-3,G3,E-3,E-2
962.5,165.9483,159,2.5,r,r,r,r,r,r,r,r,r,r,E-4,r,r,r,r,r,r,r,E-4,B-4,G4,E-4,E-3
963.0,166.0345,159,3.0,r,r,r,r,r,r,r,r,r,r,E-4,r,r,r,r,r,r,r,E-4,B-4,G4,E-4,E-3
964.0,166.2069,160,1.0,E-6,r,E-5,G4,G4,E-4,C3,C2,r,r,E-4,r,r,r,r,r,r,r,E-4,C5,G4,C4,C3
965.5,166.4655,160,2.5,E-5,r,E-5,G4,G4,E-4,C4,C3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
966.0,166.5517,160,3.0,E-5,r,E-5,G4,G4,E-4,C4,C3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
967.0,166.7241,161,1.0,E-5,r,E-5,C5,G#4,E-4,G#3,G#2,r,r,E-4,C4,r,r,r,r,r,r,E-5,C4,C4,G#2,G#1
968.5,166.9828,161,2.5,r,r,r,r,r,r,r,r,r,r,E-4,C4,r,r,r,r,r,r,E-4,C5,C3,G#3,G#2
969.0,167.069,161,3.0,r,r,r,r,r,r,r,r,r,r,E-4,C4,r,r,r,r,r,r,E-4,C5,C3,G#3,G#2
970.0,167.2414,162,1.0,F6,r,F5,C5,G#4,F4,F3,F2,r,r,F4,C4,r,r,r,r,r,r,F4,G#4,G#3,F3,F2
971.5,167.5,162,2.5,F5,r,F5,C5,G#4,F4,F4,F3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
972.0,167.5862,162,3.0,F5,r,F5,C5,G#4,F4,F4,F3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
973.0,167.7586,163,1.0,F5,r,F5,C#5,G#4,F4,C#4,C#3,r,r,F4,F3,r,r,r,r,r,r,F5,G#4,F3,C#3,C#2
974.5,168.0172,163,2.5,r,r,r,r,r,r,r,r,r,r,F4,F3,r,r,r,r,r,r,F4,F4,F4,C#4,C#3
975.0,168.1034,163,3.0,r,r,r,r,r,r,r,r,r,r,F4,F3,r,r,r,r,r,r,F4,F4,F4,C#4,C#3
976.0,168.2759,164,1.0,F6,r,F5,C#5,B-4,F4,B-2,B-1,r,r,F4,F3,r,r,r,r,r,r,F4,B-4,C#4,B-3,B-2
977.5,168.5345,164,2.5,F5,r,F5,C#5,B-4,F4,B-3,B-2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
978.0,168.6207,164,3.0,F5,r,F5,C#5,B-4,F4,B-3,B-2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
979.0,168.7931,165,1.0,F#5,r,F#5,C#5,B-4,F#4,F#3,F#2,F#4,F#3,r,r,r,r,r,r,r,r,F#5,C#4,B-3,F#2,F#1
980.5,169.0517,165,2.5,r,r,r,r,r,r,r,r,F#4,F#3,r,r,r,r,r,r,r,r,F#4,B-4,C#4,F#3,F#2
981.0,169.1379,165,3.0,r,r,r,r,r,r,r,r,F#4,F#3,r,r,r,r,r,r,r,r,F#4,B-4,C#4,F#3,F#2
982.0,169.3103,166,1.0,F#6,r,F#5,E-5,B-4,F#4,E-3,E-2,F#4,F#3,E-4,E-4,r,r,r,r,r,r,F#4,B-4,E-4,E-3,E-2
983.5,169.569,166,2.5,F#5,r,F#5,E-5,B-4,F#4,E-4,E-3,r,r,E-4,E-4,r,r,r,r,r,r,r,r,r,r,r
984.0,169.6552,166,3.0,F#5,r,F#5,E-5,B-4,F#4,E-4,E-3,r,r,E-4,E-4,r,r,r,r,r,r,r,r,r,r,r
985.0,169.8276,167,1.0,F#5,r,F#5,E-5,B4,F#4,B3,B2,r,r,E-4,E-4,r,r,r,r,r,r,F#5,E-5,E-3,B2,B1
986.5,170.0862,167,2.5,r,r,r,r,r,r,r,r,r,r,E-4,E-4,r,r,r,r,r,r,F#4,E-4,E-4,B3,B2
987.0,170.1724,167,3.0,r,r,r,r,r,r,r,r,r,r,E-4,E-4,r,r,r,r,r,r,F#4,E-4,E-4,B3,B2
988.0,170.3448,168,1.0,G#6,r,G#5,E-5,B4,G#4,G#2,G#2,r,r,E-4,E-4,r,r,r,r,r,r,G#4,E-4,B3,G#3,G#2
989.5,170.6034,168,2.5,G#5,r,G#5,E-5,B4,G#4,G#3,G#2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
990.0,170.6897,168,3.0,G#5,r,G#5,E-5,B4,G#4,G#3,G#2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
991.0,170.8621,169,1.0,G#5,r,G#5,E5,B4,G#4,E3,E2,E4,E4,r,r,r,r,r,r,r,r,G#5,E4,B3,E3,E2
992.5,171.1207,169,2.5,r,r,r,r,r,r,r,r,E4,E4,r,r,r,r,r,r,r,r,G#4,B4,E4,E4,E3
993.0,171.2069,169,3.0,r,r,r,r,r,r,r,r,E4,E4,r,r,r,r,r,r,r,r,G#4,B4,E4,E4,E3
994.0,171.3793,170,1.0,G#6,r,G#5,E5,C#5,G#4,C#3,C#2,E4,E4,r,r,r,r,r,r,r,r,G#4,C#5,E4,C#4,C#3
995.5,171.6379,170,2.5,G#5,r,G#5,E5,C#5,G#4,C#4,C#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
996.0,171.7241,170,3.0,G#5,r,G#5,E5,C#5,G#4,C#4,C#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
997.0,171.8966,171,1.0,A5,r,A5,E5,C#5,A4,A3,A2,A4,A3,r,r,A4,A4,r,r,r,r,A5,A3,A3,A2,A1
998.5,172.1552,171,2.5,r,r,r,r,r,r,r,r,A3,A2,r,r,A4,A3,r,r,r,r,A4,A4,A4,A3,A2
999.0,172.2414,171,3.0,r,r,r,r,r,r,r,r,A3,A2,r,r,A4,A3,r,r,r,r,A4,A4,A4,A3,A2
1000.0,172.4138,172,1.0,A6,A5,A5,A5,A5,A4,A2,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1001.5,172.6724,172,2.5,A5,A4,A4,A4,A4,A3,A3,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1002.0,172.7586,172,3.0,A5,A4,A4,A4,A4,A3,A3,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1003.0,172.931,173,1.0,r,r,r,r,r,r,r,r,r,r,B-3,B-3,r,r,r,r,r,r,B-5,B-3,B-3,B-2,B-1
1004.5,173.1897,173,2.5,r,r,r,r,r,r,r,r,r,r,B-3,B-2,r,r,r,r,r,r,B-4,B-4,B-4,B-3,B-2
1005.0,173.2759,173,3.0,r,r,r,r,r,r,r,r,r,r,B-3,B-2,r,r,r,r,r,r,B-4,B-4,B-4,B-3,B-2
1006.0,173.4483,174,1.0,B-5,B-5,B-5,B-4,B-4,B-3,B-2,B-1,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1007.5,173.7069,174,2.5,B-4,B-4,B-4,B-4,B-3,B-3,B-3,B-2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1008.0,173.7931,174,3.0,B-4,B-4,B-4,B-4,B-3,B-3,B-3,B-2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1009.0,173.9655,175,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,B3,B3,B2,B1
1010.5,174.2241,175,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,B4,B3,B2
1011.0,174.3103,175,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,B4,B3,B2
1012.0,174.4828,176,1.0,B5,B5,B5,B4,B4,B3,B2,B1,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1013.5,174.7414,176,2.5,B4,B4,B4,B4,B3,B3,B3,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1014.0,174.8276,176,3.0,B4,B4,B4,B4,B3,B3,B3,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1015.0,175.0,177,1.0,r,r,r,r,r,r,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1016.5,175.2586,177,2.5,r,r,r,r,r,r,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1017.0,175.3448,177,3.0,r,r,r,r,r,r,B2,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1018.0,175.5172,178,1.0,r,r,r,r,r,r,E3,E3,r,r,r,r,r,r,r,r,r,r,E4,E4,B3,E3,E2
1019.0,175.6897,178,2.0,r,r,r,r,r,r,F#3,E-3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1020.0,175.8621,178,3.0,r,r,r,r,r,r,G3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1021.0,176.0345,179,1.0,r,r,r,r,r,r,F#3,E-3,r,r,r,r,r,r,r,r,r,r,B3,B3,B3,B2,B1
1022.0,176.2069,179,2.0,r,r,r,r,r,r,G3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1023.0,176.3793,179,3.0,r,r,r,r,r,r,A3,F#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1024.0,176.5517,180,1.0,r,r,B5,r,B4,r,G3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1025.0,176.7241,180,2.0,r,r,B5,r,B4,r,B3,G3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1025.5,176.8103,180,2.5,r,r,B4,r,B3,r,B3,G3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1026.0,176.8966,180,3.0,r,r,B4,r,B3,B3,B3,G3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1027.0,177.069,181,1.0,r,r,E5,r,E4,E4,B3,G3,r,r,r,r,r,r,r,r,r,r,E4,E4,B3,E3,E2
1028.0,177.2414,181,2.0,r,r,F#5,E-5,F#4,E-4,A3,F#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1029.0,177.4138,181,3.0,r,r,G5,E5,G4,E4,G3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1030.0,177.5862,182,1.0,r,r,F#5,E-5,F#4,E-4,A3,F#3,r,r,r,r,r,r,r,r,r,r,B3,B3,B3,B2,B1
1031.0,177.7586,182,2.0,r,r,G5,E5,G4,E4,G3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1032.0,177.931,182,3.0,r,r,A5,F#5,A4,F#4,F#3,E-3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1033.0,178.1034,183,1.0,r,r,G5,E5,G4,E4,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1034.0,178.2759,183,2.0,r,r,B5,G5,B4,G4,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1034.5,178.3621,183,2.5,r,r,B5,G5,B4,G4,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1035.0,178.4483,183,3.0,r,r,B5,G5,B4,G4,B2,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1036.0,178.6207,184,1.0,r,r,B5,G5,B4,G4,E3,B2,r,r,r,r,r,r,r,r,r,r,E4,E4,B3,E3,E2
1037.0,178.7931,184,2.0,r,r,A5,F#5,A4,F#4,F#3,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1038.0,178.9655,184,3.0,r,r,G5,E5,G4,E4,G3,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1039.0,179.1379,185,1.0,r,r,A5,F#5,A4,F#4,F#3,B2,r,r,r,r,r,r,r,r,r,r,B3,B3,B3,B2,B1
1040.0,179.3103,185,2.0,r,r,G5,E5,G4,E4,G3,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1041.0,179.4828,185,3.0,r,r,F#5,E-5,F#4,E-4,A3,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1042.0,179.6552,186,1.0,E6,r,E5,r,G#4,E4,G#3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1043.0,179.8276,186,2.0,E6,r,E5,r,E5,E4,E4,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1043.5,179.9138,186,2.5,E5,r,E4,r,E5,E4,E4,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1044.0,180.0,186,3.0,E5,r,E4,r,E5,E4,E4,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1045.0,180.1724,187,1.0,A5,r,E5,r,E5,C5,E4,C4,r,r,r,r,r,r,r,r,r,r,E5,E5,E4,E4,E3
1046.0,180.3448,187,2.0,B5,r,G#5,r,D5,B4,D4,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1047.0,180.5172,187,3.0,C6,r,A5,r,C5,A4,C4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1048.0,180.6897,188,1.0,B5,r,G#5,r,D5,B4,D4,B3,r,r,r,r,r,r,r,r,r,r,E4,E4,E3,E3,E2
1049.0,180.8621,188,2.0,C6,r,A5,r,C5,A4,C4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1050.0,181.0345,188,3.0,D6,r,B5,r,B4,G#4,B3,G#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1051.0,181.2069,189,1.0,C6,r,A5,r,E5,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1052.0,181.3793,189,2.0,E6,r,C6,r,E5,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1052.5,181.4655,189,2.5,E6,r,C6,r,E4,r,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1053.0,181.5517,189,3.0,E6,r,C6,r,E4,E4,E3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1054.0,181.7241,190,1.0,E6,r,C6,r,A4,E4,A3,E3,r,r,r,r,r,r,r,r,r,r,A4,E4,A3,A3,A2
1055.0,181.8966,190,2.0,D6,r,B5,r,B4,G#4,B3,G#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1056.0,182.069,190,3.0,C6,r,A5,r,C5,A4,C4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1057.0,182.2414,191,1.0,D6,r,B5,r,B4,G#4,B3,G#3,r,r,r,r,r,r,r,r,r,r,E4,E4,E3,E3,E2
1058.0,182.4138,191,2.0,C6,r,A5,r,C5,A4,C4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1059.0,182.5862,191,3.0,B5,r,G#5,r,D5,B4,D4,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1060.0,182.7586,192,1.0,E6,r,E5,r,C5,A4,C4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1061.0,182.931,192,2.0,E6,r,E5,r,E5,C5,E4,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1061.5,183.0172,192,2.5,E5,r,E4,r,E5,C5,E4,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1062.0,183.1034,192,3.0,E5,r,E4,r,E5,C5,E4,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1063.0,183.2759,193,1.0,A5,r,E5,r,E5,C5,E4,C4,r,r,r,r,r,r,r,r,r,r,A4,E4,A3,A3,A2
1064.0,183.4483,193,2.0,B5,r,G#5,r,D5,B4,D4,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1065.0,183.6207,193,3.0,C6,r,A5,r,C5,A4,C4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1066.0,183.7931,194,1.0,B5,r,G#5,r,D5,B4,D4,B3,r,r,r,r,r,r,r,r,r,r,E4,E4,E3,E3,E2
1067.0,183.9655,194,2.0,C6,r,A5,r,C5,A4,C4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1068.0,184.1379,194,3.0,D6,r,B5,r,B4,G#4,B3,G#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
1069.0,184.3103,195,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,r,r,r,r,r
1070.5,184.569,195,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,r,r,r,r,r
1071.0,184.6552,195,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,r,r,r,r,r
1072.0,184.8276,196,1.0,A5,r,F5,r,A4,F4,C4,A3,r,r,F4,F3,r,r,r,r,r,r,F5,F4,F4,F4,F3
1073.0,185.0,196,2.0,B-5,r,G5,r,B-4,G4,B-3,G3,r,r,F4,F3,r,r,r,r,r,r,r,r,r,r,r
1074.0,185.1724,196,3.0,C6,r,A5,r,C5,A4,A3,F3,r,r,F4,F3,r,r,r,r,r,r,r,r,r,r,r
1075.0,185.3448,197,1.0,B-5,r,G5,r,B-4,G4,D4,B-3,r,r,F4,F3,r,r,r,r,r,r,F4,F4,F3,F3,F2
1076.0,185.5172,197,2.0,C6,r,A5,r,C5,A4,C4,A3,r,r,F4,F3,r,r,r,r,r,r,r,r,r,r,r
1077.0,185.6897,197,3.0,D6,r,B-5,r,D5,B-4,B-3,G3,r,r,F4,F3,r,r,r,r,r,r,r,r,r,r,r
1078.0,185.8621,198,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,r,r,r,r,r
1079.5,186.1207,198,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,r,r,r,r,r
1080.0,186.2069,198,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,r,r,r,r,r
1081.0,186.3793,199,1.0,C6,r,A5,r,C5,A4,F4,A3,r,r,F4,F3,r,r,r,r,r,r,F5,F4,F4,F4,F3
1082.0,186.5517,199,2.0,E6,r,G5,r,E5,G4,B-3,G3,r,r,C4,C4,r,r,r,r,r,r,r,r,r,r,r
1083.0,186.7241,199,3.0,F6,r,A5,r,F5,A4,A3,F3,r,r,C4,C4,r,r,r,r,r,r,r,r,r,r,r
1084.0,186.8966,200,1.0,E6,r,G5,r,E5,G4,B-3,G3,r,r,C4,C4,r,r,r,r,r,r,F4,F4,F3,F3,F2
1085.0,187.069,200,2.0,F6,r,A5,r,F5,A4,A3,F3,r,r,C4,C4,r,r,r,r,r,r,r,r,r,r,r
1086.0,187.2414,200,3.0,G6,r,B-5,r,G5,B-4,G3,E3,r,r,C4,C4,r,r,r,r,r,r,r,r,r,r,r
1087.0,187.4138,201,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,r,r,r,r,r
1088.5,187.6724,201,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,r,r,r,r,r
1089.0,187.7586,201,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,r,r,r,r,r
1090.0,187.931,202,1.0,F6,F5,A5,F5,C5,A4,C4,A3,r,r,F4,F3,r,r,r,r,r,r,F5,F4,F4,F4,F3
1091.0,188.1034,202,2.0,F6,F5,B-5,G5,B-4,G4,B-3,G3,r,r,F4,F3,r,r,r,r,r,r,r,r,r,r,r
1092.0,188.2759,202,3.0,F6,F5,C6,A5,A4,F4,A3,F3,r,r,F4,F3,r,r,r,r,r,r,r,r,r,r,r
1093.0,188.4483,203,1.0,F6,F5,B-5,G5,D5,B-4,D4,B-3,r,r,F4,F3,r,r,r,r,r,r,F4,F4,F3,F3,F2
1094.0,188.6207,203,2.0,F6,F5,C6,A5,C5,A4,C4,A3,r,r,F4,F3,r,r,r,r,r,r,r,r,r,r,r
1095.0,188.7931,203,3.0,F6,F5,D6,B-5,B-4,G4,B-3,G3,r,r,F4,F3,r,r,r,r,r,r,r,r,r,r,r
1096.0,188.9655,204,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,r,r,r,r,r
1097.5,189.2241,204,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,r,r,r,r,r
1098.0,189.3103,204,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,r,r,r,r,r
1099.0,189.4828,205,1.0,A6,C6,C5,A4,A4,F4,C4,A3,r,r,F4,F3,r,r,r,r,r,r,F5,F4,F4,F4,F3
1100.0,189.6552,205,2.0,G6,C6,E5,G4,C5,C4,E4,G3,r,r,C4,C4,r,r,r,r,r,r,r,r,r,r,r
1101.0,189.8276,205,3.0,F6,C6,F5,A4,C5,C4,F4,A3,r,r,C4,C4,r,r,r,r,r,r,r,r,r,r,r
1102.0,190.0,206,1.0,G6,C6,E5,G4,C5,C4,E4,G3,r,r,C4,C4,r,r,r,r,r,r,F4,F4,F3,F3,F2
1103.0,190.1724,206,2.0,F6,C6,F5,A4,C5,C4,F4,A3,r,r,C4,C4,r,r,r,r,r,r,r,r,r,r,r
