qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
497.0,505.5,,,,,,P8(Bassoon 1),P8(Bb Clarinet 2),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
505.5,509.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(F Horn 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),Main Part,P8(Main),P8(F Horn 1)&U(F Horn 2)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Violoncello)
509.5,513.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(F Horn 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main),Main Part,P8(F Horn 1)&U(F Horn 2)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Violoncello)
513.5,517.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(F Horn 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main),Main Part,P8(F Horn 1)&U(F Horn 2)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Violoncello)
517.5,528.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(F Horn 2)&P8(Main)&P8(Contrabass),P8(F Horn 1)&U(Main)&P8(Contrabass),,,Main Part,,P8(F Horn 1)&P8(F Horn 2)&P8(Main)
528.5,536.5,,,,,,,,,,,,,Main Part,,
536.5,544.5,,,,,,,,,,,Main Part,,P8(Violoncello),P8(Viola),
544.5,552.5,,,,,P5(Bb Clarinet 2)&P3(Bassoon 1)&P7(Bassoon 2)&P3(F Horn 1)&P7(F Horn 2),P5(Bb Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 2)&P8(F Horn 1)&P5(F Horn 2),P7(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P5(F Horn 1)&P8(F Horn 2),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2)&P5(F Horn 2),P7(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 1),Main Part,,,,
552.5,556.5,,,,,P5(Bb Clarinet 2)&P3(Bassoon 1)&P7(Bassoon 2)&P3(F Horn 1)&P7(F Horn 2)&P8(Violin 2)&P3(Viola),P5(Bb Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P5(Violin 2)&P3(Viola),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 2)&P8(F Horn 1)&P5(F Horn 2)&P3(Violin 2)&U(Viola),P7(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P5(F Horn 1)&P8(F Horn 2)&P7(Violin 2)&P5(Viola),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2)&P5(F Horn 2)&P3(Violin 2)&P8(Viola),P7(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 1)&P7(Violin 2)&P5(Viola),Main Part,P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P7(Bassoon 2)&P3(F Horn 1)&P7(F Horn 2)&P3(Viola),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P5(Bassoon 2)&P8(F Horn 1)&P5(F Horn 2)&P3(Violin 2),,
556.5,560.5,,,,,P5(Bb Clarinet 2)&P3(Bassoon 1)&P7(Bassoon 2)&P3(F Horn 1)&P7(F Horn 2)&P8(Violin 2),P5(Bb Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P5(Violin 2),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 2)&P8(F Horn 1)&P5(F Horn 2)&P3(Violin 2),P7(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P5(F Horn 1)&P8(F Horn 2)&P7(Violin 2),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2)&P5(F Horn 2)&P3(Violin 2),P7(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 1)&P7(Violin 2),Main Part,P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P7(Bassoon 2)&P3(F Horn 1)&P7(F Horn 2),,,
560.5,568.5,,,P4(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P4(Oboe 1)&P4(Bassoon 1)&P6(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2),,,P8(Oboe 1)&P4(Oboe 2)&P3(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P3(Oboe 1)&P6(Oboe 2)&P3(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2),P2(Oboe 1)&P3(Oboe 2)&P2(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 2),P2(Oboe 1)&P3(Oboe 2)&P2(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 1),Main Part,,P8(Main),,
568.5,572.5,,,P4(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P4(Oboe 1)&P4(Bassoon 1)&P6(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2),Main Part,,P8(Oboe 1)&P4(Oboe 2)&P3(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P3(Oboe 1)&P6(Oboe 2)&P3(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2),P2(Oboe 1)&P3(Oboe 2)&P2(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 2),P2(Oboe 1)&P3(Oboe 2)&P2(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 1),P8(Viola),,P8(Violin 1),,
572.5,576.0,,,,P6(Bassoon 2),Main Part,,,P6(Oboe 2),P8(F Horn 2),P8(F Horn 1),P8(Contrabass),,P8(Violoncello),P8(Viola),P8(Violin 1)
576.0,584.0,P8(Violin 2),,P6(Oboe 2),P6(Oboe 1),P6(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2),P6(Bb Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2),P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P6(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2),P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P3(F Horn 1)&P3(F Horn 2),P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 2),P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1),Main Part,P8(Flute 1),P8(Violoncello),P8(Viola),
584.0,592.0,Main Part,,,,P6(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2)&P6(Violin 1),P6(Bb Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P8(Violin 1),P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P6(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2)&P6(Violin 1),P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P3(F Horn 1)&P3(F Horn 2)&P8(Violin 1),P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 2)&P3(Violin 1),P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P3(Violin 1),P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2),,P8(Violoncello),P8(Viola),
592.0,600.0,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(F Horn 2),P8(F Horn 1),Main Part,,P8(Violoncello),P8(Viola),
600.0,608.0,,,Main Part,,P5(Bb Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2)&P3(Violin 1),P5(Bb Clarinet 1)&P5(Bassoon 1)&P8(Bassoon 2)&P3(Violin 1),P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(Bassoon 2)&P3(Violin 1),P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P3(Violin 1),,,P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P8(Main),P8(Violoncello),P8(Viola),
608.0,616.0,P5(F Horn 1)&P5(F Horn 2),,P3(Oboe 2),P3(Oboe 1),P5(Bb Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2)&P5(Violin 2),P5(Bb Clarinet 1)&P5(Bassoon 1)&P8(Bassoon 2)&P8(Violin 2),P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(Bassoon 2)&P5(Violin 2),P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P8(Violin 2),P5(Flute 1)&U(F Horn 2),P5(Flute 1)&U(F Horn 1),Main Part,P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P8(Bassoon 2),P8(Violoncello),P8(Viola),
616.0,624.0,Main Part,,P3(Oboe 2)&P3(Bassoon 2),P3(Oboe 1)&P8(Bassoon 2),,P5(Bassoon 1)&P5(F Horn 1)&P5(F Horn 2)&P5(Violin 1),P5(Bb Clarinet 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Violin 1),P3(Oboe 1)&P8(Oboe 2),P5(Bb Clarinet 2)&P8(Bassoon 1)&U(F Horn 2)&P8(Violin 1),P5(Bb Clarinet 2)&P8(Bassoon 1)&U(F Horn 1)&P8(Violin 1),P5(Bb Clarinet 2)&P8(Bassoon 1)&P8(F Horn 1)&P8(F Horn 2),,P8(Violoncello),P8(Viola),
624.0,630.0,U(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P5(Violin 1)&P3(Violin 2)&P8(Viola),U(Flute 1)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P5(Violin 1)&P3(Violin 2)&P8(Viola),P5(Flute 1)&P5(Flute 2)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(Violin 1)&P3(Violin 2)&P5(Viola),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P3(Violin 1)&U(Violin 2)&P3(Viola),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P5(Violin 1)&P3(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P5(Violin 1)&P3(Violin 2)&U(Viola),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Violin 1)&P3(Violin 2)&P5(Viola),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(F Horn 1)&P3(F Horn 2)&P3(Violin 1)&P8(Violin 2)&P3(Viola),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(F Horn 2)&P8(Violin 1)&P3(Violin 2)&P5(Viola),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&P8(Violin 1)&P3(Violin 2)&P5(Viola),P5(Flute 1)&P5(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2)&P5(Viola),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P3(Violin 1)&P3(Viola),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P5(Violin 1)&P3(Violin 2),Main Part,P8(Main)
630.0,632.0,U(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P5(Violin 1)&P3(Violin 2)&P8(Viola),U(Flute 1)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P5(Violin 1)&P3(Violin 2)&P8(Viola),P5(Flute 1)&P5(Flute 2)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(Violin 1)&P3(Violin 2)&P5(Viola),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P3(Violin 1)&U(Violin 2)&P3(Viola),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P5(Violin 1)&P3(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P5(Violin 1)&P3(Violin 2)&U(Viola),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Violin 1)&P3(Violin 2)&P5(Viola),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(F Horn 1)&P3(F Horn 2)&P3(Violin 1)&P8(Violin 2)&P3(Viola),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(F Horn 2)&P8(Violin 1)&P3(Violin 2)&P5(Viola),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&P8(Violin 1)&P3(Violin 2)&P5(Viola),P5(Flute 1)&P5(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2)&P5(Viola),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P3(Violin 1)&P3(Viola),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P5(Violin 1)&P3(Violin 2),Main Part,P8(Main)
632.0,634.0,U(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P3(Violin 2),U(Flute 1)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P3(Violin 2),P5(Flute 1)&P5(Flute 2)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&U(Violin 2),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P3(Violin 2),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P5(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2)&P3(Violin 2),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(F Horn 1)&P3(F Horn 2)&P8(Violin 2),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(F Horn 2)&P3(Violin 2),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&P3(Violin 2),,P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2),Main Part,P8(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
