qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,B Horn 3 [NB: B natural],B Horn 4 [NB: B natural],B Trumpet 1 [NB: B natural],B Trumpet 2 [NB: B natural],Violin 1,Violin 2,Viola,Violoncello,Contrabass
71.0,44.375,36,2.0,G5,G5,r,r,B-4,G4,B-3,G3,E-4,E-3,r,r,r,r,F4,C5,F4,F3,F2
71.25,44.5312,36,2.25,G5,G5,r,r,B-4,G4,B-3,G3,E-4,E-3,r,r,r,r,G#4,C5,F4,C3,F2
71.5,44.6875,36,2.5,G5,G5,r,r,B-4,G4,B-3,G3,E-4,E-3,r,r,r,r,C5,r,F4,G#2,F2
71.75,44.8438,36,2.75,F5,F5,r,r,G#4,F4,G#3,F3,E-4,E-3,r,r,r,r,F5,G#4,C4,F2,F2
72.0,45.0,37,1.0,E-6,G5,r,r,E-5,G4,G3,E-3,G3,E-3,r,r,r,r,B-4,G4,E-3,B-2,B-2
72.25,45.1562,37,1.25,E-6,G5,r,r,E-5,G4,G3,E-3,G3,E-3,r,r,r,r,B-4,G4,G3,E-3,B-2
72.5,45.3125,37,1.5,E-6,G5,r,r,E-5,G4,G3,E-3,G3,E-3,r,r,r,r,r,r,B-3,G3,B-2
72.75,45.4688,37,1.75,B-5,G5,r,r,B-4,G4,G3,E-3,B-3,G3,r,r,r,r,r,r,E-4,B-3,B-2
73.0,45.625,37,2.0,G5,G5,r,r,G4,G4,G3,E-3,E-4,B-3,r,r,r,r,G4,E-4,G4,E-4,r
73.25,45.7812,37,2.25,G5,G5,r,r,G4,G4,G3,E-3,E-4,B-3,r,r,r,r,B-4,G4,G4,E-4,r
73.5,45.9375,37,2.5,G5,G5,r,r,G4,G4,G3,E-3,E-4,B-3,r,r,r,r,E-5,B-4,r,r,B-2
73.75,46.0938,37,2.75,C6,G5,r,r,C5,G4,G3,E-3,G4,E-4,r,r,r,r,G5,E-5,r,r,B-2
74.0,46.25,38,1.0,B-5,G#5,G#5,G#5,B-4,G#4,G#3,F3,G#4,F4,r,r,r,r,G#5,F5,D3,B-2,B-2
74.25,46.4062,38,1.25,B-5,G#5,G#5,G#5,B-4,G#4,G#3,F3,G#4,F4,r,r,r,r,G#5,F5,F3,D3,B-2
74.5,46.5625,38,1.5,B-5,G#5,G#5,G#5,B-4,G#4,G#3,F3,G#4,F4,r,r,r,r,r,r,G#3,F3,B-2
74.75,46.7188,38,1.75,B-5,G#5,F5,F5,B-4,G#4,G#3,F3,G#4,F4,r,r,r,r,r,r,D4,B-3,B-2
75.0,46.875,38,2.0,B-5,G#5,D5,D5,B-4,G#4,G#3,F3,F4,B-3,r,r,r,r,F4,D4,F4,D4,r
75.25,47.0312,38,2.25,B-5,G#5,D5,D5,B-4,G#4,G#3,F3,F4,B-3,r,r,r,r,G#4,F4,r,D4,r
75.5,47.1875,38,2.5,B-5,G#5,D5,D5,B-4,G#4,G#3,F3,F4,B-3,r,r,r,r,D5,G#4,r,r,r
75.75,47.3438,38,2.75,B-5,G#5,C6,r,B-4,G#4,G#3,F3,F4,B-3,r,r,r,r,F5,D5,r,r,r
76.0,47.5,39,1.0,E-6,G5,B-5,r,E-5,G4,G3,E-3,G3,E-3,r,r,r,r,G5,E-5,E-3,B-2,B-2
76.25,47.6562,39,1.25,E-6,G5,B-5,r,E-5,G4,G3,E-3,G3,E-3,r,r,r,r,G5,E-5,G3,E-3,B-2
76.5,47.8125,39,1.5,E-6,G5,B-5,r,E-5,G4,G3,E-3,G3,E-3,r,r,r,r,r,r,B-3,G3,B-2
76.75,47.9688,39,1.75,B-5,G5,B-5,r,B-4,G4,G3,E-3,B-3,G3,r,r,r,r,r,r,E-4,B-3,B-2
77.0,48.125,39,2.0,G5,G5,r,r,G4,G4,G3,E-3,E-4,B-3,r,r,r,r,G4,E-4,G4,E-4,r
77.25,48.2812,39,2.25,G5,G5,r,r,G4,G4,G3,E-3,E-4,B-3,r,r,r,r,B-4,G4,G4,E-4,r
77.5,48.4375,39,2.5,G5,G5,r,r,G4,G4,G3,E-3,E-4,B-3,r,r,r,r,E-5,B-4,r,r,B-2
77.75,48.5938,39,2.75,C6,G5,r,r,C5,G4,G3,E-3,G4,E-4,r,r,r,r,G5,E-5,r,r,B-2
78.0,48.75,40,1.0,B-5,G#5,G#5,r,B-4,G#4,G#3,F3,G#4,F4,r,r,r,r,G#5,F5,D3,B-2,B-2
78.25,48.9062,40,1.25,B-5,G#5,G#5,r,B-4,G#4,G#3,F3,G#4,F4,r,r,r,r,G#5,F5,F3,D3,B-2
78.5,49.0625,40,1.5,B-5,G#5,G#5,r,B-4,G#4,G#3,F3,G#4,F4,r,r,r,r,r,r,G#3,F3,B-2
78.75,49.2188,40,1.75,B-5,G#5,F5,r,B-4,G#4,G#3,F3,G#4,F4,r,r,r,r,r,r,D4,B-3,B-2
79.0,49.375,40,2.0,B-5,G#5,D5,r,B-4,F4,r,r,F4,B-3,r,r,r,r,F4,D4,F4,D4,r
79.25,49.5312,40,2.25,B-5,G#5,D5,r,B-4,F4,r,r,F4,B-3,r,r,r,r,G#4,F4,F4,D4,r
79.5,49.6875,40,2.5,B-5,G#5,D5,r,B-4,F4,r,r,F4,B-3,r,r,r,r,D5,G#4,r,r,r
79.75,49.8438,40,2.75,B-5,G#5,C5,r,B-4,F4,r,r,F4,B-3,r,r,r,r,F5,D5,r,r,r
80.0,50.0,41,1.0,B-5,F#5,B-4,r,C#5,B-4,C#4,B-3,B-3,B-2,r,r,r,r,C#6,B-5,C#4,B-2,B-1
80.25,50.1562,41,1.25,B-5,F#5,B-4,r,C#5,B-4,C#4,B-3,B-3,B-2,r,r,r,r,C#6,B-5,C#4,B-2,B-1
80.5,50.3125,41,1.5,r,r,r,r,C#5,B-4,C#4,B-3,B-3,B-2,r,r,r,r,C#6,B-5,C#4,B-2,B-1
80.75,50.4688,41,1.75,r,r,r,r,C5,G#4,C4,G#3,B-3,B-2,r,r,r,r,C6,G#5,C#4,B-2,B-1
81.0,50.625,41,2.0,r,r,r,r,B-4,F#4,B-3,F#3,B-3,B-2,r,r,r,r,B-5,F#5,C#4,B-2,B-1
81.25,50.7812,41,2.25,r,r,r,r,B-4,F#4,B-3,F#3,B-3,B-2,r,r,r,r,B-5,F#5,C#4,B-2,B-1
81.5,50.9375,41,2.5,r,r,r,r,B-4,F#4,B-3,F#3,B-3,B-2,r,r,r,r,B-5,F#5,C#4,B-2,B-1
81.75,51.0938,41,2.75,r,r,r,r,G#4,F4,G#3,F3,B-3,B-2,r,r,r,r,G#5,F5,C#4,B-2,B-1
82.0,51.25,42,1.0,r,r,r,r,F#4,E-4,F#3,E-3,B-3,B-2,r,r,r,r,F#5,E-5,C#4,B-2,B-1
82.25,51.4062,42,1.25,r,r,r,r,F#4,E-4,F#3,E-3,B-3,B-2,r,r,r,r,F#5,E-5,C#4,B-2,B-1
82.5,51.5625,42,1.5,r,r,r,r,F#4,E-4,F#3,E-3,B-3,B-2,r,r,r,r,F#5,E-5,C#4,B-2,B-1
82.75,51.7188,42,1.75,r,r,r,r,F4,C#4,F3,C#3,B-3,B-2,r,r,r,r,F5,C#5,C#4,B-2,B-1
83.0,51.875,42,2.0,r,r,r,r,E-4,C4,E-3,C3,B-3,B-2,r,r,r,r,E-5,C5,C#4,B-2,B-1
83.25,52.0312,42,2.25,r,r,r,r,E-4,C4,E-3,C3,B-3,B-2,r,r,r,r,E-5,C5,C#4,B-2,B-1
83.5,52.1875,42,2.5,r,r,r,r,E-4,C4,E-3,C3,B-3,B-2,r,r,r,r,E-5,C5,C#4,B-2,B-1
83.75,52.3438,42,2.75,r,r,r,r,C#4,B-3,C#3,B-2,B-3,B-2,r,r,r,r,C#5,B-4,C#4,B-2,B-1
84.0,52.5,43,1.0,C6,r,C6,C5,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,C4,C3
84.25,52.6562,43,1.25,C6,r,C6,C5,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,C4,C3
84.5,52.8125,43,1.5,C6,r,C6,C5,r,r,r,r,r,r,r,r,r,r,C5,C5,C4,C4,C3
84.75,52.9688,43,1.75,B-5,r,B-5,B-4,r,r,r,r,r,r,r,r,r,r,B-4,B-4,C4,B-3,B-2
85.0,53.125,43,2.0,G#5,r,G#5,G#4,r,r,r,r,r,r,r,r,r,r,G#4,G#4,C4,G#3,G#2
85.25,53.2812,43,2.25,G#5,r,G#5,G#4,r,r,r,r,r,r,r,r,r,r,G#4,G#4,C4,G#3,G#2
85.5,53.4375,43,2.5,G#5,r,G#5,G#4,r,r,r,r,r,r,r,r,r,r,G#4,G#4,C4,G#3,G#2
85.75,53.5938,43,2.75,G5,r,G5,G4,r,r,r,r,r,r,r,r,r,r,G4,G4,C4,G3,G2
86.0,53.75,44,1.0,F5,r,F5,F4,r,r,r,r,r,r,r,r,r,r,F4,F4,C4,F3,F2
86.25,53.9062,44,1.25,F5,r,F5,F4,r,r,r,r,r,r,r,r,r,r,F4,F4,C4,F3,F2
86.5,54.0625,44,1.5,F5,r,F5,F4,r,r,r,r,r,r,r,r,r,r,F4,F4,C4,F3,F2
86.75,54.2188,44,1.75,E-5,r,E-5,E-4,r,r,r,r,r,r,r,r,r,r,E-4,E-4,C4,E-3,E-2
87.0,54.375,44,2.0,C#5,r,C#5,C#4,r,r,r,r,r,r,r,r,r,r,C#4,C#4,C4,C#3,C#2
87.25,54.5312,44,2.25,C#5,r,C#5,C#4,r,r,r,r,r,r,r,r,r,r,C#4,C#4,C4,C#3,C#2
87.5,54.6875,44,2.5,C#5,r,C#5,C#4,r,r,r,r,r,r,r,r,r,r,C#4,C#4,C4,C#3,C#2
87.75,54.8438,44,2.75,C5,r,C5,C4,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
88.0,55.0,45,1.0,F5,r,F4,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
88.25,55.1562,45,1.25,F5,r,F4,F4,r,r,r,r,r,r,r,r,r,r,C4,G#3,F3,F3,F2
88.5,55.3125,45,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,F3,r,r
88.75,55.4688,45,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
89.0,55.625,45,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
89.25,55.7812,45,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,F3,F3,F2
89.5,55.9375,45,2.5,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,C4,G#3,F3,r,r
89.75,56.0938,45,2.75,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
90.0,56.25,46,1.0,r,r,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
90.25,56.4062,46,1.25,r,r,r,r,B4,r,r,r,r,r,r,r,r,r,C4,G#3,F3,F3,F2
90.5,56.5625,46,1.5,r,r,r,r,G#4,r,r,r,r,r,r,r,r,r,C4,G#3,F3,r,r
90.75,56.7188,46,1.75,r,r,r,r,G#4,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
91.0,56.875,46,2.0,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
91.25,57.0312,46,2.25,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,C4,G#3,F3,F3,F2
91.5,57.1875,46,2.5,r,r,r,r,F4,r,r,r,r,r,r,r,r,r,C4,G#3,F3,r,r
91.75,57.3438,46,2.75,r,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
92.0,57.5,47,1.0,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,r,F2,F2
92.25,57.6562,47,1.25,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,E4,B-3,G3,F2,F2
92.5,57.8125,47,1.5,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,E4,B-3,G3,r,r
92.75,57.9688,47,1.75,r,r,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,F2,F2
93.0,58.125,47,2.0,r,r,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,F2,F2
93.25,58.2812,47,2.25,r,r,r,r,G#5,r,r,r,r,r,r,r,r,r,F4,G#3,C4,F2,F2
93.5,58.4375,47,2.5,r,r,r,r,G5,r,r,r,r,r,r,r,r,r,G#4,F4,C4,r,r
93.75,58.5938,47,2.75,F6,F6,F5,F5,F5,r,r,r,r,r,r,r,r,r,r,r,r,F2,F2
94.0,58.75,48,1.0,E6,E6,E5,E5,r,r,r,r,r,r,r,r,r,r,r,r,r,F#2,F#2
94.25,58.9062,48,1.25,E6,E6,E5,E5,r,r,r,r,r,r,r,r,r,r,B-4,C#4,E4,F#2,F#2
94.5,59.0625,48,1.5,C#6,C#6,C#5,C#5,r,r,r,r,r,r,r,r,r,r,B-4,C#4,E4,r,r
94.75,59.2188,48,1.75,C#6,C#6,C#5,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,F#2,F#2
95.0,59.375,48,2.0,C6,C6,C5,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,G2
95.25,59.5312,48,2.25,C6,C6,C5,C5,r,r,r,r,r,r,r,r,r,r,B-4,C#4,E4,G2,G2
95.5,59.6875,48,2.5,B-5,B-5,B-4,B-4,r,r,r,r,r,r,r,r,r,r,B-4,C#4,E4,r,r
95.75,59.8438,48,2.75,B-5,B-5,B-4,B-4,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,G2
96.0,60.0,49,1.0,E-6,E-6,E-5,E-5,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A2
96.25,60.1562,49,1.25,E-6,E-6,E-5,E-5,r,r,r,r,r,r,r,r,r,r,C5,C4,E-4,A2,A2
96.5,60.3125,49,1.5,E-6,E-6,E-5,E-5,r,r,r,r,r,r,r,r,r,r,C5,F#4,E-4,r,r
96.75,60.4688,49,1.75,F#6,F#6,F#5,F#5,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A2
97.0,60.625,49,2.0,F6,F6,F5,F5,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-2
97.25,60.7812,49,2.25,C#6,C#6,C#6,C#6,r,r,r,r,r,r,r,r,r,r,C#5,F4,C#4,B-2,B-2
97.5,60.9375,49,2.5,C6,C6,C6,C6,r,r,r,r,r,r,r,r,r,r,C#5,F4,B-4,r,r
97.75,61.0938,49,2.75,B-5,B-5,B-5,B-5,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-2
98.0,61.25,50,1.0,G#6,F6,r,r,G#5,F5,G#4,F4,r,r,r,r,r,r,r,r,r,B2,B2
98.25,61.4062,50,1.25,G#6,F6,r,r,G#5,F5,G#4,F4,r,r,r,r,r,r,D5,F4,G#4,D3,B2
98.5,61.5625,50,1.5,G#6,F6,r,r,G#5,F5,G#4,F4,r,r,r,r,r,r,D5,F4,G#4,F3,r
98.75,61.7188,50,1.75,G#6,F6,r,r,G#5,F5,G#4,F4,r,r,r,r,r,r,r,r,r,G#3,B2
99.0,61.875,50,2.0,G6,E6,r,r,G5,E5,G4,E4,r,r,r,r,r,r,r,r,B3,G2,G2
99.25,62.0312,50,2.25,G6,E6,r,r,G5,E5,G4,E4,r,r,r,r,r,r,B4,D4,D4,G2,G2
99.5,62.1875,50,2.5,F6,D6,r,r,F5,D5,F4,D4,r,r,r,r,r,r,B4,D4,F4,r,r
99.75,62.3438,50,2.75,F6,D6,r,r,F5,D5,F4,D4,r,r,r,r,r,r,r,r,G4,G2,G2
100.0,62.5,51,1.0,G6,E6,r,r,G5,E5,G4,E4,r,r,r,r,r,r,r,r,r,C3,C3
100.25,62.6562,51,1.25,F6,D6,r,r,F5,D5,F4,D4,r,r,r,r,r,r,G4,C4,E4,C3,C3
100.5,62.8125,51,1.5,E6,C6,r,r,E5,C5,E4,C4,r,r,r,r,r,r,r,r,r,G2,G2
100.75,62.9688,51,1.75,F6,D6,r,r,F5,D5,F4,D4,r,r,r,r,r,r,F4,B3,D4,G2,G2
101.0,63.125,51,2.0,G6,E6,r,r,G5,E5,G4,E4,r,r,r,r,r,r,r,r,r,C2,C2
101.25,63.2812,51,2.25,F6,D6,r,r,F5,D5,F4,D4,r,r,r,r,r,r,E4,C4,G3,C2,C2
101.5,63.4375,51,2.5,E6,C6,r,r,E5,C5,E4,C4,r,r,r,r,r,r,r,r,r,C3,C3
101.75,63.5938,51,2.75,G6,E6,r,r,G5,E5,G4,E4,r,r,r,r,r,r,G4,E4,C4,C3,C3
102.0,63.75,52,1.0,G#6,F6,r,r,G#5,F5,G#4,F4,r,r,r,r,r,r,r,r,r,B2,B2
102.25,63.9062,52,1.25,G#6,F6,r,r,G#5,F5,G#4,F4,r,r,r,r,r,r,D5,F4,G#4,D3,B2
102.5,64.0625,52,1.5,G#6,F6,r,r,G#5,F5,G#4,F4,r,r,r,r,r,r,D5,F4,G#4,F3,r
102.75,64.2188,52,1.75,G#6,F6,r,r,G#5,F5,G#4,F4,r,r,r,r,r,r,r,r,r,G#3,B2
103.0,64.375,52,2.0,G6,E6,r,r,G5,E5,G4,E4,r,r,r,r,r,r,r,r,B3,G2,G2
103.25,64.5312,52,2.25,G6,E6,r,r,G5,E5,G4,E4,r,r,r,r,r,r,B4,D4,D4,G2,G2
103.5,64.6875,52,2.5,F6,D6,r,r,F5,D5,F4,D4,r,r,r,r,r,r,B4,D4,F4,r,r
103.75,64.8438,52,2.75,F6,D6,r,r,F5,D5,F4,D4,r,r,r,r,r,r,r,r,G4,G2,G2
104.0,65.0,53,1.0,G6,E6,r,r,G5,E5,G4,E4,r,r,r,r,r,r,r,r,r,C3,C3
104.25,65.1562,53,1.25,F6,D6,r,r,F5,D5,F4,D4,r,r,r,r,r,r,G4,C4,E4,C3,C3
104.5,65.3125,53,1.5,E6,C6,r,r,E5,C5,E4,C4,r,r,r,r,r,r,r,r,r,G2,G2
104.75,65.4688,53,1.75,F6,D6,r,r,F5,D5,F4,D4,r,r,r,r,r,r,F4,B3,D4,G2,G2
105.0,65.625,53,2.0,G6,r,r,r,G5,E5,G4,E4,r,r,r,r,r,r,r,r,r,C2,C2
105.25,65.7812,53,2.25,E6,r,r,r,E5,r,E4,r,r,r,r,r,r,r,E4,C4,G3,C2,C2
105.5,65.9375,53,2.5,B5,r,r,r,B4,r,B3,r,r,r,r,r,r,r,r,r,r,C4,C3
105.75,66.0938,53,2.75,C6,r,C5,r,C5,r,C4,r,r,r,r,r,r,r,G4,E4,C4,C4,C3
106.0,66.25,54,1.0,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B2
106.25,66.4062,54,1.25,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,F4,C#4,G#3,B3,B2
106.5,66.5625,54,1.5,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,C#4,G#3,G#2
106.75,66.7188,54,1.75,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,C#4,G#3,G#2
107.0,66.875,54,2.0,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2
107.25,67.0312,54,2.25,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,G#4,D4,B3,G3,G2
107.5,67.1875,54,2.5,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,D4,F3,F2
107.75,67.3438,54,2.75,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,D4,F3,F2
108.0,67.5,55,1.0,r,r,G5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2
108.25,67.6562,55,1.25,r,r,G5,r,r,r,r,r,r,r,r,r,r,r,C5,B-4,G3,E3,E2
108.5,67.8125,55,1.5,r,r,G5,r,r,r,r,r,r,r,r,r,r,r,C#5,E4,G3,B-3,B-2
108.75,67.9688,55,1.75,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,G4,E4,C#4,B-3,B-2
109.0,68.125,55,2.0,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A2
109.25,68.2812,55,2.25,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,C5,F4,C4,A3,A2
109.5,68.4375,55,2.5,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,A4,F4,C4,F3,F2
109.75,68.5938,55,2.75,r,r,F5,r,r,r,r,r,r,r,r,r,r,r,A4,F4,C4,F3,F2
110.0,68.75,56,1.0,r,r,F#5,r,r,r,r,r,F#4,r,r,r,r,r,r,r,r,E3,E2
110.25,68.9062,56,1.25,r,r,F#5,r,r,r,r,r,F#4,r,r,r,r,r,B-4,F#4,C#4,E3,E2
110.5,69.0625,56,1.5,r,r,F#5,r,r,r,r,r,F#4,r,r,r,r,r,C#5,F#4,B-3,C#3,C#2
110.75,69.2188,56,1.75,r,r,F#5,r,r,r,r,r,F#4,r,r,r,r,r,C#5,F#4,B-3,C#3,C#2
111.0,69.375,56,2.0,r,r,G5,r,r,r,r,r,G4,r,r,r,r,r,r,r,r,C3,C2
111.25,69.5312,56,2.25,r,r,G5,r,r,r,r,r,G4,r,r,r,r,r,C#5,G4,E4,C3,C2
111.5,69.6875,56,2.5,r,r,G5,r,r,r,r,r,G4,r,r,r,r,r,E5,G4,C#4,B-2,B-1
111.75,69.8438,56,2.75,r,r,G5,r,r,r,r,r,G4,r,r,r,r,r,E5,G4,C#4,B-2,B-1
112.0,70.0,57,1.0,r,r,C6,r,r,r,r,r,C4,r,r,r,r,r,r,r,r,A2,A1
112.25,70.1562,57,1.25,r,r,C6,r,r,r,r,r,C4,r,r,r,r,r,F5,C5,E-4,A2,A1
112.5,70.3125,57,1.5,r,r,C6,r,r,r,r,r,F#4,r,r,r,r,r,F#5,C5,A3,E-3,E-2
112.75,70.4688,57,1.75,r,r,F#5,r,r,r,r,r,F#4,r,r,r,r,r,C5,F#4,A3,E-3,E-2
113.0,70.625,57,2.0,r,r,F5,r,F4,r,r,r,F4,r,r,r,r,r,r,r,r,C#3,C#2
113.25,70.7812,57,2.25,r,r,G5,r,G4,r,r,r,F4,r,r,r,r,r,F5,F4,B-3,C#3,C#2
113.5,70.9375,57,2.5,r,r,G#5,r,A4,r,r,r,C#4,r,r,r,r,r,C#5,B-4,F4,B-2,B-1
113.75,71.0938,57,2.75,r,r,B-5,r,B-4,r,r,r,C#4,r,r,r,r,r,C#5,B-4,F4,B-2,B-1
114.0,71.25,58,1.0,C#6,B-5,C#6,B-5,C#5,B-4,C#4,B-3,B-3,B-2,r,r,r,r,B-4,G4,E3,E2,E1
114.25,71.4062,58,1.25,C#6,B-5,C#6,B-5,C#5,B-4,C#4,B-3,B-3,B-2,r,r,r,r,B-4,G4,G3,G2,E1
114.5,71.5625,58,1.5,C#6,B-5,C#6,B-5,C#5,B-4,C#4,B-3,B-3,B-2,r,r,r,r,r,r,B-3,B-2,E1
114.75,71.7188,58,1.75,C#6,B-5,C#6,B-5,C#5,B-4,C#4,B-3,B-3,B-2,r,r,r,r,r,r,C4,C3,E1
115.0,71.875,58,2.0,C6,G#5,C6,G#5,C5,G#4,C4,G#3,r,r,r,r,r,r,C#4,r,C#4,C#3,r
115.25,72.0312,58,2.25,C6,G#5,C6,G#5,C5,G#4,C4,G#3,r,r,r,r,r,r,E4,r,E3,C#3,r
115.5,72.1875,58,2.5,B-5,G5,B-5,G5,B-4,G4,B-3,G3,r,r,r,r,r,r,G4,r,G3,r,r
115.75,72.3438,58,2.75,B-5,G5,B-5,G5,B-4,G4,B-3,G3,r,r,r,r,r,r,A4,r,A3,r,r
116.0,72.5,59,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,C4,r,r
116.25,72.6562,59,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,r,B-3,r,r
116.5,72.8125,59,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,A3,r,r
116.75,72.9688,59,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,r,B-3,r,r
117.0,73.125,59,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,r,G#3,r,r
117.25,73.2812,59,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,G3,r,r
117.5,73.4375,59,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,r,F#3,r,r
117.75,73.5938,59,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,G3,r,r
118.0,73.75,60,1.0,r,r,D5,r,G#5,r,D4,G#3,G#4,B2,r,r,r,r,r,r,r,B2,B1
118.25,73.9062,60,1.25,r,r,D5,r,G#5,r,D4,G#3,G#4,B2,r,r,r,r,r,r,r,D3,B1
118.5,74.0625,60,1.5,r,r,D5,r,G#5,r,D4,G#3,G#4,B2,r,r,r,r,r,r,r,F3,B1
118.75,74.2188,60,1.75,r,r,D5,r,G#5,r,D4,G#3,G#4,B2,r,r,r,r,r,r,r,G3,B1
119.0,74.375,60,2.0,r,r,D5,r,G5,r,D4,G#3,G#4,B2,r,r,r,r,A3,r,r,G#3,r
119.25,74.5312,60,2.25,r,r,D5,r,G5,r,D4,G#3,G#4,B2,r,r,r,r,B3,r,r,G#3,r
119.5,74.6875,60,2.5,r,r,D5,r,F5,r,D4,G#3,G#4,B2,r,r,r,r,D4,r,D3,r,r
119.75,74.8438,60,2.75,r,r,D5,r,F5,r,D4,G#3,G#4,B2,r,r,r,r,E4,r,E3,r,r
120.0,75.0,61,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,G3,r,r
120.25,75.1562,61,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,F3,r,r
120.5,75.3125,61,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,r,E3,r,r
120.75,75.4688,61,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,r,F3,r,r
121.0,75.625,61,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,r,E-3,r,r
121.25,75.7812,61,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,r,D3,r,r
121.5,75.9375,61,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,r,C#3,r,r
121.75,76.0938,61,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,r,D3,r,r
122.0,76.25,62,1.0,r,r,r,r,E-5,G#4,G#3,r,C4,C4,r,r,r,r,E-4,r,E-3,C3,r
122.25,76.4062,62,1.25,r,r,r,r,E-5,G#4,G#3,r,C4,C4,r,r,r,r,F4,r,F3,C3,r
122.5,76.5625,62,1.5,r,r,r,r,E-5,G#4,G#3,r,C4,C4,r,r,r,r,G4,r,G3,G#2,r
122.75,76.7188,62,1.75,r,r,r,r,E-5,G#4,G#3,r,C4,C4,r,r,r,r,G#4,r,G#3,G#2,r
123.0,76.875,62,2.0,r,r,r,r,C#5,G#4,G#3,r,C#4,C#4,r,r,r,r,B-4,r,B-3,F2,r
123.25,77.0312,62,2.25,r,r,r,r,C#5,G#4,G#3,r,C#4,C#4,r,r,r,r,G#4,r,G#3,F2,r
123.5,77.1875,62,2.5,r,r,r,r,C5,G#4,G#3,r,C#4,C#4,r,r,r,r,G4,r,G3,G#2,r
123.75,77.3438,62,2.75,r,r,r,r,C5,G#4,G#3,r,C#4,C#4,r,r,r,r,G#4,r,G#3,G#2,r
124.0,77.5,63,1.0,r,r,r,r,C#5,G#4,G#3,r,E-4,E-4,r,r,r,r,B-4,r,B-3,E-2,r
