qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,Eb Horn 3,Eb Horn 4,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
459.0,462.0,Main Part,,P8(Main),,P8(Bassoon 1)&P3(Violoncello)&P3(Contrabass),U(Eb Horn 3),P8(Bb Clarinet 1)&P3(Violoncello)&P3(Contrabass),,,,,U(Bb Clarinet 2),,,,,P5(Violin 2),P5(Violin 1),P3(Violoncello)&P3(Contrabass),P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(Viola)&P8(Contrabass),P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(Viola)&P8(Violoncello)
462.0,469.5,Main Part,,,,U(Bb Clarinet 2),U(Bb Clarinet 1),,,,,,,,,,,U(Violin 2),U(Violin 1),,,
469.5,475.5,P2(Flute 2)&P8(Eb Horn 3)&P2(Eb Horn 4),P2(Flute 1)&P2(Eb Horn 3)&P8(Eb Horn 4),,,,,,,,,,P8(Flute 1)&P2(Flute 2)&P2(Eb Horn 4),P2(Flute 1)&P8(Flute 2)&P2(Eb Horn 3),,,,Main Part,U(Main),,P3(Contrabass),P3(Violoncello)
475.5,506.5,P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,P8(Flute 1),P8(Flute 2),P8(Contrabassoon),,P8(Bassoon 1),,,,,,,,Main Part,,,,
506.5,529.5,U(Flute 2)&U(Violin 1),U(Flute 1)&U(Violin 1),,,,,,,P8(Violoncello)&U(Contrabass),,,Main Part,,,,,U(Flute 1)&U(Flute 2),,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
529.5,553.5,,,,,,,,,P8(Violoncello)&U(Contrabass),P8(C Horn 2),P8(C Horn 1),Main Part,P8(Main),U(C Trumpet 2),U(C Trumpet 1),,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
553.5,559.0,P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 3),,Main Part,P8(Flute 1)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 3),,P8(Flute 1)&U(Main)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 3),P8(Flute 1)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Eb Horn 3),P8(Flute 1)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Eb Horn 3),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),P8(C Horn 2),P8(C Horn 1),P8(Flute 1)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(C Trumpet 1)&P8(C Trumpet 2),P8(Eb Horn 4)&P8(C Trumpet 2),P8(Eb Horn 4)&P8(C Trumpet 1),,P8(Contrabassoon)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),U(Contrabassoon)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
559.0,565.5,,,Main Part,,,,P8(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani),P8(Bassoon 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),P8(C Horn 2),P8(C Horn 1),,,P8(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 2)&P8(Timpani),P8(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 1)&P8(Timpani),U(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Contrabassoon)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Violin 1)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Contrabass),U(Contrabassoon)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
565.5,578.5,P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,,P8(C Horn 2)&P8(Timpani)&P8(Contrabass),P8(C Horn 1)&P8(Timpani)&P8(Contrabass),U(Eb Horn 4),U(Eb Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),P8(C Horn 1)&P8(C Horn 2)&P8(Contrabass),Main Part,,,,P8(C Horn 1)&P8(C Horn 2)&P8(Timpani)
578.5,606.0,P8(Oboe 1),,P8(Flute 1),,,,P8(Bassoon 2),P8(Bassoon 1),U(Contrabass),,,,,,,,Main Part,,,,U(Contrabassoon)
