qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,Trombone 1,Trombone 2,Trombone 3,Violin 1,Violin 2,Viola,Violoncello,Contrabass
117.5,76.6304,30,2.5,r,r,r,r,B3,G#3,D3,E2,r,r,r,r,r,B3,G#3,D3,E2,E1
117.75,76.7935,30,2.75,r,r,r,r,B3,G#3,D3,E2,r,r,r,r,r,B3,B3,G#3,E2,E1
118.0,76.9565,30,3.0,r,r,r,r,C4,A3,C3,A2,r,r,r,r,r,C4,A3,C3,A2,A1
118.25,77.1196,30,3.25,r,r,r,r,C4,A3,C3,A2,r,r,r,r,r,C4,C4,A3,A2,A1
118.5,77.2826,30,3.5,r,r,r,r,C4,A3,C3,A2,r,r,r,r,r,C4,A3,C3,A2,A1
118.75,77.4457,30,3.75,r,r,r,r,C4,A3,C3,A2,r,r,r,r,r,C4,C4,A3,A2,A1
119.0,77.6087,30,4.0,F#6,C6,A5,C5,F#5,C5,A4,C4,D4,C4,r,r,r,A6,A5,F#4,D3,D2
119.25,77.7717,30,4.25,F#6,C6,A5,C5,F#5,C5,A4,C4,D4,C4,r,r,r,F#6,F#5,F#4,D3,D2
119.5,77.9348,30,4.5,F#6,C6,F#5,A4,F#5,C5,F#4,A3,D4,C4,r,r,r,A6,A5,F#4,D3,D2
119.75,78.0978,30,4.75,F#6,C6,F#5,A4,F#5,C5,F#4,A3,D4,C4,r,r,r,F#6,F#5,F#4,D3,D2
120.0,78.2609,31,1.0,G6,B5,G5,B4,D5,B4,G4,B3,D4,G3,r,r,r,D5,D5,D4,G3,G2
120.25,78.4239,31,1.25,G6,B5,G5,B4,D5,B4,G4,B3,D4,G3,r,r,r,D5,D5,D4,B3,B2
120.5,78.587,31,1.5,G6,B5,G5,B4,D5,B4,G4,B3,D4,G3,r,r,r,D5,D5,D4,G3,G2
120.75,78.75,31,1.75,G6,B5,G5,B4,D5,B4,G4,B3,D4,G3,r,r,r,D5,D5,D4,B3,B2
121.0,78.913,31,2.0,F#6,C6,A5,C5,F#5,C5,A4,C4,D4,C4,r,r,r,A5,A4,F#4,D4,D3
121.25,79.0761,31,2.25,F#6,C6,A5,C5,F#5,C5,A4,C4,D4,C4,r,r,r,F#5,F#4,F#4,D4,D3
121.5,79.2391,31,2.5,F#6,C6,F#5,A4,F#5,C5,F#4,A3,D4,C4,r,r,r,A5,A4,F#4,D4,D3
121.75,79.4022,31,2.75,F#6,C6,F#5,A4,F#5,C5,F#4,A3,D4,C4,r,r,r,F#5,F#4,F#4,D4,D3
122.0,79.5652,31,3.0,G6,B5,G5,B4,D5,B4,G4,B3,D4,G3,r,r,r,D5,D4,D4,G2,G1
122.25,79.7283,31,3.25,G6,B5,G5,B4,D5,B4,G4,B3,D4,G3,r,r,r,D5,D4,D4,B2,B1
122.5,79.8913,31,3.5,G6,B5,G5,B4,D5,B4,G4,B3,D4,G3,r,r,r,D5,D4,D4,G2,G1
122.75,80.0543,31,3.75,G6,B5,G5,B4,D5,B4,G4,B3,D4,G3,r,r,r,D5,D4,D4,B2,B1
123.0,80.2174,31,4.0,A5,F5,A5,F5,F5,A4,F4,A3,F4,A3,r,r,r,A5,A4,F4,D3,D2
123.25,80.3804,31,4.25,A5,F5,A5,F5,F5,A4,F4,A3,F4,A3,r,r,r,F5,F4,F4,D3,D2
123.5,80.5435,31,4.5,A5,F5,F5,D5,F5,A4,F4,A3,F4,A3,r,r,r,A5,A4,F4,D3,D2
123.75,80.7065,31,4.75,A5,F5,F5,D5,F5,A4,F4,A3,F4,A3,r,r,r,F5,F4,F4,D3,D2
124.0,80.8696,32,1.0,A5,F5,D5,A4,F5,A4,F4,A3,F4,A3,r,r,r,D5,D4,F4,D3,D2
124.25,81.0326,32,1.25,A5,F5,D5,A4,F5,A4,F4,A3,F4,A3,r,r,r,A4,A3,F4,D3,D2
124.5,81.1957,32,1.5,A5,F5,A4,F4,F5,A4,F4,A3,F4,A3,r,r,r,D5,D4,F4,D3,D2
124.75,81.3587,32,1.75,A5,F5,A4,F4,F5,A4,F4,A3,F4,A3,r,r,r,A4,A3,F4,D3,D2
125.0,81.5217,32,2.0,A5,E5,A4,E4,A5,E5,A4,E4,E4,A3,r,r,r,A4,A4,E4,C3,C2
125.25,81.6848,32,2.25,A5,E5,A4,E4,A5,E5,A4,E4,E4,A3,r,r,r,E4,E4,E4,C3,C2
125.5,81.8478,32,2.5,A5,E5,A4,E4,E5,C5,E4,C4,E4,A3,r,r,r,A4,A4,E4,C3,C2
125.75,82.0109,32,2.75,A5,E5,A4,E4,E5,C5,E4,C4,E4,A3,r,r,r,E4,E4,E4,C3,C2
126.0,82.1739,32,3.0,A5,E5,A4,E4,C5,A4,C4,A3,E4,A3,r,r,r,C4,C4,E4,C3,C2
126.25,82.337,32,3.25,A5,E5,A4,E4,C5,A4,C4,A3,E4,A3,r,r,r,A3,A3,E4,C3,C2
126.5,82.5,32,3.5,A5,E5,A4,E4,A4,E4,A3,E3,E4,A3,r,r,r,C4,C4,E4,C3,C2
126.75,82.663,32,3.75,A5,E5,A4,E4,A4,E4,A3,E3,E4,A3,r,r,r,A3,A3,E4,C3,C2
127.0,82.8261,32,4.0,A5,E-5,A4,E-4,A4,F#4,A3,F#3,E-4,A3,r,r,r,A3,A3,F#3,B2,B1
128.0,83.4783,33,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
129.0,84.1304,33,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,F#3,B2,B1
130.0,84.7826,33,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
131.0,85.4348,33,4.0,r,r,r,r,r,r,F#3,r,r,r,r,r,r,F#4,A3,F#3,B2,B1
132.0,86.087,34,1.0,r,r,r,r,r,r,G3,r,r,r,r,r,r,G4,r,r,r,r
133.0,86.7391,34,2.0,r,r,r,r,r,r,F#3,r,r,r,r,r,r,F#4,D4,G3,B-2,B-1
134.0,87.3913,34,3.0,r,r,r,r,r,r,G3,r,r,r,r,r,r,G4,r,r,r,r
135.0,88.0435,34,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,G3,A2,A1
136.0,88.6957,35,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
137.0,89.3478,35,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C#4,A2,A1
138.0,90.0,35,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
139.0,90.6522,35,4.0,r,r,r,r,r,r,E3,r,r,r,r,r,r,E4,E4,C#4,A2,A1
140.0,91.3043,36,1.0,r,r,r,r,r,r,F3,r,r,r,r,r,r,F4,r,r,r,r
141.0,91.9565,36,2.0,r,r,r,r,r,r,E3,r,r,r,r,r,r,E4,B3,D4,G#2,G#1
142.0,92.6087,36,3.0,r,r,r,r,r,r,F3,r,r,r,r,r,r,F4,r,r,r,r
143.0,93.2609,36,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,B3,F3,G2,G1
144.0,93.913,37,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#2,G#1
145.0,94.5652,37,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,B3,F3,G#2,G#1
147.0,95.8696,37,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,A3,F#3,E-2,E-2
148.0,96.5217,38,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E2,E2
149.0,97.1739,38,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,A3,E3,E2,E2
151.0,98.4783,38,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,A3,E3,E2,E2
152.0,99.1304,39,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E2,E2
153.0,99.7826,39,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G#3,D3,E2,E2
155.0,101.087,39,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,A3,C#3,E2,E2
156.0,101.7391,40,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
157.0,102.3913,40,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,C#3,A2,A1
159.0,103.6957,40,4.0,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,A3,G3,C#3,r,r
160.0,104.3478,41,1.0,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,r,r,r,r,r
161.0,105.0,41,2.0,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,A4,F#4,F#3,C3,D2
162.0,105.6522,41,3.0,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,A4,F#4,F#3,C3,D2
163.0,106.3043,41,4.0,r,r,r,r,B4,B4,B3,B3,r,r,r,r,r,A4,F#4,F#3,C3,D2
163.3333,106.5217,41,4.3333,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,A4,F#4,F#3,C3,D2
163.6667,106.7392,41,4.6667,r,r,r,r,B4,B4,B3,B3,r,r,r,r,r,A4,F#4,F#3,C3,D2
164.0,106.9565,42,1.0,r,r,r,r,C5,C5,C4,C4,r,r,r,r,r,r,r,r,r,r
165.0,107.6087,42,2.0,r,r,r,r,D5,D5,D4,D4,r,r,r,r,r,A4,G4,G3,C3,E-2
165.5,107.9348,42,2.5,r,r,r,r,C5,C5,C4,C4,r,r,r,r,r,A4,G4,G3,C3,E-2
166.0,108.2609,42,3.0,r,r,r,r,B4,B4,B3,B3,r,r,r,r,r,A4,G4,G3,C3,E-2
167.0,108.913,42,4.0,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,A4,G4,G3,C3,E-2
168.0,109.5652,43,1.0,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,r,r,r,r,r
169.0,110.2174,43,2.0,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,A4,F#4,F#3,C3,D2
170.0,110.8696,43,3.0,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,A4,F#4,F#3,C3,D2
171.0,111.5217,43,4.0,r,r,r,r,G#4,G#4,G#3,G#3,r,r,r,r,r,A4,F#4,F#3,C3,D2
171.3333,111.7391,43,4.3333,r,r,r,r,F#4,F#4,F#3,F#3,r,r,r,r,r,A4,F#4,F#3,C3,D2
171.6667,111.9565,43,4.6667,r,r,r,r,G#4,G#4,G#3,G#3,r,r,r,r,r,A4,F#4,F#3,C3,D2
172.0,112.1739,44,1.0,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,r,r,r,r,r
173.0,112.8261,44,2.0,r,r,r,r,G#4,G#4,G#3,G#3,r,r,r,r,r,F4,G#3,B3,D3,D2
173.3333,113.0435,44,2.3333,r,r,r,r,F#4,F#4,F#3,F#3,r,r,r,r,r,F4,G#3,B3,D3,D2
173.6667,113.2609,44,2.6667,r,r,r,r,G#4,G#4,G#3,G#3,r,r,r,r,r,F4,G#3,B3,D3,D2
174.0,113.4783,44,3.0,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,E4,A3,C4,C3,C2
174.3333,113.6956,44,3.3333,r,r,r,r,G#4,G#4,G#3,G#3,r,r,r,r,r,E4,A3,C4,C3,C2
174.6667,113.9131,44,3.6667,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,E4,A3,C4,C3,C2
175.0,114.1304,44,4.0,r,r,r,r,C5,C5,C4,C4,r,r,r,r,r,E-4,C4,G3,A2,A1
175.5,114.4565,44,4.5,r,r,r,r,A4,A4,A3,A3,r,r,r,r,r,E-4,C4,G3,A2,A1
176.0,114.7826,45,1.0,r,r,r,r,G4,G4,G3,G3,r,r,r,r,r,r,r,r,r,r
177.0,115.4348,45,2.0,r,r,r,r,G4,G4,G3,G3,r,r,r,r,r,D4,B3,G3,D3,D2
178.0,116.087,45,3.0,r,r,r,r,G4,G4,G3,G3,r,r,r,r,r,C#4,B-3,E3,G2,D2
179.0,116.7391,45,4.0,r,r,D5,D5,F#4,F#4,F#3,F#3,D4,r,r,r,r,D4,A3,F#3,D3,D2
180.0,117.3913,46,1.0,r,r,D5,D5,r,r,r,r,D4,r,r,r,r,r,r,r,r,r
181.0,118.0435,46,2.0,B4,F4,D5,D5,r,r,r,r,D4,r,r,r,r,D4,B3,F3,G2,G2
182.0,118.6957,46,3.0,B4,F4,D5,D5,r,r,r,r,D4,r,r,r,r,D4,B3,F3,G2,G2
183.0,119.3478,46,4.0,B4,F4,E5,E5,r,r,r,r,E4,r,r,r,r,D4,B3,F3,G2,G2
183.3333,119.5652,46,4.3333,B4,F4,D5,D5,r,r,r,r,D4,r,r,r,r,D4,B3,F3,G2,G2
183.6667,119.7826,46,4.6667,B4,F4,E5,E5,r,r,r,r,E4,r,r,r,r,D4,B3,F3,G2,G2
184.0,120.0,47,1.0,r,r,F5,F5,r,r,r,r,F4,r,r,r,r,r,r,r,r,r
185.0,120.6522,47,2.0,C5,F4,G5,G5,r,r,r,r,G4,r,r,r,r,D4,C4,F3,G#2,G#2
185.5,120.9783,47,2.5,C5,F4,F5,F5,r,r,r,r,F4,r,r,r,r,D4,C4,F3,G#2,G#2
186.0,121.3043,47,3.0,C5,F4,E5,E5,r,r,r,r,E4,r,r,r,r,D4,C4,F3,G#2,G#2
187.0,121.9565,47,4.0,C5,F4,D5,D5,r,r,r,r,D4,r,r,r,r,D4,C4,F3,G#2,G#2
188.0,122.6087,48,1.0,r,r,D5,D5,D5,r,D4,r,D4,r,r,r,r,r,r,r,r,r
189.0,123.2609,48,2.0,B4,F4,D5,D5,D5,r,D4,r,D4,r,r,r,r,D4,B3,F3,G2,G2
190.0,123.913,48,3.0,B4,F4,r,r,D5,r,D4,r,r,r,r,r,r,D4,B3,F3,G2,G2
191.0,124.5652,48,4.0,B4,F4,r,r,C#5,r,C#4,r,r,r,r,r,r,D4,B3,F3,G2,G2
191.3333,124.7826,48,4.3333,B4,F4,r,r,B4,r,B3,r,r,r,r,r,r,D4,B3,F3,G2,G2
191.6667,125.0,48,4.6667,B4,F4,r,r,C#5,r,C#4,r,r,r,r,r,r,D4,B3,F3,G2,G2
192.0,125.2174,49,1.0,r,r,r,r,D5,r,D4,r,r,r,r,r,r,r,r,r,r,r
193.0,125.8696,49,2.0,B4,F#4,r,r,C#5,r,C#4,D3,r,r,r,r,r,D4,B3,F#3,F#2,F#2
193.3333,126.0869,49,2.3333,B4,F#4,r,r,B4,r,B3,D3,r,r,r,r,r,D4,B3,F#3,F#2,F#2
193.6667,126.3044,49,2.6667,B4,F#4,r,r,C#5,r,C#4,D3,r,r,r,r,r,D4,B3,F#3,F#2,F#2
194.0,126.5217,49,3.0,r,r,r,r,D5,r,D4,r,r,r,r,r,r,r,r,r,r,r
195.0,127.1739,49,4.0,B-4,F#4,r,r,C#5,r,C#4,E3,r,r,r,r,r,C#4,B-3,F#3,F#2,F#2
195.5,127.5,49,4.5,B-4,F#4,r,r,D5,r,D4,E3,r,r,r,r,r,C#4,B-3,F#3,F#2,F#2
196.0,127.8261,50,1.0,r,r,r,r,C#5,r,C#4,r,r,r,r,r,r,r,r,r,r,r
197.0,128.4783,50,2.0,B-4,E4,r,r,C#5,r,C#4,G3,r,r,r,r,r,r,r,r,B2,B1
198.0,129.1304,50,3.0,B-4,G4,r,r,C#5,r,C#4,E3,r,r,r,r,r,r,r,r,r,r
199.0,129.7826,50,4.0,B4,F#4,r,r,B4,r,B3,D3,r,r,r,r,r,B4,F#4,D4,D3,D2
199.5,130.1087,50,4.5,B4,F#4,r,r,B4,r,B3,D3,r,r,r,r,r,A4,F#4,C4,D3,D2
200.0,130.4348,51,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,F#4,B3,D3,r
200.5,130.7609,51,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,F#4,A3,D3,r
201.0,131.087,51,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,D4,D3,r
201.5,131.413,51,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,C4,D3,r
202.0,131.7391,51,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,B3,D3,r
202.5,132.0652,51,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,B-3,D3,r
203.0,132.3913,51,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,D4,B3,D3,r
203.5,132.7174,51,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,A3,D3,r
204.0,133.0435,52,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,D4,G3,D3,r
204.5,133.3696,52,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,D4,F#3,D3,r
205.0,133.6957,52,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,D4,B3,D3,r
205.5,134.0217,52,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,A3,D3,r
206.0,134.3478,52,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C#4,G3,A2,r
206.5,134.6739,52,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C#4,A3,A2,r
206.75,134.837,52,3.75,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,C#4,A3,A2,r
207.0,135.0,52,4.0,B5,F#5,r,r,B4,F#4,D4,D3,D4,D4,r,r,r,D4,D4,F#3,D2,r
207.5,135.3261,52,4.5,A5,F#5,r,r,A4,F#4,C4,D3,D4,D4,r,r,r,D4,D4,F#3,D2,r
208.0,135.6522,53,1.0,D6,F#5,r,r,D5,F#4,B3,D3,D4,D4,r,r,r,r,r,r,r,r
208.5,135.9783,53,1.5,C6,F#5,r,r,C5,F#4,A3,D3,D4,D4,r,r,r,r,r,r,r,r
209.0,136.3043,53,2.0,B5,F#5,r,r,B4,F#4,D4,D3,D4,D4,r,r,r,r,r,r,r,r
209.5,136.6304,53,2.5,A5,F#5,r,r,A4,F#4,C4,D3,D4,D4,r,r,r,r,r,r,r,r
210.0,136.9565,53,3.0,D6,G5,r,r,D5,G4,B3,D3,D4,D4,r,r,r,r,r,r,r,r
210.5,137.2826,53,3.5,D6,G5,r,r,D5,G4,B-3,D3,D4,D4,r,r,r,r,r,r,r,r
211.0,137.6087,53,4.0,G5,D5,r,r,G4,D4,B3,D3,r,r,r,r,r,r,r,r,r,r
211.5,137.9348,53,4.5,F#5,D5,r,r,F#4,D4,A3,D3,r,r,r,r,r,r,r,r,r,r
212.0,138.2609,54,1.0,B5,D5,r,r,B4,D4,G3,D3,r,r,r,r,r,r,r,r,r,r
212.5,138.587,54,1.5,A5,D5,r,r,A4,D4,F#3,D3,r,r,r,r,r,r,r,r,r,r
213.0,138.913,54,2.0,G5,D5,r,r,G4,D4,B3,D3,r,r,r,r,r,r,r,r,r,r
213.5,139.2391,54,2.5,F#5,D5,r,r,F#4,D4,A3,D3,r,r,r,r,r,r,r,r,r,r
214.0,139.5652,54,3.0,E5,C#5,r,r,E4,C#4,G3,A2,r,r,r,r,r,r,r,r,r,r
214.5,139.8913,54,3.5,E5,C#5,r,r,E4,C#4,A3,A2,r,r,r,r,r,r,r,r,r,r
214.75,140.0543,54,3.75,D5,C#5,r,r,D4,C#4,A3,A2,r,r,r,r,r,r,r,r,r,r
215.0,140.2174,54,4.0,D5,D5,r,r,D4,D4,F#3,D3,r,r,r,r,r,A4,D4,F#3,D3,r
215.5,140.5435,54,4.5,r,r,r,r,D4,D4,F#3,D3,r,r,r,r,r,B4,D4,G3,D3,r
216.0,140.8696,55,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,A3,D3,r
216.5,141.1957,55,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,D4,B3,D3,r
217.0,141.5217,55,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,D4,F#3,D3,r
217.5,141.8478,55,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,D4,G3,D3,r
218.0,142.1739,55,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,A3,D3,r
218.3333,142.3913,55,3.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,B3,D3,r
218.6667,142.6087,55,3.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,C4,D3,r
219.0,142.8261,55,4.0,C6,G5,r,r,C5,r,C4,E3,G4,G3,r,r,r,r,r,C4,r,r
219.5,143.1522,55,4.5,E6,G5,r,r,C5,r,C4,C3,G4,G3,r,r,r,r,r,r,r,r
220.0,143.4783,56,1.0,B5,G5,r,r,D5,r,D4,F3,G4,G3,r,r,r,r,r,r,r,r
220.5,143.8043,56,1.5,C6,G5,r,r,C5,r,C4,E3,G4,G3,r,r,r,r,r,r,r,r
221.0,144.1304,56,2.0,D6,G5,r,r,B4,r,B3,D3,G4,G3,r,r,r,r,r,r,r,r
221.5,144.4565,56,2.5,E6,G5,r,r,C5,r,C4,C3,G4,G3,r,r,r,r,r,r,r,r
222.0,144.7826,56,3.0,B5,G5,r,r,D5,r,D4,F3,G4,G3,r,r,r,r,r,r,r,r
222.3333,145.0,56,3.3333,B5,G5,r,r,E5,r,E4,E3,G4,G3,r,r,r,r,r,r,r,r
222.6667,145.2174,56,3.6667,B5,G5,r,r,F5,r,F4,D3,G4,G3,r,r,r,r,r,r,r,r
223.0,145.4348,56,4.0,B5,G5,r,r,F5,r,F4,D3,G4,G3,r,r,r,G6,G5,G4,r,r
224.0,146.087,57,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G6,G5,G4,r,r
225.0,146.7391,57,2.0,r,r,r,r,E-5,r,E-4,r,r,r,r,r,r,G6,G5,G4,r,r
226.0,147.3913,57,3.0,r,r,r,r,E-5,r,E-4,r,r,r,r,r,r,r,r,r,r,r
227.0,148.0435,57,4.0,r,r,r,r,E-5,r,E-4,r,r,r,r,r,r,r,r,B-3,G3,C2
228.0,148.6957,58,1.0,r,r,r,r,E-5,r,E-4,r,r,r,r,r,r,r,r,B-3,G3,C2
229.0,149.3478,58,2.0,r,r,G5,r,E5,r,E4,r,G4,r,r,r,r,r,r,B-3,G3,C2
230.0,150.0,58,3.0,r,r,G5,r,r,r,r,r,G4,r,r,r,r,r,r,r,r,r
231.0,150.6522,58,4.0,E-6,r,G5,r,E-5,r,E-4,r,G4,r,r,r,r,r,r,r,r,r
232.0,151.3043,59,1.0,E-6,r,r,r,E-5,r,E-4,r,r,r,r,r,r,r,r,r,r,r
233.0,151.9565,59,2.0,E-6,r,r,r,E-5,r,E-4,r,r,r,r,r,r,r,r,r,C#4,A1
234.0,152.6087,59,3.0,E-6,r,r,r,E-5,r,E-4,r,r,r,r,r,r,r,r,r,C#4,A1
235.0,153.2609,59,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,E5,E4,C#4,A1
236.0,153.913,60,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,E5,E4,r,r
237.0,154.5652,60,2.0,r,r,r,r,G#4,r,G#3,r,r,r,r,r,r,E6,E5,E4,r,r
238.0,155.2174,60,3.0,r,r,r,r,G#4,r,G#3,r,r,r,r,r,r,r,r,r,r,r
239.0,155.8696,60,4.0,r,r,r,r,G#4,r,G#3,r,r,r,r,r,r,r,r,C4,F#3,D2
240.0,156.5217,61,1.0,r,r,r,r,G#4,r,G#3,r,r,r,r,r,r,r,r,C4,F#3,D2
241.0,157.1739,61,2.0,r,r,A4,r,A4,r,A3,r,A3,r,r,r,r,r,r,C4,F#3,D2
242.0,157.8261,61,3.0,r,r,A4,r,r,r,r,r,A3,r,r,r,r,r,r,r,r,r
243.0,158.4783,61,4.0,E-6,r,A4,r,E-5,r,E-4,r,A3,r,r,r,r,r,r,r,r,r
244.0,159.1304,62,1.0,E-6,r,r,r,E-5,r,E-4,r,r,r,r,r,r,r,r,r,r,r
245.0,159.7826,62,2.0,E-6,r,r,r,E-5,r,E-4,r,r,r,r,r,r,r,r,r,F#3,D2
246.0,160.4348,62,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,D5,D4,F#3,D2
247.0,161.087,62,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,D5,D4,F#3,D2
247.3333,161.3043,62,4.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,E5,E4,F#3,D2
247.6667,161.5218,62,4.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,D5,D4,F#3,D2
248.0,161.7391,63,1.0,r,r,r,r,r,r,G3,B2,r,r,r,r,r,D6,D5,G3,G3,G1
248.3333,161.9565,63,1.3333,r,r,r,r,r,r,G3,B2,r,r,r,r,r,C#6,C#5,G3,G3,G1
248.6667,162.1739,63,1.6667,r,r,r,r,r,r,G3,B2,r,r,r,r,r,D6,D5,G3,G3,G1
249.0,162.3913,63,2.0,r,r,r,r,r,r,A3,C3,r,r,r,r,r,D6,D5,A3,G3,G1
249.3333,162.6087,63,2.3333,r,r,r,r,r,r,A3,C3,r,r,r,r,r,E6,E5,A3,G3,G1
249.5,162.7174,63,2.5,r,r,r,r,r,r,F#3,A2,r,r,r,r,r,E6,E5,F#3,F#3,G1
249.6667,162.8261,63,2.6667,r,r,r,r,r,r,F#3,A2,r,r,r,r,r,D6,D5,F#3,F#3,G1
250.0,163.0435,63,3.0,r,r,r,r,r,r,G3,B2,r,r,r,r,r,D6,D5,G3,G3,G1
250.3333,163.2608,63,3.3333,r,r,r,r,r,r,G3,B2,r,r,r,r,r,C#6,C#5,G3,G3,G1
250.5,163.3696,63,3.5,r,r,r,r,r,r,B3,D3,r,r,r,r,r,C#6,C#5,D3,B3,G1
250.6667,163.4783,63,3.6667,r,r,r,r,r,r,B3,D3,r,r,r,r,r,D6,D5,D3,B3,G1
251.0,163.6957,63,4.0,r,r,r,r,r,r,C4,A3,r,r,r,r,r,D6,D5,A3,C4,G2
251.3333,163.913,63,4.3333,r,r,r,r,r,r,C4,A3,r,r,r,r,r,E6,E5,A3,C4,G2
251.5,164.0217,63,4.5,r,r,r,r,r,r,A3,F#3,r,r,r,r,r,E6,E5,F#3,A3,G2
251.6667,164.1305,63,4.6667,r,r,r,r,r,r,A3,F#3,r,r,r,r,r,D6,D5,F#3,A3,G2
252.0,164.3478,64,1.0,r,r,r,r,r,r,B3,G3,r,r,r,r,r,D6,D5,G3,B3,G2
252.3333,164.5652,64,1.3333,r,r,r,r,r,r,B3,G3,r,r,r,r,r,C#6,C#5,G3,B3,G2
252.5,164.6739,64,1.5,r,r,r,r,r,r,D4,B3,r,r,r,r,r,C#6,C#5,B3,D4,G2
252.6667,164.7826,64,1.6667,r,r,r,r,r,r,D4,B3,r,r,r,r,r,D6,D5,B3,D4,G2
253.0,165.0,64,2.0,r,r,r,r,r,r,A4,C4,r,r,r,r,r,D6,D5,C4,A4,G2
253.3333,165.2174,64,2.3333,r,r,r,r,r,r,A4,C4,r,r,r,r,r,E6,E5,C4,A4,G2
253.5,165.3261,64,2.5,r,r,r,r,r,r,F#4,A3,r,r,r,r,r,E6,E5,A3,F#4,G2
253.6667,165.4348,64,2.6667,r,r,r,r,r,r,F#4,A3,r,r,r,r,r,D6,D5,A3,F#4,G2
254.0,165.6522,64,3.0,r,r,r,r,r,r,G4,B3,r,r,r,r,r,D6,D5,B3,G4,G2
254.3333,165.8695,64,3.3333,r,r,r,r,r,r,G4,B3,r,r,r,r,r,C#6,C#5,B3,G4,G2
254.5,165.9783,64,3.5,r,r,r,r,r,r,D4,B3,r,r,r,r,r,C#6,C#5,B3,D4,G2
254.6667,166.087,64,3.6667,r,r,r,r,r,r,D4,B3,r,r,r,r,r,D6,D5,B3,D4,G2
