qstamp,tstamp,measure,beat,Traverso 1,Traverso 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
137.0,68.5,23,3.5,A5,A4,C5,E4,A3,F#4,A4,E4,r,C3
138.0,69.0,24,1.0,r,r,F#4,B4,B3,G4,B4,E4,r,B2
139.0,69.5,24,1.5,r,r,F#4,B4,B3,G4,B4,E-4,r,B2
140.0,70.0,24,2.0,E-5,F#4,r,r,r,F#4,A4,E-4,r,B2
141.0,70.5,24,2.5,E-5,F#4,r,r,r,G4,G4,E-4,r,B2
142.0,71.0,24,3.0,F#5,B4,F#4,D4,B3,A4,F#4,D4,r,B2
143.0,71.5,24,3.5,F#5,B4,F#4,D4,B3,A4,G4,D4,r,B2
144.0,72.0,25,1.0,G#5,B4,E4,D4,B3,G#4,E4,D4,r,E2
145.0,72.5,25,1.5,G#5,B4,E4,D4,B3,G#4,E4,D4,r,E2
146.0,73.0,25,2.0,E5,A4,r,r,r,A4,E4,C#4,E3,E3
147.0,73.5,25,2.5,E5,A4,r,r,r,A4,E4,B3,E-3,E3
148.0,74.0,25,3.0,C5,E5,G4,C4,E4,G4,r,C4,E3,E3
149.0,74.5,25,3.5,C5,E5,G4,C4,E4,G4,r,C4,E3,E3
150.0,75.0,26,1.0,r,r,A4,F#4,A3,F#4,r,C4,F#3,E-3
151.0,75.5,26,1.5,r,r,A4,F#4,A3,F#4,r,C4,F#3,E-3
152.0,76.0,26,2.0,F5,B4,r,r,r,F4,r,B3,G#3,D3
153.0,76.5,26,2.5,F5,B4,r,r,r,F4,r,A3,G#3,D3
154.0,77.0,26,3.0,B4,G#4,B4,F4,B3,F4,r,B3,G#3,D3
155.0,77.5,26,3.5,B4,G#4,B4,F4,B3,F4,r,B3,G#3,D3
156.0,78.0,27,1.0,r,r,A4,E4,E3,E4,r,E3,A3,C#3
157.0,78.5,27,1.5,r,r,A4,E4,E3,E4,A4,E3,A3,C#3
158.0,79.0,27,2.0,E5,E4,r,r,r,E4,E4,G3,G3,C3
159.0,79.5,27,2.5,E5,E4,r,r,r,E4,E4,F#3,G3,C3
160.0,80.0,27,3.0,A4,F#4,A4,E4,A3,E4,F#4,F#3,A3,C3
161.0,80.5,27,3.5,A4,F#4,A4,E4,A3,E4,F#4,E3,A3,C3
162.0,81.0,28,1.0,r,r,G4,E4,B3,E4,G4,B3,B3,B2
163.0,81.5,28,1.5,r,r,G4,E4,B3,E4,F#4,B3,B3,B2
164.0,82.0,28,2.0,B4,F#4,r,r,r,E-4,F#4,B3,A3,B2
165.0,82.5,28,2.5,B4,F#4,r,r,r,E-4,F#4,B3,G3,B2
166.0,83.0,28,3.0,F#5,B4,E-4,A3,B3,E-4,F#4,B3,A3,B2
167.0,83.5,28,3.5,F#5,B4,E-4,A3,B3,E-4,F#4,B3,A3,B2
168.0,84.0,29,1.0,G5,B4,E4,G3,B3,E4,E4,B3,G3,E2
169.0,84.5,29,1.5,G5,B4,E4,G3,B3,E4,E4,B3,G3,E2
170.0,85.0,29,2.0,F#5,C#5,r,r,r,F#4,C#4,B-3,F#3,E3
171.0,85.5,29,2.5,F#5,C#5,r,r,r,F#4,C#4,B-3,F#3,E3
172.0,86.0,29,3.0,B-4,F#4,C#5,F#4,C#4,B-4,F#4,C#4,E3,E3
173.0,86.5,29,3.5,B-4,F#4,C#5,F#4,C#4,B-4,F#4,C#4,E3,E3
174.0,87.0,30,1.0,r,r,B4,F#4,F#3,B4,F#4,F#3,E-3,E-3
175.0,87.5,30,1.5,r,r,B4,F#4,F#3,B4,F#4,F#3,E-3,E-3
176.0,88.0,30,2.0,B4,E4,r,r,r,E4,B3,G#3,E3,D3
177.0,88.5,30,2.5,B4,E4,r,r,r,E4,B3,G#3,E3,D3
178.0,89.0,30,3.0,G#4,B4,E5,G#4,B3,G#4,E4,B3,D3,D3
179.0,89.5,30,3.5,G#4,B4,E5,G#4,B3,G#4,E4,B3,D3,D3
180.0,90.0,31,1.0,r,r,A4,A4,E4,A4,E4,E3,C#3,C#3
181.0,90.5,31,1.5,r,r,A4,A4,E4,A4,E4,E3,C#3,C#3
182.0,91.0,31,2.0,A4,E5,r,r,r,A4,A4,F#3,D3,C3
183.0,91.5,31,2.5,A4,E5,r,r,r,A4,A4,G3,D3,C3
184.0,92.0,31,3.0,F#4,E-5,A4,A4,E4,A4,F#4,A3,C3,C3
185.0,92.5,31,3.5,F#4,E-5,A4,A4,E4,A4,F#4,A3,C3,C3
186.0,93.0,32,1.0,r,r,F#5,A4,E-4,A4,E-4,B3,B2,B2
187.0,93.5,32,1.5,r,r,F#5,A4,E-4,A4,E-4,B3,B2,B2
188.0,94.0,32,2.0,E-4,F#5,r,r,r,A4,E-4,B3,B2,B2
189.0,94.5,32,2.5,E-4,F#5,r,r,r,A4,E-4,B3,B2,B2
190.0,95.0,32,3.0,F#4,A4,E-5,A4,F#4,A4,E-4,B3,B2,B2
191.0,95.5,32,3.5,F#4,A4,E-5,A4,F#4,A4,E-4,B3,B2,B2
192.0,96.0,33,1.0,G4,G4,B5,G4,E4,G4,E4,B3,E3,E2
193.0,96.5,33,1.5,G4,G4,B5,G4,E4,G4,E4,B3,E3,E2
194.0,97.0,33,2.0,A4,C5,r,r,r,C5,E-4,A3,F#3,E3
195.0,97.5,33,2.5,A4,C5,r,r,r,C5,E-4,A3,F#3,E3
196.0,98.0,33,3.0,C5,E4,G5,C5,E4,C5,E4,G3,G3,E3
197.0,98.5,33,3.5,C5,E4,G5,C5,E4,C5,E4,G3,G3,E3
198.0,99.0,34,1.0,r,r,F#5,C5,F#4,C5,F#4,A3,F#3,E-3
199.0,99.5,34,1.5,r,r,F#5,C5,F#4,C5,F#4,A3,F#3,E-3
200.0,100.0,34,2.0,B4,E4,r,r,r,B4,G4,G3,B3,D3
201.0,100.5,34,2.5,B4,E4,r,r,r,B4,A4,F#3,B3,D3
202.0,101.0,34,3.0,E5,G4,B4,B4,G4,B4,B4,E3,G3,D3
203.0,101.5,34,3.5,E5,G4,B4,B4,G4,B4,B4,F#3,G3,D3
204.0,102.0,35,1.0,r,r,E5,B4,G4,E5,B4,G3,E3,C#3
205.0,102.5,35,1.5,r,r,E5,B4,G4,E4,B4,G3,E3,C#3
206.0,103.0,35,2.0,E5,A4,r,r,r,A4,A4,F#3,E-3,C3
207.0,103.5,35,2.5,E5,A4,r,r,r,A4,G4,F#3,E-3,C3
208.0,104.0,35,3.0,A5,E5,C5,A4,E4,A4,F#4,E3,E3,C3
209.0,104.5,35,3.5,A5,E5,C5,A4,E4,A4,E4,E3,E3,C3
210.0,105.0,36,1.0,r,r,F#4,B4,E-4,B4,E-4,F#3,B2,B2
211.0,105.5,36,1.5,r,r,F#4,B4,E-4,B4,E-4,F#3,B2,B2
212.0,106.0,36,2.0,F#5,E-5,r,r,r,B4,E-4,F#3,B2,B2
213.0,106.5,36,2.5,F#5,E-5,r,r,r,B4,E-4,F#3,B2,B2
214.0,107.0,36,3.0,B5,E-4,F#4,B4,E-4,B4,E-4,F#3,B2,B2
215.0,107.5,36,3.5,B5,E-4,F#4,B4,E-4,B4,E-4,F#3,B2,B2
216.0,108.0,37,1.0,G5,E4,G4,B3,B4,r,r,r,r,E2
217.0,108.5,37,1.5,G5,E4,G4,B3,B4,r,r,r,r,E2
218.0,109.0,37,2.0,G4,E4,r,r,r,C5,r,r,r,E3
219.0,109.5,37,2.5,G4,E4,r,r,r,C5,r,r,r,E3
220.0,110.0,37,3.0,A4,F#4,C5,A4,F#4,C5,r,r,r,E3
221.0,110.5,37,3.5,A4,F#4,C5,A4,F#4,C5,r,r,r,E3
222.0,111.0,38,1.0,r,r,F#4,A4,F#4,C5,r,r,r,E-3
223.0,111.5,38,1.5,r,r,F#4,A4,F#4,C5,r,r,r,E-3
224.0,112.0,38,2.0,B-4,F4,r,r,r,B-4,F4,r,r,D3
225.0,112.5,38,2.5,B-4,F4,r,r,r,B-4,F4,r,r,D3
226.0,113.0,38,3.0,B4,D4,B4,A4,F4,B4,F4,r,r,D3
227.0,113.5,38,3.5,B4,D4,B4,A4,F4,B4,F4,r,r,D3
228.0,114.0,39,1.0,r,r,B4,G#4,F4,G#4,F4,r,r,C#3
229.0,114.5,39,1.5,r,r,B4,G#4,F4,G#4,F4,r,r,C#3
230.0,115.0,39,2.0,A4,F#4,r,r,r,A4,E-4,A3,r,C3
231.0,115.5,39,2.5,A4,F#4,r,r,r,C5,E-4,A3,r,C3
232.0,116.0,39,3.0,E5,E4,A4,E4,A3,B4,E4,A3,r,C3
233.0,116.5,39,3.5,E5,E4,A4,E4,A3,A4,E4,A3,r,C3
234.0,117.0,40,1.0,r,r,D5,F4,A3,D5,F4,A3,r,B2
235.0,117.5,40,1.5,r,r,D5,F4,A3,D5,F4,A3,r,B2
236.0,118.0,40,2.0,F5,A4,r,r,r,A4,F4,C4,D3,B2
237.0,118.5,40,2.5,F5,A4,r,r,r,A4,F4,C4,D3,B2
238.0,119.0,40,3.0,D5,B4,F4,D4,B3,D5,F4,B3,D3,B2
239.0,119.5,40,3.5,D5,B4,F4,D4,B3,A4,F4,B3,D3,B2
240.0,120.0,41,1.0,B4,B5,F4,D4,G#3,B4,F4,G#3,D3,E2
241.0,120.5,41,1.5,B4,B5,F4,D4,G#3,B4,E4,G#3,D3,E2
242.0,121.0,41,2.0,B5,G#5,r,r,r,B4,D4,G#3,F3,E3
243.0,121.5,41,2.5,B5,G#5,r,r,r,B4,C4,G#3,F3,E3
244.0,122.0,41,3.0,G#5,B4,E4,B3,G#3,B4,D4,G#3,E3,E3
245.0,122.5,41,3.5,G#5,B4,E4,B3,G#3,B4,B3,G#3,E3,E3
246.0,123.0,42,1.0,r,r,F#4,C4,A3,r,F#4,r,C3,E-3
247.0,123.5,42,1.5,r,r,F#4,C4,A3,A4,F#4,r,C3,E-3
248.0,124.0,42,2.0,F#5,B4,r,r,r,B4,F#4,r,B2,D3
249.0,124.5,42,2.5,F#5,B4,r,r,r,C5,F#4,r,B2,D3
250.0,125.0,42,3.0,B5,F#4,F#4,B3,F#4,D5,F#4,r,B2,D3
251.0,125.5,42,3.5,B5,F#4,F#4,B3,F#4,B4,F#4,r,B2,D3
252.0,126.0,43,1.0,r,r,G4,G3,E4,E5,G4,r,B2,C#3
253.0,126.5,43,1.5,r,r,G4,G3,E4,E5,G4,r,B2,C#3
254.0,127.0,43,2.0,E5,A4,r,r,r,E5,F#4,r,A2,C3
255.0,127.5,43,2.5,E5,A4,r,r,r,E5,G4,r,B2,C3
256.0,128.0,43,3.0,E4,E5,A4,C4,E4,E5,E4,r,G2,C3
257.0,128.5,43,3.5,E4,E5,A4,C4,E4,E5,F#4,r,A2,C3
258.0,129.0,44,1.0,r,r,G4,G4,B4,E5,G4,r,B2,B2
259.0,129.5,44,1.5,r,r,G4,G4,B4,E5,G4,r,B2,B2
260.0,130.0,44,2.0,F#4,D5,r,r,r,D5,F#4,B3,B2,B2
261.0,130.5,44,2.5,F#4,D5,r,r,r,D5,F#4,A3,B2,B2
262.0,131.0,44,3.0,B4,F#4,D5,B4,F#4,B4,F#4,B3,B2,B2
263.0,131.5,44,3.5,B4,F#4,D5,B4,F#4,B4,F#4,F#3,B2,B2
264.0,132.0,45,1.0,G4,E4,C5,G4,E4,C5,E4,G3,E3,E2
265.0,132.5,45,1.5,G4,E4,C5,G4,E4,C5,E4,G3,E3,E2
266.0,133.0,45,2.0,C5,G4,r,r,r,C5,G4,E3,r,E3
267.0,133.5,45,2.5,C5,G4,r,r,r,C5,G4,E3,r,E3
268.0,134.0,45,3.0,G5,C5,C5,E4,C4,C5,E4,r,r,E3
269.0,134.5,45,3.5,G5,C5,C5,E4,C4,C5,E4,r,r,E3
270.0,135.0,46,1.0,r,r,C5,F#4,F#3,C5,F#4,r,r,E-3
271.0,135.5,46,1.5,r,r,C5,F#4,F#3,C5,F#4,r,r,E-3
272.0,136.0,46,2.0,B4,D5,r,r,r,B4,G4,B3,r,D3
273.0,136.5,46,2.5,B4,D5,r,r,r,A4,G4,B3,r,D3
274.0,137.0,46,3.0,B5,F4,B4,F4,G#3,B4,F4,G#3,r,D3
275.0,137.5,46,3.5,B5,F4,B4,F4,G#3,B4,F4,G#3,r,D3
276.0,138.0,47,1.0,r,r,B4,E4,G#3,B4,E4,G#3,r,C#3
277.0,138.5,47,1.5,r,r,B4,E4,G#3,B4,E4,G#3,r,C#3
278.0,139.0,47,2.0,E5,A4,r,r,r,A4,E4,A3,F#3,C3
279.0,139.5,47,2.5,E5,A4,r,r,r,A4,D4,A3,F#3,C3
280.0,140.0,47,3.0,F#5,C5,A4,C4,A3,F#4,C4,A3,E-3,C3
281.0,140.5,47,3.5,F#5,C5,F#4,A3,A3,F#4,A3,A3,E-3,C3
282.0,141.0,48,1.0,r,r,G4,B3,G3,G4,G3,B3,E3,B2
283.0,141.5,48,1.5,r,r,E4,C4,F#3,A4,F#3,C4,A2,A2
284.0,142.0,48,2.0,B4,E-4,B3,B3,F#3,F#4,B3,E-3,B2,B2
285.0,142.5,48,2.5,B4,E-4,B3,B3,A3,F#4,B3,E-3,B2,B2
286.0,143.0,48,3.0,F#4,F#4,B3,A3,E-3,F#4,A3,E-3,B2,B2
287.0,143.5,48,3.5,F#4,F#4,B3,A3,E-3,E4,A3,E-3,B2,B2
288.0,144.0,49,1.0,G4,E4,B3,G3,E3,E4,G3,E3,E2,E2
289.0,144.5,49,1.5,G4,E4,B3,G3,E3,E4,G3,E3,E2,E2
290.0,145.0,49,2.0,r,r,r,r,r,E4,C4,E3,E2,E3
291.0,145.5,49,2.5,r,r,r,r,r,E4,C4,E3,E2,E3
