qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,A Bass Clarinet,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Tenor Trombone 1,Tenor Trombone 2,Bass Trombone,Tuba,Timpani,Violin solo,Violin 1,Violin 2,Viola,Violoncello 1,Violoncello 2,Contrabass
609.5,612.0,,,P3(Oboe 2),P3(Oboe 1),,,,,U(Violoncello 2),,,,,,,,,,,,Main Part,,,,,U(Bassoon 2),
612.0,615.5,,,,,,,Main Part,P8(Violin 1),,P3(F Horn 2),P3(F Horn 1),,,,,,,,,,,P8(Bassoon 1),,,,P8(Contrabass),P8(Violoncello 2)
615.5,618.0,,,,,Main Part,,P3(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&U(Violin 2),,P3(A Bass Clarinet)&P5(F Horn 1)&P3(F Horn 2)&P3(Violin 2),P3(A Bass Clarinet)&P5(Bassoon 2)&P3(F Horn 2)&P3(Violin 2),P8(A Bass Clarinet)&P3(Bassoon 2)&P3(F Horn 1)&P8(Violin 2),,,,,,,,,,,,U(A Bass Clarinet)&P3(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2),,,P8(Contrabass),P8(Violoncello 2)
618.0,622.5,,,,,U(Violin solo),,,,,P3(F Horn 2),P3(F Horn 1),,,,,,,,,,U(A Clarinet 1),Main Part,,,,,
622.5,624.0,,,,,U(Violin solo)&U(Violin 1)&P3(Violin 2)&P5(Violoncello 2)&P8(Contrabass),,,U(Bassoon 2)&P3(F Horn 3),U(Bassoon 1)&P3(F Horn 3),Main Part,,P3(Bassoon 1)&P3(Bassoon 2),,,,,,,,,U(A Clarinet 1)&U(Violin 1)&P3(Violin 2)&P5(Violoncello 2)&P8(Contrabass),U(A Clarinet 1)&U(Violin solo)&P3(Violin 2)&P5(Violoncello 2)&P8(Contrabass),P3(A Clarinet 1)&P3(Violin solo)&P3(Violin 1)&P3(Violoncello 2)&P3(Contrabass),,,P5(A Clarinet 1)&P5(Violin solo)&P5(Violin 1)&P3(Violin 2)&P5(Contrabass),P8(A Clarinet 1)&P8(Violin solo)&P8(Violin 1)&P3(Violin 2)&P5(Violoncello 2)
624.0,627.0,,,U(A Clarinet 1)&U(A Clarinet 2),,U(Oboe 1)&U(A Clarinet 2),U(Oboe 1)&U(A Clarinet 1),,Main Part,U(Main)&U(Viola),,,,,,,,,,,,,,,U(Main)&U(Bassoon 2),,,
627.0,648.0,,,Main Part,,,,,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
648.0,649.0,P3(Flute 2),P3(Flute 1),Main Part,P3(Main),P8(Violin 1)&U(Violin 2),P3(Viola),,P8(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&U(F Horn 4)&U(Violoncello 2)&P8(Contrabass),P8(Bassoon 1)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&P8(F Horn 4)&P8(Violoncello 2)&U(Contrabass),P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P3(Violoncello 2)&P3(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P5(F Horn 3)&P8(F Horn 4)&P8(Violoncello 2)&P8(Contrabass),P5(Bassoon 1)&P5(Bassoon 2)&P3(F Horn 1)&P5(F Horn 2)&P5(F Horn 4)&P5(Violoncello 2)&P5(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&U(Violoncello 2)&P8(Contrabass),P3(F Trumpet 2),P3(F Trumpet 1),,,,,,,P8(A Clarinet 1)&P8(Violin 2),U(A Clarinet 1)&P8(Violin 1),P3(A Clarinet 2),,U(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&U(F Horn 4)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&P8(F Horn 4)&P8(Violoncello 2)
649.0,651.0,P3(Flute 2)&P5(Bassoon 1)&P5(Bassoon 2)&P3(F Horn 1)&P5(F Horn 2)&P8(F Horn 3)&P5(F Horn 4)&P3(Viola)&P5(Violoncello 2)&P5(Contrabass),P3(Flute 1)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P3(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P8(Viola)&P3(Violoncello 2)&P3(Contrabass),,,,,,P5(Flute 1)&P3(Flute 2)&P8(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&U(F Horn 4)&P3(Viola)&U(Violoncello 2)&P8(Contrabass),P5(Flute 1)&P3(Flute 2)&P8(Bassoon 1)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&P8(F Horn 4)&P3(Viola)&P8(Violoncello 2)&U(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&U(Viola)&P3(Violoncello 2)&P3(Contrabass),P5(Flute 1)&P3(Flute 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P5(F Horn 3)&P8(F Horn 4)&P3(Viola)&P8(Violoncello 2)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P5(Bassoon 1)&P5(Bassoon 2)&P3(F Horn 1)&P5(F Horn 2)&P5(F Horn 4)&P3(Viola)&P5(Violoncello 2)&P5(Contrabass),P5(Flute 1)&P3(Flute 2)&U(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&P3(Viola)&U(Violoncello 2)&P8(Contrabass),P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),,,,,P8(F Trumpet 1)&P8(F Trumpet 2),,Main Part,P8(Main),P3(Flute 1)&P8(Flute 2)&P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&P3(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P3(Violoncello 2)&P3(Contrabass),,P5(Flute 1)&P3(Flute 2)&U(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&U(F Horn 4)&P3(Viola)&P8(Contrabass),P5(Flute 1)&P3(Flute 2)&P8(Bassoon 1)&U(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&P8(F Horn 4)&P3(Viola)&P8(Violoncello 2)
651.0,652.0,,P8(A Clarinet 2),Main Part,,U(Main),P8(Flute 2),,P8(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&U(F Horn 4)&U(Violoncello 2)&P8(Contrabass),P8(Bassoon 1)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&P8(F Horn 4)&P8(Violoncello 2)&U(Contrabass),P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P3(Violoncello 2)&P3(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P5(F Horn 3)&P8(F Horn 4)&P8(Violoncello 2)&P8(Contrabass),P5(Bassoon 1)&P5(Bassoon 2)&P3(F Horn 1)&P5(F Horn 2)&P5(F Horn 4)&P5(Violoncello 2)&P5(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&U(Violoncello 2)&P8(Contrabass),P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),,,,,P8(F Trumpet 1)&P8(F Trumpet 2),,P8(Violin 2)&P3(Viola),P8(Violin 1)&P3(Viola),P3(Violin 1)&P3(Violin 2),,U(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&U(F Horn 4)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P5(F Horn 3)&P8(F Horn 4)&P8(Violoncello 2)
652.0,660.0,,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,,,Main Part,,,,,
660.0,663.0,,,,,P5(Timpani),,U(Main),,,,,,P8(Violin 1)&P8(Violin 2)&P8(Contrabass),,,,,,,P5(A Clarinet 1),,P8(F Horn 4)&P8(Violin 2)&P8(Contrabass),P8(F Horn 4)&P8(Violin 1)&P8(Contrabass),,,Main Part,P8(F Horn 4)&P8(Violin 1)&P8(Violin 2)
663.0,666.0,,,,,Main Part,,U(Violoncello 2),,,,,,P8(Violin 1)&P8(Violin 2)&P8(Contrabass),,,,,,,,,P8(F Horn 4)&P8(Violin 2)&P8(Contrabass),P8(F Horn 4)&P8(Violin 1)&P8(Contrabass),U(Main),,U(A Bass Clarinet),P8(F Horn 4)&P8(Violin 1)&P8(Violin 2)
666.0,669.0,,,,,,,U(Main),,,,,,P8(Violin 1)&P8(Violin 2)&P8(Contrabass),,,,,,,,,P8(F Horn 4)&P8(Violin 2)&P8(Contrabass),P8(F Horn 4)&P8(Violin 1)&P8(Contrabass),,,Main Part,P8(F Horn 4)&P8(Violin 1)&P8(Violin 2)
669.0,683.0,U(Flute 2),U(Flute 1),,,Main Part,,,P3(Bassoon 2),P3(Bassoon 1),,,,P8(Contrabass),,,,,,,,,,,,,,P8(F Horn 4)
683.0,687.0,U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P3(Tenor Trombone 1)&P5(Tenor Trombone 2)&P7(Bass Trombone)&P7(Tuba),U(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P3(Tenor Trombone 1)&P5(Tenor Trombone 2)&P7(Bass Trombone)&P7(Tuba),U(Flute 1)&U(Flute 2)&P8(Oboe 2)&P3(Tenor Trombone 1)&P5(Tenor Trombone 2)&P7(Bass Trombone)&P7(Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Tenor Trombone 1)&P5(Tenor Trombone 2)&P7(Bass Trombone)&P7(Tuba),,,,,,P5(F Horn 4),,,P5(F Horn 1),Main Part,,P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba),P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P3(Tenor Trombone 1)&P3(Bass Trombone)&P3(Tuba),P7(Flute 1)&P7(Flute 2)&P7(Oboe 1)&P7(Oboe 2)&P5(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Tuba),P7(Flute 1)&P7(Flute 2)&P7(Oboe 1)&P7(Oboe 2)&P5(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone),,,,P5(Violoncello 2)&P5(Contrabass),,,P5(Violin 2)&P8(Contrabass),P5(Violin 2)&P8(Violoncello 2)
687.0,690.0,U(Flute 2)&U(Main)&P8(Oboe 2),U(Flute 1)&U(Main)&P8(Oboe 2),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Main),U(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),U(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2),,P3(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 2),P3(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1),,,,,,,P5(Bass Trombone)&P5(Tuba)&P5(Violoncello 2)&P5(Contrabass),,P5(Tenor Trombone 1)&P8(Tuba)&U(Violoncello 2)&P8(Contrabass),P5(Tenor Trombone 1)&P8(Bass Trombone)&P8(Violoncello 2)&U(Contrabass),,,,,,,P5(Tenor Trombone 1)&U(Bass Trombone)&P8(Tuba)&P8(Contrabass),P5(Tenor Trombone 1)&P8(Bass Trombone)&U(Tuba)&P8(Violoncello 2)
690.0,738.0,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,P8(Contrabass),P8(Violoncello 2)
738.0,741.0,,,U(Oboe 2),U(Oboe 1),,P4(Bassoon 2)&P3(Main)&P2(Timpani)&P2(Violoncello 2)&P2(Contrabass),,,P4(A Clarinet 2)&P2(Main)&P5(Timpani)&P5(Violoncello 2)&P5(Contrabass),Main Part,,,,,,P6(Tenor Trombone 2)&P3(Bass Trombone)&P7(Tuba),P6(Tenor Trombone 1)&P4(Bass Trombone)&P2(Tuba),P3(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Tuba),P7(Tenor Trombone 1)&P2(Tenor Trombone 2)&P5(Bass Trombone),P2(A Clarinet 2)&P5(Bassoon 2)&P4(Main)&U(Violoncello 2)&P8(Contrabass),,,,,,P2(A Clarinet 2)&P5(Bassoon 2)&P4(Main)&U(Timpani)&P8(Contrabass),P2(A Clarinet 2)&P5(Bassoon 2)&P4(Main)&P8(Timpani)&P8(Violoncello 2)
741.0,747.0,,,,,Main Part,P4(Bassoon 2)&P2(Timpani)&U(Violin 2)&P4(Viola)&P2(Violoncello 2)&P2(Contrabass),,U(Main),P4(A Clarinet 2)&P5(Timpani)&P4(Violin 2)&U(Viola)&P5(Violoncello 2)&P5(Contrabass),,,,,,,,,,,P2(A Clarinet 2)&P5(Bassoon 2)&P2(Violin 2)&P5(Viola)&U(Violoncello 2)&P8(Contrabass),,,U(A Clarinet 2)&P4(Bassoon 2)&P2(Timpani)&P4(Viola)&P2(Violoncello 2)&P2(Contrabass),P4(A Clarinet 2)&U(Bassoon 2)&P5(Timpani)&P4(Violin 2)&P5(Violoncello 2)&P5(Contrabass),,P2(A Clarinet 2)&P5(Bassoon 2)&U(Timpani)&P2(Violin 2)&P5(Viola)&P8(Contrabass),P2(A Clarinet 2)&P5(Bassoon 2)&P8(Timpani)&P2(Violin 2)&P5(Viola)&P8(Violoncello 2)
747.0,751.0,,,U(Violin 1),,P6(A Clarinet 2)&P7(Timpani),P6(A Clarinet 1)&P2(Timpani),,P3(Bassoon 2)&P7(Violoncello 2)&P7(Contrabass),P3(Bassoon 1)&P5(Violoncello 2)&P5(Contrabass),Main Part,,,,,,,,,,P7(A Clarinet 1)&P2(A Clarinet 2),,U(Oboe 1),,,,P7(Bassoon 1)&P5(Bassoon 2)&P8(Contrabass),P7(Bassoon 1)&P5(Bassoon 2)&P8(Violoncello 2)
751.0,758.0,,,Main Part,,,,,P3(Bassoon 2),P3(Bassoon 1),,,P3(F Horn 4),P3(F Horn 3),,,,,,,,,,,P3(Violoncello 2)&P3(Contrabass),,P3(Viola)&P8(Contrabass),P3(Viola)&P8(Violoncello 2)
758.0,782.0,,,,,,,Main Part,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
782.0,786.0,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,
786.0,809.0,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,
809.0,815.0,,,,,Main Part,,,,,,,,,,,,,,,,,,,U(Main),,P8(Contrabass),P8(Violoncello 2)
815.0,820.5,,,,,,,Main Part,,,,,,,,,,,,,P8(Violoncello 2)&P8(Contrabass),U(Violin 1),U(Violin solo),,,,P8(Timpani)&P8(Contrabass),P8(Timpani)&P8(Violoncello 2)
820.5,825.0,,,,,,,,,,,,P4(F Horn 4)&P2(Violin 2)&U(Viola)&P2(Violoncello 2),P4(F Horn 3)&P5(Violin 2)&P4(Viola)&P3(Violoncello 2),,,,,,,,,,P2(F Horn 3)&P5(F Horn 4)&P2(Viola)&P3(Violoncello 2),U(F Horn 3)&P4(F Horn 4)&P2(Violin 2)&P2(Violoncello 2),Main Part,P2(F Horn 3)&P3(F Horn 4)&P3(Violin 2)&P2(Viola),
825.0,831.5,,,,,,,Main Part,,,,,U(Viola),,,,,,,,,,,,U(F Horn 3),,,
831.5,858.0,,P5(Oboe 1)&P3(Oboe 2),P5(Flute 2)&P3(Oboe 2),P3(Flute 2)&P3(Oboe 1),,,,P3(Bassoon 2),P3(Bassoon 1),P8(F Horn 2),P8(F Horn 1),,,,,,,,,,Main Part,,,,,,
858.0,864.0,,,,,P3(A Clarinet 2)&U(Violin solo)&U(Violin 1)&U(Violin 2)&P3(Viola)&P3(Violoncello 1)&P3(Violoncello 2)&P3(Contrabass),P3(A Clarinet 1)&P3(Violin solo)&P3(Violin 1)&P3(Violin 2)&U(Viola)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Contrabass),Main Part,,,,,,,,,,,,,,U(A Clarinet 1)&P3(A Clarinet 2)&U(Violin 1)&U(Violin 2)&P3(Viola)&P3(Violoncello 1)&P3(Violoncello 2)&P3(Contrabass),U(A Clarinet 1)&P3(A Clarinet 2)&U(Violin solo)&U(Violin 2)&P3(Viola)&P3(Violoncello 1)&P3(Violoncello 2)&P3(Contrabass),U(A Clarinet 1)&P3(A Clarinet 2)&U(Violin solo)&U(Violin 1)&P3(Viola)&P3(Violoncello 1)&P3(Violoncello 2)&P3(Contrabass),P3(A Clarinet 1)&U(A Clarinet 2)&P3(Violin solo)&P3(Violin 1)&P3(Violin 2)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Contrabass),P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Violin solo)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&U(Violoncello 2)&P8(Contrabass),P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Violin solo)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&U(Violoncello 1)&P8(Contrabass),P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Violin solo)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)
