qstamp,tstamp,measure,beat,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
100.0,34.8837,13,3.0,E5,E5,E5,C#5,G#3,E5,C#5,G#4,E5,C#5,G#4,G#3,G#3
102.0,35.5814,13,4.0,E-5,E-5,E-5,C5,G#2,E-5,C5,G#4,E-5,C5,G#4,G#2,G#2
103.0,35.9302,13,4.5,E-5,E-5,E-5,C5,G#2,E-5,C5,F#4,E-5,C5,F#4,G#2,G#2
104.0,36.2791,14,1.0,C#5,C#5,C#5,C#5,C#3,C#5,C#5,E4,C#5,C#5,E4,C#3,C#3
105.0,36.6279,14,1.5,C#5,C#5,C#5,C#5,C#3,C#5,C#5,E-4,C#5,C#5,E-4,C#3,C#3
106.0,36.9767,14,2.0,E5,E5,E5,C#5,r,E5,C#5,C#4,E5,C#5,C#4,r,C#2
107.0,37.3256,14,2.5,E5,E5,E5,G#4,r,E5,G#4,B3,E5,G#4,B3,r,C#2
108.0,37.6744,14,3.0,E5,E5,E5,C#5,r,E5,C#5,B-3,E5,C#5,B-3,r,r
109.0,38.0233,14,3.5,E5,E5,E5,B-4,r,E5,B-4,C#4,E5,B-4,C#4,r,F#3
110.0,38.3721,14,4.0,D5,D5,D5,B4,r,D5,B4,F#3,D5,B4,F#3,r,G#3
111.0,38.7209,14,4.5,C#5,C#5,C#5,C#5,r,C#5,C#5,F#3,C#5,C#5,F#3,r,B-3
112.0,39.0698,15,1.0,B4,B4,B4,D5,r,B4,D5,F#4,B4,D5,F#4,r,B3
113.0,39.4186,15,1.5,B4,B4,B4,D5,r,B4,D5,F#4,B4,D5,F#4,r,D3
114.0,39.7674,15,2.0,B-4,B-4,B-4,C#5,r,B-4,C#5,F#4,B-4,C#5,F#4,r,E3
115.0,40.1163,15,2.5,B-4,B-4,B-4,C#5,r,B-4,C#5,E4,B-4,C#5,E4,r,F#3
116.0,40.4651,15,3.0,B4,B4,B4,B4,C#4,B4,B4,D4,B4,B4,D4,C#4,B2
117.0,40.814,15,3.5,B4,B4,B4,B4,r,B4,B4,E4,B4,B4,E4,r,C#3
118.0,41.1628,15,4.0,F#5,F#5,F#5,F#4,r,F#5,F#4,D4,F#5,F#4,D4,r,B2
119.0,41.5116,15,4.5,F#5,F#5,F#5,F#4,r,F#5,F#4,C#4,F#5,F#4,C#4,r,A2
